BasketballPass__QP_32_nF_5_MSizeL1_16384_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
partialButterfly16	588186000	316848000	53136000	441011	562976	2839000	72	32	1087	587744917	316284992	50295913	0.40107569638 %	0.0749781531692 %	0.919492734821 %	0.000124299445819 %	1.2241025798e-05 %	0.000302445511157 %
partialButterfly32	562807464	322489408	33830160	179151	223482	1625629	121	64	4202	562628192	322265862	32200329	0.220672652352 %	0.0318316673924 %	0.518947362442 %	0.00047730072637 %	2.14993595039e-05 %	0.00119723988889 %
TComPrediction::xPredIntraAng	517909573	161048359	71188281	787757	546702	1202578	73	8	402	517121743	160501649	69985301	0.33820566658 %	0.152103193505 %	0.753231703662 %	6.43874476242e-05 %	1.40951246715e-05 %	0.000176544062987 %
TComInterpolationFilter::filterVer	514670044	273304186	52045068	777434	356105	1305808	44	1575	0	513892566	272946506	50739260	0.290391780975 %	0.151054837767 %	0.510808916746 %	0.000192733667412 %	8.54916669679e-06 %	0.000484095162548 %
partialButterflyInverse32	509942676	280511016	36754680	187046	140995	1181803	124	64	72	509755506	280369957	35572805	0.182522814215 %	0.0366798090851 %	0.416936976382 %	3.1431016513e-05 %	2.43164586601e-05 %	4.28662794984e-05 %
partialButterfly8	477476454	242246368	62777260	1575287	597414	3320945	47	8	87	475901120	241648946	59456228	0.702063313011 %	0.329919305298 %	1.28460835172 %	1.81469629546e-05 %	9.84341732587e-06 %	3.11451282063e-05 %
TComRdCost::xGetHADs	447344540	171402112	143110580	391787	40274	49447	24	0	0	446952729	171361838	143061133	0.0632018677221 %	0.0875805928021 %	0.028526988666 %	3.15019651871e-06 %	5.36499227195e-06 %	0.0 %
TEncBinCABACCounter::encodeBin	384753240	185251560	114000960	97193	2968033	182326	5	63	21	384656042	182283464	113818613	0.47478430591 %	0.0252611258062 %	1.05274268033 %	1.30115863352e-05 %	1.29953421575e-06 %	2.80699390602e-05 %
TEncSearch::xIntraCodingTUBlock	377756323	140570778	76912526	2858728	2195436	2341986	193	98	25753	374897402	138375244	74544787	1.24255000247 %	0.756765095895 %	2.08633118798 %	0.00437538074057 %	5.1091136865e-05 %	0.011886429682 %
TComRdCost::xGetComponentBits	377354000	41180652	0	43051	0	0	1	0	0	377310948	41180652	0	0 %	0 %	0 %	0 %	0 %	0 %
TComRdCost::xGetSAD4	374282232	117594860	21438772	101195	1053749	110628	12	914	0	374181025	116540197	21328144	0.24654839033 %	0.0270370836091 %	0.837478661278 %	0.000180395749468 %	3.20613669954e-06 %	0.000657394895647 %
partialButterfly4	339036176	156382000	60050688	374648	52793	2598080	19	2	13	338661509	156329205	57452595	0.54467877429 %	0.110503841926 %	1.22480251227 %	6.12095514322e-06 %	5.60412172653e-06 %	6.93056124683e-06 %
TComTrQuant::xDeQuant	321335730	121711353	18010470	503845	73786	479711	23	0	0	320831862	121637567	17530759	0.229329721012 %	0.156797067043 %	0.396142125915 %	4.98853122573e-06 %	7.15762296337e-06 %	0.0 %
partialButterflyInverse16	310498680	181036280	25927660	486626	287246	979420	100	32	43	310011954	180749002	24948197	0.338824860431 %	0.156724015703 %	0.612022558133 %	3.38188679213e-05 %	3.22062560781e-05 %	3.62381968569e-05 %
TComTrQuant::xT	302034921	73382625	59761503	1014341	2828386	5514274	12	0	2682	301020568	70554239	54244547	2.1501496962 %	0.33583566981 %	6.26588654364 %	0.000619055537299 %	3.97305052021e-06 %	0.00201435845522 %
__x86.get_pc_thunk.bx	279570268	279570268	0	79	0	0	9	0	0	279570180	279570268	0	0 %	0 %	0 %	0 %	0 %	0 %
TComPrediction::xPredInterBlk	264626252	108692590	49652194	743086	3147243	552853	20	160	8	263883146	105545187	49099333	1.05046956454 %	0.280805851416 %	2.33673374426 %	4.4447487889e-05 %	7.55782914539e-06 %	0.00010609759018 %
TComTrQuant::getSigCtxInc	261255437	84289407	22590288	88760	297108	0	22	12	0	261166655	83992287	22590288	0.104816945317 %	0.0339744125593 %	0.277983577704 %	9.23573901118e-06 %	8.42087738063e-06 %	1.122757695e-05 %
TComRdCost::xGetSSE4	253926792	98006832	56428176	614893	567233	898572	14	0	0	253311885	97439599	55529604	0.509523172834 %	0.242153651908 %	0.949140365894 %	3.42833242483e-06 %	5.5134000984e-06 %	0.0 %
TEncEntropy::countNonZeroCoeffs	242060443	28125795	691982	83876	1716756	0	4	143	0	241976563	26408896	691982	0.664738567759 %	0.0346508495814 %	5.95728116017 %	5.42679289608e-05 %	1.65247983125e-06 %	0.000496221481622 %
void	235875438	133955370	9844002	126561	798661	272016	8	2700	0	235748869	133154009	9571986	0.315332481499 %	0.0536558622098 %	0.744563056924 %	0.000713241945127 %	3.39162062308e-06 %	0.00187761598848 %
TEncSearch::xPatternRefinement	216445947	83034308	49697424	441707	918235	22680	10	4	0	216004230	82116069	49674744	0.395965172791 %	0.204072659305 %	0.708884745059 %	4.00942008667e-06 %	4.62009113065e-06 %	3.01359738152e-06 %
TComTrQuant::transformNxN	201562029	97473837	77270369	2044545	826317	206944	24	1	20	199517460	96647519	77063405	0.817899283545 %	1.01435027725 %	0.59129914728 %	1.19583455746e-05 %	1.19070045678e-05 %	1.20175658356e-05 %
TEncSearch::xTZSearchHelp	199448977	84295770	62576919	524499	20445	9563	7	0	4	198924471	84275325	62567352	0.160113286126 %	0.262974023677 %	0.020431300199 %	3.17623789671e-06 %	3.5096695432e-06 %	2.72344710731e-06 %
TComYuv::addClip	181914699	48899749	17019031	485672	1155317	811588	13	4	488	181429014	47744428	16206955	0.989606815793 %	0.266977876263 %	2.98383101144 %	0.00020376585199 %	7.1462064756e-06 %	0.000746373036637 %
getTUEntropyCodingParameters	180013177	77248125	44268113	811159	1055324	1950302	16	31	187	179202002	76192770	42317624	1.26580851158 %	0.450610901667 %	2.47343569013 %	7.76043690464e-05 %	8.88823822047e-06 %	0.000179399892219 %
TComRdCost::xGetSSE16	177825650	77085850	71727350	396567	1277784	134621	30	0	19	177429053	75808066	71592710	0.553814097741 %	0.223008885389 %	0.94911271312 %	1.50012774047e-05 %	1.68704571022e-05 %	1.27676845871e-05 %
TComRdCost::xGetSSE8	176103217	74426318	63584689	637310	880883	358554	20	0	0	175465887	73545435	63226135	0.597472784295 %	0.361895717101 %	0.89807112269 %	6.36711058331e-06 %	1.13569759489e-05 %	0.0 %
TComYuv::addAvg	175230472	66951972	14896434	294185	834868	722853	28	0	0	174936259	66117104	14173581	0.720364899056 %	0.167884613128 %	1.90317817552 %	1.08915988034e-05 %	1.59789559889e-05 %	0.0 %
TEncSearch::xPatternSearch	171999740	67835406	59948398	169450	17347	28847	22	0	0	171830268	67818059	59919551	0.0719332346008 %	0.0985175907824 %	0.0361501211844 %	7.33862830042e-06 %	1.27907170092e-05 %	0.0 %
TComRdCost::xGetSAD24	162735404	42769558	1457482	2559	101019	1761	20	135	0	162732825	42668404	1455721	0.0508976401535 %	0.00157249125703 %	0.23239176757 %	7.48928148529e-05 %	1.22898886834e-05 %	0.000305243127281 %
TComYuv::copyPartToPartComponent	160761706	57352940	32540228	803811	399185	29835	88	12	0	159957807	56953743	32510393	0.491844016566 %	0.500001536436 %	0.477255401656 %	3.98954939133e-05 %	5.47394041713e-05 %	1.33491791056e-05 %
partialButterflyInverse8	153128404	80993536	18788164	546398	108722	573115	56	8	40	152581950	80884806	18215009	0.485640937461 %	0.356823414681 %	0.683328706566 %	4.11213306053e-05 %	3.65706155992e-05 %	4.81050132439e-05 %
TComRdCost::calcRdCost	144738844	50301222	31315433	566594	1741692	46911	22	2	0	144172228	48559528	31268522	1.04048587748 %	0.391459531071 %	2.19146815071 %	1.06027907897e-05 %	1.51997897676e-05 %	2.45048023593e-06 %
TComTU::TComTU	144588908	52207472	50028592	428230	550293	1117918	31	5	264	144160647	51657174	48910410	0.849363410441 %	0.296170713178 %	1.63172459378 %	0.000121543617556 %	2.14400955293e-05 %	0.000263116545645 %
TEncSearch::xEstimateResidualQT	142356527	53711905	47459693	4424624	2378950	1119997	45	46	121	137931858	51332909	46339575	3.25365745743 %	3.10812864942 %	3.45842812525 %	8.70536000719e-05 %	3.1610773983e-05 %	0.000165066089003 %
TComTrQuant::xTransformSkip	140056400	38833820	28011280	1158697	35273	102609	14	0	0	138897689	38798547	27908671	0.626664862265 %	0.827307427579 %	0.206270915894 %	6.76650483443e-06 %	9.99597305086e-06 %	0.0 %
TComTrQuant::signBitHidingHDQ	136457755	56665327	8572103	910386	1315472	2099	60	339	0	135547309	55349516	8570004	1.10461585883 %	0.667155926756 %	2.01965497415 %	0.000197823264844 %	4.39696519996e-05 %	0.000519640335311 %
TComYuv::removeHighFreq	135967930	39372362	16833594	233502	1189858	0	13	0	0	135734415	38182504	16833594	0.740662547668 %	0.171733143249 %	2.11696070075 %	6.76470683431e-06 %	9.56107811599e-06 %	0.0 %
0x001366a7	135654564	135654564	0	107963	0	0	6	0	0	135546595	135654564	0	0 %	0 %	0 %	0 %	0 %	0 %
TComRdCost::xGetSSE32	134298520	58948602	56996758	153055	1469500	35144	62	0	0	134145403	57479102	56961614	0.662433382986 %	0.113966259643 %	1.29771816656 %	2.47758306817e-05 %	4.61658103157e-05 %	0.0 %
TComRdCost::getDistPart	133721992	43375540	76966963	1197294	65452	193610	18	0	0	132524680	43310088	76773353	0.573222952699 %	0.895360577638 %	0.215270576514 %	7.08481521592e-06 %	1.34607626844e-05 %	0.0 %
TComTURecurse::nextSection	130909526	57863313	30354436	515472	410058	131091	30	0	8	130394024	57453255	30223337	0.482195107843 %	0.393762024621 %	0.613424176126 %	1.73415198998e-05 %	2.29165905008e-05 %	9.06846988354e-06 %
TComDataCU::initEstData	123014160	57226476	52706196	466660	323772	1371324	22	0	0	122547478	56902704	51334872	0.928004034843 %	0.37935470193 %	1.54194014315 %	9.44421515035e-06 %	1.7884120007e-05 %	0.0 %
TEncSbac::codeQtCbf	121558899	50193619	30763831	1447022	297548	267479	13	0	41	120111864	49896071	30496311	0.993524231468 %	1.19038755032 %	0.697930826626 %	2.66645138857e-05 %	1.06944041999e-05 %	5.06438876224e-05 %
TEncSearch::predInterSearch	110885293	26112129	47214914	3489529	2744421	3559107	131	14	197	107395633	23367694	43655610	5.31617871672 %	3.14697188923 %	8.59645738067 %	0.000185655318979 %	0.000118140103575 %	0.000287751955305 %
fillReferenceSamples	108196946	30428664	14471664	1202653	744104	1431025	102	15	1062	106994191	29684545	13039577	2.20629793839 %	1.11154061594 %	4.8443499121 %	0.000770098623702 %	9.42725315001e-05 %	0.0023986461747 %
TComYuv::subtract	102839467	34998937	14895138	404726	926396	894715	11	6	496	102434730	34072535	13999927	1.45733345201 %	0.393551242346 %	3.64995442846 %	0.000335879069707 %	1.06962825858e-05 %	0.00100613148956 %
TComDataCU::clipMv	98149700	33906260	16060860	358945	1455021	143782	4	0	0	97790751	32451239	15917078	1.32175940585 %	0.365711764784 %	3.19971012938 %	2.70057107626e-06 %	4.07540726054e-06 %	0.0 %
TComRdCost::setDistParam	97244635	41332154	32485733	57950	215210	130538	6	4	0	97186679	41116940	32355195	0.235994416123 %	0.0595919764622 %	0.468379703147 %	5.84581583569e-06 %	6.17000619109e-06 %	5.41874085342e-06 %
TEncSbac::xCopyContextsFrom	96406290	38562516	38562516	86754	2133318	661937	7	41	39	96319529	36429157	37900540	1.66080046345 %	0.0899879043162 %	3.62431616236 %	5.0135041327e-05 %	7.26093701977e-06 %	0.000103727671711 %
TEncSearch::xTZSearch	96243569	34823654	40582765	3255240	302115	241471	357	0	0	92987972	34521539	40341294	2.21312337056 %	3.38229352239 %	0.720874969543 %	0.000207981371953 %	0.000370933875073 %	0.0 %
TComRdCost::xGetSAD12	93593044	25903314	2238558	5246	84585	2715	14	183	0	93587784	25818546	2235843	0.0760225603639 %	0.00560511740595 %	0.310213904747 %	0.000161827030792 %	1.49583766076e-05 %	0.000650276570087 %
TEncSampleAdaptiveOffset::getBlkStats	92375195	30246219	17562005	301	185041	36362	173	4025	20031	92374721	30057153	17505612	0.158152798371 %	0.000325845049637 %	0.463106514896 %	0.0172837844681 %	0.000187279712914 %	0.0503177026614 %
TComTrQuant::xIT	89497478	19524494	17992801	621353	163495	1500877	8	0	110	88876117	19360999	16491814	1.799574133 %	0.694268725651 %	4.43627932131 %	9.29025791354e-05 %	8.93879937041e-06 %	0.000293198110365 %
__memcpy_chk_ssse3	85694306	25795938	16167993	123157	1459787	1799660	9	150	41	85571140	24336001	14368292	2.64973422749 %	0.143716666543 %	7.76725850588 %	0.000156668308054 %	1.05024480856e-05 %	0.00045515278347 %
TEncBinCABAC::copyState	85393992	46255079	35580830	77623	1269546	765707	4	2	96	85316365	44985531	34815027	1.26345586965 %	0.0908998375436 %	2.48699259881 %	6.09938769264e-05 %	4.68417028683e-06 %	0.000119751831681 %
TComDataCU::getQuadtreeTULog2MinSizeInCU	74675647	31638752	10425863	415017	581675	156102	8	1	30	74260622	31057076	10269731	0.987486219621 %	0.555759496801 %	1.75391359222 %	3.34074974065e-05 %	1.07129972372e-05 %	7.36961457986e-05 %
fastForwardDst	73344608	33581472	8854816	304815	31509	490060	26	2	17	73039767	33549961	8364739	0.71374814719 %	0.415592922659 %	1.22906367305 %	3.88665155951e-05 %	3.54490953173e-05 %	4.47730018233e-05 %
void	72232032	47473968	2948576	28915	181745	133131	8	106	0	72203109	47292117	2815445	0.280292029219 %	0.0400307165663 %	0.624474639756 %	9.29439436487e-05 %	1.10754187284e-05 %	0.000210223427045 %
TEncSbac::xCopyFrom	70697946	32135430	32135430	104831	1347378	129472	4	101	20	70593111	30787951	32005938	1.17188633943 %	0.148280121179 %	2.2978531795 %	9.26139925991e-05 %	5.65787300242e-06 %	0.000188265724156 %
TEncSbac::codeIntraDirLumaAng	69252579	23951165	24143295	826844	163794	14874	44	0	7	68425691	23787371	24128414	0.85687036381 %	1.19395409086 %	0.371493930902 %	4.34608324459e-05 %	6.35355399544e-05 %	1.45546909145e-05 %
TComDataCU::setTransformSkipPartRange	68128056	34064028	22709352	67417	22844	866	2	0	0	68060637	34041184	22708486	0.0729591291488 %	0.0989562948927 %	0.0417625302563 %	1.60126261479e-06 %	2.93564812711e-06 %	0.0 %
TComTrQuant::rdpcmNxN	64678279	29972861	18930228	632070	321745	802492	10	0	90	64046199	29651116	18127646	1.5462985091 %	0.977252347732 %	2.29890794833 %	8.8042609242e-05 %	1.54611411352e-05 %	0.000184037454158 %
xTrMxN	59441628	17413413	15828216	972693	356465	1331965	33	2	72	58468902	17056946	14496179	2.87120142962 %	1.63638351224 %	5.07926371478 %	0.000115446957156 %	5.55166490393e-05 %	0.00022261243575 %
TComYuv::clear	58451729	15105503	13135220	115488	474853	56455	3	15	8	58336238	14630635	13078757	0.746081100578 %	0.197578415516 %	1.88135409989 %	2.99910769625e-05 %	5.13244013706e-06 %	8.14426741128e-05 %
TEncSbac::codeLastSignificantXY	57698440	22820050	12864224	485140	338037	31	33	26	0	57213267	22481987	12864193	0.881542166359 %	0.840819959777 %	0.947386515416 %	6.31808580762e-05 %	5.71939206675e-05 %	7.28612273294e-05 %
TComDataCU::getPULeft	57680316	29025603	11794564	591101	657295	55615	12	30	9	57089203	28368278	11738940	1.3238625439 %	1.02478807502 %	1.74646517247 %	5.17763958579e-05 %	2.08043243036e-05 %	9.5541010403e-05 %
TComDataCU::xAddMVPCand	56422436	22747322	10811230	421706	2892689	82424	14	26	4	56000716	19854607	10728802	3.77504078973 %	0.747408353656 %	8.8654391286 %	4.88992185772e-05 %	2.48128244587e-05 %	8.93959906256e-05 %
TComPrediction::predIntraAng	53592778	21737192	14257391	453521	19153	10491	32	0	1	53139225	21718039	14246899	0.539322728794 %	0.846235289389 %	0.0823568368607 %	3.68355531759e-05 %	5.97095377291e-05 %	2.77819581908e-06 %
TComCUMvField::clearMvField	52859496	3287808	16285536	128493	111175	817310	6	140	16958	52730997	3176493	15451268	1.45925246062 %	0.243084043026 %	4.74361969013 %	0.0236135984727 %	1.1350846024e-05 %	0.0873534946302 %
TComDataCU::getPUAbove	52731510	25220463	11949767	802550	292691	111377	12	20	15	51928948	24927752	11838375	1.34215199839 %	1.52195527873 %	1.0870742527 %	5.22792995998e-05 %	2.27567919068e-05 %	9.41613759183e-05 %
TEncSearch::xGetTemplateCost	52253608	22456096	17705768	749604	858732	8374	18	0	0	51503986	21597364	17697394	1.74939321849 %	1.43454974439 %	2.15902827618 %	1.94772580938e-05 %	3.44473820832e-05 %	0.0 %
TComPrediction::initAdiPatternChType	51766730	19934728	14731241	672464	358876	496988	56	21	921	51094210	19575831	14233332	1.76822894308 %	1.2990273869 %	2.46888814791 %	0.00115465560089 %	0.000108177588192 %	0.00271736237923 %
QpParam::QpParam	51199537	22809565	15595767	430164	1143030	5621	15	1	0	50769358	21666534	15590146	1.76197456413 %	0.840171660146 %	2.99086335199 %	1.78561725256e-05 %	2.92971399331e-05 %	2.60380511748e-06 %
TComPrediction::xPredInterUni	49777230	19769680	16239380	259126	228040	138086	5	9	0	49518099	19541631	16101294	0.72884839757 %	0.520571353609 %	1.01676078187 %	1.63196240332e-05 %	1.00447533943e-05 %	2.49937099163e-05 %
TEncSearch::xEncodeResidualQT	49540436	22473244	10937923	158672	43002	255885	7	0	21	49381757	22430242	10682017	0.551597538145 %	0.320287855359 %	0.894572165049 %	3.37546219571e-05 %	1.41298716063e-05 %	6.28532370629e-05 %
TComDataCU::getIntraDirPredictor	49334279	16252717	13024411	581340	262080	22366	26	0	11	48752913	15990637	13002034	1.10134907012 %	1.17836930383 %	0.97156387744 %	4.70669606511e-05 %	5.27016924682e-05 %	3.75719913511e-05 %
TComDataCU::getCoefScanIdx	48780719	20987105	9996633	485553	86801	329921	13	0	53	48295153	20900304	9666659	1.13117425221 %	0.995378932402 %	1.34497006139 %	8.2743621009e-05 %	2.66498736929e-05 %	0.000171057475376 %
TEncSearch::xMotionEstimation	48680136	20524854	15965296	1598755	1321419	235827	32	3	3	47081349	19203432	15729466	3.70551884727 %	3.28420405399 %	4.26757905901 %	4.46164992331e-05 %	6.57352313067e-05 %	1.64427934662e-05 %
TComCUMvField::setAllMv	48028039	14686925	9072315	153964	208363	409750	23	1	0	47874052	14478561	8662565	1.07550670642 %	0.320571073077 %	2.6015689054 %	3.34321071008e-05 %	4.78886926864e-05 %	4.20888883651e-06 %
TComDataCU::setCbfPartRange	46209006	23104503	15403002	141606	71454	392619	4	0	1	46067396	23033049	15010382	0.714947998744 %	0.306446756288 %	1.20514948969 %	5.90203720736e-06 %	8.65632123747e-06 %	2.59689637124e-06 %
TComDataCU::setExplicitRdpcmModePartRange	46196766	23098383	15398922	177109	186409	386487	3	0	54	46019654	22911974	15012381	0.885546049617 %	0.383379650428 %	1.48814572864 %	6.73010510972e-05 %	6.49396107078e-06 %	0.000140269559129 %
TComDataCU::fillMvpCand	46185759	14161808	18671702	1065459	811670	167507	24	21	14	45120276	13350117	18504181	2.58751571088 %	2.30689940594 %	2.982248928 %	7.46653325786e-05 %	5.19640697038e-05 %	0.000106598411196 %
TEncSearch::xExtDIFUpSamplingQ	44239819	15622756	22627835	1225613	1180362	10071	36	30	0	43014170	14442364	22617764	2.9288810663 %	2.77038430017 %	3.11219505079 %	8.0009300475e-05 %	8.13746548104e-05 %	7.84301607261e-05 %
TComDataCU::setCrossComponentPredictionAlphaPartRange	44195940	22097970	14731980	39666	24970	0	2	0	0	44156272	22073000	14731980	0.0797720333587 %	0.0897503254824 %	0.0677980828103 %	2.46834684568e-06 %	4.52530255042e-06 %	0.0 %
TComPrediction::xPredIntraPlanar	41159023	18468234	7124018	228787	0	280005	28	0	635	40930208	18468234	6843378	0.762220646722 %	0.555861104866 %	1.09410066766 %	0.000993239454977 %	6.80288256599e-05 %	0.00248121970665 %
TEncSearch::estIntraPredQT	41006214	14239531	19746260	883922	464039	181086	186	18	14	40122106	13775474	19565160	2.03894668505 %	2.15558061517 %	1.89821975896 %	0.000290697655037 %	0.000453589790074 %	9.41569963753e-05 %
TEncSbac::resetBits	40269544	25887564	14381980	89544	1708714	27419	2	6	3	40179998	24178844	14354558	2.26682104967 %	0.222361594162 %	4.31128050519 %	1.36579644408e-05 %	4.96653252393e-06 %	2.23493963577e-05 %
TEncBinCABACCounter::getNumWrittenBits	40003536	22501989	10000884	47482	106844	146	5	0	0	39956049	22395145	10000738	0.21304599432 %	0.118694507406 %	0.329170901292 %	6.89594212285e-06 %	1.24988950977e-05 %	0.0 %
TComRdCost::setDistParam	39130277	20716029	13810686	37136	724917	0	3	9	0	39093138	19991103	13810686	1.03459695992 %	0.0949034937831 %	2.09958288821 %	1.62917323586e-05 %	7.6666975805e-06 %	2.60667717737e-05 %
TComCUMvField::setAllRefIdx	38971587	11770749	8311459	274823	122774	109274	62	1	0	38696702	11647974	8202185	0.858320790391 %	0.705188115639 %	1.15549047196 %	0.000106682390183 %	0.000159090262349 %	4.97953213113e-06 %
TEncSearch::xEstimateMvPredAMVP	38363096	14602085	17499215	532081	629897	567971	24	0	4	37830991	13972188	16931240	2.45506823049 %	1.38696053103 %	3.73152489152 %	3.9736379774e-05 %	6.25601228848e-05 %	1.2460554557e-05 %
TComDataCU::getPUBelowLeft	38313910	19419844	7334426	288775	1237882	123152	7	35	8	38025128	18181927	7211266	2.53550813931 %	0.753707987517 %	5.08716552535 %	7.68424750777e-05 %	1.82701269591e-05 %	0.000160722008113 %
TEncSearch::xRecurIntraCodingQT	38299964	15566819	12351477	1333951	532229	229105	182	1	44	36965831	15034589	12122328	3.16421029486 %	3.48290405704 %	2.72700740762 %	0.000342805745726 %	0.000475196269114 %	0.000161184622443 %
TEncSbac::codeQtCbfZero	37874928	16978416	15672384	109307	472216	0	3	4	0	37765618	16506196	15672384	0.824554409421 %	0.28859988856 %	1.44626165362 %	9.92545585634e-06 %	7.92080713658e-06 %	1.22508483712e-05 %
partialButterflyInverse4	37513700	19399942	5573464	224631	13307	190964	22	2	16	37289047	19386633	5382484	0.686384803931 %	0.598797239409 %	0.817954106861 %	6.40132061805e-05 %	5.86452416051e-05 %	7.20766722809e-05 %
TComDataCU::getPartIndexAndSize	37405258	16796306	5883820	123203	730510	44728	15	1	10	37282040	16065795	5839082	1.49527379238 %	0.32937348006 %	3.41813797683 %	4.32717547416e-05 %	4.01013140987e-05 %	4.85006123864e-05 %
TComDataCU::xGetColMVP	36101505	16133978	5362080	361357	3532429	0	12	2752	0	35740136	12598797	5362080	6.76033116193 %	1.00094719043 %	16.4329152815 %	0.00479881414427 %	3.32396114788e-05 %	0.0128023472955 %
TEncSearch::xCheckBestMVP	35976105	13937844	7616988	511117	462927	0	22	0	0	35464966	13474917	7616988	1.69307863002 %	1.42071244233 %	2.14767157545 %	3.82402949564e-05 %	6.11517005524e-05 %	0.0 %
QpParam::QpParam	34866584	8881105	6056826	561824	340628	0	6	1	0	34304754	8540476	6056826	1.81198833078 %	1.61135372482 %	2.28028901727 %	1.40549506405e-05 %	1.72084538021e-05 %	6.69436751314e-06 %
TEncEntropy::encodeCoeffNxN	34770176	19184256	9804928	361164	61469	541175	10	2	38	34409002	19122785	9263715	1.51163374287 %	1.03871777928 %	2.07885810101 %	7.84198586686e-05 %	2.87602800745e-05 %	0.000137982497196 %
TEncBinCABAC::resetBits	34516752	8629188	20134772	79784	30518	140	2	0	0	34436966	8598670	20134632	0.174527113412 %	0.231145734686 %	0.106584767883 %	3.16052069705e-06 %	5.79428794459e-06 %	0.0 %
