BasketballDrill__QP_32_nF_8_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw
TComPrediction::xPredIntraAng	3,128,206,934	975,146,511	418,400,410	7,148,180	17,581,223	20,043,120	2,917	318	2,865
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memset-sse2.S:__memset_chk_sse2	3,121,156,936	649,467,580	929,760,928	5,708,150	14,732,152	402,892,300	174	194	219,951
TComYuv::addAvg	2,517,381,400	961,926,356	213,104,970	3,591,214	28,017,725	13,363,740	6,909	65,847	30,727
TEncSbac::codeCoeffNxN	2,468,402,678	848,823,452	704,275,187	28,595,964	32,807,952	17,568,588	6,044	4,744	4,670
partialButterfly4	2,365,032,176	1,090,882,000	418,898,688	2,785,525	10,158,906	24,720,624	914	248	3,482
TEncSbac::estSignificantCoefficientsBit	2,266,615,070	880,232,794	453,526,516	4,721,602	14,327,603	35,298,261	2,243	507	853
TEncSbac::estLastSignificantPositionBit	2,253,300,602	905,542,092	368,337,014	14,019,231	36,824,900	25,438,127	2,265	820	2,600
TComTrQuant::xT	2,210,312,698	533,058,602	435,711,766	15,064,704	70,029,585	58,008,292	868	178	27,292
__x86.get_pc_thunk.bx	2,200,706,534	2,200,706,534	0	8	0	0	2	0	0
TEncSearch::xIntraCodingTUBlock	2,118,708,174	788,287,192	431,748,298	24,462,147	47,498,628	27,662,663	6,425	18,177	228,524
TComPrediction::xPredInterBlk	2,102,751,995	862,043,440	399,625,303	6,856,931	73,694,479	12,838,414	10,218	332,729	1,057
partialButterflyInverse16	2,052,027,348	1,196,434,708	171,351,026	3,823,798	55,561,687	18,896,604	2,603	1,266	145
TEncEntropy::countNonZeroCoeffs	2,050,111,780	235,526,532	4,351,688	364,204	24,629,870	0	287	105,591	0
TComTrQuant::xDeQuant	2,002,395,555	759,292,998	108,441,243	4,515,131	8,785,032	11,240,516	957	0	0
TEncSearch::xTZSearchHelp	1,972,911,344	833,454,792	619,536,506	4,835,879	68,400,823	1,351,764	2,722	9,236	987
TEncSearch::xPatternRefinement	1,894,198,230	726,549,284	435,435,056	2,760,892	83,492,218	50,754,217	1,786	4,802	0
TComRdCost::xGetSSE4	1,748,131,290	674,717,340	388,473,620	9,863,612	17,841,067	10,521,643	2,733	391	330
void	1,685,494,004	1,108,711,126	67,531,436	563,975	16,900,801	6,261,675	603	160,569	15,615
TEncBinCABACCounter::encodeBin	1,683,411,741	810,531,579	498,788,664	1,430,676	82,107,423	3,466,229	1,223	3,341	435
TEncSbac::estSignificantMapBit	1,527,289,068	565,663,585	269,735,064	15,736,026	52,507,269	35,683,194	1,433	972	2,742
TEncSearch::xPatternSearch	1,495,258,977	589,706,510	520,587,691	1,191,015	81,493,046	68,839,150	3,904	8,370	5,999
TComYuv::addClip	1,410,532,293	377,668,907	131,137,529	3,540,792	15,714,582	6,677,864	4,434	984	27,789
TComTrQuant::transformNxN	1,400,136,098	677,120,898	536,695,370	22,415,608	62,193,918	6,266,314	5,723	257	0
TComRdCost::xGetSSE16	1,355,094,174	587,421,366	546,587,706	3,851,566	21,134,600	3,534,858	2,902	604	184
TComRdCost::xGetSAD24	1,291,845,432	339,518,364	11,569,956	14,927	8,033,231	606,111	381	31,633	22
TComRdCost::xGetSSE8	1,264,869,408	534,570,432	456,699,936	9,327,769	13,214,024	3,539,346	2,955	457	236
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/strcat.S:0x0012694b	1,257,952,232	1,257,952,232	0	639,584	0	0	522	0	0
TComYuv::removeHighFreq	1,249,080,242	361,332,290	155,628,786	1,638,617	23,302,142	51,739	2,981	17,427	0
getTUEntropyCodingParameters	1,229,311,342	527,540,110	302,200,116	10,807,368	53,822,474	36,123,602	6,160	1,711	5,076
TEncSbac::estCBFBit	1,169,710,360	543,079,810	275,717,442	20,868,746	64,253,727	30,892,512	3,398	3,047	704
TComYuv::copyPartToPartComponent	1,113,995,366	397,010,522	227,779,678	4,743,035	8,532,297	245,721	8,387	1,530	9
TComRdCost::calcRdCost	1,076,380,720	374,339,496	233,807,516	5,161,857	35,008,489	679,361	4,795	2,796	0
TComRdCost::xGetSSE32	1,075,559,100	472,102,785	456,471,015	1,380,780	13,970,635	924,918	3,174	970	48
TEncSearch::xTZSearch	1,055,610,770	389,511,543	429,733,769	28,740,296	23,862,356	7,194,778	41,936	5,543	1,211
TEncSearch::xEstimateResidualQT	1,032,407,805	390,216,595	345,961,772	34,125,506	75,539,844	25,207,756	48,372	6,725	4,302
TComRdCost::setDistParam	1,015,851,068	431,582,988	339,186,180	421,057	8,255,410	61,272,420	480	3,579	2,039
TComTrQuant::xTransformSkip	979,621,280	271,622,264	195,924,256	12,672,231	13,877,408	17,725,351	1,141	0	0
TComTU::TComTU	978,188,774	354,869,660	342,591,421	5,426,372	21,485,060	20,418,618	3,650	400	2,854
TComRdCost::getDistPart	975,080,974	316,003,474	561,582,793	12,565,298	7,218,447	5,552,757	3,309	54	572
TComDataCU::initEstData	897,725,016	419,441,662	385,471,210	3,302,873	7,344,726	22,148,995	6,390	1,247	6,565
partialButterflyInverse8	879,555,534	465,219,456	107,917,494	4,071,889	5,019,578	6,984,538	2,051	362	239
TEncSearch::predInterSearch	839,700,583	208,781,379	351,925,339	24,463,465	42,637,390	31,727,070	39,878	17,110	16,658
TComDataCU::clipMv	835,792,485	288,728,313	136,766,043	2,784,029	15,420,319	1,311,932	2,492	1,679	12
TComTURecurse::nextSection	830,987,524	366,565,770	193,774,222	10,589,498	13,228,870	6,751,317	1,899	4	85
TEncSbac::codeQtCbf	825,788,570	340,961,622	208,976,478	15,564,410	34,176,656	3,388,037	2,387	355	872
TComYuv::subtract	791,892,869	269,212,183	115,466,814	2,885,924	11,837,843	7,152,994	4,868	7,048	25,975
TEncSbac::xCopyContextsFrom	667,404,720	266,961,888	266,961,888	523,830	42,389,526	15,233,089	533	10,851	6,160
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_chk_ssse3	653,460,752	183,912,720	115,328,904	271,242	31,013,705	30,142,246	1,019	832	794
TComRdCost::xGetSAD12	646,787,480	179,008,380	15,469,860	28,889	3,474,109	60,086	407	16,617	25
TComTrQuant::xQuant	602,799,450	273,999,750	197,279,820	2,760,915	11,581,424	29,800,096	1,164	0	1,142
TEncSampleAdaptiveOffset::getBlkStats	588,385,225	192,600,201	111,722,130	481	30,173,713	1,389,581	481	433,801	200,877
TEncBinCABAC::copyState	575,667,576	311,819,937	239,861,490	721,322	37,774,169	10,102,797	1,511	4,473	10,027
fillReferenceSamples	566,115,649	158,833,786	75,906,350	9,874,911	8,389,530	10,843,948	3,506	58,837	33,152
TComTrQuant::xIT	565,963,538	122,439,578	113,003,797	4,603,667	8,303,022	10,724,975	683	106	40,705
TComTrQuant::calcPatternSigCtx	550,149,173	222,401,852	25,815,029	730,730	1,619,682	0	597	0	0
TComDataCU::xAddMVPCand	514,798,178	207,496,690	96,638,468	3,654,161	46,205,919	1,242,113	5,565	675,409	135
TComDataCU::getQuadtreeTULog2MinSizeInCU	512,759,365	217,191,268	71,462,265	3,495,800	20,009,126	1,386,013	1,516	623	529
TComDataCU::setTransformSkipPartRange	494,489,736	247,244,868	164,829,912	976,271	7,825,221	29,097	868	51	0
TEncSbac::xCopyFrom	489,430,128	222,468,240	222,468,240	580,811	43,458,226	3,773,076	234	19,101	761
TComYuv::clear	477,197,085	123,320,595	107,235,300	932,064	26,733,984	277,999	1,124	1,719	106
TEncSearch::xGetTemplateCost	457,787,528	196,735,136	155,118,088	6,444,340	29,490,033	5,735,969	4,803	278,872	390
TComTrQuant::rdpcmNxN	449,359,590	208,239,810	131,519,880	4,591,196	22,600,993	23,040,474	677	15	1,564
TEncSbac::estBit	426,108,774	133,681,184	267,362,368	1,982,064	8,551,334	9,565,747	1,666	7	475
TEncSearch::xMotionEstimation	425,698,768	179,495,700	139,595,968	13,584,213	30,121,194	6,065,862	13,709	193,001	1,712
xTrMxN	410,068,306	120,189,116	109,781,591	12,796,607	16,150,455	15,732,987	2,181	589	2,391
TComDataCU::fillMvpCand	408,618,552	124,863,178	166,099,404	8,803,463	21,726,229	4,496,471	8,182	54,242	862
TEncSearch::xExtDIFUpSamplingQ	386,983,146	136,537,139	197,552,758	10,440,628	18,809,489	1,363,668	13,194	8,178	152
TComDataCU::getPULeft	375,796,006	189,176,911	76,663,663	7,037,197	17,929,590	1,685,035	1,909	10,561	190
TComPrediction::xPredInterUni	375,619,065	149,182,040	122,542,390	1,677,019	13,083,153	2,152,305	2,293	67,667	388
TComCUMvField::clearMvField	374,837,268	22,298,640	115,477,484	900,589	1,248,605	6,354,662	1,575	1,718	121,472
fastForwardDst	368,863,604	168,887,436	44,532,508	1,548,166	511,986	1,922,909	774	33	71
TEncSearch::xEncodeResidualQT	361,226,298	165,909,743	79,339,369	1,133,913	8,294,273	2,925,469	1,168	0	834
TComCUMvField::setAllMv	355,993,058	107,627,709	67,836,998	1,201,329	4,472,225	6,256,843	2,924	3,227	2,605
QpParam::QpParam	348,233,624	155,494,450	105,839,554	5,955,238	29,087,127	1,393,790	565	4,178	0
TEncSbac::codeIntraDirLumaAng	341,080,738	117,995,789	118,475,009	6,699,170	4,334,886	1,761,227	1,733	1,113	22
TComDataCU::getPUBelowLeft	338,734,334	171,785,467	64,655,104	3,215,517	25,792,105	3,373,780	2,679	24,266	148
TEncSearch::xEstimateMvPredAMVP	337,366,776	128,404,225	154,103,715	4,441,793	20,271,529	15,927,644	6,125	2,329	1,895
TComDataCU::setCbfPartRange	330,062,094	165,031,047	110,020,698	1,183,867	10,769,954	4,335,182	1,175	360	0
TComDataCU::setExplicitRdpcmModePartRange	330,026,832	165,013,416	110,008,944	2,370,283	5,374,261	7,681,637	876	322	966
TComDataCU::setCrossComponentPredictionAlphaPartRange	319,475,124	159,737,562	106,491,708	308,075	5,042,021	332	417	1	0
TEncSbac::estSignificantCoeffGroupMapBit	317,492,812	158,746,406	83,550,740	3,016,502	9,719,375	8,355,074	533	242	298
TComDataCU::getPUAbove	316,931,499	151,856,462	71,535,808	7,477,814	8,998,263	1,371,156	2,427	7,444	349
TEncSearch::xCheckBestMVP	316,645,701	122,910,596	67,060,236	3,290,740	11,877,188	1,370,494	2,733	2,823	0
TComTU::getGolombRiceStatisticsIndex	315,363,209	170,765,842	26,271,668	4,996,045	7,680,369	0	731	10	0
TComDataCU::xGetColMVP	309,959,053	135,452,142	44,962,516	2,518,314	44,661,187	1,626,873	4,920	389,821	84
TComDataCU::getCoefScanIdx	304,361,941	134,583,054	67,404,049	6,739,320	9,889,659	4,852,450	1,480	2,101	941
TEncSbac::codeLastSignificantXY	299,010,082	118,010,315	66,086,881	3,532,807	9,143,190	156,586	1,008	256	0
TComRdCost::setDistParam	285,917,339	151,368,003	100,912,002	2,740,493	19,189,180	251,355	478	1,242	0
TComDataCU::getPartIndexAndSize	284,639,083	127,898,662	44,835,320	901,438	17,663,838	2,121,475	2,342	2,254	377
TComRdCost::xGetSSE64	283,931,888	125,416,868	123,397,372	234,123	4,308,971	384,809	3,058	49	129
TEncSbac::codeQtCbfZero	279,870,735	125,459,295	115,808,580	914,016	11,997,568	414,352	639	0	0
TComPrediction::initAdiPatternChType	278,234,863	106,156,396	75,722,683	6,312,847	7,748,012	6,530,041	2,189	1,287	22,985
TEncSbac::resetBits	276,986,556	178,062,786	98,923,770	748,330	21,201,977	2,465,634	319	921	138
TComCUMvField::setAllRefIdx	276,429,198	83,573,967	59,088,623	1,959,566	3,077,181	2,139,947	6,316	885	648
TEncBinCABACCounter::getNumWrittenBits	272,583,424	153,328,176	68,145,856	898,698	18,847,473	407,989	574	2	0
TComPrediction::predIntraAng	270,070,536	109,540,824	71,849,962	2,362,041	5,369,151	560,291	1,474	282	136
TComDataCU::getIntraDirPredictor	240,430,466	78,795,991	64,138,488	5,038,717	5,957,360	223,101	984	12,476	87
QpParam::QpParam	238,411,988	60,637,770	41,062,692	5,301,434	5,012,257	2,400	380	1,256	0
TComPrediction::xPredIntraPlanar	237,722,383	107,746,238	41,045,322	1,564,908	422,796	2,355,064	1,907	0	3,468
TEncBinCABAC::resetBits	237,417,048	59,354,262	138,493,278	446,542	1,714,343	0	563	31	0
TEncEntropy::encodeCoeffNxN	235,181,107	130,100,308	66,146,767	3,096,041	4,250,124	9,229,630	929	108	754
TEncSearch::encodeResAndCalcRdInterCU	234,797,746	84,444,490	86,954,607	10,650,971	13,984,085	4,149,093	15,968	4,983	1,968
partialButterflyInverse4	218,668,100	113,082,646	32,487,832	2,385,151	317,041	1,997,922	528	85	252
TEncSearch::xExtDIFUpSamplingH	213,467,676	68,470,764	122,173,324	7,968,561	13,701,045	1,416,391	12,707	5,342	210
TComDataCU::getInterMergeCandidates	210,674,835	73,627,378	71,309,786	15,073,443	6,987,343	2,055,047	33,223	52,778	1,997
TEncSearch::estIntraPredQT	206,062,394	71,518,568	99,396,958	4,729,386	7,786,484	3,575,384	5,375	687	401
TEncSbac::load	206,039,808	68,679,936	85,849,920	427,486	6,353,949	53,781	288	0	2
TEncEntropy::estimateBit	200,521,776	91,905,814	66,840,592	549,295	10,500,640	1,341,297	1,088	481	0
TEncSearch::xEncodeResidualQT	193,168,653	87,107,197	65,458,330	3,805,019	7,244,193	2,852,576	4,492	0	131
TEncSearch::xRecurIntraCodingQT	192,399,355	77,799,666	61,343,659	10,812,886	13,610,787	7,373,508	4,667	1,052	1,906
TComYuv::copyToPartComponent	188,939,723	67,600,586	47,662,328	971,284	1,703,937	163,833	1,713	1,195	2
TComPrediction::xPredInterBi	187,783,700	71,975,131	58,767,833	2,582,835	6,035,432	934,140	3,944	3,881	56
TComDataCU::xAddMVPCandOrder	184,365,614	58,866,340	42,860,904	3,754,193	10,030,610	724,905	4,159	145,512	120
TComTU::GetEquivalentLog2TrSize	181,463,227	82,483,285	16,496,657	1,078,507	1,672,592	0	176	0	0
TComYuv::copyPartToPartYuv	175,515,168	38,393,943	49,363,641	908,603	988,706	43,324	872	41	0
TComDataCU::getCtxQtCbf	175,443,837	91,674,280	0	1,933,736	1,808,563	0	436	0	0
TEncSearch::xGetInterPredictionError	172,738,944	53,980,920	77,115,600	1,870,206	5,106,031	2,434,283	5,017	1,615	784
TComRdCost::xGetSAD	168,331,136	46,567,840	1,128,864	36,446	1,702,388	35,775	175	922	0
TComCUMvField::setAllMvField	163,277,448	66,193,560	83,845,176	1,503,770	400,670	188,956	870	75	0
TComDataCU::getPUAboveRight	153,598,425	75,691,487	27,979,865	2,431,831	12,477,217	669,121	3,250	6,286	75
TComDataCU::setMVPIdxSubParts	150,887,597	69,498,867	39,756,331	2,253,607	17,345,881	2,793,539	3,088	178,045	0
TEncSbac::xWriteCoefRemainExGolomb	150,370,342	61,026,060	39,207,350	1,005,089	8,502	78,093	793	0	0
TEncSearch::xPatternSearchFracDIF	149,024,604	52,359,996	65,785,636	2,333,177	9,225,933	3,898,837	2,060	1,283	594
TEncEntropy::encodeQtCbf	147,700,518	84,400,296	52,750,185	658,717	5,284,701	662,922	463	0	123
TComDataCU::setMVPNumSubParts	145,437,606	66,988,314	38,375,425	663,917	6,973,489	889,421	1,999	154	0
TComTrQuant::getSigCoeffGroupCtxInc	142,270,730	47,646,046	10,638,915	309,409	180,867	0	154	0	0
TEncSbac::getNumberOfWrittenBits	136,291,712	85,182,320	34,072,928	0	1,684,993	1,703,427	0	0	0
TComDataCU::getPUAboveRightAdi	134,364,240	66,464,477	28,411,412	1,661,912	5,458,955	753,126	840	5,936	7
TComDataCU::xGetDistScaleFactor	128,962,989	24,944,696	7,127,056	914,530	0	0	1,477	0	0
TEncSearch::xLoadIntraResultQT	128,671,711	47,453,899	25,398,634	2,727,779	3,033,431	462,874	1,250	176	861
TEncSearch::xSetSearchRange	123,465,816	41,155,272	52,587,292	1,298,364	370,166	337,678	937	114	48
TComPrediction::motionCompensation	122,281,075	35,522,526	53,740,705	2,996,488	1,671,227	742,989	5,606	433	0
TComTU::useDST	122,274,639	74,154,173	14,724,506	575,080	1,113,573	0	221	0	0

RESULTS	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw
Entropy	17547792560	6533684723	4247779375	124772205	477895480	213165451	30357	153620	31201
Filter	161520977714	86984825168	8210048696	22299058	1056593195	672984121	15081	5032604	2680670
InvQuant	2002395555	759292998	108441243	4515131	8785032	11240516	957	0	0
Quant	47135935725	17808329676	10500922467	113612520	926856958	1043154170	26124	31808	399889
InvTransf	7544505102	4003055600	700688409	16395785	86811771	49829596	8717	3667	41342
Transf	33299887860	14493330160	6000048779	216938015	735132054	368545256	101853	18654	103484
Pre/Pos	9100494025	3122063440	1508572939	28827253	131923954	56656250	39867	98325	114158
Inter/Intra	237449118811	80963176150	41110181211	243328769	1751273333	427523616	288212	4613701	440997
Intra	5995138493	2059516756	1027182480	40575993	76829158	50844239	13707	31253	235080
Inter	17795909880	5608739151	4001442945	155609987	597528388	170576795	220500	2427251	154393
Inter/Intra	213658070438	73294920243	36081555786	47142789	1076915787	206102582	54005	2155197	51524
PROGRAM TOTALS	566,948,643,997	234,102,707,403	87,463,606,882	1,104,917,329	7,087,259,583	6,009,785,035	840,022	14,156,144	14,566,101
