BQMall__QP_32_nF_5_SR_32_MSizeL1_16384_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
__memcpy_chk_ssse3	83466130	25041636	15513487	234332	616182	3153980	9	0	35	83231789	24425454	12359472	3.22887723123 %	0.280751006426 %	9.29638901601 %	3.54777902462e-05 %	1.07828169342e-05 %	8.6302290342e-05 %
TComTrQuant::calcPatternSigCtx	76232558	30860144	3662480	114964	28917	0	9	0	0	76117585	30831227	3662480	0.1299090457 %	0.150806955737 %	0.0837624625521 %	8.12603061769e-06 %	1.18059792773e-05 %	0.0 %
TComDataCU::getQuadtreeTULog2MinSizeInCU	75313807	31909070	10515771	590837	952791	147337	8	2	14	74722962	30956277	10368420	1.43620215513 %	0.784500244424 %	2.59312227004 %	2.03841307911e-05 %	1.06222222972e-05 %	3.77137536002e-05 %
fastForwardDst	74642292	34175628	9011484	374995	32236	514367	26	2	0	74267271	34143390	8497117	0.782146025282 %	0.50238944967 %	1.26566231148 %	2.3763168657e-05 %	3.48327996145e-05 %	4.63101121464e-06 %
TComTrQuant::xIT	74232214	16232550	14965477	647170	166069	1215138	8	0	3	73585036	16066481	13750336	1.92390435682 %	0.871818264777 %	4.42722547807 %	1.04334391116e-05 %	1.07769923176e-05 %	9.61599270364e-06 %
TEncSbac::xCopyFrom	70793580	32178900	32178900	118886	1960981	146638	4	101	14	70674690	30217818	32032248	1.64741566087 %	0.167933306947 %	3.27484625018 %	8.80494154037e-05 %	5.65022986548e-06 %	0.000178688519496 %
TEncSbac::codeIntraDirLumaAng	69747757	24123041	24308392	1379679	220161	17724	41	1	4	68368037	23902879	24290664	1.36873843864 %	1.9780980197 %	0.491178941577 %	3.89239425317e-05 %	5.87832523417e-05 %	1.03238737536e-05 %
TComDataCU::setTransformSkipPartRange	68550750	34275375	22850250	132786	36743	0	3	0	0	68417961	34238632	22850250	0.134893292395 %	0.193704664063 %	0.0643196463934 %	2.38708349123e-06 %	4.37631973392e-06 %	0.0 %
void	65980152	43352248	2710024	28242	178669	122365	8	632	0	65951902	43172947	2587659	0.29388510909 %	0.0428037813553 %	0.653537020493 %	0.000571212204406 %	1.21248583968e-05 %	0.00137205563807 %
TComTrQuant::rdpcmNxN	65163350	30197650	19072200	1251627	404364	3097426	10	0	41	63911713	29793286	15974733	4.15387929377 %	1.92075299996 %	7.10736890817 %	4.45674856598e-05 %	1.53460495816e-05 %	8.32151914406e-05 %
TEncSbac::estBit	62944608	19747328	39494656	339677	32193	66731	10	0	0	62604921	19715135	39427925	0.358960007658 %	0.539644317111 %	0.166982928863 %	8.18420404098e-06 %	1.58869843148e-05 %	0.0 %
xTrMxN	59938309	17558634	15958829	2067399	677690	2082021	31	2	29	57870879	16880942	13876779	5.1651277355 %	3.4492114217 %	8.23365121638 %	6.63415417509e-05 %	5.17198441484e-05 %	9.24891003833e-05 %
TComYuv::clear	58379906	15086942	13119080	115233	352335	26636	3	17	4	58264670	14734590	13092440	0.570767111256 %	0.197384696029 %	1.34358187766 %	2.77181299021e-05 %	5.13875442006e-06 %	7.44521861325e-05 %
TComDataCU::getPULeft	58278768	29321310	11915848	978796	682711	97955	12	35	2	57299960	28638564	11817891	1.76802052769 %	1.67950702046 %	1.8931130026 %	4.92383500506e-05 %	2.05906892198e-05 %	8.97249029625e-05 %
TComDataCU::xAddMVPCand	56427659	22744914	10802838	421973	2906934	47130	14	29	5	56005672	19837951	10755703	3.75217735877 %	0.747812345006 %	8.80554977275 %	5.33479085747e-05 %	2.48105277591e-05 %	0.000101348072443 %
TComPrediction::predIntraAng	54613643	22151230	14528576	560112	20852	12494	32	0	0	54053499	22130378	14516082	0.650055405399 %	1.02558988786 %	0.0909110587989 %	3.50518031146e-05 %	5.85934177656e-05 %	0.0 %
TComDataCU::getPUAbove	53348637	25517789	12087569	1326268	301314	135307	12	22	9	52022357	25216453	11952253	1.93822052566 %	2.4860391466 %	1.16106061269 %	4.72766479361e-05 %	2.24935456177e-05 %	8.24350615144e-05 %
TComPrediction::initAdiPatternChType	53196535	20465692	15077050	1369977	568561	596906	56	21	890	51826502	19897110	14479254	2.85718352202 %	2.57531247101 %	3.27905764839 %	0.00108970912621 %	0.000105270014297 %	0.00256311119722 %
TComCUMvField::clearMvField	53096994	3298680	16358682	129591	110878	786528	6	140	16961	52967397	3187662	15555193	1.411595204 %	0.244064664 %	4.56524125669 %	0.023513368739 %	1.13000747274e-05 %	0.0869953964321 %
TEncSearch::xGetTemplateCost	52185848	22426976	17682808	748845	1210731	7722	18	4	0	51436985	21216241	17675086	2.13151798993 %	1.43495799857 %	3.03779496793 %	2.38364476447e-05 %	3.44921098149e-05 %	9.97262912211e-06 %
QpParam::QpParam	51636756	23001738	15730674	1004562	1609235	4538	18	2	0	50632176	21392501	15726136	2.89737645919 %	1.94543979486 %	4.16646657585 %	2.2131441998e-05 %	3.48588900511e-05 %	5.16363401277e-06 %
TEncSbac::codeLastSignificantXY	51042139	20164386	11369146	834990	204109	0	38	8	0	50207111	19960269	11369146	1.25835974133 %	1.63588363724 %	0.647276048874 %	5.57064804233e-05 %	7.44482906565e-05 %	2.53698190231e-05 %
TEncSearch::xEncodeResidualQT	50546086	23009737	11174054	166947	47551	258856	7	0	24	50379132	22962186	10915174	0.558662442057 %	0.330286701131 %	0.896351724126 %	3.65868582578e-05 %	1.38487478536e-05 %	7.02087138317e-05 %
TComPrediction::xPredInterUni	49924998	19828368	16287588	269882	225480	121163	5	11	2	49655111	19602877	16166423	0.716548307914 %	0.540574883949 %	0.959805688101 %	2.09202701309e-05 %	1.0015022935e-05 %	3.59951706664e-05 %
TComDataCU::getIntraDirPredictor	49627865	16346634	13115983	1063562	332641	19802	26	0	3	48564277	16013993	13096178	1.79036081737 %	2.14307425879 %	1.19623793093 %	3.66668646677e-05 %	5.2389922476e-05 %	1.01823948633e-05 %
TEncSearch::xMotionEstimation	48590816	20487474	15935476	1595571	1441917	293567	32	0	7	46995213	19045557	15641902	3.91825366259 %	3.28368842375 %	4.76480900092 %	4.58749233624e-05 %	6.58560662986e-05 %	1.92186519763e-05 %
TComDataCU::getCoefScanIdx	48500354	20860580	9935772	1279341	347468	285142	14	0	51	47220999	20513112	9650579	2.41113546381 %	2.63779724164 %	2.05417187075 %	8.19706180481e-05 %	2.88657686911e-05 %	0.000165604029984 %
TComCUMvField::setAllMv	48108760	14715043	9095578	161826	197185	432813	23	1	0	47946911	14517857	8662765	1.10098834138 %	0.336375329566 %	2.64586967303 %	3.33706987828e-05 %	4.78083409342e-05 %	4.19980646452e-06 %
TEncSbac::estSignificantCoeffGroupMapBit	46899904	23449952	12342080	723816	316556	2209055	4	5	5	46176084	23133391	10133020	3.92955729081 %	1.54332085626 %	7.05634986021 %	1.69303086579e-05 %	8.52880210586e-06 %	2.79391793123e-05 %
TComDataCU::setCbfPartRange	46533978	23266989	15511326	219918	280866	172493	4	0	0	46314056	22986123	15338833	0.789191072382 %	0.472596604571 %	1.16910443375 %	4.68865606508e-06 %	8.59586945264e-06 %	0.0 %
TComDataCU::setExplicitRdpcmModePartRange	46523286	23261643	15507762	402060	242631	699218	3	0	20	46121223	23019012	14808524	1.57564380282 %	0.86421238603 %	2.42936150297 %	2.69659682797e-05 %	6.44838371907e-06 %	5.15870697526e-05 %
TComDataCU::fillMvpCand	46170514	14148702	18673762	1064977	784103	128497	24	15	8	45105513	13364584	18545257	2.50348455023 %	2.30661716263 %	2.78041282946 %	5.94989595151e-05 %	5.19812276727e-05 %	7.00739591031e-05 %
TComTU::getGolombRiceStatisticsIndex	45896168	24852243	3823422	1179748	42355	0	6	0	0	44716414	24809888	3823422	1.63882655265 %	2.57047167859 %	0.147703636515 %	8.04593337541e-06 %	1.30729868341e-05 %	0.0 %
TComDataCU::setCrossComponentPredictionAlphaPartRange	44491788	22245894	14830596	41244	155270	0	2	0	0	44450542	22090624	14830596	0.240919637901 %	0.0927002529096 %	0.418782899892 %	2.45193358134e-06 %	4.49521156578e-06 %	0.0 %
TEncSearch::xExtDIFUpSamplingQ	44157978	15594220	22587864	1219938	1198211	4655	37	44	0	42938003	14395965	22583209	2.94243645335 %	2.762667258 %	3.15034140096 %	9.83725273367e-05 %	8.37900684674e-05 %	0.000115237292967 %
TComPrediction::xPredIntraPlanar	43480737	19557302	7521646	319083	0	376392	28	0	604	43161626	19557302	7144650	0.985654910449 %	0.73384910656 %	1.38998014251 %	0.000895695608618 %	6.43963325645e-05 %	0.00223051501114 %
TEncSearch::estIntraPredQT	41719243	14487730	20096150	966188	437735	259381	186	24	11	40752869	14049971	19836758	2.17986359484 %	2.31592888682 %	2.0157252454 %	0.000289634278796 %	0.000445837428066 %	0.000101203219535 %
TEncSbac::resetBits	40233270	25864245	14369025	183088	638120	34825	2	6	3	40050180	25226119	14334197	1.06383721731 %	0.455066167875 %	1.67260826674 %	1.36702783542e-05 %	4.97101031062e-06 %	2.23695463978e-05 %
TEncBinCABACCounter::getNumWrittenBits	39929328	22460247	9982332	119037	485590	557	5	0	0	39810286	21974657	9981775	0.836213974574 %	0.298119217033 %	1.4984844454 %	6.90875811798e-06 %	1.25221240888e-05 %	0.0 %
TComRdCost::setDistParam	39003865	20649105	13766070	213377	933767	0	3	10	0	38790485	19715328	13766070	1.56246118173 %	0.547066297148 %	2.71324205093 %	1.7706578566e-05 %	7.69154544043e-06 %	2.90569494416e-05 %
TComCUMvField::setAllRefIdx	38970987	11781314	8311405	275938	122757	124015	61	1	0	38694988	11658556	8187390	0.884993569486 %	0.708060075563 %	1.22816628252 %	0.000104971401557 %	0.000156526700235 %	4.97692721428e-06 %
TEncSearch::xRecurIntraCodingQT	38854341	15796528	12498655	2243136	578339	302629	182	1	8	36611023	15218188	12196018	4.65245889159 %	5.77319275599 %	3.11349108433 %	0.000284439842046 %	0.000468416128844 %	3.18075341658e-05 %
TEncSbac::codeQtCbfZero	38378832	17204304	15880896	128376	203508	0	3	0	0	38250453	17000796	15880896	0.464407046051 %	0.334496891411 %	0.615102825433 %	4.19791595302e-06 %	7.81680901597e-06 %	0.0 %
