BQMall__QP_32_nF_5_MSizeL1_8192_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
__memset_sse2	1231598073	193841289	545543594	1053005	7811983	227977066	64	29	274720	1230545004	186029277	317291808	12.0164435354 %	0.085499078237 %	31.8898931289 %	0.0139429414731 %	5.19650049826e-06 %	0.0371591313695 %
TEncSearch::xEstimateResidualQT	812403009	318655416	270649702	8116687	30384628	5828478	140	26	20	804286182	288270762	264821204	3.1625551815 %	0.999096127178 %	6.14505201022 %	1.32695242624e-05 %	1.72328263742e-05 %	7.80580358034e-06 %
TComRdCost::xGetSAD64	724696200	184641924	2195004	5851	6360290	19903	44	3040	3	724690305	178278594	2175098	0.700582765874 %	0.000807372799802 %	3.41484580607 %	0.000338660209396 %	6.07150968916e-06 %	0.00162869301726 %
TComTrQuant::getSigCtxInc	677433927	210860939	56006000	170331	1123135	75952	21	10	0	677263575	209737794	55930048	0.14501924644 %	0.0251435591297 %	0.449320176 %	3.28285201424e-06 %	3.09993331645e-06 %	3.74718578385e-06 %
partialButterfly16	599088960	322721280	54120960	547600	668160	2963517	72	32	121	598541288	322053088	51157322	0.428234797699 %	0.0914054567121 %	0.963712825823 %	2.30549038703e-05 %	1.20182485085e-05 %	4.06005441428e-05 %
partialButterfly32	576977568	330608896	34681920	212403	1231774	1828421	121	64	2816	576765044	329377058	32850683	0.347310602326 %	0.0368130429639 %	0.837742112849 %	0.000318486755043 %	2.09713525639e-05 %	0.000788412923034 %
TEncSbac::codeCoeffNxN	564410265	202165347	150129136	4759851	2807409	3000792	115	19	103	559650299	199357919	147128241	1.15283050765 %	0.8433317562 %	1.64867781935 %	2.58534714167e-05 %	2.03752495536e-05 %	3.46301193709e-05 %
TComPrediction::xPredIntraAng	536726934	166897621	73579657	1465017	1138120	3106777	73	8	79	535261844	165759493	70472801	0.734673578943 %	0.27295388161 %	1.76519671019 %	2.05866099964e-05 %	1.3600957093e-05 %	3.6178054211e-05 %
TComInterpolationFilter::filterVer	517066369	276581300	51888786	772505	706139	1885973	44	1732	5	516293820	275873429	50002808	0.397926899556 %	0.149401517158 %	0.789147051887 %	0.000210635507135 %	8.50954589932e-06 %	0.000528815278479 %
partialButterfly8	480359844	243709248	63156360	2497830	753904	3977592	47	8	44	477861967	242955336	59178724	0.918329810302 %	0.519991425428 %	1.54187888009 %	1.2575812907e-05 %	9.78433159788e-06 %	1.69455288062e-05 %
TComRdCost::xGetHADs	447198269	171357470	143009531	392228	117802	277436	24	0	0	446806017	171239668	142732095	0.103400986235 %	0.0877078529121 %	0.12572502799 %	3.15140421254e-06 %	5.3667470703e-06 %	0.0 %
__memset_chk_sse2	443753972	94053228	128842544	62972	1460302	55420193	0	0	23696	443691000	92592926	73398655	8.54173687345 %	0.0141907462183 %	25.5188757012 %	0.00355449022718 %	0.0 %	0.0106309777827 %
partialButterflyInverse32	428672742	235805772	30897060	169551	716582	1001886	129	64	0	428503062	235089126	29895174	0.271510687259 %	0.0395525498563 %	0.644338114865 %	2.77547856462e-05 %	3.00928861019e-05 %	2.39967455614e-05 %
TEncSearch::xIntraCodingTUBlock	392288735	146379085	80644000	5040847	7641237	4567502	203	133	27555	387247685	138737715	76048943	2.78528286445 %	1.28498387801 %	5.37775222286 %	0.00450354717919 %	5.17475986151e-05 %	0.0121961165315 %
TComRdCost::xGetComponentBits	378324612	41192192	0	42992	0	0	1	0	0	378281619	41192192	0	0 %	0 %	0 %	0 %	0 %	0 %
TComRdCost::xGetSAD4	378194508	118824062	21662930	101153	1349029	156557	12	781	0	378093343	117474252	21506373	0.309773724338 %	0.0267462900334 %	1.07169068009 %	0.000152887658419 %	3.17297045466e-06 %	0.000555923355523 %
partialButterfly4	341392792	157469000	60468096	431405	200113	4334073	19	2	4	340961368	157268885	56134019	0.88777501552 %	0.126366171199 %	2.08050216472 %	4.46963420628e-06 %	5.565436777e-06 %	2.75308798278e-06 %
TEncSbac::estSignificantCoefficientsBit	335860400	130454608	67162492	789189	3637793	5857319	16	6	21	335071195	126816809	61305152	1.92778533303 %	0.234975305216 %	4.80480282324 %	8.06032119443e-06 %	4.7638840423e-06 %	1.36627852549e-05 %
TEncBinCABACCounter::encodeBin	334788417	161194423	99196568	251828	10164832	266761	5	40	6	334536584	151029551	98929801	1.79499170442 %	0.0752200456206 %	4.0061266943 %	8.56884484149e-06 %	1.49348058239e-06 %	1.7665741746e-05 %
TEncSbac::estLastSignificantPositionBit	330786102	132782772	54238500	2368331	3084687	3753291	24	5	16	328417747	129698080	50485193	1.77794088348 %	0.715970527686 %	3.6562568134 %	8.69049037529e-06 %	7.25544388198e-06 %	1.12286692179e-05 %
__x86.get_pc_thunk.bx	310602438	310602438	0	79	0	0	9	0	0	310602350	310602438	0	0 %	0 %	0 %	0 %	0 %	0 %
TComTrQuant::xT	305537268	74198916	60445380	2167572	5985818	7233044	12	0	1814	303369684	68213098	53210522	3.49547442655 %	0.709429659494 %	9.81761752462 %	0.000414828822772 %	3.92750778933e-06 %	0.00134725350712 %
TComPrediction::xPredInterBlk	264550204	108712293	49550711	753240	4578694	995991	20	161	5	263796944	104133438	48554715	1.49662424926 %	0.284724785168 %	3.52241829051 %	4.39910571573e-05 %	7.56000173033e-06 %	0.000104888695276 %
TComTrQuant::xDeQuant	261544564	99048159	14680992	1003383	588100	1255311	24	0	0	260541157	98460059	13425681	0.758591365772 %	0.383637489785 %	1.62087818628 %	6.39533200453e-06 %	9.17625647918e-06 %	0.0 %
TComRdCost::xGetSSE4	254443554	98206284	56543012	1361161	2680897	1239466	14	0	0	253082379	95525387	55303546	1.29071756752 %	0.534955976916 %	2.533364029 %	3.42136965492e-06 %	5.50220266142e-06 %	0.0 %
partialButterflyInverse16	238672692	139158132	19929954	452412	221081	955607	104	32	4	238220176	138937019	18974343	0.409567782975 %	0.189553315132 %	0.739645582259 %	3.51970349374e-05 %	4.35743189254e-05 %	2.26289729829e-05 %
TEncEntropy::countNonZeroCoeffs	229728677	26671581	644722	77476	2722155	0	5	218	0	229651196	23949208	644722	1.08915995947 %	0.0337250016027 %	9.96531265596 %	8.675524416e-05 %	2.17648056189e-06 %	0.00079805821454 %
TEncSbac::estSignificantMapBit	225945828	83663734	39901140	2653838	4330044	4352521	16	9	33	223291974	79333681	35548586	3.24350668953 %	1.17454613944 %	7.02672589623 %	1.65946277662e-05 %	7.08134340945e-06 %	3.39902422431e-05 %
TEncSearch::xPatternRefinement	216040917	82879505	49600058	440772	2530339	116191	10	4	0	215600135	80349162	49483867	0.885830869968 %	0.204022463023 %	1.99768925868 %	4.01698058031e-06 %	4.62875280241e-06 %	3.01933363111e-06 %
TComTrQuant::transformNxN	203080098	98207268	77853880	4521337	4891756	297746	24	0	0	198558737	93315512	77556134	2.56127211229 %	2.22638113952 %	2.94755660687 %	6.33009472148e-06 %	1.18179970545e-05 %	0.0 %
TEncSearch::xTZSearchHelp	200370439	84678402	62870264	522876	123803	10542	7	0	1	199847556	84554599	62859721	0.188900520424 %	0.260954661082 %	0.0910513145541 %	2.29938508263e-06 %	3.49352930249e-06 %	6.77742488028e-07 %
void	196375537	111434273	8393191	121038	829360	482598	8	2218	0	196254491	110602695	7910593	0.453188614741 %	0.0616359867675 %	1.09487254107 %	0.000703978138399 %	4.0738271794e-06 %	0.0018509946935 %
TComYuv::addClip	183549453	49332115	17168161	495541	1451785	824162	12	4	780	183053900	47880326	16343219	1.10837472653 %	0.269976832892 %	3.42246248722 %	0.000318336677741 %	6.53774762271e-06 %	0.00117894247537 %
TComYuv::addAvg	180680956	69036078	15380427	299768	1780818	1040079	28	1	0	180381160	67255259	14340348	1.1771764951 %	0.165910125027 %	3.34164154273 %	1.09393729727e-05 %	1.54969292945e-05 %	1.18460246607e-06 %
getTUEntropyCodingParameters	178904471	76772787	43997021	2211368	5027644	4534633	17	32	359	176693086	71745111	39462029	3.92881399074 %	1.23606078017 %	7.91777113697 %	0.000136147820681 %	9.50227789444e-06 %	0.000323756414352 %
TComRdCost::xGetSAD24	176736516	46449282	1582878	2679	234945	2518	20	318	0	176733817	46214019	1580360	0.106839620304 %	0.00151581578082 %	0.494383346491 %	0.000150376825639 %	1.13162805586e-05 %	0.000662056422197 %
0x001366a7	175929422	175929422	0	107823	0	0	6	0	0	175821593	175929422	0	0 %	0 %	0 %	0 %	0 %	0 %
TEncSbac::estCBFBit	172789120	80223520	40728864	2720695	10037843	4438215	18	15	14	170068407	70185662	36290635	5.85438311094 %	1.57457541308 %	11.9683941079 %	1.60004627742e-05 %	1.04173225722e-05 %	2.39763773486e-05 %
TComRdCost::xGetSSE8	172535681	72918574	62296577	1169427	1894420	394411	20	0	0	171366234	71024154	61902166	1.12372011394 %	0.677788497557 %	1.69273264355 %	6.49876390911e-06 %	1.15918051756e-05 %	0.0 %
TEncSearch::xPatternSearch	171488867	67633990	59774563	168752	261267	68290	22	0	0	171320093	67372723	59706273	0.166715724746 %	0.0984040555822 %	0.258661598645 %	7.36038470991e-06 %	1.28288211269e-05 %	0.0 %
TComRdCost::xGetSSE16	170052892	73716428	68592148	518949	2355455	156729	30	0	0	169533913	71360973	68435419	0.970392737429 %	0.305169170543 %	1.7653075244 %	9.60425759044e-06 %	1.76415700122e-05 %	0.0 %
TComYuv::copyPartToPartComponent	161656610	57680984	32743432	895521	1202297	34464	82	10	0	160761007	56478677	32708968	0.845871676197 %	0.553964975512 %	1.36772904345 %	3.64962018204e-05 %	5.07248048812e-05 %	1.10589600048e-05 %
TComTU::TComTU	145792888	52635602	50428055	678074	2634715	2002013	31	5	125	145114783	50000882	48425917	2.13568905732 %	0.46509401748 %	4.49889722038 %	6.46959074353e-05 %	2.12630399365e-05 %	0.000126135636736 %
TComRdCost::calcRdCost	144136304	50092392	31187068	727569	5419189	54546	22	0	0	143408713	44673203	31132522	2.75105160791 %	0.504778449155 %	6.73446280278 %	9.75974333366e-06 %	1.52633301878e-05 %	0.0 %
TEncSearch::xEstimateResidualQT	143905733	54402037	48154825	4641100	6119063	1801223	42	36	29	139264591	48282938	46353573	5.0966703487 %	3.22509736287 %	7.72282404662 %	4.3414295788e-05 %	2.91857726057e-05 %	6.33794743057e-05 %
TComTrQuant::xTransformSkip	140930680	39076234	28186136	2187808	1523899	2220060	14	0	0	138742858	37552335	25966076	2.84916667487 %	1.55240008776 %	5.56620142882 %	6.72452802819e-06 %	9.93396185983e-06 %	0.0 %
TComYuv::removeHighFreq	135758702	39308766	16806702	232664	1889037	0	13	0	0	135526025	37419729	16806702	1.10577729144 %	0.171380542516 %	3.36633920615 %	6.7752736077e-06 %	9.57581341637e-06 %	0.0 %
TComRdCost::getDistPart	133338575	43258083	76737749	2410715	434644	308750	18	0	0	130927842	42823439	76428999	1.24503774965 %	1.80796517437 %	0.619516517874 %	7.1052330448e-06 %	1.34994693021e-05 %	0.0 %
TComTURecurse::nextSection	132220130	58450408	30643440	1489795	1063490	460017	30	0	2	130730305	57386918	30183421	1.36155069247 %	1.1267535435 %	1.71000246841 %	1.44590957558e-05 %	2.26894346572e-05 %	2.24482390748e-06 %
TComRdCost::xGetSSE32	128434600	56374710	54508090	174539	1716579	61745	62	0	0	128259999	54658131	54446345	0.816013795905 %	0.135897180355 %	1.60378706165 %	2.59070172081e-05 %	4.82735960559e-05 %	0.0 %
partialButterflyInverse8	127387832	67378688	15629912	640809	154368	794357	58	8	6	126746965	67224312	14835549	0.755494750976 %	0.503037841165 %	1.14292374525 %	3.4221112647e-05 %	4.55302512724e-05 %	1.68657223468e-05 %
TComDataCU::initEstData	123680628	57542949	52994703	475136	545902	1753478	22	0	0	123205470	56997047	51241225	1.18458559255 %	0.384163637979 %	2.08017807362 %	9.39294746764e-06 %	1.77877492666e-05 %	0.0 %
TEncSbac::codeQtCbf	119998168	49548106	30368194	2630285	1585594	315384	13	0	12	117367870	47962512	30052798	2.26660083451 %	2.19193763025 %	2.37871122662 %	1.25053480371e-05 %	1.08334987247e-05 %	1.50157101868e-05 %
fillReferenceSamples	110794782	31150259	14822937	2181225	1487150	2497492	102	0	1043	108613455	29663109	12324402	3.9331163664 %	1.96870733497 %	8.66731562452 %	0.000730378751201 %	9.20620972926e-05 %	0.00226871327371 %
TEncSearch::predInterSearch	110755850	26068494	47156161	3484702	4497871	3826297	131	0	57	107271017	21570623	43329807	6.41854418217 %	3.14629159543 %	11.3679852776 %	0.000102184739628 %	0.000118278176728 %	7.78426337413e-05 %
TComYuv::subtract	103739773	35304047	15029838	407281	1257914	909710	11	7	492	103332481	34046126	14119636	1.6712168929 %	0.392598699826 %	4.30649054807 %	0.000331010509272 %	1.06034548581e-05 %	0.000991379862691 %
TComDataCU::clipMv	98091840	33886272	16051392	359506	2208789	466672	4	0	0	97732330	31677483	15584720	2.05024465933 %	0.366499394853 %	5.35760142885 %	2.70216402265e-06 %	4.07781116146e-06 %	0.0 %
TComRdCost::setDistParam	97919738	41626260	32717898	57817	391863	179968	6	2	0	97861915	41234395	32537930	0.36551361871 %	0.0590452968736 %	0.769167363493 %	4.6440375411e-06 %	6.12746737537e-06 %	2.69019120507e-06 %
TEncSearch::xTZSearch	97091882	35162883	40878070	3256774	490912	661037	358	0	0	93834750	34671971	40217033	2.54643955897 %	3.35432163113 %	1.51490605332 %	0.000206777645615 %	0.000368722896936 %	0.0 %
TComRdCost::xGetSAD12	96897836	26817966	2317602	5057	120402	3359	14	129	0	96892765	26697435	2314243	0.102209411086 %	0.00521889879976 %	0.424776342098 %	0.00011346198346 %	1.44482070786e-05 %	0.000442757800363 %
TEncSbac::xCopyContextsFrom	96536700	38614680	38614680	90102	6235501	2457427	9	37	34	96446589	32379142	36157219	5.05451409786 %	0.0933344520788 %	11.2559886551 %	4.6038910015e-05 %	9.32287927804e-06 %	9.19339484362e-05 %
TEncSampleAdaptiveOffset::getBlkStats	92375195	30246219	17562005	301	386355	38100	173	7189	20070	92374721	29852675	17503835	0.303000171511 %	0.000325845049637 %	0.887828420483 %	0.0195686481295 %	0.000187279712914 %	0.0570173867994 %
TComTrQuant::xQuant	87414250	39733750	28608300	479274	1629970	1973400	8	0	15	86934968	38103780	26634885	2.6211742318 %	0.548279027733 %	5.27255181839 %	1.47666579137e-05 %	9.15182593227e-06 %	2.19484197504e-05 %
TEncBinCABAC::copyState	85647000	46392125	35686250	132511	7901426	1328734	5	2	74	85514484	38490697	34357442	5.5821434294 %	0.154717619998 %	11.245544274 %	4.8293229334e-05 %	5.83791609747e-06 %	9.25944257547e-05 %
__memcpy_chk_ssse3	83466130	25041636	15513487	234332	4303646	4243177	9	0	15	83231789	20737990	11270295	7.08036307293 %	0.280751006426 %	21.0745828585 %	1.93515219525e-05 %	1.07828169342e-05 %	3.69866958608e-05 %
TComTrQuant::calcPatternSigCtx	76232558	30860144	3662480	114964	122635	0	9	0	0	76117585	30737509	3662480	0.214526305415 %	0.150806955737 %	0.355230819071 %	8.12603061769e-06 %	1.18059792773e-05 %	0.0 %
TComDataCU::getQuadtreeTULog2MinSizeInCU	75313807	31909070	10515771	590837	3195644	186714	8	2	13	74722962	28713424	10329044	3.37458860577 %	0.784500244424 %	7.97258851247 %	1.95347920081e-05 %	1.06222222972e-05 %	3.53566440002e-05 %
fastForwardDst	74642292	34175628	9011484	374991	84716	679652	26	2	5	74267275	34090910	8331827	0.966956431351 %	0.502384090778 %	1.76989839006 %	2.80065916314e-05 %	3.48327996145e-05 %	1.62085392512e-05 %
TComTrQuant::xIT	74232214	16232550	14965477	647170	444239	1388514	8	0	16	73585036	15788311	13576947	2.35219323837 %	0.871818264777 %	5.87457982519 %	2.27638671527e-05 %	1.07769923176e-05 %	5.12852944194e-05 %
TEncSbac::xCopyFrom	70793580	32178900	32178900	118886	5346199	194080	4	101	5	70674690	26832600	31984815	4.18727873885 %	0.167933306947 %	8.60855871394 %	8.13902159194e-05 %	5.65022986548e-06 %	0.000164704200579 %
TEncSbac::codeIntraDirLumaAng	69747757	24123041	24308392	1380973	412896	21991	41	0	5	68366743	23710145	24286396	1.53653109316 %	1.97995327649 %	0.89794369702 %	3.89239425317e-05 %	5.87832523417e-05 %	1.03238737536e-05 %
TComDataCU::setTransformSkipPartRange	68550750	34275375	22850250	130489	1780846	1379	3	0	0	68420258	32494529	22848871	1.52193600428 %	0.19035386192 %	3.11983457511 %	2.38708349123e-06 %	4.37631973392e-06 %	0.0 %
void	65980152	43352248	2710024	28242	254121	165685	8	552	0	65951902	43097575	2544339	0.399891383999 %	0.0428037813553 %	0.911387957589 %	0.000499810678855 %	1.21248583968e-05 %	0.0011983777092 %
TComTrQuant::rdpcmNxN	65163350	30197650	19072200	1250871	2828927	3150324	10	0	43	63912469	27368723	15921833	6.31820310889 %	1.91959283861 %	12.135719918 %	4.63152301954e-05 %	1.53460495816e-05 %	8.72744690719e-05 %
TEncSbac::estBit	62944608	19747328	39494656	340156	302458	179168	10	0	1	62604442	19444870	39315487	0.67256315652 %	0.54040530366 %	0.812980875185 %	9.00262444508e-06 %	1.58869843148e-05 %	1.68799208345e-06 %
xTrMxN	59938309	17558634	15958829	2066825	1611372	2372477	31	2	31	57871453	15947260	13586321	6.47437164181 %	3.44825377039 %	11.8858906475 %	6.84815914848e-05 %	5.17198441484e-05 %	9.84561391177e-05 %
TComYuv::clear	58379906	15086942	13119080	115233	2936495	68548	3	8	2	58264670	12150439	13050530	3.60367564577 %	0.197384696029 %	10.653905751 %	1.50139870303e-05 %	5.13875442006e-06 %	3.54534219678e-05 %
TComDataCU::getPULeft	58278768	29321310	11915848	978526	1159909	122826	12	37	3	57300230	28161364	11793019	2.27226042191 %	1.67904372996 %	3.11062901085 %	5.22529429109e-05 %	2.05906892198e-05 %	9.69998950946e-05 %
TComDataCU::xAddMVPCand	56427659	22744914	10802838	421973	3226162	93518	14	90	1	56005672	19518662	10709319	4.15852837838 %	0.747812345006 %	9.89538732729 %	0.000116698550007 %	2.48105277591e-05 %	0.000271255135068 %
TComPrediction::predIntraAng	54613643	22151230	14528576	560733	239132	44904	32	0	1	54052878	21912098	14483671	0.925333645791 %	1.02672696637 %	0.774366145775 %	3.61471719619e-05 %	5.85934177656e-05 %	2.72629577158e-06 %
TComDataCU::getPUAbove	53348637	25517789	12087569	1326268	512854	174228	12	24	13	52022357	25004911	11913328	2.21359160749 %	2.4860391466 %	1.82708538501 %	5.38733895086e-05 %	2.24935456177e-05 %	9.83902347107e-05 %
TComPrediction::initAdiPatternChType	53196535	20465692	15077050	1369977	876118	1010312	56	17	908	51826502	19589557	14065830	3.66963436044 %	2.57531247101 %	5.30749709744 %	0.00110548568026 %	0.000105270014297 %	0.00260250039234 %
TComCUMvField::clearMvField	53096994	3298680	16358682	129591	152947	950395	6	140	16960	52967397	3145593	15391327	1.69465179514 %	0.244064664 %	5.61286911235 %	0.0235119942509 %	1.13000747274e-05 %	0.0869903092795 %
TEncSearch::xGetTemplateCost	52185848	22426976	17682808	748845	1971639	243110	18	0	0	51436985	20455337	17439698	3.21097969187 %	1.43495799857 %	5.52171759389 %	1.95025480729e-05 %	3.44921098149e-05 %	0.0 %
QpParam::QpParam	51636756	23001738	15730674	1004562	3939469	15613	18	0	0	50632176	19062269	15715061	5.48820367584 %	1.94543979486 %	10.2112979693 %	1.99182977982e-05 %	3.48588900511e-05 %	0.0 %
TEncSbac::codeLastSignificantXY	51042139	20164386	11369146	834990	696276	726	38	8	0	50207111	19468102	11368420	1.8552583121 %	1.63588363724 %	2.21035182484 %	5.57064804233e-05 %	7.44482906565e-05 %	2.53698190231e-05 %
TEncSearch::xEncodeResidualQT	50546086	23009737	11174054	166947	88531	266127	7	0	6	50379132	22921206	10907921	0.615609296825 %	0.330286701131 %	1.03750341792 %	1.53428760436e-05 %	1.38487478536e-05 %	1.75521784579e-05 %
TComPrediction::xPredInterUni	49924998	19828368	16287588	269882	486919	200922	5	9	0	49655111	19341440	16086666	1.11310132614 %	0.540574883949 %	1.90453493741 %	1.62713212129e-05 %	1.0015022935e-05 %	2.49197335383e-05 %
TComDataCU::getIntraDirPredictor	49627865	16346634	13115983	1063562	655369	24549	26	0	3	48564277	15691265	13091431	2.20441190382 %	2.14307425879 %	2.30773118355 %	3.66668646677e-05 %	5.2389922476e-05 %	1.01823948633e-05 %
TEncSearch::xMotionEstimation	48590816	20487474	15935476	1595571	2401503	725107	32	1	2	46995213	18085970	15210367	5.55460747381 %	3.28368842375 %	8.58417563651 %	4.11698030175e-05 %	6.58560662986e-05 %	8.2365651327e-06 %
TComDataCU::getCoefScanIdx	48500354	20860580	9935772	1279341	982736	688669	14	0	40	47220999	19877844	9247063	3.72114574343 %	2.63779724164 %	5.42728242618 %	6.80986673015e-05 %	2.88657686911e-05 %	0.000129885513713 %
TComCUMvField::setAllMv	48108760	14715043	9095578	161826	346557	569348	23	1	0	47946911	14368485	8526230	1.49852652375 %	0.336375329566 %	3.84662373988 %	3.33706987828e-05 %	4.78083409342e-05 %	4.19980646452e-06 %
TEncSbac::estSignificantCoeffGroupMapBit	46899904	23449952	12342080	723816	1216813	2468209	4	1	5	46176084	22233138	9873866	5.33164201162 %	1.54332085626 %	10.2956490428 %	1.20930776128e-05 %	8.52880210586e-06 %	1.67635075874e-05 %
TComDataCU::setCbfPartRange	46533978	23266989	15511326	219918	1232810	222307	4	0	0	46314056	22034179	15289019	1.96341575299 %	0.472596604571 %	3.75239873109 %	4.68865606508e-06 %	8.59586945264e-06 %	0.0 %
TComDataCU::setExplicitRdpcmModePartRange	46523286	23261643	15507762	402065	1343599	1427037	3	0	22	46121218	21918044	14080703	3.71978063161 %	0.864223133336 %	7.14644962955 %	2.93108350867e-05 %	6.44838371907e-06 %	5.67457767278e-05 %
TComDataCU::fillMvpCand	46170514	14148702	18673762	1064977	1025016	290474	24	74	3	45105513	13123612	18383285	3.01351722681 %	2.30661716263 %	4.00789532437 %	0.000127859466192 %	5.19812276727e-05 %	0.000234595428302 %
TComTU::getGolombRiceStatisticsIndex	45896168	24852243	3823422	1179748	99724	0	6	0	0	44716414	24752519	3823422	1.71575774462 %	2.57047167859 %	0.347765256708 %	8.04593337541e-06 %	1.30729868341e-05 %	0.0 %
TComDataCU::setCrossComponentPredictionAlphaPartRange	44491788	22245894	14830596	41224	844110	0	2	0	0	44450562	21401784	14830596	1.08539008265 %	0.0926553007939 %	2.27667182088 %	2.45193358134e-06 %	4.49521156578e-06 %	0.0 %
TEncSearch::xExtDIFUpSamplingQ	44157978	15594220	22587864	1219938	1624560	29695	37	11	0	42938003	13969649	22558169	3.49063740078 %	2.762667258 %	4.3325424563 %	5.82948310143e-05 %	8.37900684674e-05 %	2.88093232418e-05 %
TComPrediction::xPredIntraPlanar	43480737	19557302	7521646	319083	1650	458322	28	0	634	43161626	19555652	7062690	1.10410782021 %	0.73384910656 %	1.69863319653 %	0.00093821280523 %	6.43963325645e-05 %	0.00234130218057 %
TEncSearch::estIntraPredQT	41719243	14487730	20096150	966188	1031835	254633	186	13	17	40752869	13455882	19841500	2.95224613546 %	2.31592888682 %	3.71984866938 %	0.000283081467059 %	0.000445837428066 %	8.6745616744e-05 %
TEncSbac::resetBits	40233270	25864245	14369025	183088	2371386	35436	2	6	2	40050180	23492853	14333587	3.2186173284 %	0.455066167875 %	5.98216848891 %	1.24275257766e-05 %	4.97101031062e-06 %	1.98840412425e-05 %
TEncBinCABACCounter::getNumWrittenBits	39929328	22460247	9982332	119037	786492	8540	5	0	0	39810286	21673755	9973792	1.26301632483 %	0.298119217033 %	2.45058199596 %	6.90875811798e-06 %	1.25221240888e-05 %	0.0 %
TComRdCost::setDistParam	39003865	20649105	13766070	213377	1875469	0	3	2	0	38790485	18773634	13766070	2.84510121625 %	0.547066297148 %	5.44954079124 %	6.81022252538e-06 %	7.69154544043e-06 %	5.81138988833e-06 %
TComCUMvField::setAllRefIdx	38970987	11781314	8311405	275938	196437	175584	61	1	0	38694988	11584876	8135821	1.09705103842 %	0.708060075563 %	1.85152143918 %	0.000104971401557 %	0.000156526700235 %	4.97692721428e-06 %
TEncSearch::xRecurIntraCodingQT	38854341	15796528	12498655	2243136	2390328	702378	182	0	49	36611023	13406200	11796228	7.9462097155 %	5.77319275599 %	10.9301501955 %	0.000344008395354 %	0.000468416128844 %	0.00017317435268 %
TEncSbac::codeQtCbfZero	38378832	17204304	15880896	128376	4831979	0	3	0	0	38250453	12372325	15880896	6.94105112905 %	0.334496891411 %	14.6046540447 %	4.19791595302e-06 %	7.81680901597e-06 %	0.0 %
