BasketballDrive__QP_32_nF_5_MSizeL1_16384_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComRdCost::setDistParam	97919738	41626260	32717898	57817	222571	133881	6	1	0	97861915	41403688	32584017	0.240485098514 %	0.0590452968736 %	0.479462017715 %	4.06353284846e-06 %	6.12746737537e-06 %	1.34509560254e-06 %
TEncSearch::xTZSearch	97091882	35162883	40878070	3256774	328361	237757	459	0	0	93834649	34834522	40640313	2.2080687352 %	3.35432163113 %	0.744490932406 %	0.000265114355691 %	0.00047274807177 %	0.0 %
TComRdCost::xGetSAD12	96897836	26817966	2317602	5057	89861	2862	14	129	0	96892765	26727976	2314740	0.0775826065921 %	0.00521889879976 %	0.318246755993 %	0.00011346198346 %	1.44482070786e-05 %	0.000442757800363 %
TEncSbac::xCopyContextsFrom	96536700	38614680	38614680	90102	3162178	745187	9	45	35	96446589	35452457	37869458	2.30048779376 %	0.0933344520788 %	5.05942947086 %	5.12182873917e-05 %	9.32287927804e-06 %	0.000103587547534 %
TEncSampleAdaptiveOffset::getBlkStats	92375195	30246219	17562005	301	185581	36346	173	4781	20070	92374721	30055857	17505589	0.158526594361 %	0.000325845049637 %	0.464202560631 %	0.0178508986145 %	0.000187279712914 %	0.0519805964765 %
TComTrQuant::xQuant	87414250	39733750	28608300	479274	550991	1271587	8	0	6	86934968	39182759	27336707	1.47785482834 %	0.548279027733 %	2.66684713145 %	8.98840046919e-06 %	9.15182593227e-06 %	8.77936790014e-06 %
TEncBinCABAC::copyState	85647000	46392125	35686250	132511	4259181	832859	5	4	79	85514484	42132940	34853312	3.11494369889 %	0.154717619998 %	6.20387525947 %	5.24667182888e-05 %	5.83791609747e-06 %	0.000101122859706 %
__memcpy_chk_ssse3	83466130	25041636	15513487	234332	664030	2972573	9	0	12	83231789	24377606	12540902	3.12118681788 %	0.280751006426 %	8.96706194184 %	1.69325817084e-05 %	1.07828169342e-05 %	2.95893566887e-05 %
TComTrQuant::calcPatternSigCtx	76232558	30860144	3662480	114964	32313	0	9	0	0	76117585	30827831	3662480	0.13297526792 %	0.150806955737 %	0.093599490004 %	8.12603061769e-06 %	1.18059792773e-05 %	0.0 %
TComDataCU::getQuadtreeTULog2MinSizeInCU	75313807	31909070	10515771	590837	1180471	177086	8	3	7	74722962	30728596	10338678	1.65484658869 %	0.784500244424 %	3.19991063726 %	1.52880980933e-05 %	1.06222222972e-05 %	2.35710960001e-05 %
fastForwardDst	74642292	34175628	9011484	374991	33472	604818	26	2	0	74267275	34142154	8406666	0.859955974996 %	0.502384090778 %	1.4779640741 %	2.3763168657e-05 %	3.48327996145e-05 %	4.63101121464e-06 %
TComTrQuant::xIT	74232214	16232550	14965477	647170	171216	1253805	8	0	3	73585036	16061334	13711669	1.96546169329 %	0.871818264777 %	4.56766384618 %	1.04334391116e-05 %	1.07769923176e-05 %	9.61599270364e-06 %
TEncSbac::xCopyFrom	70793580	32178900	32178900	118886	2051244	145007	6	110	5	70674688	30127546	32033888	1.71299545739 %	0.167933306947 %	3.41256382288 %	8.95292375113e-05 %	8.47534479821e-06 %	0.000178688519496 %
TEncSbac::codeIntraDirLumaAng	69747757	24123041	24308392	1380973	191627	16758	49	0	5	68366735	23931414	24291629	1.34487129248 %	1.97995327649 %	0.430268086431 %	4.56933238415e-05 %	7.02531552377e-05 %	1.03238737536e-05 %
TComDataCU::setTransformSkipPartRange	68550750	34275375	22850250	130489	34796	822	4	0	0	68420257	34240579	22849428	0.132170425826 %	0.19035386192 %	0.0623503025131 %	3.18277798831e-06 %	5.83509297856e-06 %	0.0 %
void	65980152	43352248	2710024	28242	179403	122236	8	552	0	65951902	43172293	2587788	0.294425083127 %	0.0428037813553 %	0.65485045983 %	0.000499810678855 %	1.21248583968e-05 %	0.0011983777092 %
TComTrQuant::rdpcmNxN	65163350	30197650	19072200	1250871	619730	3095620	10	0	22	63912469	29577920	15976558	4.33984280786 %	1.91959283861 %	7.54081857363 %	2.79639125708e-05 %	1.53460495816e-05 %	4.46520539437e-05 %
TEncSbac::estBit	62944608	19747328	39494656	340156	52880	78640	12	0	1	62604440	19694448	39416015	0.386029262523 %	0.54040530366 %	0.222004718816 %	1.06394652533e-05 %	1.90643811778e-05 %	1.68799208345e-06 %
xTrMxN	59938309	17558634	15958829	2066825	593950	2141302	31	2	24	57871453	16964682	13817503	5.13834180301 %	3.44825377039 %	8.16067731618 %	6.09914174161e-05 %	5.17198441484e-05 %	7.75715035473e-05 %
TComYuv::clear	58379906	15086942	13119080	115233	477284	55504	3	8	2	58264670	14609650	13063574	0.748413760721 %	0.197384696029 %	1.88891577834 %	1.50139870303e-05 %	5.13875442006e-06 %	3.54534219678e-05 %
TComDataCU::getPULeft	58278768	29321310	11915848	978526	694428	110871	12	36	3	57300230	28626846	11804974	1.79250203631 %	1.67904372996 %	1.95284796299 %	5.12480786241e-05 %	2.05906892198e-05 %	9.45748977172e-05 %
TComDataCU::xAddMVPCand	56427659	22744914	10802838	421973	2896744	41979	14	69	2	56005672	19848101	10760857	3.7351271449 %	0.747812345006 %	8.7598209263 %	9.44702547677e-05 %	2.48105277591e-05 %	0.000211638621867 %
TComPrediction::predIntraAng	54613643	22151230	14528576	560733	21080	9529	32	0	1	54052878	22130150	14519046	0.647737604918 %	1.02672696637 %	0.0834491872721 %	3.61471719619e-05 %	5.85934177656e-05 %	2.72629577158e-06 %
TComDataCU::getPUAbove	53348637	25517789	12087569	1326268	297012	127320	12	23	6	52022357	25220754	11960243	1.92470929947 %	2.4860391466 %	1.12838175879 %	4.50777340786e-05 %	2.24935456177e-05 %	7.71166704489e-05 %
TComPrediction::initAdiPatternChType	53196535	20465692	15077050	1369977	396495	600498	143	18	860	51826415	20069179	14475692	2.66733072436 %	2.57531247101 %	2.80505370126 %	0.00115056154897 %	0.000268814500794 %	0.00247026523727 %
TComCUMvField::clearMvField	53096994	3298680	16358682	129591	111438	832622	6	140	16960	52967397	3187102	15509100	1.47572057404 %	0.244064664 %	4.80257727359 %	0.0235119942509 %	1.13000747274e-05 %	0.0869903092795 %
TEncSearch::xGetTemplateCost	52185848	22426976	17682808	748845	946969	7715	18	0	0	51436985	21480007	17675093	1.84573090089 %	1.43495799857 %	2.3801773652 %	1.95025480729e-05 %	3.44921098149e-05 %	0.0 %
QpParam::QpParam	51636756	23001738	15730674	1004562	1442160	3310	18	2	0	50632176	21559576	15727364	2.71113705506 %	1.94543979486 %	3.73193902822 %	2.2131441998e-05 %	3.48588900511e-05 %	5.16363401277e-06 %
TEncSbac::codeLastSignificantXY	51042139	20164386	11369146	834990	167588	0	41	8	0	50207108	19996790	11369146	1.21413242891 %	1.63588363724 %	0.531459653806 %	5.93395117552e-05 %	8.03257872872e-05 %	2.53698190231e-05 %
TEncSearch::xEncodeResidualQT	50546086	23009737	11174054	166947	38089	258879	21	0	6	50379118	22971648	10915169	0.547522333828 %	0.330286701131 %	0.868739222048 %	3.18659733213e-05 %	4.15462435608e-05 %	1.75521784579e-05 %
TComPrediction::xPredInterUni	49924998	19828368	16287588	269882	228118	114376	5	9	3	49655111	19600241	16173209	0.711726185649 %	0.540574883949 %	0.94831769094 %	1.97580329014e-05 %	1.0015022935e-05 %	3.32263113844e-05 %
TComDataCU::getIntraDirPredictor	49627865	16346634	13115983	1063562	328007	21148	26	0	3	48564277	16018627	13094832	1.78620355355 %	2.14307425879 %	1.18507802616 %	3.66668646677e-05 %	5.2389922476e-05 %	1.01823948633e-05 %
TEncSearch::xMotionEstimation	48590816	20487474	15935476	1595571	1391781	329037	32	1	1	46995213	19095692	15606438	3.90100233884 %	3.28368842375 %	4.72454317951 %	3.99935229313e-05 %	6.58560662986e-05 %	5.4910434218e-06 %
TComDataCU::getCoefScanIdx	48500354	20860580	9935772	1279341	363841	285211	14	0	15	47220999	20496739	9650546	2.43187024692 %	2.63779724164 %	2.10756131116 %	3.65715065138e-05 %	2.88657686911e-05 %	4.87070676423e-05 %
TComCUMvField::setAllMv	48108760	14715043	9095578	161826	205498	413501	23	1	0	47946911	14509544	8682077	1.08569482821 %	0.336375329566 %	2.59967600173 %	3.33706987828e-05 %	4.78083409342e-05 %	4.19980646452e-06 %
TEncSbac::estSignificantCoeffGroupMapBit	46899904	23449952	12342080	723816	312968	2225362	4	1	5	46176084	23136983	10116713	3.94493847623 %	1.54332085626 %	7.09188570238 %	1.20930776128e-05 %	8.52880210586e-06 %	1.67635075874e-05 %
TComDataCU::setCbfPartRange	46533978	23266989	15511326	219918	240025	149062	4	0	0	46314056	23026964	15362264	0.713853746728 %	0.472596604571 %	1.00336231732 %	4.68865606508e-06 %	8.59586945264e-06 %	0.0 %
TComDataCU::setExplicitRdpcmModePartRange	46523286	23261643	15507762	402065	232366	811708	3	0	9	46121218	23029277	14696045	1.69550166966 %	0.864223133336 %	2.69303591324 %	1.40692008416e-05 %	6.44838371907e-06 %	2.32141813886e-05 %
TComDataCU::fillMvpCand	46170514	14148702	18673762	1064977	790419	172208	24	15	5	45105513	13358268	18501549	2.56681549593 %	2.30661716263 %	2.93282978389 %	5.57011535886e-05 %	5.19812276727e-05 %	6.0933877481e-05 %
TComTU::getGolombRiceStatisticsIndex	45896168	24852243	3823422	1179748	42895	0	6	0	0	44716414	24809348	3823422	1.63955068665 %	2.57047167859 %	0.14958676634 %	8.04593337541e-06 %	1.30729868341e-05 %	0.0 %
TComDataCU::setCrossComponentPredictionAlphaPartRange	44491788	22245894	14830596	41224	148624	0	2	0	0	44450562	22097270	14830596	0.232747343275 %	0.0926553007939 %	0.400857794252 %	2.45193358134e-06 %	4.49521156578e-06 %	0.0 %
TEncSearch::xExtDIFUpSamplingQ	44157978	15594220	22587864	1219938	1178575	8011	37	10	0	42938003	14415635	22579853	2.92266478983 %	2.762667258 %	3.10770360256 %	5.70803553682e-05 %	8.37900684674e-05 %	2.61902938561e-05 %
TComPrediction::xPredIntraPlanar	43480737	19557302	7521646	319083	0	359214	28	0	548	43161626	19557302	7161884	0.961309563669 %	0.73384910656 %	1.32654340929 %	0.000816330174943 %	6.43963325645e-05 %	0.00202371229488 %
TEncSearch::estIntraPredQT	41719243	14487730	20096150	966188	548000	181554	254	13	12	40752801	13939717	19914584	2.22237561626 %	2.31592888682 %	2.10952038927 %	0.000365646894951 %	0.000608831756607 %	7.22880139533e-05 %
TEncSbac::resetBits	40233270	25864245	14369025	183088	692671	20300	2	7	1	40050180	25171567	14348724	1.11357963198 %	0.455066167875 %	1.77209309609 %	1.24275257766e-05 %	4.97101031062e-06 %	1.98840412425e-05 %
TEncBinCABACCounter::getNumWrittenBits	39929328	22460247	9982332	119037	361380	171	5	0	0	39810286	22098867	9982161	0.664053249281 %	0.298119217033 %	1.11443359666 %	6.90875811798e-06 %	1.25221240888e-05 %	0.0 %
TComRdCost::setDistParam	39003865	20649105	13766070	213377	673442	0	3	2	0	38790485	19975661	13766070	1.20788694595 %	0.547066297148 %	1.95681701459 %	6.81022252538e-06 %	7.69154544043e-06 %	5.81138988833e-06 %
TComCUMvField::setAllRefIdx	38970987	11781314	8311405	275938	123741	114690	69	1	0	38694980	11657572	8196715	0.870871529802 %	0.708060075563 %	1.18665373263 %	0.000118516098533 %	0.000177054792069 %	4.97692721428e-06 %
TEncSearch::xRecurIntraCodingQT	38854341	15796528	12498655	2243136	791330	297690	284	1	8	36610921	15005197	12200957	4.96229280791 %	5.77319275599 %	3.84878231747 %	0.000436339652981 %	0.000730935058196 %	3.18075341658e-05 %
TEncSbac::codeQtCbfZero	38378832	17204304	15880896	128376	458367	0	3	0	0	38250453	16745937	15880896	0.821032600008 %	0.334496891411 %	1.38541402198 %	4.19791595302e-06 %	7.81680901597e-06 %	0.0 %
