BQMall__QP_32_nF_5_MSizeL1_32768_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComRdCost::xGetSAD64	724696200	184641924	2195004	5851	313816	1260	95	3040	2	724690254	184325068	2193742	0.0352073874379 %	0.000807372799802 %	0.168636898162 %	0.000344145473559 %	1.31089413743e-05 %	0.00162815779116 %
TComTrQuant::getSigCtxInc	677433927	210860939	56006000	170331	262057	1443	67	10	0	677263529	210598872	56004557	0.045942031361 %	0.0251435591297 %	0.0987383454044 %	8.15418080957e-06 %	9.89026343819e-06 %	3.74718578385e-06 %
partialButterfly16	599088960	322721280	54120960	547600	527746	2213736	126	32	154	598541234	322193502	51907070	0.337019863695 %	0.0914054567121 %	0.727487980116 %	3.19694667001e-05 %	2.10319348899e-05 %	4.93575242521e-05 %
partialButterfly32	576977568	330608896	34681920	212403	203264	1520979	424	64	2401	576764741	330405568	33158540	0.205530190006 %	0.0368130429639 %	0.472019258212 %	0.000306600544925 %	7.34863924554e-05 %	0.000674804810861 %
TEncSbac::codeCoeffNxN	564410265	202165347	150129136	4759851	476835	1014135	115	19	116	559650299	201688493	149114885	0.681879417952 %	0.8433317562 %	0.423216959659 %	2.72715943214e-05 %	2.03752495536e-05 %	3.8320214058e-05 %
TComPrediction::xPredIntraAng	536726934	166897621	73579657	1465017	143803	434820	173	8	92	535261744	166753810	73144745	0.262947622831 %	0.27295388161 %	0.240614416802 %	3.51259033064e-05 %	3.22324051656e-05 %	4.15839703575e-05 %
TComInterpolationFilter::filterVer	517066369	276581300	51888786	772505	187524	878303	399	1732	4	516293465	276392044	51010479	0.217416054521 %	0.149401517158 %	0.324482211753 %	0.000252502418716 %	7.71661094052e-05 %	0.000528510836752 %
partialButterfly8	480359844	243709248	63156360	2497830	478290	1839856	92	17	46	477861922	243230941	61316458	0.6117657893 %	0.519991425428 %	0.755427111923 %	1.96894040464e-05 %	1.91523086597e-05 %	2.05301598998e-05 %
TComRdCost::xGetHADs	447198269	171357470	143009531	392228	834	22938	44	0	0	446805997	171356636	142986593	0.054624339684 %	0.0877078529121 %	0.00756186238517 %	5.77757438965e-06 %	9.83903629555e-06 %	0.0 %
__memset_chk_sse2	443753972	94053228	128842544	62972	240825	43711018	0	0	12550	443691000	93812403	85118976	6.60238984506 %	0.0141907462183 %	19.7185628985 %	0.00188254778659 %	0.0 %	0.00563043430003 %
partialButterflyInverse32	428672742	235805772	30897060	169551	117984	781353	482	64	0	428502709	235687724	30115707	0.153713768497 %	0.0395525498563 %	0.337205643171 %	7.85187200147e-05 %	0.000112440086055 %	2.39967455614e-05 %
TEncSearch::xIntraCodingTUBlock	392288735	146379085	80644000	5040847	1104384	1650110	203	145	28570	387247685	145274556	78965320	1.25871019223 %	1.28498387801 %	1.21331009135 %	0.00466937640557 %	5.17475986151e-05 %	0.012648493434 %
TComRdCost::xGetComponentBits	378324612	41192192	0	42992	0	0	1	0	0	378281619	41192192	0	0 %	0 %	0 %	0 %	0 %	0 %
TComRdCost::xGetSAD4	378194508	118824062	21662930	101153	511707	37126	32	781	0	378093323	118311574	21625804	0.12531505365 %	0.0267462900334 %	0.390664638901 %	0.000156743589274 %	8.46125454577e-06 %	0.000555923355523 %
partialButterfly4	341392792	157469000	60468096	431405	45326	869106	22	5	28	340961365	157423669	59598962	0.240615963651 %	0.126366171199 %	0.419585291712 %	9.83319525382e-06 %	6.44418995232e-06 %	1.51419839053e-05 %
TEncSbac::estSignificantCoefficientsBit	335860400	130454608	67162492	789189	374376	1416610	16	6	21	335071195	130080226	65745861	0.483652075298 %	0.234975305216 %	0.906291004169 %	8.06032119443e-06 %	4.7638840423e-06 %	1.36627852549e-05 %
TEncBinCABACCounter::encodeBin	334788417	161194423	99196568	251828	990465	103870	5	40	7	334536584	160203918	99092691	0.226177683889 %	0.0752200456206 %	0.420266075949 %	8.73686140701e-06 %	1.49348058239e-06 %	1.80497796101e-05 %
TEncSbac::estLastSignificantPositionBit	330786102	132782772	54238500	2368331	200230	797519	24	5	21	328417747	132582537	53440960	0.650064129832 %	0.715970527686 %	0.533494927786 %	9.65610041699e-06 %	7.25544388198e-06 %	1.39021618888e-05 %
__x86.get_pc_thunk.bx	310602438	310602438	0	79	0	0	9	0	0	310602350	310602438	0	0 %	0 %	0 %	0 %	0 %	0 %
TComTrQuant::xT	305537268	74198916	60445380	2167572	1782452	3397826	12	0	1238	303369684	72416464	57046316	1.66927708949 %	0.709429659494 %	3.84738021134 %	0.000283973728623 %	3.92750778933e-06 %	0.000919459670241 %
TComPrediction::xPredInterBlk	264550204	108712293	49550711	753240	1350623	48195	33	161	2	263796931	107361509	49502514	0.508985518731 %	0.284724785168 %	0.883856596075 %	4.63561677572e-05 %	1.2474002855e-05 %	0.000102993116446 %
TComTrQuant::xDeQuant	261544564	99048159	14680992	1003383	20307	370139	82	0	0	260541099	99027852	14310853	0.371416633856 %	0.383637489785 %	0.343312155737 %	2.18507176822e-05 %	3.13522096372e-05 %	0.0 %
TComRdCost::xGetSSE4	254443554	98206284	56543012	1361161	119675	97332	62	0	3	253082331	98086609	56445677	0.385678293255 %	0.534955976916 %	0.140231332619 %	1.58849305407e-05 %	2.43668975006e-05 %	1.93861948167e-06 %
partialButterflyInverse16	238672692	139158132	19929954	452412	213003	602151	209	38	4	238220071	138945091	19327799	0.318675462768 %	0.189553315132 %	0.512391606748 %	6.31032554949e-05 %	8.75676216867e-05 %	2.64004684801e-05 %
TEncEntropy::countNonZeroCoeffs	229728677	26671581	644722	77476	1136698	0	5	217	0	229651196	25534666	644722	0.472358573196 %	0.0337250016027 %	4.16124392821 %	8.63662071907e-05 %	2.17648056189e-06 %	0.000794397397042 %
TEncSbac::estSignificantMapBit	225945828	83663734	39901140	2653838	509661	1592265	16	9	33	223291974	83154064	38308842	1.36069195386 %	1.17454613944 %	1.70107080755 %	1.65946277662e-05 %	7.08134340945e-06 %	3.39902422431e-05 %
TEncSearch::xPatternRefinement	216040917	82879505	49600058	440772	355225	0	10	4	0	215600135	82524276	49600058	0.228393177927 %	0.204022463023 %	0.268135697277 %	4.01698058031e-06 %	4.62875280241e-06 %	3.01933363111e-06 %
TComTrQuant::transformNxN	203080098	98207268	77853880	4521337	213007	10602	94	2	8	198558667	97994259	77843270	1.25149823451 %	2.22638113952 %	0.127006442103 %	2.74304104597e-05 %	4.62871551303e-05 %	5.679844823e-06 %
TEncSearch::xTZSearchHelp	200370439	84678402	62870264	522876	0	2933	7	0	1	199847556	84678402	62867330	0.151129671364 %	0.260954661082 %	0.00198781871739 %	2.29938508263e-06 %	3.49352930249e-06 %	6.77742488028e-07 %
void	196375537	111434273	8393191	121038	502974	104667	74	2218	0	196254425	110929081	8288524	0.230446579474 %	0.0616359867675 %	0.507096603497 %	0.000724850805575 %	3.76829014095e-05 %	0.0018509946935 %
TComYuv::addClip	183549453	49332115	17168161	495541	857893	747735	12	4	780	183053900	48474218	16419646	0.840300450796 %	0.269976832892 %	2.41446817454 %	0.000318336677741 %	6.53774762271e-06 %	0.00117894247537 %
TComYuv::addAvg	180680956	69036078	15380427	299768	305083	494760	28	0	0	180381160	68730995	14885667	0.414794994962 %	0.165910125027 %	0.947495990269 %	1.0562153215e-05 %	1.54969292945e-05 %	0.0 %
getTUEntropyCodingParameters	178904471	76772787	43997021	2211368	567481	726631	17	32	192	176693086	76205274	43270198	1.16976338834 %	1.23606078017 %	1.07155258539 %	8.04206489807e-05 %	9.50227789444e-06 %	0.000185476820498 %
TComRdCost::xGetSAD24	176736516	46449282	1582878	2679	61176	274	63	318	0	176733774	46387788	1582604	0.028531110803 %	0.00151581578082 %	0.127935116805 %	0.000169507605232 %	3.56462837595e-05 %	0.000662056422197 %
0x001366a7	175929422	175929422	0	107823	0	0	6	0	0	175821593	175929422	0	0 %	0 %	0 %	0 %	0 %	0 %
TEncSbac::estCBFBit	172789120	80223520	40728864	2720695	849266	1490223	18	15	16	170068407	79374239	39238625	1.72266565368 %	1.57457541308 %	1.93422314024 %	1.66813335306e-05 %	1.04173225722e-05 %	2.5629920614e-05 %
TComRdCost::xGetSSE8	172535681	72918574	62296577	1169427	369620	252594	22	0	0	171366232	72548954	62043983	0.582172593444 %	0.677788497557 %	0.460165887771 %	7.14864030002e-06 %	1.27509856932e-05 %	0.0 %
TEncSearch::xPatternSearch	171488867	67633990	59774563	168752	1345	539	22	0	0	171320093	67632645	59774024	0.0570884820618 %	0.0984040555822 %	0.00147870763433 %	7.36038470991e-06 %	1.28288211269e-05 %	0.0 %
TComRdCost::xGetSSE16	170052892	73716428	68592148	518949	1190050	96572	81	0	0	169533862	72526378	68495576	0.578038966061 %	0.305169170543 %	0.904107142496 %	2.59314954942e-05 %	4.7632239033e-05 %	0.0 %
TComYuv::copyPartToPartComponent	161656610	57680984	32743432	895521	181628	3935	79	10	0	160761010	57499346	32739497	0.428863694009 %	0.553964975512 %	0.205213379537 %	3.53061082828e-05 %	4.88690193367e-05 %	1.10589600048e-05 %
TComTU::TComTU	145792888	52635602	50428055	678074	546041	534382	89	5	79	145114725	52089556	49893594	0.706630802095 %	0.46509401748 %	1.04830648499 %	6.95179626479e-05 %	6.10455017531e-05 %	8.15030268138e-05 %
TComRdCost::calcRdCost	144136304	50092392	31187068	727569	841741	1745	24	0	0	143408711	49250651	31185323	0.696958798321 %	0.504778449155 %	1.03776033945 %	1.06469927276e-05 %	1.66509056594e-05 %	0.0 %
TEncSearch::xEstimateResidualQT	143905733	54402037	48154825	4641100	1265307	739757	42	36	27	139264591	53136694	47415041	2.69662177338 %	3.22509736287 %	1.95507541953 %	4.26028136237e-05 %	2.91857726057e-05 %	6.14293366347e-05 %
TComTrQuant::xTransformSkip	140930680	39076234	28186136	2187808	0	30102	44	0	0	138742828	39076234	28156034	1.06531413993 %	1.55240008776 %	0.0447531063803 %	2.11342309457e-05 %	3.1221022988e-05 %	0.0 %
TComYuv::removeHighFreq	135758702	39308766	16806702	232664	497158	0	13	0	0	135526025	38811608	16806702	0.380364902686 %	0.171380542516 %	0.885955366175 %	6.7752736077e-06 %	9.57581341637e-06 %	0.0 %
TComRdCost::getDistPart	133338575	43258083	76737749	2410715	32510	17206	54	0	0	130927806	43225573	76720543	0.97121864698 %	1.80796517437 %	0.041431439052 %	2.13156991344e-05 %	4.04984079063e-05 %	0.0 %
TComTURecurse::nextSection	132220130	58450408	30643440	1489795	65590	54872	79	0	2	130730256	58384818	30588566	0.727589379827 %	1.1267535435 %	0.135207988772 %	3.65995861319e-05 %	5.97488445973e-05 %	2.24482390748e-06 %
TComRdCost::xGetSSE32	128434600	56374710	54508090	174539	1351814	31295	154	0	0	128259907	55022896	54476795	0.650871186132 %	0.135897180355 %	1.24736117775 %	6.4349687904e-05 %	0.000119905383752 %	0.0 %
partialButterflyInverse8	127387832	67378688	15629912	640809	66073	292971	74	19	4	126746949	67312596	15336937	0.475223363103 %	0.503037841165 %	0.432538315307 %	4.61034434272e-05 %	5.80903205889e-05 %	2.7707972427e-05 %
TComDataCU::initEstData	123680628	57542949	52994703	475136	159041	880424	22	0	0	123205470	57383908	52114279	0.646662164883 %	0.384163637979 %	0.940371883419 %	9.39294746764e-06 %	1.77877492666e-05 %	0.0 %
TEncSbac::codeQtCbf	119998168	49548106	30368194	2630285	39759	187041	13	0	14	117367870	49508347	30181139	1.42915369187 %	2.19193763025 %	0.28379692253 %	1.35057758801e-05 %	1.08334987247e-05 %	1.75183285512e-05 %
fillReferenceSamples	110794782	31150259	14822937	2181225	354112	859612	140	510	994	108613417	30795637	13962331	2.16558830656 %	1.96870733497 %	2.64006879139 %	0.00104868355194 %	0.000126359741382 %	0.0032714714896 %
TEncSearch::predInterSearch	110755850	26068494	47156161	3484702	691778	2587229	131	0	35	107271017	25376716	44568897	3.67631831427 %	3.14629159543 %	4.47800949011 %	9.02269509479e-05 %	0.000118278176728 %	4.77981084377e-05 %
TComYuv::subtract	103739773	35304047	15029838	407281	668735	806000	11	7	490	103332481	34635305	14223348	1.22150406788 %	0.392598699826 %	2.92990497356 %	0.000329712428844 %	1.06034548581e-05 %	0.000987406396307 %
TComDataCU::clipMv	98091840	33886272	16051392	359506	179535	37463	4	0	0	97732330	33706737	16013929	0.389452091929 %	0.366499394853 %	0.4345377469 %	2.70216402265e-06 %	4.07781116146e-06 %	0.0 %
TComRdCost::setDistParam	97919738	41626260	32717898	57817	34721	89087	10	1	0	97861911	41591538	32628811	0.1054341648 %	0.0590452968736 %	0.166533596359 %	6.38555161901e-06 %	1.02124456256e-05 %	1.34509560254e-06 %
TEncSearch::xTZSearch	97091882	35162883	40878070	3256774	177151	960	358	0	0	93834750	34985732	40877110	1.98395931078 %	3.35432163113 %	0.234230362684 %	0.000206777645615 %	0.000368722896936 %	0.0 %
TComRdCost::xGetSAD12	96897836	26817966	2317602	5057	59275	918	50	129	0	96892729	26758562	2316684	0.0517719889562 %	0.00521889879976 %	0.206596281219 %	0.000142025839435 %	5.16007395666e-05 %	0.000442757800363 %
TEncSbac::xCopyContextsFrom	96536700	38614680	38614680	90102	835802	294776	9	38	35	96446589	37778840	38319869	0.702484708464 %	0.0933344520788 %	1.46392252894 %	4.71898827654e-05 %	9.32287927804e-06 %	9.45236371245e-05 %
TEncSampleAdaptiveOffset::getBlkStats	92375195	30246219	17562005	301	101425	34235	173	4887	20075	92374721	30139907	17507695	0.0969879326456 %	0.000325845049637 %	0.283758710635 %	0.0179300805896 %	0.000187279712914 %	0.0522127741035 %
TComTrQuant::xQuant	87414250	39733750	28608300	479274	75819	274172	8	5	8	86934968	39657926	28334120	0.532411851078 %	0.548279027733 %	0.512116625123 %	1.34826007038e-05 %	9.15182593227e-06 %	1.90219637836e-05 %
TEncBinCABAC::copyState	85647000	46392125	35686250	132511	723946	480267	5	9	76	85514484	45668170	35205907	0.796971835657 %	0.154717619998 %	1.46715014765 %	5.36591437044e-05 %	5.83791609747e-06 %	0.00010355955512 %
__memcpy_chk_ssse3	83466130	25041636	15513487	234332	74843	1544767	9	0	31	83231789	24966793	13968689	1.49485830465 %	0.280751006426 %	3.99360149888 %	3.22525365874e-05 %	1.07828169342e-05 %	7.64391714457e-05 %
TComTrQuant::calcPatternSigCtx	76232558	30860144	3662480	114964	1689	0	27	0	0	76117567	30858455	3662480	0.105325094405 %	0.150806955737 %	0.00489244386522 %	2.43780918531e-05 %	3.54179378318e-05 %	0.0 %
TComDataCU::getQuadtreeTULog2MinSizeInCU	75313807	31909070	10515771	590837	210861	128533	8	2	10	74722962	31698207	10387228	0.790081265414 %	0.784500244424 %	0.799988855586 %	1.69867756593e-05 %	1.06222222972e-05 %	2.82853152001e-05 %
fastForwardDst	74642292	34175628	9011484	374991	7292	77862	62	2	2	74267239	34168334	8933620	0.390517972916 %	0.502384090778 %	0.197174564486 %	5.60131832628e-05 %	8.30628298499e-05 %	9.26202242928e-06 %
TComTrQuant::xIT	74232214	16232550	14965477	647170	29458	1087271	30	0	24	73585014	16203092	13878182	1.67304843778 %	0.871818264777 %	3.57948597198 %	5.12187010936e-05 %	4.04137211912e-05 %	7.69279416291e-05 %
TEncSbac::xCopyFrom	70793580	32178900	32178900	118886	1002320	114668	4	103	9	70674690	31176477	32064223	0.914436833719 %	0.167933306947 %	1.73559071317 %	8.58296822422e-05 %	5.65022986548e-06 %	0.000174027079857 %
TEncSbac::codeIntraDirLumaAng	69747757	24123041	24308392	1380973	28264	3517	41	0	5	68366743	24094777	24304870	1.19543381538 %	1.97995327649 %	0.0656206063529 %	3.89239425317e-05 %	5.87832523417e-05 %	1.03238737536e-05 %
TComDataCU::setTransformSkipPartRange	68550750	34275375	22850250	130489	1000	14	3	0	0	68420258	34274375	22850236	0.104636213449 %	0.19035386192 %	0.00177503528408 %	2.38708349123e-06 %	4.37631973392e-06 %	0.0 %
void	65980152	43352248	2710024	28242	115403	79500	41	552	0	65951869	43236293	2630524	0.199161167738 %	0.0428037813553 %	0.423129367132 %	0.000529263808145 %	6.21398992837e-05 %	0.0011983777092 %
TComTrQuant::rdpcmNxN	65163350	30197650	19072200	1250871	29740	2547797	23	0	31	63912456	30167910	16524372	3.34553958117 %	1.91959283861 %	5.23146914391 %	4.71891024633e-05 %	3.52959140376e-05 %	6.29188032844e-05 %
TEncSbac::estBit	62944608	19747328	39494656	340156	5331	65427	10	0	1	62604442	19741997	39429228	0.33630040193 %	0.54040530366 %	0.119438943841 %	9.00262444508e-06 %	1.58869843148e-05 %	1.68799208345e-06 %
xTrMxN	59938309	17558634	15958829	2066825	89356	713321	149	2	37	57871335	17469276	15245471	3.07043849576 %	3.44825377039 %	2.39480237511 %	0.000201164674987 %	0.000248588928326 %	0.000116357255321 %
TComYuv::clear	58379906	15086942	13119080	115233	248669	53905	3	8	2	58264670	14838265	13065173	0.482534529167 %	0.197384696029 %	1.07272836985 %	1.50139870303e-05 %	5.13875442006e-06 %	3.54534219678e-05 %
TComDataCU::getPULeft	58278768	29321310	11915848	978526	373160	30184	12	35	10	57300230	28948115	11885654	1.38859181193 %	1.67904372996 %	0.978108142176 %	5.72772643446e-05 %	2.05906892198e-05 %	0.000109124881981 %
TComDataCU::xAddMVPCand	56427659	22744914	10802838	421973	1603802	36286	14	29	1	56005672	21141083	10766551	2.29180503549 %	0.747812345006 %	4.88881639521 %	4.89022495268e-05 %	2.48105277591e-05 %	8.94247698028e-05 %
TComPrediction::predIntraAng	54613643	22151230	14528576	560733	3671	4846	61	0	1	54052849	22147559	14523729	0.623538716343 %	1.02672696637 %	0.0232198610865 %	6.79128685345e-05 %	0.000111693702616 %	2.72629577158e-06 %
TComDataCU::getPUAbove	53348637	25517789	12087569	1326268	157634	29064	12	22	8	52022357	25360133	12058497	1.66344095166 %	2.4860391466 %	0.496466487568 %	4.61771910074e-05 %	2.24935456177e-05 %	7.97758659817e-05 %
TComPrediction::initAdiPatternChType	53196535	20465692	15077050	1369977	108050	368003	66	17	863	51826492	20357625	14708184	2.08028514814 %	2.57531247101 %	1.33938175057 %	0.00106604429513 %	0.000124068231136 %	0.00247589226515 %
TComCUMvField::clearMvField	53096994	3298680	16358682	129591	76872	563898	6	140	16960	52967397	3221668	15777824	1.05885206379 %	0.244064664 %	3.25969476474 %	0.0235119942509 %	1.13000747274e-05 %	0.0869903092795 %
TEncSearch::xGetTemplateCost	52185848	22426976	17682808	748845	248045	22	18	0	0	51436985	22178931	17682786	1.08012912247 %	1.43495799857 %	0.618470047109 %	1.95025480729e-05 %	3.44921098149e-05 %	0.0 %
QpParam::QpParam	51636756	23001738	15730674	1004562	615506	0	18	0	0	50632176	22386232	15730674	1.79272204874 %	1.94543979486 %	1.58912385833 %	1.99182977982e-05 %	3.48588900511e-05 %	0.0 %
TEncSbac::codeLastSignificantXY	51042139	20164386	11369146	834990	53412	0	38	8	0	50207111	20110966	11369146	1.07586410046 %	1.63588363724 %	0.169381596708 %	5.57064804233e-05 %	7.44482906565e-05 %	2.53698190231e-05 %
TEncSearch::xEncodeResidualQT	50546086	23009737	11174054	166947	14444	153094	7	0	6	50379132	22995293	11020954	0.394766299496 %	0.330286701131 %	0.49010947908 %	1.53428760436e-05 %	1.38487478536e-05 %	1.75521784579e-05 %
TComPrediction::xPredInterUni	49924998	19828368	16287588	269882	85745	9992	7	9	0	49655109	19742614	16277596	0.42493601361 %	0.540574883949 %	0.265082281084 %	1.85957956719e-05 %	1.4021032109e-05 %	2.49197335383e-05 %
TComDataCU::getIntraDirPredictor	49627865	16346634	13115983	1063562	101431	9863	26	0	3	48564277	16245203	13106117	1.48545813642 %	2.14307425879 %	0.377746484638 %	3.66668646677e-05 %	5.2389922476e-05 %	1.01823948633e-05 %
TEncSearch::xMotionEstimation	48590816	20487474	15935476	1595571	271619	54806	32	1	1	46995213	20215854	15880669	2.26080562059 %	3.28368842375 %	0.89620692448 %	3.99935229313e-05 %	6.58560662986e-05 %	5.4910434218e-06 %
TComDataCU::getCoefScanIdx	48500354	20860580	9935772	1279341	48085	104800	14	0	26	47220999	20812495	9830946	1.80616077546 %	2.63779724164 %	0.4964386691 %	5.04434572604e-05 %	2.88657686911e-05 %	8.44255839133e-05 %
TComCUMvField::setAllMv	48108760	14715043	9095578	161826	93529	261704	36	1	0	47946898	14621513	8833874	0.718942505915 %	0.336375329566 %	1.49190984981 %	5.14464939569e-05 %	7.48304466796e-05 %	4.19980646452e-06 %
TEncSbac::estSignificantCoeffGroupMapBit	46899904	23449952	12342080	723816	71018	476009	4	1	5	46176084	23378933	11866066	1.53684030327 %	1.54332085626 %	1.52834854417 %	1.20930776128e-05 %	8.52880210586e-06 %	1.67635075874e-05 %
TComDataCU::setCbfPartRange	46533978	23266989	15511326	219918	26667	52976	4	0	0	46314056	23240322	15458350	0.351134624878 %	0.472596604571 %	0.205380249245 %	4.68865606508e-06 %	8.59586945264e-06 %	0.0 %
TComDataCU::setExplicitRdpcmModePartRange	46523286	23261643	15507762	402065	81970	314420	3	0	12	46121218	23179673	15193330	0.936135313165 %	0.864223133336 %	1.02242992896 %	1.7586501052e-05 %	6.44838371907e-06 %	3.09522418515e-05 %
TComDataCU::fillMvpCand	46170514	14148702	18673762	1064977	381678	141567	24	15	3	45105513	13767009	18532192	2.01058630806 %	2.30661716263 %	1.59416733613 %	5.31692829709e-05 %	5.19812276727e-05 %	5.48404897329e-05 %
TComTU::getGolombRiceStatisticsIndex	45896168	24852243	3823422	1179748	4824	0	7	0	0	44716413	24847419	3823422	1.5884978984 %	2.57047167859 %	0.0168226264326 %	9.38692227131e-06 %	1.52518179731e-05 %	0.0 %
TComDataCU::setCrossComponentPredictionAlphaPartRange	44491788	22245894	14830596	41224	4000	0	2	0	0	44450562	22241894	14830596	0.0554431221412 %	0.0926553007939 %	0.0107885077579 %	2.45193358134e-06 %	4.49521156578e-06 %	0.0 %
TEncSearch::xExtDIFUpSamplingQ	44157978	15594220	22587864	1219938	646747	996	37	10	0	42938003	14947463	22586868	2.26825308924 %	2.762667258 %	1.69645795133 %	5.70803553682e-05 %	8.37900684674e-05 %	2.61902938561e-05 %
TComPrediction::xPredIntraPlanar	43480737	19557302	7521646	319083	0	204776	46	0	560	43161608	19557302	7316310	0.742433869992 %	0.73384910656 %	0.756218446891 %	0.000858847371555 %	0.000105793974927 %	0.00206802716265 %
TEncSearch::estIntraPredQT	41719243	14487730	20096150	966188	114875	83701	186	12	21	40752869	14372843	20012428	1.52649584212 %	2.31592888682 %	0.574186586352 %	0.000287013154101 %	0.000445837428066 %	9.54201784184e-05 %
TEncSbac::resetBits	40233270	25864245	14369025	183088	171636	9573	2	7	7	40050180	25692602	14359445	0.452731035782 %	0.455066167875 %	0.450395903689 %	1.98840412425e-05 %	4.97101031062e-06 %	3.47970721743e-05 %
TEncBinCABACCounter::getNumWrittenBits	39929328	22460247	9982332	119037	71463	0	5	0	0	39810286	22388784	9982332	0.263223684295 %	0.298119217033 %	0.22027533631 %	6.90875811798e-06 %	1.25221240888e-05 %	0.0 %
TComRdCost::setDistParam	39003865	20649105	13766070	213377	323844	0	5	6	0	38790483	20325255	13766070	0.731718911062 %	0.547066297148 %	0.940991873498 %	1.49824895558e-05 %	1.28192424007e-05 %	1.7434169665e-05 %
TComCUMvField::setAllRefIdx	38970987	11781314	8311405	275938	64821	52245	108	1	0	38694941	11716492	8259160	0.665390011253 %	0.708060075563 %	0.582628961267 %	0.000184546496287 %	0.00027712923976 %	4.97692721428e-06 %
TEncSearch::xRecurIntraCodingQT	38854341	15796528	12498655	2243136	147840	152596	182	4	59	36611023	15648684	12346000	3.78792260687 %	5.77319275599 %	1.06179203718 %	0.000364857389011 %	0.000468416128844 %	0.000222652739161 %
TEncSbac::codeQtCbfZero	38378832	17204304	15880896	128376	129120	0	3	0	0	38250453	17075184	15880896	0.36031552208 %	0.334496891411 %	0.390265133655 %	4.19791595302e-06 %	7.81680901597e-06 %	0.0 %
