BQMall__QP_32_nF_5_MSizeL1_16384_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComInterpolationFilter::filterHor	5031450285	2730840270	259522689	615882	7565595	16278868	36	12388	3933	5030834367	2723262287	243239888	0.304922892817 %	0.0122406456412 %	0.797376884576 %	0.000203906517173 %	7.15499467566e-07 %	0.000545786589246 %
TComInterpolationFilter::filterCopy	2047110580	522350270	211957200	433837	8226103	18127475	11	32132	2701	2046676732	514092035	193827024	0.963084819271 %	0.0211926509608 %	3.58890234359 %	0.00125274228374 %	5.37342736024e-07 %	0.00474365322744 %
TComRdCost::xGetSAD24	1810883880	475930260	16218540	2593	188021	1195	20	125	0	1810881267	475742114	16217345	0.00832854008828 %	0.000143189744447 %	0.0384469087398 %	6.2960461334e-06 %	1.10443304625e-06 %	2.539882247e-05 %
__memcpy_ssse3	1653931570	553787447	447377499	3592409	52705823	43266549	388	155382	534562	1650338773	500926242	403576388	3.74994959317 %	0.217204209966 %	9.58606994616 %	0.0260002600975 %	2.34592535168e-05 %	0.068914118773 %
TComRdCost::xCalcHADs4x4	1494900240	554686668	322583736	439286	327817	340833	55	0	0	1494460899	554358851	322242903	0.0467055775605 %	0.029385639807 %	0.0762193728355 %	2.31855158224e-06 %	3.67917527393e-06 %	0.0 %
__memset_sse2	1232617405	193861348	546223396	1016285	4436474	127581583	64	27	265200	1231601056	189424847	418376613	6.74376220797 %	0.0824493468839 %	17.8382351576 %	0.0134481021443 %	5.19220317192e-06 %	0.0358373824282 %
TComRdCost::xGetSAD12	947133720	262133820	22653540	4682	189770	166	14	13	0	947129024	261944037	22653374	0.015797927575 %	0.000494333577312 %	0.0666939712493 %	2.19169883837e-06 %	1.47814397317e-06 %	4.56480933704e-06 %
TEncSearch::xEstimateResidualQT	812410886	318654000	270647739	8105320	8380501	1985226	140	22	20	804305426	310273477	268662493	1.31774849356 %	0.997687271266 %	1.75898462774 %	1.29841164839e-05 %	1.72326592876e-05 %	7.12707891738e-06 %
TComTrQuant::getSigCtxInc	675225591	210173062	55824684	169778	758122	19030	21	10	0	675055792	209414930	55805654	0.100606302753 %	0.0251438929838 %	0.292164881728 %	3.29358599403e-06 %	3.1100716975e-06 %	3.75943035247e-06 %
partialButterfly16	597596976	321917568	53986176	547228	626232	2918064	72	32	235	597049676	321291304	51067877	0.420289776468 %	0.091571413842 %	0.942873290456 %	3.48227785594e-05 %	1.20482537382e-05 %	7.10288216762e-05 %
partialButterfly32	575251722	329619984	34578180	211826	227747	1668077	121	64	2543	575039775	329392173	32907560	0.224349380569 %	0.0368231839904 %	0.520547379805 %	0.000290382705949 %	2.10342699331e-05 %	0.000715819094574 %
TEncSbac::codeCoeffNxN	562564473	201467500	149536713	4726059	988189	2291847	115	20	121	557838299	200479291	147244745	0.876353920914 %	0.840091976444 %	0.934471974557 %	2.80219762261e-05 %	2.0442101398e-05 %	4.0170458011e-05 %
TComPrediction::xPredIntraAng	534333239	166150525	73203403	1453744	584199	1639778	73	8	102	532879422	165566318	71563523	0.475349877427 %	0.272066922642 %	0.929158346631 %	2.36529708396e-05 %	1.36618863795e-05 %	4.59570481751e-05 %
__x86.get_pc_thunk.bx	527309278	527309278	0	79	0	0	9	0	0	527309190	527309278	0	0 %	0 %	0 %	0 %	0 %	0 %
TComInterpolationFilter::filterVer	524134831	280186064	52482808	683991	360584	1340899	44	1590	0	523450796	279823890	51141909	0.278415463384 %	0.130499054737 %	0.511464445041 %	0.000190708792957 %	8.3947864934e-06 %	0.000477952743351 %
partialButterfly8	479356476	243200192	63024440	2492052	637830	3599024	47	8	89	476864377	242562354	59425327	0.85655140271 %	0.519874482722 %	1.38357713824 %	1.83303797066e-05 %	9.80481173264e-06 %	3.16760932543e-05 %
TComRdCost::xGetHADs	448468391	171818364	143497241	274254	32162	58477	24	0	0	448194113	171786202	143438764	0.0477743710147 %	0.0611534738019 %	0.0287454850197 %	3.14224965772e-06 %	5.35154773037e-06 %	0.0 %
__memset_chk_sse2	442990230	93905242	128593896	62566	1403435	54573808	0	0	24266	442927664	92501807	73995822	8.4208421193 %	0.0141235620479 %	25.1584089283 %	0.0036463392455 %	0.0 %	0.0109061096677 %
partialButterflyInverse32	428207678	235549948	30863540	169341	118707	994393	129	64	0	428038208	235431177	29869147	0.184624520929 %	0.039546465115 %	0.417809176388 %	2.77849293179e-05 %	3.0125569117e-05 %	2.40228077341e-05 %
TEncSearch::xIntraCodingTUBlock	389767603	145437215	80103446	4999636	2906305	2739819	203	130	27661	384767764	142530780	77335966	1.73015066152 %	1.28272230979 %	2.5033729949 %	0.00454958947212 %	5.208231737e-05 %	0.0123219466844 %
partialButterfly4	341158648	157361000	60426624	429220	57354	3453622	19	2	9	340729409	157303644	56972993	0.704932870543 %	0.125812434337 %	1.61210997003 %	5.3672421667e-06 %	5.56925644752e-06 %	5.05079205052e-06 %
TEncSbac::estSignificantCoefficientsBit	335220701	130205719	67035254	785810	1873221	2829905	16	6	21	334434875	128332492	64205328	1.03086029813 %	0.234415714082 %	2.3844569049 %	8.07569860887e-06 %	4.77297492436e-06 %	1.36888393873e-05 %
TEncBinCABACCounter::encodeBin	333778374	160708106	98897296	250241	2999975	190080	5	39	8	333528128	157708092	98707208	0.57977587847 %	0.0749722029624 %	1.22880917555 %	8.76329992548e-06 %	1.49799998726e-06 %	1.8104399846e-05 %
TEncSbac::estLastSignificantPositionBit	330165349	132533793	54137221	2356465	834563	1928787	24	7	16	327808860	131699223	52208418	0.990606576186 %	0.713722686871 %	1.48033159556 %	9.09378738895e-06 %	7.2690850426e-06 %	1.23211416208e-05 %
TComTrQuant::xT	304887525	74043981	60317931	2157657	3485168	6525332	12	0	2331	302729856	70558813	53790268	2.77021573052 %	0.707689499595 %	7.45040008064 %	0.000533409903949 %	3.93587766505e-06 %	0.00173486664882 %
TComPrediction::xPredInterBlk	265341712	108983801	49788091	668117	3154115	395663	20	161	2	264673575	105829525	49392426	0.994520090895 %	0.251794938295 %	2.23577231164 %	4.31488163252e-05 %	7.53745042543e-06 %	0.000102663007883 %
TComTrQuant::xDeQuant	260037874	98477679	14596830	995890	80574	799398	24	0	0	259041960	98397105	13797432	0.50276058514 %	0.382978827153 %	0.778223144882 %	6.43237831107e-06 %	9.22942478756e-06 %	0.0 %
TComRdCost::xGetSSE4	254074707	98063922	56461046	1354280	986661	1132812	14	0	0	252720413	97077261	55328234	0.850160490216 %	0.533024328156 %	1.37160552591 %	3.42633654811e-06 %	5.51019035515e-06 %	0.0 %
partialButterflyInverse16	236307324	137779004	19732438	447712	218347	886670	104	32	4	235859508	137560625	18845764	0.394275015325 %	0.189461753627 %	0.701547129509 %	3.55493470822e-05 %	4.40104852611e-05 %	2.28554824608e-05 %
TEncEntropy::countNonZeroCoeffs	228216872	26495976	640432	76862	1842311	0	5	234	0	228140005	24653431	640432	0.751575621038 %	0.0336793679303 %	6.78907466309 %	9.35958214439e-05 %	2.19089848887e-06 %	0.000862310148049 %
TEncSbac::estSignificantMapBit	225526404	83508444	39827084	2641726	1402067	3743719	16	9	35	222884662	82106368	36083330	2.2322619024 %	1.17135996191 %	4.17218467658 %	1.71987810926e-05 %	7.09451297774e-06 %	3.56750408528e-05 %
TEncSearch::xPatternRefinement	216591138	83089925	49729826	381112	1050419	22253	10	4	0	216210016	82039502	49707573	0.416067170706 %	0.175959184443 %	0.807614825298 %	4.00674404855e-06 %	4.61699407111e-06 %	3.01160028526e-06 %
TComTrQuant::transformNxN	202760943	98053161	77731009	4501190	1879968	235305	24	0	0	198259729	96173193	77495704	1.74786644254 %	2.21994923352 %	1.2033353174 %	6.34006335726e-06 %	1.18365991225e-05 %	0.0 %
void	201971037	114608569	8635291	85517	725677	235565	8	3972	0	201885512	113878920	8399726	0.321866867003 %	0.0423412194492 %	0.779951228402 %	0.00122380617761 %	3.96096396732e-06 %	0.00322287860831 %
TComYuv::addClip	183114822	49218170	17129054	494876	1181979	820655	12	4	773	182619934	48036187	16307626	1.00115830847 %	0.270254474539 %	3.018414154 %	0.000316280577607 %	6.55326525124e-06 %	0.00117111154492 %
TComYuv::addAvg	179242568	68486132	15254682	299575	874295	742592	28	0	0	178942965	67611837	14512090	0.728738821984 %	0.167133847357 %	1.93082312288 %	1.06470605812e-05 %	1.56212892464e-05 %	0.0 %
getTUEntropyCodingParameters	178468090	76586028	43890370	2201574	2156423	1791175	17	29	393	176266499	74429576	42098802	2.05696115728 %	1.23359531668 %	3.2766567274 %	0.00014685000648 %	9.52551237591e-06 %	0.000350276076481 %
0x001366a7	175687994	175687994	0	413	0	0	6	0	0	175687575	175687994	0	0 %	0 %	0 %	0 %	0 %	0 %
TEncSbac::estCBFBit	172469220	80074995	40653459	2708495	3518991	2762887	18	16	14	169760707	76555988	37890558	3.06631798177 %	1.57042224694 %	5.20331188868 %	1.63712076379e-05 %	1.04366448692e-05 %	2.48491544504e-05 %
TComRdCost::xGetSSE8	172155248	72757792	62159216	1166878	1052107	350875	20	0	0	170988350	71705685	61808341	0.836890975914 %	0.677805651327 %	1.03988520113 %	6.51312504116e-06 %	1.16174210385e-05 %	0.0 %
TComRdCost::xGetSSE16	169502341	73477769	68370079	518376	1628054	134627	30	0	0	168983935	71849715	68235452	0.732633889617 %	0.305822324896 %	1.2426561452 %	9.63545263819e-06 %	1.76988706014e-05 %	0.0 %
TComYuv::copyPartToPartComponent	161410039	57588972	32693668	858253	541030	28467	88	10	0	160551698	57047932	32665201	0.567259248728 %	0.531722193562 %	0.630793472588 %	3.89363728772e-05 %	5.45195333235e-05 %	1.1076326523e-05 %
TComTU::TComTU	145556244	52553159	50353428	675706	1339739	1143994	31	5	89	144880507	51213415	49209345	1.27159422087 %	0.464223300513 %	2.41358019191 %	5.03093358056e-05 %	2.12976091908e-05 %	9.13449787233e-05 %
TComRdCost::calcRdCost	144069708	50069694	31174221	660891	2532100	49615	22	0	0	143408795	47537594	31124606	1.43915221673 %	0.458730019776 %	3.1777333724 %	9.7641676997e-06 %	1.52703856386e-05 %	0.0 %
TEncSearch::xEstimateResidualQT	143653362	54304459	48069440	4631192	2993790	1186882	42	36	35	139022128	51310633	46882523	3.58166162733 %	3.22386607283 %	4.08372841206 %	4.59298695359e-05 %	2.92370463282e-05 %	6.93536152218e-05 %
TComTrQuant::xTransformSkip	140769640	39031582	28153928	2182503	283239	516310	14	0	0	138587123	38748343	27637618	1.43398804983 %	1.55040746002 %	1.19006166657 %	6.73222086589e-06 %	9.94532627916e-06 %	0.0 %
TComYuv::removeHighFreq	136344110	39478430	16879854	231273	1195634	0	13	0	0	136112824	38282796	16879854	0.740471859421 %	0.169624489096 %	2.12148758823 %	6.7461538646e-06 %	9.53469863861e-06 %	0.0 %
TComRdCost::getDistPart	133205330	43214998	76660889	2095597	70743	237547	18	0	0	131109715	43144255	76423342	0.949848048186 %	1.57320806908 %	0.257174322306 %	7.11234133191e-06 %	1.35129727917e-05 %	0.0 %
TComTURecurse::nextSection	131901445	58307875	30571309	1485603	355746	144931	30	0	2	130415812	57952129	30426376	0.899662261584 %	1.1262977445 %	0.563323128619 %	1.44940251982e-05 %	2.27442542422e-05 %	2.25024568182e-06 %
TComRdCost::xGetSSE32	128010480	56188548	54328092	173897	1423118	53519	62	0	0	127836521	54765430	54274573	0.691969114455 %	0.135845908866 %	1.33612187269 %	2.59928514628e-05 %	4.84335345044e-05 %	0.0 %
partialButterflyInverse8	126349652	66829568	15502532	635733	102963	749017	58	8	4	125713861	66726597	14753511	0.712909962535 %	0.503153740384 %	1.03480902346 %	3.35439008582e-05 %	4.59043607022e-05 %	1.45751171171e-05 %
TComDataCU::initEstData	123518448	57466484	52924748	473980	321499	1391537	22	0	0	123044446	57144985	51533211	0.93498310972 %	0.383732153111 %	1.55178628679 %	9.40533970206e-06 %	1.78111046214e-05 %	0.0 %
TEncSbac::codeQtCbf	119734226	49438986	30301314	2621247	348827	269417	13	0	17	117112966	49090159	30031880	1.62401238141 %	2.18922115052 %	0.775321888681 %	1.50395143689e-05 %	1.08573800778e-05 %	2.13192074773e-05 %
TEncSearch::predInterSearch	110932639	26123756	47232328	3345048	2989620	3558611	129	18	98	107587462	23134118	43673619	5.36835832326 %	3.01538666181 %	8.92663654183 %	0.00013294356595 %	0.000116286785533 %	0.000158132759649 %
fillReferenceSamples	110081371	30943234	14726342	2163850	863839	2017424	102	30	4069	107917419	30079365	12704849	3.23921818594 %	1.96568227698 %	6.3089331068 %	0.00269725486806 %	9.26587296955e-05 %	0.0089753406075 %
TComYuv::subtract	103503782	35224258	14993892	406683	933710	900897	11	7	490	103097088	34290541	14092505	1.45801576316 %	0.392916077212 %	3.65327476221 %	0.0003304668328 %	1.06276309787e-05 %	0.000989682017358 %
TEncSbac::xCopyContextsFrom	96362130	38544852	38544852	89879	3100360	739146	9	39	34	96272242	35444453	37805672	2.26540412366 %	0.0932721184142 %	4.98056913022 %	4.72753721359e-05 %	9.33976864148e-06 %	9.46948765039e-05 %
TEncSampleAdaptiveOffset::getBlkStats	92375195	30246219	17562005	301	185584	36347	173	4739	20076	92374721	30055896	17505582	0.158529447766 %	0.000325845049637 %	0.464210927392 %	0.0178252179739 %	0.000187279712914 %	0.0519052956245 %
TComTrQuant::xQuant	87277795	39671725	28563642	476636	548642	1268349	8	0	82	86801151	39123083	27295211	1.47487644808 %	0.546113705095 %	2.66282879375 %	5.78729149627e-05 %	9.16613441025e-06 %	0.000120172285437 %
TEncBinCABAC::copyState	85423344	46270978	35593060	131569	4230112	829402	4	4	74	85291771	42040862	34763584	3.10309297566 %	0.154019959696 %	6.18038655753 %	4.90174447228e-05 %	4.68256077636e-06 %	9.5279932319e-05 %
__memcpy_chk_ssse3	83378462	25013760	15491917	233573	664620	2964662	9	0	29	83144880	24349140	12527226	3.11811909998 %	0.280135894087 %	8.95993418404 %	3.06738217715e-05 %	1.07941544904e-05 %	7.15949026108e-05 %
TComTrQuant::calcPatternSigCtx	76014719	30772364	3653405	114807	32223	0	9	0	0	75899903	30740141	3653405	0.133130523654 %	0.151032591464 %	0.0936013949318 %	8.14918528792e-06 %	1.18398122343e-05 %	0.0 %
TComDataCU::getQuadtreeTULog2MinSizeInCU	75205030	31860544	10498348	586390	1177574	176932	8	3	15	74618632	30682967	10321401	1.65092824991 %	0.779721781907 %	3.19768987347 %	2.21156282962e-05 %	1.06375863423e-05 %	4.24940293528e-05 %
fastForwardDst	73934624	33851616	8926048	371805	33395	597990	26	2	30	73562793	33818219	8328028	0.859541027934 %	0.502883466345 %	1.47596886076 %	4.9694853039e-05 %	3.51662030499e-05 %	7.48053937681e-05 %
TComTrQuant::xIT	73771538	16131006	14872767	642891	170158	1245262	8	0	20	73128639	15960848	13627485	1.9645000147 %	0.871462107785 %	4.56531532469 %	2.67238529123e-05 %	1.08442906531e-05 %	6.45082777506e-05 %
TEncSbac::xCopyFrom	70665562	32120710	32120710	118081	2049087	144806	4	99	5	70547477	30071524	31975899	1.71375414802 %	0.167098366811 %	3.41507550736 %	8.00551597841e-05 %	5.66046584332e-06 %	0.000161889323119 %
TEncSbac::codeIntraDirLumaAng	69073777	23890049	24079445	1368467	190595	16757	41	0	5	67705269	23699454	24062683	1.3463559131 %	1.98116718013 %	0.432258051336 %	3.93017040681e-05 %	5.93568236467e-05 %	1.04232911025e-05 %
TComDataCU::clipMv	68592700	23695660	11224260	182587	1436839	29087	4	0	0	68410109	22258821	11195173	1.5925719975 %	0.266190133936 %	4.19796494379 %	3.86426312077e-06 %	5.83152434589e-06 %	0.0 %
TComDataCU::setTransformSkipPartRange	68517630	34258815	22839210	129882	34030	838	3	0	0	68387745	34224785	22838372	0.131154034901 %	0.189559971645 %	0.0610669108082 %	2.38823735784e-06 %	4.37843515603e-06 %	0.0 %
void	65748568	43203012	2696552	27715	171024	121220	8	431	0	65720845	43031557	2575332	0.286578014579 %	0.0421530093249 %	0.636703215743 %	0.000393199592448 %	1.21675653833e-05 %	0.000939006740892 %
TComTrQuant::rdpcmNxN	65061629	30150511	19042428	1244974	622648	3090432	10	0	110	63816645	29527863	15951886	4.33947988845 %	1.91353032369 %	7.54799382895 %	0.000105028623451 %	1.53700424562e-05 %	0.000223609327347 %
TEncSbac::estBit	62828073	19710768	39421536	338318	51877	78687	10	0	1	62489745	19658891	39342848	0.384454370783 %	0.538482216381 %	0.220799784835 %	9.01932272643e-06 %	1.59164518702e-05 %	1.69112301121e-06 %
xTrMxN	59830764	17526425	15930708	2059439	591785	2137652	31	2	58	57771294	16934638	13792998	5.13343762053 %	3.44210714073 %	8.15801222418 %	9.7547487859e-05 %	5.18128098782e-05 %	0.000179333955483 %
TComYuv::clear	58470241	15110287	13139380	114454	509536	55575	3	8	2	58355784	14600743	13083803	0.783632058281 %	0.195747440138 %	2.00041650048 %	1.49907908113e-05 %	5.13081517827e-06 %	3.5398647354e-05 %
TComDataCU::getPULeft	58007618	29182228	11860278	697872	695861	110200	12	44	3	57309734	28486323	11750075	1.51835549444 %	1.20306956924 %	1.96396633286 %	5.95658012503e-05 %	2.06869380501e-05 %	0.00011451542457 %
TComDataCU::xAddMVPCand	56550422	22798822	10825220	364346	2948715	42130	14	103	1	56186062	19850004	10783089	3.72077731452 %	0.644285200913 %	8.89495974339 %	0.000130857445407 %	2.47566675983e-05 %	0.000309302492544 %
TComPrediction::predIntraAng	54112393	21947938	14395258	556094	21181	9457	32	0	1	53556267	21926757	14385800	0.648640959046 %	1.02766477173 %	0.0843018869337 %	3.64819911791e-05 %	5.91361760697e-05 %	2.7515466719e-06 %
TComCUMvField::clearMvField	53039304	3295680	16340912	129281	110630	832590	6	140	16972	52910017	3184910	15491350	1.47573137592 %	0.243745656994 %	4.80337932366 %	0.0235538891739 %	1.13123656374e-05 %	0.0871434309986 %
TComDataCU::getPUAbove	53036137	25366816	12016792	1057689	296772	126869	12	26	13	51978436	25070018	11889910	1.63828155012 %	1.99427986243 %	1.13322662703 %	5.64036096319e-05 %	2.2626082288e-05 %	0.000104323798816 %
TComPrediction::initAdiPatternChType	52806618	20314076	14961460	1358938	392966	596629	56	17	2316	51447624	19921093	14362515	2.66629832872 %	2.57342365686 %	2.80532944985 %	0.00271224066569 %	0.000106047313994 %	0.00661364862039 %
TEncSearch::xGetTemplateCost	52278776	22466912	17714296	360865	948025	7724	18	0	0	51917893	21518887	17706572	1.42398250902 %	0.690270560275 %	2.37859697996 %	1.94678813702e-05 %	3.44307984563e-05 %	0.0 %
QpParam::QpParam	51514450	22948495	15692595	999531	1440619	3287	18	0	0	50514901	21507876	15689308	2.71024609248 %	1.94029248104 %	3.73671136089 %	1.99654951875e-05 %	3.49416522937e-05 %	0.0 %
TEncSbac::codeLastSignificantXY	50770043	20060536	11310399	829530	165685	0	38	8	0	49940475	19894843	11310399	1.21159380401 %	1.6338965874 %	0.52814810907 %	5.60012811145e-05 %	7.48472874053e-05 %	2.55013119628e-05 %
TEncSearch::xEncodeResidualQT	50538083	23001454	11172048	166506	37561	259194	7	0	7	50371570	22963893	10912847	0.546868530438 %	0.329466394679 %	0.868377493182 %	1.65266651545e-05 %	1.38509408835e-05 %	2.04837069376e-05 %
TComPrediction::xPredInterUni	49942200	19835200	16293200	225575	228950	114044	5	8	0	49716620	19606242	16179156	0.66058445044 %	0.451672132986 %	0.94937500692 %	1.51038798382e-05 %	1.00115733788e-05 %	2.21432446496e-05 %
TComDataCU::getIntraDirPredictor	49159289	16194850	12987822	1053774	325563	20959	26	0	3	48105489	15869287	12966860	1.78741504824 %	2.14359080743 %	1.18742382466 %	3.70171995056e-05 %	5.28892921946e-05 %	1.02800730516e-05 %
TComDataCU::getCoefScanIdx	48316149	20789228	9909707	1271794	363394	283616	14	0	27	47044341	20425834	9626064	2.42840215167 %	2.63223378999 %	2.10759754369 %	5.18888266954e-05 %	2.89758192442e-05 %	8.79509338028e-05 %
TComCUMvField::setAllMv	48164582	14730004	9104571	150581	205845	415485	23	1	0	48013978	14524158	8689086	1.07211116375 %	0.312638444573 %	2.60684320992 %	3.33337236157e-05 %	4.7752931812e-05 %	4.1955856146e-06 %
TEncSbac::estSignificantCoeffGroupMapBit	46813074	23406537	12319230	719211	310961	2263208	4	1	5	46093859	23095575	10056017	3.9900972198 %	1.53634644886 %	7.2053568507 %	1.211550814e-05 %	8.5446215303e-06 %	1.67946009389e-05 %
TComDataCU::setCbfPartRange	46483596	23241798	15494532	218776	207787	149118	4	0	0	46264816	23034011	15345414	0.675523937911 %	0.470652055405 %	0.921370196919 %	4.69373794105e-06 %	8.60518622527e-06 %	0.0 %
TComDataCU::setExplicitRdpcmModePartRange	46473444	23236722	15491148	399386	230173	808770	3	0	23	46074055	23006549	14682355	1.68815354186 %	0.859385415895 %	2.68267529301 %	3.05159612914e-05 %	6.45529950395e-06 %	5.93887554363e-05 %
TEncSearch::xMotionEstimation	46364638	19289984	15631740	1051037	1404650	256928	29	1	0	45313572	17885333	15374812	3.33710961256 %	2.26689357523 %	4.75800679256 %	3.69065600451e-05 %	6.25476683329e-05 %	2.86354705741e-06 %
TComDataCU::fillMvpCand	46249273	14173628	18705966	686980	839000	172155	24	23	3	45562269	13334605	18533808	2.14603729888 %	1.48538551082 %	3.07532690337 %	6.3188065109e-05 %	5.18927075892e-05 %	7.90764022208e-05 %
TComTU::getGolombRiceStatisticsIndex	45785255	24792105	3814170	1175224	41526	0	6	0	0	44610025	24750579	3814170	1.63560287038 %	2.56681763594 %	0.145163954412 %	8.06543433103e-06 %	1.31046556364e-05 %	0.0 %
TComDataCU::setCrossComponentPredictionAlphaPartRange	44464626	22232313	14821542	41134	147074	0	2	0	0	44423490	22085239	14821542	0.230877707351 %	0.0925094928269 %	0.396919564779 %	2.45343138815e-06 %	4.49795754495e-06 %	0.0 %
TEncSearch::xExtDIFUpSamplingQ	44268739	15632920	22643336	1062497	1193450	8011	37	10	0	43206205	14439460	22635325	2.74269566556 %	2.40010676609 %	3.13891985674 %	5.69386429789e-05 %	8.3580424552e-05 %	2.61258572416e-05 %
TComPrediction::xPredIntraPlanar	43235177	19452294	7478686	316033	0	355215	28	0	638	42919116	19452294	7122833	0.956654929812 %	0.730962660336 %	1.31898282201 %	0.000949175540567 %	6.47620801922e-05 %	0.00236901887714 %
TEncSearch::estIntraPredQT	41305803	14344444	19896684	956726	541642	179833	186	12	12	40348891	13802790	19716839	2.22140195212 %	2.31620239897 %	2.10704215118 %	0.000277972906669 %	0.00045029992517 %	7.00911488664e-05 %
TEncSbac::resetBits	40152000	25812000	14340000	182166	686172	20026	2	6	1	39969832	25125822	14319973	1.10625124527 %	0.453690974298 %	1.75881151624 %	1.1207411835e-05 %	4.98107192668e-06 %	1.74337517434e-05 %
TEncBinCABACCounter::getNumWrittenBits	39837328	22408497	9959332	118346	360947	178	5	0	0	39718977	22047550	9959154	0.664039827515 %	0.297073137034 %	1.11569113888 %	6.92471314757e-06 %	1.255104258e-05 %	0.0 %
TComCUMvField::setAllRefIdx	39033568	11797110	8323458	239628	123822	114431	61	1	0	38793879	11673287	8209027	0.807857289979 %	0.61390237244 %	1.18412661114 %	0.000104810929873 %	0.00015627574707 %	4.97003861919e-06 %
TComRdCost::setDistParam	38964595	20628315	13752210	212234	672203	0	3	2	0	38752358	19956110	13752210	1.2058566405 %	0.544684219097 %	1.95518538475 %	6.81708612652e-06 %	7.69929727231e-06 %	5.81724682796e-06 %
TEncSearch::xRecurIntraCodingQT	38474456	15640341	12375275	2221851	781236	288474	172	0	8	36252433	14859105	12086793	4.95045485888 %	5.77487307423 %	3.81826335712 %	0.000270717107962 %	0.000447049855624 %	2.85555027596e-05 %
TEncSearch::xEstimateMvPredAMVP	38396120	14614573	17516735	469372	508058	591692	24	0	1	37926724	14106515	16925042	2.22483939156 %	1.22244643469 %	3.42267423411 %	3.54472021864e-05 %	6.25063157423e-05 %	3.11222935587e-06 %
TEncSbac::codeQtCbfZero	38366188	17198636	15875664	128398	458215	0	3	0	0	38237787	16740421	15875664	0.821121210706 %	0.334664470705 %	1.38541102911 %	4.19929942248e-06 %	7.81938513151e-06 %	0.0 %
TComDataCU::getPUBelowLeft	38347150	19436890	7343106	198619	1300976	157291	7	33	2	38148524	18135881	7185813	2.54407893139 %	0.517949834603 %	5.44535928982 %	6.44892377136e-05 %	1.82542900841e-05 %	0.000130694567691 %
TComDataCU::getPartIndexAndSize	37457554	16819060	5891830	122536	739836	50491	14	1	2	37335004	16079223	5841337	1.51717900499 %	0.327132946268 %	3.4799472852 %	2.82540130172e-05 %	3.73756385695e-05 %	1.32095219518e-05 %
