BasketballDrill__QP_32_nF_8_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw	L1Rate	I1Rate	D1Rate	LLRate	ILRate	DLRate
TComYuv::addClip	1410532293	377668907	131137529	3540792	15708143	6681212	14017	964	27285	1.35099378803 %	0.251025234769 %	4.40036788371 %	0.00220211260063 %	0.000993738326273 %	0.00555201310386 %
TComTrQuant::transformNxN	1400136098	677120898	536695370	22415608	62174382	9636299	3122	203862	0	3.60474392057 %	1.60095922332 %	5.91610797228 %	0.00791843044626 %	0.00022297832364 %	0.0167951283382 %
TComRdCost::xGetSSE16	1355094174	587421366	546587706	3851566	21069939	3517752	3436	756	2818	1.14255031589 %	0.284228659078 %	2.1682093739 %	0.000281627530367 %	0.000253561712974 %	0.000315165027181 %
TComRdCost::xGetSAD24	1291845432	339518364	11569956	14927	8142482	382595	390	32621	0	0.519802091204 %	0.00115547879261 %	2.42818587642 %	0.00200927152174 %	3.01893702094e-05 %	0.00929139425658 %
TComRdCost::xGetSSE8	1264869408	534570432	456699936	9327769	13247919	3604405	4767	623	4353	1.16039322025 %	0.737449173883 %	1.70007341529 %	0.000431843811436 %	0.000376876851464 %	0.000501982119171 %
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/strcat.S:0x0012694b	1257952232	1257952232	0	639584	0	0	465	0	0	0.0254216330211 %	0.0508432660422 %	0.0 %	1.84824188141e-05 %	3.69648376283e-05 %	0.0 %
TComYuv::removeHighFreq	1249080242	361332290	155628786	1638617	23021234	43159	13239	25455	0	1.39877871193 %	0.131185887416 %	4.46153377319 %	0.00219100196613 %	0.00105989988112 %	0.00492396839564 %
getTUEntropyCodingParameters	1229311342	527540110	302200116	10807385	54764900	36199504	189729	1518	96997	4.94265372377 %	0.879141404684 %	10.962997954 %	0.0139988723196 %	0.0154337630768 %	0.0118729931264 %
TEncSbac::estCBFBit	1169710360	543079810	275717442	20868746	64604433	29340714	3942	131075	37158	5.77387244118 %	1.78409516694 %	11.4735542615 %	0.00865850344052 %	0.000337006504756 %	0.0205463562059 %
TComYuv::copyPartToPartComponent	1113995366	397010522	227779678	4743035	9001190	247428	35995	1007	121	0.804679615106 %	0.425767929092 %	1.48027577897 %	0.00213499586872 %	0.00323116245351 %	0.00018054060387 %
TComRdCost::calcRdCost	1076380720	374339496	233807516	5161068	39926372	828949	3422	546603	0	2.72577222255 %	0.479483504684 %	6.70155738593 %	0.032651584747 %	0.000317917251435 %	0.0898800765628 %
TComRdCost::xGetSSE32	1075559100	472102785	456471015	1380780	14021297	937335	3385	972	57	0.81528585255 %	0.128377882722 %	1.61092548594 %	0.000220244874978 %	0.000314720037235 %	0.000110815101611 %
TEncSearch::xTZSearch	1055610770	389511543	429733769	28740296	23168653	7160251	95139	160	23	3.15059916156 %	2.72262246813 %	3.7020540192 %	0.00508423024653 %	0.0090126969811 %	2.23376316373e-05 %
TEncSearch::xEstimateResidualQT	1032407805	390216595	345961772	34125495	74744832	25063613	174260	11077	82694	7.5729383233 %	3.30542783915 %	13.55764438 %	0.015155099833 %	0.0168789890154 %	0.0127375381026 %
TComRdCost::setDistParam	1015851068	431582988	339186180	421057	7114636	60968508	455	1988	0	3.83428999737 %	0.0414486939339 %	8.83314315448 %	0.000136738628096 %	4.47900301858e-05 %	0.000257924172701 %
TComTrQuant::xTransformSkip	979621280	271622264	195924256	12672231	13920818	15341407	1286	0	0	2.8976913389 %	1.29358470041 %	6.25867667671 %	8.88632265035e-05 %	0.000131275220971 %	0.0 %
TComTU::TComTU	978188774	354869660	342591421	5426855	21798344	20356012	2683	214368	139934	2.83956763748 %	0.554786064229 %	6.04397250949 %	0.0213042718283 %	0.000274282436204 %	0.050798820128 %
TComRdCost::getDistPart	975080974	316003474	561582793	12565298	7168673	8220364	3690	63874	46	1.50886971936 %	1.28864149081 %	1.75356401743 %	0.0036493331616 %	0.000378430109744 %	0.0072836144324 %
TComDataCU::initEstData	897725016	419441662	385471210	3302873	7675318	22564836	73631	619	6723	1.97006229195 %	0.367915891964 %	3.75694749729 %	0.00475573817373 %	0.00820195479548 %	0.000912148414493 %
partialButterflyInverse8	879555534	465219456	107917494	4073072	4925444	6953232	2020	489	11320	1.09808154002 %	0.463082982547 %	2.07257200919 %	0.00095195646376 %	0.000229661450803 %	0.00206041505438 %
TEncSearch::predInterSearch	839700583	208781379	351925339	24463465	45791466	31071509	128356	19806	17346	7.23549783892 %	2.91335572408 %	13.7082315108 %	0.0118185616343 %	0.0152859248402 %	0.00662592382209 %
TComDataCU::clipMv	835792485	288728313	136766043	2784029	16105533	1264365	663674	17543	18	1.597886091 %	0.333100506401 %	4.08228634647 %	0.0540111081679 %	0.0794065526923 %	0.00412719928064 %
TComTURecurse::nextSection	830987524	366565770	193774222	10589498	13157726	5042324	1118	123644	98	2.06921430568 %	1.27432695367 %	3.24803695254 %	0.00897416306111 %	0.000134538722629 %	0.0220833782644 %
TEncSbac::codeQtCbf	825788570	340961622	208976478	15564419	30517250	3264875	2124	175324	3643	3.58694390943 %	1.88479467571 %	6.14289590047 %	0.01316329791 %	0.000257208694472 %	0.0325431171254 %
TComYuv::subtract	791892869	269212183	115466814	2885924	11742977	7131740	12376	6695	26901	1.84949526917 %	0.364433639066 %	4.90661490417 %	0.00390728363719 %	0.00156283766207 %	0.00873351554465 %
TEncSbac::xCopyContextsFrom	667404720	266961888	266961888	523830	40735301	8152706	464	578261	344675	4.11309955308 %	0.078487607939 %	9.15636448451 %	0.0768649044016 %	6.95230324412e-05 %	0.172859131113 %
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_chk_ssse3	653460752	183912720	115328904	271242	30366361	30940435	1081	591	2422	6.46351258811 %	0.0415085373023 %	20.4873891474 %	0.000429724970057 %	0.000165426920697 %	0.00100687864199 %
TComRdCost::xGetSAD12	646787480	179008380	15469860	28889	3414625	63782	432	15112	0	0.416907038599 %	0.00446653667446 %	1.78858416242 %	0.00184769207047 %	6.67916453794e-05 %	0.00777053515087 %
TComTrQuant::xQuant	602799450	273999750	197279820	2760915	11919357	29498136	1230892	0	128322	4.11314318382 %	0.458015514115 %	8.78830648229 %	0.126546927618 %	0.204195939462 %	0.0272284240966 %
TEncSampleAdaptiveOffset::getBlkStats	588385225	192600201	111722130	481	25509507	1499325	481	434275	200951	3.02554994841 %	8.17491635688e-05 %	8.87507397543 %	0.0712111145164 %	8.17491635688e-05 %	0.208734599894 %
TEncBinCABAC::copyState	575667576	311819937	239861490	721322	37529080	10101723	887	91266	338354	4.28901119984 %	0.125301828707 %	8.6337514132 %	0.038187553176 %	0.000154081980118 %	0.0778746535544 %
fillReferenceSamples	566115649	158833786	75906350	9880648	7951185	11006478	1336950	64366	44893	3.60093684033 %	1.74534090648 %	8.07602113684 %	0.180582949775 %	0.236161993112 %	0.0465446607733 %
TComTrQuant::xIT	565963538	122439578	113003797	4603667	8111187	10748986	757	115	97879	2.92783099564 %	0.813421128907 %	8.01049211939 %	0.0123222046626 %	0.000133754199551 %	0.0416210479484 %
TComTrQuant::calcPatternSigCtx	550149173	222401852	25815029	730730	1518905	0	1310	0	0	0.281779891408 %	0.132823974999 %	0.611926551442 %	0.000164085132808 %	0.000238117235159 %	0.0 %
TComDataCU::xAddMVPCand	514798178	207496690	96638468	3654161	42032164	1118556	583843	450463	208	5.71534689608 %	0.709823996308 %	14.1880078199 %	0.126324568133 %	0.113412017554 %	0.148181158326 %
TComDataCU::getQuadtreeTULog2MinSizeInCU	512759365	217191268	71462265	3495800	19692084	1182417	337715	794	18078	3.04091699308 %	0.681762292143 %	7.23168041044 %	0.0444947917472 %	0.0658622783028 %	0.00653794180305 %
TComDataCU::setTransformSkipPartRange	494489736	247244868	164829912	976271	12349060	83293	109600	51	0	1.47905899286 %	0.197429982652 %	3.01701380512 %	0.0120952230166 %	0.0221642618685 %	1.2376394401e-05 %
TEncSbac::xCopyFrom	489430128	222468240	222468240	580811	43421777	2478888	246	72589	51562	4.97465080644 %	0.118670871851 %	10.3162287345 %	0.0133135108784 %	5.02625371685e-05 %	0.0279030840537 %
TComYuv::clear	477197085	123320595	107235300	932064	27544929	195217	5394	635	194	4.05116061821 %	0.195320556076 %	12.0318528399 %	0.000879261575133 %	0.00113035057622 %	0.000359565735676 %
TEncSearch::xGetTemplateCost	457787528	196735136	155118088	6444340	29429979	5663389	3748	6037	0	5.13038750796 %	1.40771419181 %	9.9738656935 %	0.00120856070743 %	0.000818720426127 %	0.00171577225622 %
TComTrQuant::rdpcmNxN	449359590	208239810	131519880	4584595	23894923	23144530	2305	28	216838	6.54198285461 %	1.02025084187 %	13.8449187424 %	0.0277741281394 %	0.000512952221627 %	0.0638292317726 %
TEncSbac::estBit	426108774	133681184	267362368	1982064	8516620	9347664	1625	76722	13944	2.39935830151 %	0.465154467812 %	4.45444987481 %	0.0111576788336 %	0.000381358023855 %	0.022607519694 %
TEncSearch::xMotionEstimation	425698768	179495700	139595968	13584213	28429855	6213099	21408	35517	282	6.47526668831 %	3.19103883336 %	10.8567403897 %	0.00768095255187 %	0.00502890814098 %	0.0112190331463 %
xTrMxN	410068306	120189116	109781591	12781373	14938688	15752769	1903	707	363983	6.79221564889 %	3.11688877511 %	13.3458114733 %	0.0572766647898 %	0.000464069027563 %	0.158581066588 %
TComDataCU::fillMvpCand	408618552	124863178	166099404	8803463	17347436	3992938	1609221	57408	542	4.3088407527 %	2.15444525387 %	7.33440494421 %	0.238309885584 %	0.393819857695 %	0.0199166503135 %
TEncSearch::xExtDIFUpSamplingQ	386983146	136537139	197552758	10440628	21901883	1212682	34742	2485	0	4.65350817448 %	2.69795418946 %	6.91866626545 %	0.00516272246777 %	0.00897765196213 %	0.000743811777104 %
TComDataCU::getPULeft	375796006	189176911	76663663	7037197	15689923	996633	446971	13217	15319	3.69738162372 %	1.87261090795 %	6.27690338947 %	0.0741084618336 %	0.118939795225 %	0.0107342530791 %
TComPrediction::xPredInterUni	375619065	149182040	122542390	1677019	14584563	1930164	1548	13091	311	2.81021530926 %	0.446468019402 %	6.0777483276 %	0.00230943851533 %	0.000412119656386 %	0.00493220282034 %
TComCUMvField::clearMvField	374837268	22298640	115477484	900589	1392233	6490181	243292	1429	121561	1.71337759354 %	0.240261328551 %	5.72117560805 %	0.0714538491807 %	0.0649060327694 %	0.0892680069879 %
fastForwardDst	368863604	168887436	44532508	1548166	1149937	2529712	743	32	6394	0.897812589409 %	0.419712322715 %	1.72413549129 %	0.0012311871123 %	0.000201429469306 %	0.00301096508581 %
TEncSearch::xEncodeResidualQT	361226298	165909743	79339369	1133913	8043258	2893538	1546	0	3113	1.99030476767 %	0.313906547302 %	4.4594640571 %	0.000768209217254 %	0.000427986558166 %	0.0012693216194 %
TComCUMvField::setAllMv	355993058	107627709	67836998	1201329	6170620	6244011	213104	1599	2431	2.56200226936 %	0.337458546734 %	7.07528665579 %	0.0408563039812 %	0.0598618414632 %	0.00229675817371 %
QpParam::QpParam	348233624	155494450	105839554	5955238	29215223	1384313	726	645491	0	5.99683649867 %	1.71012722195 %	11.7089760734 %	0.106012355367 %	0.000208480729592 %	0.246998473264 %
TEncSbac::codeIntraDirLumaAng	341080738	117995789	118475009	6699170	4231549	2977763	1703	18763	505	2.40818024593 %	1.96410094551 %	3.04871132545 %	0.00363101795993 %	0.000499295272429 %	0.00814815197604 %
TComDataCU::getPUBelowLeft	338734334	171785467	64655104	3215517	24413338	2036395	20689	81698	214	5.15760505928 %	0.949274011296 %	11.1866304874 %	0.0178382260958 %	0.00610773633593 %	0.0346438006191 %
TEncSearch::xEstimateMvPredAMVP	337366776	128404225	154103715	4441793	20834985	15991575	7466	1538	1357	6.65753126153 %	1.31660652915 %	13.0355840618 %	0.00167146678717 %	0.00221302171142 %	0.00102474995924 %
TComDataCU::setCbfPartRange	330062094	165031047	110020698	1183867	12291621	3380962	166960	187	0	2.78566592162 %	0.358680085208 %	5.6980489253 %	0.0276224057735 %	0.0505844212453 %	6.79872072799e-05 %
TComDataCU::setExplicitRdpcmModePartRange	330026832	165013416	110008944	2370283	6381267	7546015	297684	449	107597	2.69359338306 %	0.718209178822 %	5.06405442816 %	0.0670573575446 %	0.0901999386523 %	0.0392862602154 %
TComDataCU::setCrossComponentPredictionAlphaPartRange	319475124	159737562	106491708	308075	5664573	0	13160	1	0	1.01973761187 %	0.09643160824 %	2.12770481623 %	0.00224703794863 %	0.00411925655908 %	3.75616099612e-07 %
TEncSbac::estSignificantCoeffGroupMapBit	317492812	158746406	83550740	3016502	10101747	8434544	630	49583	296	3.8501571334 %	0.950100879764 %	7.65023084506 %	0.00902284853063 %	0.000198429689174 %	0.020585880116 %
TComDataCU::getPUAbove	316931499	151856462	71535808	7477828	8278867	756929	212609	7540	3486	3.05624607827 %	2.35944613382 %	4.04481139835 %	0.0413890731503 %	0.0670835813641 %	0.00493571241297 %
TEncSearch::xCheckBestMVP	316645701	122910596	67060236	3290740	12624698	1549549	2878	1463	0	3.44737801915 %	1.03924985863 %	7.46127542359 %	0.000856861100504 %	0.000908902281291 %	0.000770118225307 %
TComTU::getGolombRiceStatisticsIndex	315363209	170765842	26271668	4996062	6454533	0	684	4	0	2.23469534203 %	1.58422474703 %	3.27578896018 %	0.000134269913076 %	0.000216892770139 %	2.03007031504e-06 %
TComDataCU::xGetColMVP	309959053	135452142	44962516	2518314	43317055	723544	162329	402210	79	9.4945776977 %	0.812466671203 %	24.410765449 %	0.115140348541 %	0.0523711110964 %	0.222980219268 %
TComDataCU::getCoefScanIdx	304361941	134583054	67404049	6739331	10050621	4053887	505951	1579	10697	4.11649616939 %	2.2142489228 %	6.98287553538 %	0.102345803975 %	0.166233333359 %	0.00607761575748 %
TEncSbac::codeLastSignificantXY	299010082	118010315	66086881	3536011	10995139	243691	1061	420767	0	3.0582940214 %	1.18257249934 %	6.10483496989 %	0.0873155961852 %	0.000354837533538 %	0.228556984648 %
TComRdCost::setDistParam	285917339	151368003	100912002	2740493	18912782	251355	270	639456	0	4.06999964682 %	0.958491363128 %	7.59637570167 %	0.118864577674 %	9.44328878215e-05 %	0.253470741766 %
TComDataCU::getPartIndexAndSize	284639083	127898662	44835320	901438	17364444	2124339	417141	2327	558	4.45811582717 %	0.316695089971 %	11.282541382 %	0.0918344415406 %	0.146550851557 %	0.00167019828212 %
TComRdCost::xGetSSE64	283931888	125416868	123397372	234123	4310924	389642	2159	81	137	0.926274024464 %	0.0824574519083 %	1.88918688898 %	0.000446178747263 %	0.00076039363356 %	8.76155641253e-05 %
TEncSbac::codeQtCbfZero	279870735	125459295	115808580	914016	23144739	497588	593	166481	0	4.71205597298 %	0.326585057205 %	9.79920223527 %	0.0320594169755 %	0.000211883532589 %	0.0690025557692 %
TComPrediction::initAdiPatternChType	278234863	106156396	75722683	6315905	8003362	6762518	34130	69972	33745	4.58186181196 %	2.26999051517 %	8.11851482929 %	0.0299593182073 %	0.0122666152013 %	0.0570252502763 %
TEncSbac::resetBits	276986556	178062786	98923770	748330	24651231	1518372	326	1367	1545	4.85906850295 %	0.270168347088 %	9.44796865881 %	0.00058450490283 %	0.000117695242942 %	0.00105131456272 %
TComCUMvField::setAllRefIdx	276429198	83573967	59088623	1959566	4214235	1763177	887491	877	668	1.89385195016 %	0.708885318258 %	4.18989449161 %	0.212133958588 %	0.321055447985 %	0.00108297487099 %
TEncBinCABACCounter::getNumWrittenBits	272583424	153328176	68145856	878948	21756210	229340	454	163	0	4.62790263001 %	0.322451008613 %	9.9269200102 %	0.000124884260425 %	0.000166554515068 %	7.35977931715e-05 %
TComPrediction::predIntraAng	270070536	109540824	71849962	2362041	6441539	648329	8402	13949	2590	2.09362542025 %	0.874601515213 %	3.90861529207 %	0.0055245042675 %	0.00311103911017 %	0.00911788319832 %
TComDataCU::getIntraDirPredictor	240430466	78795991	64138488	5038735	5295344	266948	69218	19317	15254	2.76525726681 %	2.09571402652 %	3.89149772603 %	0.0270731587104 %	0.0287891967901 %	0.024186606508 %
QpParam::QpParam	238411988	60637770	41062692	5301434	4806925	24800	462	417	0	2.97935550433 %	2.22364405602 %	4.75093711964 %	0.000258443935234 %	0.000193782201925 %	0.000410027635863 %
TComPrediction::xPredIntraPlanar	237722383	107746238	41045322	1564908	379558	2375271	1177	4	49471	1.11761479197 %	0.658292239987 %	1.85146859136 %	0.0131048312531 %	0.000495115346374 %	0.0332512139801 %
TEncBinCABAC::resetBits	237417048	59354262	138493278	446542	2795592	0	428	225353	0	0.744865098008 %	0.188083376388 %	1.41300316395 %	0.0518721270291 %	0.000180273490723 %	0.113902351275 %
TEncEntropy::encodeCoeffNxN	235181107	130100308	66146767	3095451	4849975	8251489	968	186	45110	3.75425520997 %	1.31619883905 %	6.67600472517 %	0.0107234533881 %	0.000411597688415 %	0.0230811083426 %
TEncSearch::encodeResAndCalcRdInterCU	234797746	84444490	86954607	10650971	13887340	4468838	57714	4358	1052	7.14115569825 %	4.53623221749 %	10.7096118482 %	0.0155402487951 %	0.0245803041056 %	0.00315637602221 %
partialButterflyInverse4	218668100	113082646	32487832	2384836	203162	2027901	483	117	32476	1.26727350665 %	1.09061907064 %	1.53263424745 %	0.00908086128098 %	0.000220882698482 %	0.0223898419843 %
TEncSearch::xExtDIFUpSamplingH	213467676	68470764	122173324	7968561	13593898	1862520	17655	1107	5	5.79665852044 %	3.73291223726 %	8.10747302062 %	0.00464401229359 %	0.00827057301172 %	0.000583285855683 %
TComDataCU::getInterMergeCandidates	210674835	73627378	71309786	15073443	6243930	1901732	3278765	61915	1514	6.5293367674 %	7.15483792832 %	5.62013342554 %	0.939842865088 %	1.55631544698 %	0.0437631027471 %
