BasketballPass__QP_32_nF_1_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw	L1Rate	I1Rate	D1Rate	LLRate	ILRate	DLRate
TComPrediction::predIntraAng	44138622	17909348	11730742	390650	932721	94719	12	2967	4170	1.92208560106 %	0.885052551029 %	3.46638623567 %	0.00968978694017 %	2.71870743948e-05 %	0.0240788742544 %
__x86.get_pc_thunk.bx	44003562	44003562	0	3	0	0	1	0	0	3.40881495003e-06 %	6.81762990005e-06 %	0.0 %	1.13627165001e-06 %	2.27254330002e-06 %	0.0 %
TEncEntropy::countNonZeroCoeffs	43824200	5185800	178000	46356	416964	0	2	6128	0	0.941937057819 %	0.105777173343 %	7.773667922 %	0.0124623892006 %	4.56368855564e-06 %	0.114247361945 %
TComDataCU::getIntraDirPredictor	41562080	13777563	10839862	870114	1225026	42359	13	6214	43	3.22985038948 %	2.09352852408 %	5.14832481464 %	0.00947423224154 %	3.12785115663e-05 %	0.0254169556727 %
TComPrediction::initAdiPatternChType	39849169	15400292	11525289	1010445	1258094	653679	28	17940	12195	4.37623203382 %	2.53567395596 %	7.1002107624 %	0.0451712660849 %	7.02649533294e-05 %	0.111919590519 %
TComTrQuant::xT	39574552	9787256	7920952	583768	1013939	1056783	5	4	10903	4.6340120483 %	1.47510956031 %	11.6935717041 %	0.0190493614484 %	1.26343818118e-05 %	0.0615929065211 %
TEncSbac::estSignificantMapBit	36486628	13505327	6442884	776061	1342923	764370	8	155	45	5.10917378536 %	2.12697375049 %	10.5638194824 %	0.000368566657911 %	2.19258408861e-05 %	0.00100259617266 %
TEncSearch::estIntraPredQT	34592822	12007399	16647632	800179	1372570	578245	82	1065	925	4.34954527231 %	2.31313594479 %	6.80793191255 %	0.0032760005308 %	0.000237043395881 %	0.00694467927813 %
TEncSearch::xRecurIntraCodingQT	32362809	13177684	10410302	1908325	2322053	421540	56	1886	1306	8.314301879 %	5.89666057727 %	11.6313151958 %	0.00580510071394 %	0.000173038131517 %	0.0135323125934 %
TComDataCU::getPUAbove	30002636	14319445	6842941	487273	386627	123223	6	4400	1035	1.94883723494 %	1.62410062902 %	2.40922739052 %	0.0106342180406 %	1.99982428211e-05 %	0.0256823592576 %
TComRdCost::xGetHADs	29845725	11728920	8824305	47735	297409	1548	9	0	0	0.687895283533 %	0.159939153765 %	1.45455031996 %	1.78575148887e-05 %	3.01550724601e-05 %	0.0 %
TComRdCost::xGetSSE4	29471850	11375100	6549300	603902	465458	121870	5	232	58	2.51334230029 %	2.04908073297 %	3.27669545424 %	0.000622412110663 %	1.69653415038e-05 %	0.00161790631765 %
TEncSbac::estCBFBit	27861120	12935520	6567264	1252747	2278537	695618	9	227	20	8.92431080006 %	4.49639856546 %	15.2498997066 %	0.000540495986142 %	3.23030804217e-05 %	0.00126648585146 %
TComDataCU::getPULeft	27632193	13849768	5680460	412353	650048	62254	6	4699	212	2.38464221334 %	1.49229197987 %	3.64717708365 %	0.0104256734403 %	2.17138031715e-05 %	0.0251456357806 %
getTUEntropyCodingParameters	27022962	11586189	6646425	859670	967549	853028	9	8068	6361	5.92246798494 %	3.18125748021 %	9.98527693286 %	0.0319032509939 %	3.33050092732e-05 %	0.0791384054969 %
TComTURecurse::nextSection	26639306	11907094	5926758	271818	210295	78051	11	4195	4419	1.25955525803 %	1.0203644194 %	1.6168464334 %	0.0193937205898 %	4.12923670009e-05 %	0.048301398935 %
TComPrediction::xPredIntraPlanar	25874261	11421918	4495846	238445	71446	335380	10	0	11298	1.54400510624 %	0.921552889955 %	2.55579866619 %	0.0270577939212 %	3.86484468097e-05 %	0.0709773056065 %
TComTrQuant::transformNxN	25603808	12362664	9858008	1423231	1038030	183542	11	17904	2056	5.53022845204 %	5.5586692417 %	5.49745750264 %	0.0417589485552 %	4.2962359349e-05 %	0.0898262662803 %
fastInverseDst	23956200	11871628	3087688	156012	26618	186326	9	1	59	0.94809484217 %	0.651238510281 %	1.42348754448 %	0.000177307169716 %	3.75685626268e-05 %	0.000401087857226 %
partialButterfly4	23674560	10920000	4193280	61314	131040	285728	7	10	112	1.23255638881 %	0.258986861847 %	2.75762772873 %	0.000332578457578 %	2.95676033683e-05 %	0.000807237078913 %
TComTrQuant::xIT	23479630	5235338	4817579	337122	470273	373834	61	6	10408	3.52263429318 %	1.43580627122 %	8.39663751327 %	0.0312383070692 %	0.000259799664645 %	0.103591823149 %
TComYuv::copyPartToPartComponent	22692075	8435018	4593710	359185	617073	80370	12	764	22	2.95801860893 %	1.58286538362 %	5.35311658974 %	0.00223399233214 %	5.28818981957e-05 %	0.00603282223714 %
TEncSearch::xLoadIntraResultQT	22266636	8211831	4395210	509164	532809	177490	24	423	1968	3.49680075319 %	2.28666781996 %	5.63414523678 %	0.00692499388579 %	0.000107784579584 %	0.0189655923226 %
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/strcat.S:0x0012694b	21451658	21451658	0	2529	0	0	44	0	0	0.00589464926208 %	0.0117892985242 %	0.0 %	0.000102556175378 %	0.000205112350756 %	0.0 %
TComPrediction::filteringIntraReferenceSamples	19729866	4863928	1293579	406588	440269	42616	4	6	1962	3.43593380448 %	2.06077425969 %	7.84221601372 %	0.00761761342103 %	2.02738325744e-05 %	0.0319609868085 %
TEncSearch::xUpdateCandList	19034462	4978347	2574159	27774	244495	524	3	19	0	1.02604027657 %	0.145914289566 %	3.24420794899 %	8.27473068761e-05 %	1.57608867537e-05 %	0.000251572127185 %
TComTU::TComTU	19012968	6567620	5843789	135392	287795	220017	11	30	4171	2.04683135007 %	0.712103444344 %	4.09149356048 %	0.013403607015 %	5.78552491121e-05 %	0.0338478894701 %
TEncSampleAdaptiveOffset::getBlkStats	18475059	6049251	3512409	61	941109	48885	61	7596	6733	3.53127981915 %	0.000330174858982 %	10.3537879406 %	0.0513255491843 %	0.000330174858982 %	0.149858915711 %
TComDataCU::getPUAboveRightAdi	18367294	9112746	3840742	286221	727934	4839	10	8962	97	3.25341174432 %	1.55831882475 %	5.65695509966 %	0.0289552157414 %	5.44446013659e-05 %	0.0699348314523 %
TEncBinCABAC::copyState	17268240	9353630	7195100	58361	1185344	561416	2	33	647	5.33791466237 %	0.337967274024 %	10.5552510676 %	0.00201673893315 %	1.15819562387e-05 %	0.00410907664818 %
TComDataCU::getPUBelowLeftAdi	16544293	8472206	3724993	211875	639136	999	8	9740	29	2.96439029679 %	1.28065309288 %	5.24821313484 %	0.0340170231942 %	4.83550430351e-05 %	0.0800921588637 %
TEncSearch::xModeBitsIntra	15685110	8423485	6099765	32313	983380	5460	4	50	0	3.38036556768 %	0.206010668717 %	6.80866885855 %	0.000178758462889 %	2.55018931968e-05 %	0.000344275558157 %
TComDataCU::getCoefScanIdx	14847361	5422136	1728048	610397	848975	99697	7	18768	1575	7.08746816974 %	4.11114810235 %	13.2677984231 %	0.0925103233111 %	4.714642555e-05 %	0.284510160857 %
TEncSbac::codeQtCbf	14746875	6095375	3735875	701489	485959	38552	6	4879	129	4.9881754609 %	4.75686543759 %	5.33514049587 %	0.0204002542912 %	4.06865861411e-05 %	0.0509396058487 %
TEncSbac::codeLastSignificantXY	13729637	5425567	3078626	415728	463372	12957	15	119	0	4.01216074783 %	3.02796060814 %	5.60110759481 %	0.000602685187392 %	0.00010925270639 %	0.00139930972874 %
TComRdCost::xGetSSE8	13543535	5723890	4890095	155046	129817	38871	7	131	19	1.34009616881 %	1.14479713014 %	1.58929940074 %	0.000649901148793 %	5.16851767282e-05 %	0.00141322980954 %
TEncSbac::xCopyContextsFrom	12871350	5148540	5148540	26815	1022220	328500	2	271	115	5.94574168383 %	0.208330905461 %	13.1175051568 %	0.00167469267447 %	1.55383856394e-05 %	0.00374863553551 %
TComTrQuant::xTransformSkip	12821600	3555080	2564320	407107	117206	174840	7	0	0	3.69121482498 %	3.17516534598 %	4.77246135242 %	3.69568660578e-05 %	5.45953703126e-05 %	0.0 %
isLeftAvailable	11227495	4208493	3309008	328473	75825	2196	3	1156	2056	2.16854674175 %	2.92561252532 %	1.0378581925 %	0.0171512439907 %	2.67201187798e-05 %	0.0427269647187 %
TComRdCost::getDistPart	11089866	3530138	6465828	624547	55119	254668	6	10	2430	4.43109856893 %	5.63169113134 %	3.09912018508 %	0.0116002062428 %	5.41034490408e-05 %	0.0244098469323 %
TComTrQuant::xQuant	10945440	4975200	3582144	190075	221069	624637	4	0	1975	5.31093919719 %	1.73656792235 %	9.88280943246 %	0.0101472692309 %	3.6544899063e-05 %	0.0230795910507 %
TEncSearch::xRecurIntraChromaCodingQT	10897732	3930656	3881062	413052	403536	106586	48	9	64	4.93426583892 %	3.79025654145 %	6.53021524843 %	0.00064673199907 %	0.000440458620197 %	0.000934493539065 %
TEncSbac::estBit	10149408	3184128	6368256	110356	202229	147506	4	76	1032	2.33527488261 %	1.08731464929 %	3.66123263051 %	0.00564415663306 %	3.94111656562e-05 %	0.0115991986922 %
TEncSearch::xEncSubdivCbfQT	9973361	4094053	2962293	668354	401833	13510	15	26191	7196	6.36356808723 %	6.70139183772 %	5.88609175344 %	0.196139604751 %	0.000150400652298 %	0.473148567261 %
TComTrQuant::calcPatternSigCtx	9886274	4019372	496358	8420	20952	0	4	0	0	0.203943840038 %	0.0851685882872 %	0.46397813864 %	2.77739125749e-05 %	4.04601369535e-05 %	0.0 %
isAboveAvailable	9738078	3268140	3402243	448690	33872	23093	4	19	2086	3.08167231528 %	4.60758272834 %	0.853998938292 %	0.0128531249823 %	4.10758673323e-05 %	0.0315574083227 %
isBelowLeftAvailable	9679609	3715221	2994302	363587	13409	2997	3	1028	2056	2.31856696255 %	3.75621577277 %	0.244518127444 %	0.0188356527972 %	3.09929874234e-05 %	0.0459645193854 %
QpParam::QpParam	9673383	4176592	3034550	445354	814195	3896	6	8045	1028	7.48285782395 %	4.60391157881 %	11.3448188928 %	0.0537711306655 %	6.20258703703e-05 %	0.125819183702 %
TEncSbac::loadIntraDirMode	9585345	4647440	3195115	18734	1188044	6370	3	76	0	6.96095341378 %	0.195444191106 %	15.2299091304 %	0.000453296151573 %	3.12977780142e-05 %	0.000969071941478 %
TEncSbac::xCopyFrom	9438990	4290450	4290450	71344	964082	208428	2	256	392	6.90267254684 %	0.755843580722 %	13.6641844096 %	0.00360712523772 %	2.11887076901e-05 %	0.00755165542076 %
TComDataCU::getQuadtreeTULog2MinSizeInCU	9297610	3954116	1342117	344016	434318	3607	4	24019	772	5.35801981699 %	3.70004764665 %	8.26861280461 %	0.169900416223 %	4.30218088304e-05 %	0.468087412317 %
isAboveRightAvailable	9164930	3268140	3075731	536756	17329	8168	5	0	2056	3.62538019541 %	5.85662956509 %	0.401915486617 %	0.0132892284839 %	5.45557903879e-05 %	0.0324092340465 %
TEncSearch::xEncCoeffQT	9112282	4325662	2788731	524993	292670	5287	8	14089	3084	5.0715873708 %	5.76137788536 %	4.18808744471 %	0.105881211031 %	8.77935955011e-05 %	0.241383910054 %
TComDataCU::initEstData	9059580	4166487	3859557	39900	67229	209574	11	1292	8617	1.85362267132 %	0.440417767711 %	3.44880989937 %	0.0580605074769 %	0.000121418432201 %	0.123460574101 %
xTrMxN	8824135	2620518	2251601	622837	260270	373125	15	23	2113	9.17208457145 %	7.05833489628 %	13.0004008523 %	0.0157050241621 %	0.000169988333134 %	0.0438412936958 %
TEncSearch::xGetIntraBitsQT	8536408	3858601	4198018	319302	468686	115675	6	933	1953	5.44604067721 %	3.74047257348 %	7.25317903205 %	0.0174290079803 %	7.02871746524e-05 %	0.0358214779674 %
partialButterflyInverse4	8534400	4413504	1267968	90000	8810	77783	8	3	16	1.24222418435 %	1.05455568054 %	1.52412966217 %	0.000189928553099 %	9.37382827147e-05 %	0.000334420375565 %
TComTrQuant::rdpcmNxN	8159328	3781152	2388096	345786	346206	387364	4	3325	2880	7.53289091672 %	4.2379225348 %	11.8907523251 %	0.0433329871719 %	4.90236450845e-05 %	0.100579519578 %
TEncBinCABACCounter::encodeBinsEP	7939712	2887168	2165376	77203	3630	72	0	0	0	0.622717101633 %	0.972365244482 %	0.0732700200137 %	0.0 %	0.0 %	0.0 %
TComRdCost::xGetSSE32	7717140	3387339	3275181	18348	106362	19854	22	30784	47	1.00533670476 %	0.237756474549 %	1.8944183282 %	0.214560010459 %	0.000285079705694 %	0.462752832262 %
TComRdCost::xGetSSE16	7633378	3309002	3078982	35754	54824	10771	11	5947	43	0.722818510784 %	0.468390272301 %	1.02684978547 %	0.0427989805841 %	0.000144103960265 %	0.0937698028048 %
TEncSbac::estSignificantCoeffGroupMapBit	7562304	3781152	1990080	290524	236991	212828	2	130	4	5.55248810218 %	3.84173923714 %	7.79415902878 %	0.00101998449624 %	2.64469664272e-05 %	0.00232186125943 %
TComDataCU::getPUAboveLeft	7205270	3229617	1594057	466179	357260	137080	11	2296	2084	7.98506502316 %	6.46997267278 %	10.2482049989 %	0.0365036199354 %	0.000152666034722 %	0.0908021561988 %
TEncSbac::xWriteCoefRemainExGolomb	6963062	2845664	1823990	69318	617	2399	6	0	0	0.621815232144 %	0.99551030854 %	0.0645872263769 %	5.15786683007e-05 %	8.61689871496e-05 %	0.0 %
TEncSearch::xRecurIntraChromaCodingQT	6932710	2475068	2553512	275871	359233	156822	10	7	71	6.6207407395 %	3.9792664052 %	10.2624398936 %	0.000735706600208 %	0.000144243737298 %	0.00155113371966 %
TComTU::getGolombRiceStatisticsIndex	6918893	3744104	576016	408903	91927	0	2	432	0	4.45617422099 %	5.9099483111 %	2.12788070702 %	0.00386154905239 %	2.89063582859e-05 %	0.00999972222994 %
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_chk_ssse3	6844344	1741176	1275792	0	217489	408657	0	86	510	6.34952022611 %	0.0 %	20.754147873 %	0.00604382053828 %	0.0 %	0.0197549327669 %
TComRdCost::calcRdCost	6819384	2360556	1442562	216910	359360	1372	5	357	0	5.43790907265 %	3.18078583051 %	9.48516454131 %	0.00340786003147 %	7.33204054794e-05 %	0.00938703453324 %
TEncSearch::xStoreIntraResultQT	6760480	3263680	1806680	224553	233356	0	7	282	0	3.87046904531 %	3.32155409083 %	4.60235565128 %	0.00244276822271 %	0.000103542943696 %	0.0055617352614 %
TEncBinCABACCounter::getNumWrittenBits	6755024	3799701	1688756	102763	278440	7722	2	0	0	3.17658842285 %	1.52128252986 %	5.21388798345 %	1.63352236182e-05 %	2.9607592808e-05 %	0.0 %
QpParam::QpParam	6113378	1590776	1194048	294201	69526	1028	3	7	1028	4.09919891681 %	4.81241303908 %	2.53351737848 %	0.0116652779966 %	4.90727057938e-05 %	0.037165723938 %
TEncSbac::resetBits	5908308	3798198	2110110	59357	881118	92286	1	480	164	8.73990489325 %	1.00463618349 %	16.475173603 %	0.00545841550576 %	1.69253193977e-05 %	0.0108999056921 %
TEncSearch::xEncIntraHeader	5878131	2291461	1501271	646512	359115	56032	11	9307	11	10.9779137601 %	10.9985980238 %	10.9458564433 %	0.0964650207536 %	0.00018713431191 %	0.24568042245 %
TComTrQuant::invTransformNxN	5777979	2812413	2149977	335196	144121	116975	10	3143	0	5.55187629028 %	5.80126719048 %	5.26149698029 %	0.0293565332811 %	0.00017307089555 %	0.0633364165251 %
TEncEntropy::encodeCoeffNxN	5745504	3094602	1658430	277953	105912	248809	4	9802	827	6.02630690603 %	4.83774791559 %	7.46304674574 %	0.101280788102 %	6.96196539068e-05 %	0.223625677252 %
TEncSearch::xEncSubdivCbfQT	5578559	2299810	1231497	17335	61107	13689	0	13364	30	1.01133210961 %	0.310743329953 %	2.11808262493 %	0.147027409624 %	0.0 %	0.379292992651 %
TComPrediction::UseDPCMForFirstPassIntraEstimation	5518835	3485580	580930	12601	346192	0	2	18	0	3.74314122236 %	0.228327174123 %	8.5132460021 %	0.000208651853428 %	3.62395324376e-05 %	0.000442640003344 %
TEncEntropy::encodeIntraDirModeLuma	5413996	3093712	1933570	41030	141181	18655	1	5	0	1.92376833564 %	0.75785057839 %	3.17937207421 %	5.74642299535e-05 %	1.84706453422e-05 %	9.94573210733e-05 %
TEncSearch::xRecurIntraCodingQT	5317439	1959120	1579026	227711	264603	136084	35	34649	23304	7.09606423517 %	4.28234343638 %	11.3247729178 %	0.654818399914 %	0.000658211593965 %	1.63794823617 %
TEncSearch::xEncCoeffQT	5295007	2735909	1340518	26546	83610	4746	0	13132	0	1.2260877044 %	0.501340224857 %	2.16748637962 %	0.140127967609 %	0.0 %	0.322144858721 %
TComDataCU::setTransformSkipSubParts	5265800	2738216	1474424	187276	586666	7128	2	1191	69	8.24049105127 %	3.55645865775 %	14.0955315432 %	0.0133144272686 %	3.79809335713e-05 %	0.0299099851874 %
TEncBinCABAC::resetBits	5064264	1266066	2954154	43260	49862	28	1	114	0	1.00328677393 %	0.854220870002 %	1.18216585865 %	0.00123862564683 %	1.9746205964e-05 %	0.00270128097587 %
TComCUMvField::clearMvField	5052294	337896	1556718	10860	19484	76616	3	1131	15062	1.53967779622 %	0.214951861471 %	5.07227329683 %	0.233139693228 %	5.93789672572e-05 %	0.854685967696 %
TEncEntropy::estimateBit	4776192	2189088	1592064	3810	434470	12247	2	281	0	5.26479945179 %	0.0797706624859 %	11.8143095014 %	0.00330710089486 %	4.18743635097e-05 %	0.00743159756603 %
TComTrQuant::getSigCoeffGroupCtxInc	3982772	1334364	298998	4568	8969	0	3	0	0	0.241037696038 %	0.114693987002 %	0.549112811489 %	5.34175288553e-05 %	7.53244222868e-05 %	0.0 %
TEncSbac::codeTransformSkipFlags	3809488	2145056	640872	184388	148858	68549	4	129	1450	6.09203422498 %	4.84023049817 %	7.80375515807 %	0.0240015186305 %	0.000105000987009 %	0.0566777030849 %
xITrMxN	3731262	1005903	1110229	493006	4809	159576	20	0	559	11.2424611716 %	13.2128486287 %	7.76818270316 %	0.00990184687401 %	0.000536011676478 %	0.0264161214896 %
TComTU::GetEquivalentLog2TrSize	3705097	1684135	336827	120547	15721	0	1	0	0	2.37978686563 %	3.25354504889 %	0.777896862979 %	1.74640184462e-05 %	2.69898466896e-05 %	0.0 %
TComDataCU::setTrIdxSubParts	3665328	1832664	1069054	302199	440272	1028	2	2872	1028	11.321665784 %	8.24480101099 %	15.208231813 %	0.0594178874337 %	5.45653758681e-05 %	0.134403136349 %
TComDataCU::setCbfPartRange	3588786	1794393	1196262	100145	172524	91972	2	1105	0	5.5421273631 %	2.79049795669 %	8.84408265079 %	0.0168251375763 %	5.57291518636e-05 %	0.0369484276856 %
TComDataCU::setExplicitRdpcmModePartRange	3582144	1791072	1194048	230960	118553	193338	2	6211	1444	8.26601458385 %	6.4475353308 %	10.4481896875 %	0.116593455052 %	5.58324846796e-05 %	0.256438602133 %
isAboveLeftAvailable	3427621	1192216	1192216	354647	151593	166429	3	160	2937	11.5736900541 %	10.3467390356 %	13.3374321432 %	0.0533374351542 %	8.75242624549e-05 %	0.129884182061 %
TComTU::useDST	3388209	2059905	397802	30988	60323	0	1	0	0	1.56196223141 %	0.914583486438 %	2.45444229113 %	1.71059591003e-05 %	2.95141179307e-05 %	0.0 %
TComRdCost::setDistParam	3383136	1791072	1194048	198307	212115	0	1	213	0	6.44481000764 %	5.86163252083 %	7.10574449268 %	0.00336041767165 %	2.95583742421e-05 %	0.00713539154205 %
TEncSbac::getNumberOfWrittenBits	3377512	2110945	844378	0	16721	1773	0	0	0	0.292033504742 %	0.0 %	0.625786081589 %	0.0 %	0.0 %	0.0 %
TComSampleAdaptiveOffset::offsetBlock	3082142	999510	253321	45	111226	98713	45	933	8239	4.84395173857 %	0.001460023581 %	16.7571683651 %	0.212619548034 %	0.001460023581 %	0.732101935536 %
TEncEntropy::xEncodeTransform	3039570	1255229	618412	15515	87628	17176	15	100	6	2.4488872959 %	0.510434041657 %	5.59360090861 %	0.00246274788524 %	0.000493490855614 %	0.00565743384138 %
TEncSbac::load	2983656	994552	1243190	12097	7975	28	2	0	1	0.384954374288 %	0.405442182343 %	0.357637296882 %	5.74558767594e-05 %	6.70318562193e-05 %	4.46879041462e-05 %
TEncSearch::estIntraPredChromaQT	2967691	1295104	1220461	130645	247264	60772	26	130	33	8.0003742302 %	4.40224403417 %	12.2452013762 %	0.00344685712285 %	0.000876101993098 %	0.00647965765146 %
TComLoopFilter::xEdgeFilterLuma	2903326	1069390	463534	45	34880	4923	45	4456	22	0.898236122852 %	0.00154994650962 %	2.59654098964 %	0.101955480417 %	0.00154994650962 %	0.29212146199 %
TComPrediction::predIntraGetPredValDC	2813496	800840	156504	54067	34199	44183	4	0	411	3.51245345865 %	1.9217016836 %	8.18744359394 %	0.0110055054046 %	0.000142171874422 %	0.0429312765317 %
TComYuv::copyToPicComponent	2792812	1152460	740267	41432	57676	9803	8	333	49	2.32440707462 %	1.48352270042 %	3.56517342438 %	0.00832348210099 %	0.000286449642869 %	0.0201825197189 %
TComTrQuant::xITransformSkip	2745531	929421	491418	77214	101	5422	8	0	0	1.98582939105 %	2.81235214609 %	0.388713992226 %	0.000192013671373 %	0.000291382614146 %	0.0 %
TComDataCU::setIntraDirSubParts	2631650	1368458	736862	139995	274792	74802	2	20	133	10.3354887196 %	5.31966636901 %	16.6052666578 %	0.00327213387461 %	7.59979480554e-05 %	0.0072673037828 %
TComDataCU::initSubCU	2454624	935808	1041840	32754	53217	31932	16	5373	7872	2.66010299007 %	1.33437952208 %	4.30556903959 %	0.299191926849 %	0.00065183099326 %	0.669734957889 %
TComDataCU::getCtxQtCbf	2385480	1171184	0	229985	70962	0	1	0	0	8.46149650347 %	9.64103660479 %	6.05899670761 %	2.81162347638e-05 %	4.19202843872e-05 %	0.0 %
TEncEntropy::encodeQtCbf	2368702	1353544	845965	72357	45532	6093	1	0	0	2.71401649355 %	3.05471097673 %	2.34711474243 %	2.18904074265e-05 %	4.22172143224e-05 %	0.0 %
TComPrediction::xDCPredFiltering	2251657	775553	249252	55176	5095	48	4	0	0	1.8409796909 %	2.45046203751 %	0.501851571762 %	0.00012208290528 %	0.000177646950668 %	0.0 %
TEncSbac::store	2164884	721628	902035	3574	28740	13411	0	0	283	1.20692708841 %	0.16508967686 %	2.59604363713 %	0.00746988225301 %	0.0 %	0.017429725257 %
TComDataCU::CUIsFromSameSliceAndTile	2089975	1309248	191486	36306	108658	0	3	88	0	4.03719711065 %	1.73714996591 %	7.24032373492 %	0.00253431843126 %	0.000143542386871 %	0.00586379731518 %
