BasketballPass__QP_32_nF_3_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw	L1Rate	I1Rate	D1Rate	LLRate	ILRate	DLRate
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/../strcmp.S:strcmp	169865	54573	0	33	1289	0	1	182	0	0.0	0.0	0.0	0.0	0.0	0.0
TComDataCU::getPUAboveLeft	162419	70875	36572	11471	5850	3730	11	44	13	0.0	0.0	0.0	0.0	0.0	0.0
/build/buildd/eglibc-2.19/malloc/malloc.c:malloc_consolidate	158704	52520	39210	23	10243	380	16	29	1	0.0	0.0	0.0	0.0	0.0	0.0
TEncSearch::xStoreIntraResultQT	158688	76608	42408	4869	8705	30	7	0	0	0.0	0.0	0.0	0.0	0.0	0.0
TEncBinCABACCounter::getNumWrittenBits	156464	88011	39116	2335	3663	2634	2	0	0	0.0	0.0	0.0	0.0	0.0	0.0
TComRdCost::calcRdCost	155896	53964	32978	4967	8544	20	5	6	0	0.0	0.0	0.0	0.0	0.0	0.0
TEncBinCABACCounter::encodeBinsEP	153032	55648	41736	1754	127	4	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
TComTU::getGolombRiceStatisticsIndex	148890	80626	12404	9804	3633	0	2	0	0	0.0	0.0	0.0	0.0	0.0	0.0
TEncSearch::xRecurIntraCodingQT	148544	52915	42418	6430	6940	3350	35	8	8	0.0	0.0	0.0	0.0	0.0	0.0
df::program_options_lite::Options::addOption	146684	45001	44151	161	5215	270	29	2	0	0.0	0.0	0.0	0.0	0.0	0.0
TComCUMvField::clearMvField	146310	8040	45070	258	506	2436	3	19	524	0.0	0.0	0.0	0.0	0.0	0.0
QpParam::QpParam	137194	35788	27144	6747	2035	0	3	1	0	0.0	0.0	0.0	0.0	0.0	0.0
TEncSbac::resetBits	136906	88011	48895	1254	23018	215	1	12	1	0.0	0.0	0.0	0.0	0.0	0.0
TEncSearch::xEncIntraHeader	132433	51804	33993	14809	8278	1968	11	0	1	0.0	0.0	0.0	0.0	0.0	0.0
TComCUMvField::create	130128	936	32504	9	97	3911	9	2	3820	0.0	0.0	0.0	0.0	0.0	0.0
TComPrediction::UseDPCMForFirstPassIntraEstimation	128858	81384	13564	305	10512	0	2	0	0	0.0	0.0	0.0	0.0	0.0	0.0
TComTrQuant::getSigCoeffGroupCtxInc	124590	41612	9075	120	227	0	2	0	0	0.0	0.0	0.0	0.0	0.0	0.0
TEncEntropy::encodeIntraDirModeLuma	124236	70992	44370	886	1689	72	1	1	0	0.0	0.0	0.0	0.0	0.0	0.0
TEncEntropy::encodeCoeffNxN	124187	67286	35645	6298	1909	5974	4	1	3	0.0	0.0	0.0	0.0	0.0	0.0
TComDataCU::setTransformSkipSubParts	123050	63986	34454	4314	14968	175	2	0	3	0.0	0.0	0.0	0.0	0.0	0.0
TEncBinCABAC::resetBits	117348	29337	68453	948	2401	0	1	5	0	0.0	0.0	0.0	0.0	0.0	0.0
operator	114024	34208	34208	6	902	407	3	3	3	0.0	0.0	0.0	0.0	0.0	0.0
TEncSbac::TEncSbac	112788	1404	48750	58	2	5071	29	0	5007	0.0	0.0	0.0	0.0	0.0	0.0
TEncEntropy::estimateBit	108576	49764	36192	123	8626	3060	2	11	0	0.0	0.0	0.0	0.0	0.0	0.0
TComTrQuant::invTransformNxN	108259	52547	40430	6917	2953	2432	10	0	0	0.0	0.0	0.0	0.0	0.0	0.0
TEncSearch::xEncSubdivCbfQT	105743	44140	22653	385	1531	385	0	0	3	0.0	0.0	0.0	0.0	0.0	0.0
TEncSearch::xEncCoeffQT	99207	51921	24050	499	2645	86	0	10	0	0.0	0.0	0.0	0.0	0.0	0.0
TEncSbac::xWriteCoefRemainExGolomb	93330	37492	24136	915	125	63	6	0	0	0.0	0.0	0.0	0.0	0.0	0.0
/build/buildd/eglibc-2.19/malloc/malloc.c:free	88330	20075	12045	6	1576	122	5	5	0	0.0	0.0	0.0	0.0	0.0	0.0
TComDataCU::setTrIdxSubParts	86016	43008	25088	7074	10111	0	2	0	0	0.0	0.0	0.0	0.0	0.0	0.0
TComDataCU::setCbfPartRange	81972	40986	27324	2413	6649	2156	2	21	0	0.0	0.0	0.0	0.0	0.0	0.0
/build/buildd/eglibc-2.19/elf/dl-lookup.c:check_match.9376	81608	33454	14777	57	1338	383	7	128	47	0.0	0.0	0.0	0.0	0.0	0.0
TComDataCU::setExplicitRdpcmModePartRange	81432	40716	27144	4629	2185	3758	2	0	6	0.0	0.0	0.0	0.0	0.0	0.0
TComTU::GetEquivalentLog2TrSize	80465	36575	7315	2682	1479	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0
TEncSbac::getNumberOfWrittenBits	78232	48895	19558	0	643	26	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
__dynamic_cast	77787	28944	28944	21	1117	608	3	0	0	0.0	0.0	0.0	0.0	0.0	0.0
isAboveLeftAvailable	77050	26800	26800	7452	4518	4386	3	3	10	0.0	0.0	0.0	0.0	0.0	0.0
TComRdCost::setDistParam	76908	40716	27144	4492	4744	0	1	6	0	0.0	0.0	0.0	0.0	0.0	0.0
TComPrediction::predIntraGetPredValDC	76543	21492	4098	1469	1556	1190	4	0	15	0.0	0.0	0.0	0.0	0.0	0.0
TComTU::useDST	73923	44979	8606	845	652	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0
0x00046e90	73172	73172	0	4	0	0	2	0	0	0.0	0.0	0.0	0.0	0.0	0.0
xITrMxN	71358	19184	21951	9309	544	3264	20	0	8	0.0	0.0	0.0	0.0	0.0	0.0
TEncSbac::load	69876	23292	29115	311	3301	1	2	0	0	0.0	0.0	0.0	0.0	0.0	0.0
/build/buildd/eglibc-2.19/elf/dl-addr.c:_dl_addr	68479	27239	4330	12	1806	14	11	1343	0	0.0	0.0	0.0	0.0	0.0	0.0
TEncSearch::estIntraPredChromaQT	66643	29126	27544	2687	5147	1245	26	2	5	0.0	0.0	0.0	0.0	0.0	0.0
TEncSbac::codeTransformSkipFlags	65204	36857	10428	3551	2783	1108	4	2	0	0.0	0.0	0.0	0.0	0.0	0.0
TComPrediction::xDCPredFiltering	64616	22093	7033	1532	280	0	4	0	0	0.0	0.0	0.0	0.0	0.0	0.0
TComYuv::copyToPicComponent	62476	25796	16415	968	1277	265	8	37	3	0.0	0.0	0.0	0.0	0.0	0.0
/build/buildd/eglibc-2.19/elf/do-rel.h:_dl_relocate_object	61350	28677	11812	12	2933	100	12	1314	0	0.0	0.0	0.0	0.0	0.0	0.0
TComDataCU::setIntraDirSubParts	61175	31811	17129	3149	8054	2632	2	0	0	0.0	0.0	0.0	0.0	0.0	0.0
TComDataCU::initSubCU	58660	22464	24902	784	1334	687	16	56	83	0.0	0.0	0.0	0.0	0.0	0.0
TAppEncCfg::parseCfg	54581	25430	35026	1397	1726	3087	1080	1	631	0.0	0.0	0.0	0.0	0.0	0.0
partialButterflyInverse4	53200	27512	7904	584	112	456	8	2	4	0.0	0.0	0.0	0.0	0.0	0.0
operator	52173	16054	16054	11	280	113	2	1	0	0.0	0.0	0.0	0.0	0.0	0.0
TEncEntropy::encodeQtCbf	51814	29608	18505	1464	1358	479	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0
std::string::find_first_not_of	50868	18095	16770	7	42	1	2	0	0	0.0	0.0	0.0	0.0	0.0	0.0
TComDataCU::getCtxQtCbf	49872	24052	0	5104	87	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0
TEncSbac::store	48696	16232	20290	189	2255	566	0	0	2	0.0	0.0	0.0	0.0	0.0	0.0
std::_Rb_tree<std::string,	48478	16951	15541	229	361	122	17	0	0	0.0	0.0	0.0	0.0	0.0	0.0
std::string::_Rep::_S_create	47737	10748	12539	5	90	732	2	0	336	0.0	0.0	0.0	0.0	0.0	0.0
TComYuv::copyToPartComponent	47006	16772	11696	324	487	60	9	7	0	0.0	0.0	0.0	0.0	0.0	0.0
std::basic_string<char,	43468	15228	7564	8	961	173	3	1	25	0.0	0.0	0.0	0.0	0.0	0.0
__cxxabiv1::__si_class_type_info::__do_dyncast	41276	18210	9712	142	80	249	3	0	0	0.0	0.0	0.0	0.0	0.0	0.0
TEncEntropy::xEncodeTransform	39409	16312	7758	306	1582	330	15	1	0	0.0	0.0	0.0	0.0	0.0	0.0
TEncSbac::codePartSize	36614	18438	8458	2902	3007	206	4	1	2	0.0	0.0	0.0	0.0	0.0	0.0
TComDataCU::setTransformSkipPartRange	36540	18270	12180	358	973	360	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0
TComDataCU::setCrossComponentPredictionAlphaPartRange	36540	18270	12180	144	888	76	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0
TComTrQuant::xITransformSkip	35466	12006	6348	999	0	318	8	0	0	0.0	0.0	0.0	0.0	0.0	0.0
TComDataCU::setCbfSubParts	35175	18291	9849	1203	1415	0	1	9	0	0.0	0.0	0.0	0.0	0.0	0.0
TComDataCU::CUIsFromSameSliceAndTile	34950	17475	6990	1471	0	0	2	0	0	0.0	0.0	0.0	0.0	0.0	0.0
TComTrQuant::invRdpcmNxN	34695	17990	7710	3587	2312	974	3	5	0	0.0	0.0	0.0	0.0	0.0	0.0
std::istream::sentry::sentry	34157	14143	5742	7	445	256	4	3	0	0.0	0.0	0.0	0.0	0.0	0.0
__cxxabiv1::__vmi_class_type_info::__do_dyncast	33919	14877	7142	126	215	107	7	1	0	0.0	0.0	0.0	0.0	0.0	0.0
TEncBinCABAC::getTEncBinCABAC	33324	33324	0	11	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0
TComPicYuv::create	32665	2468	5807	21	33	634	19	1	612	0.0	0.0	0.0	0.0	0.0	0.0
std::string::_M_mutate	31863	11592	8256	15	354	38	7	0	0	0.0	0.0	0.0	0.0	0.0	0.0
char*	31052	8384	11157	222	160	40	8	0	0	0.0	0.0	0.0	0.0	0.0	0.0
/build/buildd/eglibc-2.19/libio/fileops.c:_IO_file_xsputn@@GLIBC_2.1	30922	7415	3682	19	45	9	7	10	2	0.0	0.0	0.0	0.0	0.0	0.0
TComBitCounter::getNumberOfWrittenBits	29337	29337	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0
TComBitCounter::resetBits	29337	19558	9779	2608	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0
TEncSearch::xSetIntraResultQT	29252	13438	9206	1919	2175	836	5	11	1	0.0	0.0	0.0	0.0	0.0	0.0
TComDataCU::copyPartFrom	27495	11562	10434	756	1035	185	21	18	4	0.0	0.0	0.0	0.0	0.0	0.0
TComDataCU::copyToPic	26884	12126	9917	720	1187	126	20	10	3	0.0	0.0	0.0	0.0	0.0	0.0
TComTU::TComTU	25600	10240	10496	997	1432	1123	8	0	17	0.0	0.0	0.0	0.0	0.0	0.0
std::string::find_first_of	25238	8556	7426	16	0	0	3	0	0	0.0	0.0	0.0	0.0	0.0	0.0
std::locale::id::_M_id	24916	10321	6215	6	309	0	2	4	0	0.0	0.0	0.0	0.0	0.0	0.0
char*	24708	6484	9010	9	53	21	3	0	0	0.0	0.0	0.0	0.0	0.0	0.0
/build/buildd/eglibc-2.19/stdio-common/vfprintf.c:vfprintf	24598	8322	6032	122	96	48	72	15	6	0.0	0.0	0.0	0.0	0.0	0.0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/strlen-sse2-bsf.S:__strlen_sse2_bsf	23811	4708	1330	136	883	0	10	755	0	0.0	0.0	0.0	0.0	0.0	0.0
std::_Rb_tree_insert_and_rebalance	23784	8888	5284	10	742	326	6	0	0	0.0	0.0	0.0	0.0	0.0	0.0
TComYuv::copyFromPicComponent	23160	9014	6364	264	565	172	6	32	8	0.0	0.0	0.0	0.0	0.0	0.0
std::istreambuf_iterator<char,	23093	6231	5852	209	567	8	27	0	0	0.0	0.0	0.0	0.0	0.0	0.0
TEncSearch::xSetIntraResultChromaQT	22830	10407	7298	380	827	137	7	2	0	0.0	0.0	0.0	0.0	0.0	0.0
TEncCu::xCompressCU	22497	10704	7568	2167	3685	545	18	42	0	0.0	0.0	0.0	0.0	0.0	0.0

RESULTS	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw
Entropy	12862536	4755945	3184804	192601	359900	148185	209	442	5112	1.0	1.0	1.0	1.0	1.0	1.0
Filter	1	1	1	1	1	1	1	1	1	1.0	1.0	1.0	1.0	1.0	1.0
InvQuant	2243288	849895	124176	9101	5677	11580	13	1	1	1.0	1.0	1.0	1.0	1.0	1.0
Quant	23396084	8973751	4931106	153727	524593	538149	178	339	1827	1.0	1.0	1.0	1.0	1.0	1.0
InvTransf	7693635	4031801	754719	30003	55633	44508	145	151	33	1.0	1.0	1.0	1.0	1.0	1.0
Transf	16391160	6807969	2897604	236769	393122	208312	489	448	25928	1.0	1.0	1.0	1.0	1.0	1.0
Pre/Pos	1896087	744336	541179	34107	49670	32390	91	1580	574	1.0	1.0	1.0	1.0	1.0	1.0
Inter/Intra	43026557	15334690	8947396	286624	480045	295813	340	1612	3950	0.0	0.0	0.0	0.0	0.0	0.0
Intra	20868008	7248527	3755593	170110	374391	191801	169	807	3064	1.0	1.0	1.0	1.0	1.0	1.0
Inter	275169	89425	58635	564	11019	2437	6	20	525	1.0	1.0	1.0	1.0	1.0	1.0
Inter/Intra	21883380	7996738	5133168	115950	94635	101575	165	785	361	1.0	1.0	1.0	1.0	1.0	1.0
PROGRAM TOTALS	136235087	52416632	27454634	1215142	2811823	2190037	8859	53104	159372	0.0	0.0	0.0	0.0	0.0	0.0
