Traffic__QP_32_nF_5_SR_1_MSizeL1_16384_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TEncSearch::xPatternRefinement	8752824558	3356209483	2015626598	18106620	51704253	3978138	58	36	0	8734717880	3304505194	2011648460	0.522412629131 %	0.206866022277 %	1.03656161805 %	6.65502714737e-07 %	6.62643237228e-07 %	6.70161923357e-07 %
TEncSbac::estSignificantMapBit	8583360478	3178775692	1515895348	83898278	60231155	131926131	85	331	82	8499462115	3118544206	1383969135	2.07903983076 %	0.97745257484 %	4.09309373038 %	3.75055594141e-06 %	9.90288130364e-07 %	8.79720850473e-06 %
TEncBinCABACCounter::encodeBin	8532666684	4108320996	2528197536	8880566	95091476	7763228	22	257	168	8523786096	4013229263	2520434140	0.736593748504 %	0.104077263637 %	1.54982922905 %	2.94676341303e-06 %	2.57832642651e-07 %	6.4039601178e-06 %
TComTrQuant::xDeQuant	8390242571	3179303097	462818047	32097078	2314235	27617728	128	0	9	8358145365	3176988862	435200310	0.515518334296 %	0.382552443846 %	0.821827770592 %	1.13859590056e-06 %	1.52558163744e-06 %	2.4710874911e-07 %
void	8253502700	5429545250	330024820	2784809	21801594	13656659	84	245489	6138	8250717807	5407498167	316362023	0.272909893695 %	0.0337409352274 %	0.61564062194 %	0.00179625842334 %	1.01774971249e-06 %	0.00436885039928 %
partialButterflyInverse16	7918757808	4617032368	661242296	14805990	7358839	28325329	887	223	86	7903950931	4609673306	632916881	0.382587207443 %	0.186973643581 %	0.676057429208 %	9.0626434582e-06 %	1.1201251781e-05 %	5.85418568889e-06 %
TComTrQuant::transformNxN	7747363254	3746558775	2970025493	147967236	93390065	9412692	129	258	0	7599395889	3653168452	2960612801	1.73375900748 %	1.90990445586 %	1.53058091581 %	2.6756181147e-06 %	1.66508263225e-06 %	3.84123819051e-06 %
TComYuv::addClip	7485984300	2006735124	697319772	19484012	52174352	33854024	104	620	9549	7466500184	1954560152	663456199	1.03544634099 %	0.26027321484 %	3.18145819182 %	0.00010081413626 %	1.38926286554e-06 %	0.000376064850423 %
TEncEntropy::countNonZeroCoeffs	7278721442	839360082	17219956	2577553	63981049	0	41	631640	0	7276143848	774747393	17219956	0.818145488076 %	0.035412167103 %	7.46936026543 %	0.00776469073154 %	5.63285740864e-07 %	0.0737397525017 %
0x001366a7	6974823792	6974823792	0	3905651	0	0	7	0	0	6970918134	6974823792	0	0 %	0 %	0 %	0 %	0 %	0 %
TEncSearch::xPatternSearch	6890675896	2717794128	2408454768	6879248	2479434	1533896	144	0	0	6883796504	2715314694	2406920872	0.0906436396045 %	0.0998341542082 %	0.0782897998404 %	1.19830990451e-06 %	2.08978048269e-06 %	0.0 %
TComRdCost::xGetSSE16	6739213486	2921389574	2718313834	20956711	66351523	5910778	94	0	400	6718256681	2855038051	2712402656	0.753046593642 %	0.310966718053 %	1.28131385238 %	3.99065608268e-06 %	1.39482152027e-06 %	7.09257156028e-06 %
TComRdCost::xGetSSE8	6609825646	2793503684	2386575982	44195214	50123165	13744603	160	0	2	6565630272	2743380519	2372831377	0.91657209401 %	0.668629043593 %	1.23294953202 %	1.37405683687e-06 %	2.42063873647e-06 %	3.86094448147e-08 %
TEncSbac::estCBFBit	6571672520	3051133670	1549037094	95627286	135729338	110021833	88	180	43	6476045146	2915404152	1439015218	3.05570395432 %	1.4551438117 %	5.34221844378 %	2.7837841267e-06 %	1.33908072461e-06 %	4.84764612969e-06 %
getTUEntropyCodingParameters	6478160222	2780354652	1593444933	69729050	81077061	79224893	101	369	2221	6408431071	2699277222	1514217819	2.11971854016 %	1.07637118581 %	3.66505028145 %	2.47973642352e-05 %	1.55908462494e-06 %	5.92162477879e-05 %
TComYuv::copyPartToPartComponent	6471446194	2309306616	1313408168	34742471	23278562	1049040	137	487	0	6436703586	2286027567	1312359128	0.585190518843 %	0.53685791334 %	0.671529597291 %	6.18179164529e-06 %	2.11699202764e-06 %	1.34429572582e-05 %
TComYuv::removeHighFreq	5823522916	1684263364	727379364	9330027	63665611	20000	122	8	0	5814192767	1620597745	727359364	0.886632293222 %	0.160212763555 %	2.64075645454 %	1.57859605526e-06 %	2.09495183173e-06 %	3.31724094416e-07 %
TEncSearch::xEstimateResidualQT	5649091965	2133008111	1889063125	179506178	102054826	41627514	360	144	2394	5469585427	2030953141	1847433217	3.34177504074 %	3.17761118269 %	3.57234697173 %	2.99653716908e-05 %	6.37270559995e-06 %	6.31018162305e-05 %
TComRdCost::xGetSAD4	5592300564	1756993714	320139518	4102755	18433490	2706816	71	1477	0	5588197738	1738558747	317432702	0.329138521453 %	0.0733643507363 %	1.01776360198 %	2.01840193315e-05 %	1.26960271873e-06 %	7.1107619735e-05 %
TComRdCost::calcRdCost	5565021168	1934436216	1205505588	29518172	87730471	467335	147	10	0	5535502849	1846705735	1205038253	1.3522857981 %	0.530423355256 %	2.8088993843 %	1.80356884349e-06 %	2.6414993863e-06 %	3.1847724016e-07 %
TComTrQuant::xTransformSkip	5381704460	1492199873	1076340892	73384826	6078041	24430999	67	0	0	5308319567	1486121832	1051909893	1.3068007723 %	1.36359821587 %	1.18779660482 %	8.42741300474e-07 %	1.24495873934e-06 %	0.0 %
TComRdCost::xGetSSE32	5323932260	2336871351	2259495329	6952386	61627608	2085966	187	37	0	5316979687	2275243706	2257409363	0.712337001409 %	0.130587424116 %	1.38617256707 %	2.25799647122e-06 %	3.51244138482e-06 %	8.04983644168e-07 %
TComTU::TComTU	5317131122	1927131812	1857846397	24244483	37489619	36985503	124	20	825	5292886515	1889642173	1820860069	1.08457942451 %	0.455969251909 %	1.96764995431 %	1.06458839898e-05 %	2.33208467414e-06 %	2.23250955049e-05 %
TComDataCU::initEstData	5195730564	2424693257	2229648059	18555233	10196473	55508123	80	641	5615	5177175251	2414496143	2174134321	0.85542349362 %	0.357124619367 %	1.41168409317 %	6.43244036916e-05 %	1.53972572316e-06 %	0.000134412145033 %
TComRdCost::getDistPart	5119702663	1660215655	2947346992	81455985	6309309	8975428	44	0	0	5038246634	1653906346	2938371564	0.994531545269 %	1.5910296039 %	0.331731506894 %	4.52336793516e-07 %	8.59424909927e-07 %	0.0 %
TComTURecurse::nextSection	4565081541	2013149203	1064638124	51000770	10396151	4471884	241	0	12	4514080530	2002753052	1060166228	0.86183350961 %	1.11719296889 %	0.483075450651 %	3.31027529544e-06 %	5.27920471596e-06 %	3.89890487063e-07 %
TEncSearch::predInterSearch	4484995229	1056072888	1909501115	141591077	118167910	139961667	1580	262	433	4343402572	937904716	1769539015	5.36496798504 %	3.1569950417 %	8.70420285378 %	3.05345796967e-05 %	3.52285770514e-05 %	2.34355979415e-05 %
TEncSbac::codeQtCbf	4365483030	1802453150	1104729350	90448956	9755179	10401739	92	6	211	4275033982	1792697965	1094327400	1.52084367889 %	2.0719117536 %	0.693348903965 %	4.2487860706e-06 %	2.10744147596e-06 %	7.46427167885e-06 %
TComYuv::subtract	4212272940	1432499044	613191048	15759022	42461463	36515213	56	2008	7880	4196513862	1390035573	576667955	1.51384240392 %	0.374121578171 %	3.86063736188 %	0.000158901545905 %	1.32944851385e-06 %	0.000483357671754 %
TComDataCU::clipMv	4030079680	1392209344	659467584	9888014	32436787	909992	31	0	0	4020191635	1359772557	658557592	0.710893180814 %	0.245355297789 %	1.6253425939 %	5.09721154563e-07 %	7.69215560522e-07 %	0.0 %
fillReferenceSamples	3966379200	1118709998	532965725	77923251	35693296	62315439	1020	12750	56781	3888454929	1083003952	470593505	3.1315462097 %	1.96459408117 %	5.93389692875 %	0.00125579049986 %	2.57161493788e-05 %	0.00420972464702 %
partialButterflyInverse8	3862608464	2043032576	473924624	19725903	3925754	21352880	274	53	204	3842882287	2039106769	452571540	0.705448291785 %	0.510688649493 %	1.00433308918 %	8.32345065427e-06 %	7.09365193376e-06 %	1.02107417639e-05 %
TEncSampleAdaptiveOffset::getBlkStats	3761138740	1231741564	713698685	301	13097630	1326322	301	3660712	1204991	3761138138	1214983222	711167372	0.252765326263 %	8.00289542098e-06 %	0.741423541916 %	0.0852700717782 %	8.00289542098e-06 %	0.250108066927 %
TEncSbac::xCopyContextsFrom	3683629710	1473451884	1473451884	3568194	84795892	18650915	16	240	162	3680061500	1388655752	1454800807	1.61397271208 %	0.0968662509783 %	3.51035578845 %	6.30416845623e-06 %	4.34354190286e-07 %	1.36414362887e-05 %
TComTrQuant::xQuant	3334873190	1515851450	1091413044	16786441	17512082	46969098	32	0	133	3318086717	1498339368	1044443813	1.36764957868 %	0.503360699002 %	2.47313535502 %	2.77677847224e-06 %	9.59556726054e-07 %	5.10113186852e-06 %
TEncBinCABAC::copyState	3271090008	1771840421	1362954170	4629564	139338817	29116379	21	33	253	3266460423	1632501571	1333837538	2.70196500304 %	0.14152970382 %	5.37372357614 %	4.79246847575e-06 %	6.41987837346e-07 %	9.12340479408e-06 %
__memcpy_chk_ssse3	3092422012	926716832	571093194	2039912	36182235	95498729	10	0	142	3090382090	890534597	475594323	2.91316157643 %	0.0659648648239 %	8.79156646799 %	3.31137944099e-06 %	3.23371129852e-07 %	9.48050804408e-06 %
TComRdCost::xGetSAD24	3088715248	811765496	27662984	58328	2192931	43070	228	95	0	3088656692	809572470	27619914	0.0584074605938 %	0.00188842270383 %	0.266371829557 %	8.22271338234e-06 %	7.38170992446e-06 %	1.13172238331e-05 %
TComTrQuant::calcPatternSigCtx	2891054760	1169279566	137257252	4743382	846114	0	42	0	0	2886311336	1168433452	137257252	0.13315959631 %	0.164070984252 %	0.0647600579137 %	1.00057376282e-06 %	1.45275698617e-06 %	0.0 %
fastForwardDst	2870418182	1314246138	346542514	14042863	1731810	20515217	172	26	225	2856375147	1312514302	326027072	0.800887960525 %	0.489227078063 %	1.33954594242 %	9.3352613442e-06 %	5.99215825341e-06 %	1.51133017255e-05 %
TComDataCU::getQuadtreeTULog2MinSizeInCU	2814421988	1193935974	394113160	22064831	38516880	5466126	65	2248	78	2792357092	1155416846	388646956	1.5002446392 %	0.783991565376 %	2.76962501086 %	5.4310407354e-05 %	2.30953283755e-06 %	0.000146469019768 %
TEncSbac::xCopyFrom	2701328454	1227876570	1227876570	4497586	57612890	5833507	36	415	159	2696830832	1170263265	1222042904	1.31748900539 %	0.166495340222 %	2.58358203708 %	1.18283953605e-05 %	1.33267762929e-06 %	2.33736848648e-05 %
TEncSbac::codeIntraDirLumaAng	2658614559	919241609	923064614	51391930	8756939	194896	321	7970	5	2607222308	910476700	922869713	1.34069822427 %	1.93303424996 %	0.485903748695 %	0.000184317840767 %	1.20739578031e-05 %	0.000432881347326 %
TComDataCU::setTransformSkipPartRange	2627431092	1313715546	875810364	4037724	1574440	0	15	0	0	2623393353	1312141106	875810364	0.116508492762 %	0.153675733392 %	0.0719078040049 %	3.11399914796e-07 %	5.70899843793e-07 %	0.0 %
TComTrQuant::rdpcmNxN	2485996378	1152047102	727608696	42895427	24655207	115140193	38	0	473	2443100913	1127391895	612468030	4.18473161935 %	1.72548228065 %	7.43728719634 %	1.17050094556e-05 %	1.52856216269e-06 %	2.51641816817e-05 %
TEncSbac::estBit	2393966418	751048288	1502096576	11174820	466067	2263853	52	0	2	2382791546	750582221	1499832721	0.29921254638 %	0.466791009096 %	0.121160429745 %	1.16201219904e-06 %	2.17212737861e-06 %	8.87648207603e-08 %
TComTrQuant::xIT	2392242496	520725882	480517132	19465458	5364484	36592343	59	3	17350	2372776979	515361395	443907439	1.81000581317 %	0.813690837469 %	4.1904738823 %	0.0005131007617 %	2.46630515504e-06 %	0.00173314567566 %
TComYuv::clear	2373538686	613386402	533379480	4732079	15640290	1077216	33	2096	10	2368806574	597744016	532302254	0.609310489637 %	0.199368100799 %	1.45779589909 %	6.07617880408e-05 %	1.39032913997e-06 %	0.00018364690065 %
xTrMxN	2280337134	668650289	608381472	73974446	29921281	70614420	216	16	623	2206362472	638728992	537766429	4.90559602197 %	3.24401356699 %	7.87260771974 %	2.40346173039e-05 %	9.47228358384e-06 %	5.00379097462e-05 %
TComDataCU::xAddMVPCand	2246729761	911261280	426444008	16754074	120219087	2018137	142	1099916	7	2229975545	789942277	424425864	3.87763472067 %	0.745709354584 %	9.13782916884 %	0.0306900525456 %	6.32029728118e-06 %	0.0822246132887 %
TComDataCU::getPULeft	2208137345	1111863894	451278302	32223546	27740069	3766040	74	12429	13	2175913725	1084111396	447512249	1.68986823456 %	1.45930895435 %	2.01556256882 %	0.000331876750687 %	3.35124081695e-06 %	0.000795960855758 %
TComCUMvField::clearMvField	2192583762	132847800	675492746	5058153	3029093	29554006	18	5597	662043	2187525591	129813110	645276697	1.25432194007 %	0.230693717963 %	4.03086287843 %	0.0222484118716 %	8.20949252291e-07 %	0.0825939021992 %
TComPrediction::xPredInterUni	2160395796	858029536	704809976	11029439	12179790	3773261	51	346	3	2149366306	845849400	701036712	0.724705471664 %	0.510528627228 %	1.0207734625 %	1.07433446159e-05 %	2.360678543e-06 %	2.23311477167e-05 %
TEncSearch::xGetTemplateCost	2119023632	910654784	718016272	22533382	48679387	1769799	55	298	0	2096490195	861975099	716246473	1.94739897659 %	1.06338512038 %	3.09756754221 %	9.4191237384e-06 %	2.59553499873e-06 %	1.82971262921e-05 %
TComPrediction::predIntraAng	2054373860	833165256	546574812	20234974	4121024	676115	210	0	28	2034138676	829044232	545898669	0.728924943226 %	0.984970379247 %	0.347684256713 %	6.930463141e-06 %	1.02220926818e-05 %	2.0293677519e-06 %
TComDataCU::getPUAbove	2005448353	960615863	453845381	46076332	13470431	4306788	111	3582	158	1959371910	947141850	449538435	1.86711224928 %	2.29755764745 %	1.25681909458 %	0.000112605315748 %	5.53492189584e-06 %	0.00026441162781 %
TComCUMvField::setAllMv	1987709399	601500819	377613300	6505119	9758288	19696662	209	88	4578	1981204071	591742443	357912060	1.2120730735 %	0.327267104702 %	3.00832655034 %	0.000164317155046 %	1.05146154717e-05 %	0.000476553234138 %
QpParam::QpParam	1967575335	875883118	599787188	35361970	46284130	0	47	54	0	1932213318	829598934	599787188	2.3711959155 %	1.79723588576 %	3.13648176099 %	2.93327896207e-06 %	2.38872683368e-06 %	3.65935397497e-06 %
TComPrediction::initAdiPatternChType	1965405653	754359583	549326099	49432905	21971914	22758485	576	964	38258	1915972172	732386705	526529356	2.88041214976 %	2.51515024008 %	3.43107235261 %	0.00121740251103 %	2.93069270011e-05 %	0.00300854727037 %
TEncSearch::xMotionEstimation	1964598424	828435516	644115524	58114506	60903296	11315400	293	129144	5	1906483625	767403076	632800119	3.79189800633 %	2.95808574872 %	4.90432548946 %	0.00376596948593 %	1.4913989364e-05 %	0.00877042604921 %
TEncSearch::xTZSearch	1919423189	698877062	747237186	87175345	11341799	4229485	771	2	0	1832247073	687535261	743007701	3.05290405837 %	4.5417469946 %	1.07676720712 %	2.29680998791e-05 %	4.01683174622e-05 %	1.38301659275e-07 %
TComDataCU::getIntraDirPredictor	1902508298	628964136	500404768	39646129	12603714	611642	308	2426	7	1862861861	616357996	499793119	1.74352328535 %	2.08388731033 %	1.17015405269 %	9.04060361743e-05 %	1.61891540932e-05 %	0.000215430050481 %
TComDataCU::fillMvpCand	1856177770	574093086	737852184	36937409	35069606	5246461	254	29613	312	1819240107	538993867	732605411	2.438461986 %	1.98997152089 %	3.07299915034 %	0.000952582952713 %	1.36840341537e-05 %	0.00228096405272 %
TComDataCU::setCbfPartRange	1788767136	894383568	596255712	8159446	21075688	5611602	15	4	0	1780607675	873307876	590644110	1.062592786 %	0.456149145173 %	1.79032515499 %	5.79373142264e-07 %	8.3856639012e-07 %	2.68341244838e-07 %
TComDataCU::setExplicitRdpcmModePartRange	1788712992	894356496	596237664	13594550	4711755	27296745	9	0	224	1775118433	889644741	568940695	1.39063063892 %	0.760018519505 %	2.14736518222 %	7.10515938886e-06 %	5.03155064018e-07 %	1.50275645787e-05 %
TEncSearch::xEncodeResidualQT	1787283290	804520527	389747676	6178743	1375811	9647309	69	0	318	1781104478	803144716	380100049	0.576943347797 %	0.345705856177 %	0.923002050319 %	1.29798194299e-05 %	3.8606079062e-06 %	2.66271846811e-05 %
TEncSearch::xExtDIFUpSamplingQ	1786245306	628958674	909440008	54537784	50006085	293953	525	117	0	1731706997	578952472	909146055	3.15335483674 %	3.05320796739 %	3.26963605654 %	1.93103382593e-05 %	2.93912598811e-05 %	7.6053107279e-06 %
TEncSbac::estSignificantCoeffGroupMapBit	1783739684	891869842	469405180	25176548	17568001	84987404	18	10	13	1758563118	874301831	384417763	4.06141035704 %	1.41144743405 %	7.53377556648 %	1.30365050191e-06 %	1.00911585706e-06 %	1.68959245033e-06 %
TComDataCU::getCoefScanIdx	1742888929	751950252	359597753	44984675	4202377	12950147	121	175	771	1697904133	747747700	346646835	2.17686361397 %	2.58104083694 %	1.54312039812 %	3.73804019732e-05 %	6.94249633391e-06 %	8.51065357272e-05 %
TComPrediction::xPredIntraPlanar	1707179975	768194534	295317290	12363271	3501	14215843	179	0	3590	1694816525	768191033	281097857	0.959421578741 %	0.72419259721 %	1.3370179512 %	0.000136031008622 %	1.04851276738e-05 %	0.000337560892036 %
TComDataCU::setCrossComponentPredictionAlphaPartRange	1702712700	851356350	567570900	1678961	4199629	0	10	0	0	1701033729	847156721	567570900	0.188317361841 %	0.0986050670791 %	0.295972115554 %	3.20344439467e-07 %	5.87298139023e-07 %	0.0 %
TComTU::getGolombRiceStatisticsIndex	1662180803	900172468	138488072	36167528	1986899	0	37	78	0	1626013238	898185491	138488072	1.41268672071 %	2.17590817646 %	0.191294356865 %	4.25793245124e-06 %	2.22599129609e-06 %	7.50967202432e-06 %
TComRdCost::xGetSSE64	1615332272	713515892	702026668	1302154	22504616	438520	469	34	26	1614029649	691011242	701588122	0.79994362499 %	0.0806121454125 %	1.62080156742 %	1.74537065805e-05 %	2.90342741323e-05 %	4.23865743747e-06 %
TEncSearch::estIntraPredQT	1607431744	558329926	774335710	37198728	15230979	10845286	1390	84	11	1570231626	543098863	763490413	2.15213936213 %	2.31417154345 %	1.9566997374 %	5.05085311154e-05 %	8.64733451475e-05 %	7.12856979528e-06 %
TEncSearch::xEstimateMvPredAMVP	1562701536	594769372	713999580	21491596	33305645	21441971	199	104	25	1541209741	561463623	692557584	2.65505817729 %	1.37528475559 %	4.18313835428 %	1.14227188254e-05 %	1.27343574839e-05 %	9.85659079113e-06 %
TEncSbac::resetBits	1535338966	987003621	548335345	6860262	22093927	1377894	18	42	5	1528478686	964909652	546957446	0.987797602735 %	0.446823936077 %	1.52877126939 %	2.1167964026e-06 %	1.17237954606e-06 %	3.06121325914e-06 %
