BasketballDrill__QP_32_nF_32_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw
/build/buildd/eglibc-2.19/elf/dl-misc.c:_dl_name_match_p	15924	3972	4998	7	372	74	2	0	5
std::basic_string<char,	15916	5150	4682	82	140	25	4	0	0
std::string::_Rep::_M_dispose	15537	5304	3789	5	561	3	3	4	0
/build/buildd/eglibc-2.19/elf/dl-runtime.c:_dl_fixup	15120	5712	2856	12	1347	44	5	135	0
std::string::find_first_of	14212	4914	4139	15	0	0	3	0	0
std::istream::sentry::sentry	13675	5657	1647	4	402	7	4	3	0
/build/buildd/eglibc-2.19/malloc/malloc.c:free	13508	3070	1842	4	408	0	4	1	0
std::locale::locale	12876	3996	3996	12	18	375	4	0	0
std::string::find	12536	3921	3134	72	213	24	3	0	0
TEncSbac::TEncSbac	11568	144	5000	29	0	522	29	0	511
/build/buildd/eglibc-2.19/elf/../sysdeps/i386/dl-tlsdesc.S:0x000187a8	10516	10516	0	3	0	0	1	0	0
df::program_options_lite::scanLine	10264	2809	4045	56	309	0	16	0	0
std::__detail::_List_node_base::_M_hook	10107	5615	4492	2	641	111	1	0	0
std::string::_M_leak_hard	9583	3478	3319	18	306	10	3	0	0
/build/buildd/eglibc-2.19/wcsmbs/btowc.c:btowc	8704	2688	1920	3	5	0	3	0	0
std::basic_ios<char,	8664	2604	4116	135	208	5	5	0	0
std::locale::~locale	8500	2975	1700	6	190	63	1	0	0
std::_Rb_tree<std::string,	8460	2403	2030	43	597	10	4	27	0
std::ios_base::ios_base	8023	678	3616	36	58	211	3	0	33
operator	7986	2458	2458	9	153	1	2	0	0
std::locale::_Impl::_M_install_facet	7620	2858	282	8	19	4	8	0	0
std::ostreambuf_iterator<char,	7488	2496	2176	178	394	317	8	0	0
std::_Rb_tree_decrement	7481	2919	0	6	174	0	4	0	0
bool	7132	2810	2162	10	377	4	3	0	0
bool	7128	2808	2160	18	162	4	2	0	0
bool	7128	2808	2160	16	158	4	2	0	0
TEncTop::TEncTop	6891	7	4162	22	2	536	22	0	527
TAppEncCfg::TAppEncCfg	6807	7	4101	16	2	525	16	0	525
std::string::_Rep::_M_destroy	6494	2362	2362	8	131	2	3	0	0
std::basic_ios<char,	6488	1732	3244	136	265	130	4	0	0
std::ctype<char>	6293	2604	1953	16	137	4	2	0	0
std::num_put<char,	6264	2592	1944	9	135	4	3	0	0
std::num_get<char,	6264	2592	1944	8	134	4	1	0	0
0x0005d090	6217	1776	889	3	143	1	1	1	0
std::string::find_last_not_of	6067	1640	1797	2	1	0	1	0	0
std::basic_streambuf<char,	5952	2176	1600	66	219	128	3	0	0
std::ios_base::_M_init	5948	1764	3084	48	83	11	4	0	0
std::locale::operator=	5940	2420	1760	17	20	0	3	0	0
/build/buildd/eglibc-2.19/elf/dl-version.c:_dl_check_map_versions	5935	2206	1027	14	145	81	14	49	66
0x0004672a	5865	1725	1380	2	23	0	0	0	0
std::basic_istream<char,	5802	2051	1572	48	116	0	12	2	0
operator	5566	2024	2024	4	16	2	2	0	0
df::program_options_lite::Option<GOPEntry>::setDefault	5504	4416	4224	1	531	512	1	0	0
std::basic_stringbuf<char,	5388	2054	1414	75	172	0	8	0	0
df::program_options_lite::OptionSpecific&	5375	1625	2375	3	72	4	3	0	0
/build/buildd/eglibc-2.19/elf/dl-cache.c:_dl_cache_libcmp	5063	900	369	5	41	11	5	38	0
std::ostream&	5005	2054	1543	8	113	1	8	0	0
std::istream::operator>>	4680	1580	1885	6	59	17	4	0	0
TComTrQuant::initScalingList	4516	1070	1335	4	18	82	4	1	55
0x00079e30	4452	1683	478	38	7	0	4	0	0
std::string::assign	4372	1395	812	33	43	3	4	0	0
std::string::reserve	4344	1614	1242	25	112	66	3	0	0
/build/buildd/eglibc-2.19/elf/dl-version.c:match_symbol	4299	1734	390	5	152	1	5	79	0
std::string::_Rep::_M_clone	4216	1612	1488	7	16	3	2	0	0
std::basic_stringbuf<char,	4188	1456	1304	69	80	1	4	0	0
/build/buildd/eglibc-2.19/stdlib/cxa_atexit.c:__new_exitfn	3517	732	739	5	25	35	5	1	2
0x000614d0	3499	1474	1170	2	22	14	1	0	0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/strcmp-ssse3.S:__strcmp_ssse3	3464	2165	0	76	150	0	2	1	0
std::ostream::sentry::sentry	3456	1408	896	2	133	0	2	0	0
std::basic_ostream<char,	3332	1538	962	68	99	64	5	0	0
std::ctype<wchar_t>::_M_initialize_ctype	3188	414	1231	9	17	66	9	0	38
/build/buildd/eglibc-2.19/elf/dl-load.c:_dl_map_object_from_fd	3160	1058	590	35	106	49	35	7	20
/build/buildd/eglibc-2.19/stdlib/strtod_l.c:____strtod_l_internal	3110	824	650	140	50	38	67	7	8
std::string::append	3072	1041	822	19	14	6	6	0	0
/build/buildd/eglibc-2.19/elf/dl-deps.c:_dl_map_object_deps	2935	657	413	28	80	32	28	0	5
std::ios_base::~ios_base	2864	922	1126	80	194	1	4	0	0
0x00061520	2807	1178	941	3	33	12	2	0	0
df::program_options_lite::setDefaults	2772	1730	692	1	923	17	1	13	0
std::num_get<char,	2724	1122	1122	3	7	0	3	0	0
0x00079dd0	2664	1110	222	1	0	0	1	0	0
0x000794c0	2650	1166	742	1	162	5	1	0	0
/build/buildd/eglibc-2.19/stdlib/getenv.c:getenv	2622	870	84	4	169	0	4	0	0
df::program_options_lite::scanFile	2599	827	703	18	432	0	6	0	0
__x86.get_pc_thunk.bx	2560	2560	0	3	0	0	1	0	0
0x00077dd0	2516	695	311	51	64	0	2	0	0
df::program_options_lite::OptionSpecific&	2508	627	1140	3	55	6	3	0	0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/../../i586/strlen.S:__GI_strlen	2460	421	0	21	17	0	8	6	0
/build/buildd/eglibc-2.19/wcsmbs/wctob.c:wctob	2432	768	640	2	0	0	2	0	0
std::string::find	2416	446	223	5	13	0	5	1	0
df::program_options_lite::storePair	2320	760	520	29	172	0	3	0	0
/build/buildd/eglibc-2.19/elf/dl-hwcaps.c:_dl_important_hwcaps	2317	477	335	22	0	7	22	0	6
/build/buildd/eglibc-2.19/elf/dl-load.c:_dl_map_object	2295	595	437	24	123	19	24	1	5
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/../../i586/strchr.S:index	2084	240	80	7	9	3	7	8	1
df::program_options_lite::Option<bool>::parse	1980	587	990	63	127	42	12	0	0
std::ios_base::_M_dispose_callbacks	1938	816	612	2	1	0	2	0	0
std::num_put<char,	1924	770	770	3	8	0	3	0	0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/../../i586/strlen.S:strlen	1865	266	0	4	6	0	4	5	0
/build/buildd/eglibc-2.19/elf/../sysdeps/i386/dl-trampoline.S:_dl_runtime_resolve	1848	1008	840	12	12	0	2	0	0
std::ios_base::_M_call_callbacks	1836	816	510	2	65	0	2	0	0
/build/buildd/eglibc-2.19/elf/dl-load.c:open_path	1800	638	469	12	53	32	12	0	0
ContextModel3DBuffer::ContextModel3DBuffer	1736	992	744	2	0	61	2	0	47
/build/buildd/eglibc-2.19/elf/dl-reloc.c:_dl_relocate_object	1718	626	304	11	72	12	11	0	0
df::program_options_lite::Option<int>::parse	1676	497	838	32	107	33	11	0	0
ContextModel::buildNextStateTable	1618	389	389	2	8	8	2	8	8
std::ios_base::Init::Init	1590	434	562	35	46	28	34	1	19
/build/buildd/eglibc-2.19/elf/get-dynamic-info.h:_dl_map_object_from_fd	1581	269	168	10	42	31	10	38	31
/build/buildd/eglibc-2.19/elf/dl-load.c:open_verify	1558	416	418	12	26	12	12	8	2
/build/buildd/eglibc-2.19/string/../sysdeps/x86_64/cacheinfo.c:intel_check_word	1546	364	127	7	16	2	7	15	0
/build/buildd/eglibc-2.19/string/../bits/stdlib-bsearch.h:intel_check_word	1532	322	93	1	0	0	1	0	0
std::num_get<char,	1490	398	344	63	15	0	20	0	0
std::istreambuf_iterator<char,	1488	388	368	54	27	3	27	0	0
/build/buildd/eglibc-2.19/stdlib/cxa_atexit.c:__cxa_atexit	1452	396	528	3	1	16	2	0	15
0x00047fc8	1414	1414	0	4	0	0	1	0	0
/build/buildd/eglibc-2.19/elf/dl-profstub.c:_dl_mcount_wrapper_check	1408	512	256	2	0	0	2	0	0
/build/buildd/eglibc-2.19/elf/dl-minimal.c:__libc_memalign	1390	332	313	4	22	26	4	0	2
/build/buildd/eglibc-2.19/elf/dl-cache.c:_dl_load_cache_lookup	1349	372	158	17	77	20	17	34	0
std::basic_stringbuf<char,	1344	512	384	66	0	1	2	0	0
df::program_options_lite::OptionSpecific&	1284	362	394	12	59	3	12	0	2
/build/buildd/eglibc-2.19/libio/fileops.c:_IO_file_xsputn@@GLIBC_2.1	1246	310	183	6	0	5	6	0	2
/build/buildd/eglibc-2.19/elf/dl-minimal.c:strsep	1233	221	26	3	4	3	3	0	0
/build/buildd/eglibc-2.19/elf/dl-object.c:_dl_new_object	1221	262	286	13	17	45	13	7	44
df::program_options_lite::Option<unsigned	1220	362	610	29	76	22	11	0	0
/build/buildd/eglibc-2.19/stdio-common/vfprintf.c:vfprintf	1175	391	290	50	17	6	50	6	6
std::basic_ios<char,	1155	462	231	2	5	0	2	0	0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/../memcmp.S:__GI_memcmp	1153	387	123	6	1	0	6	1	0
df::program_options_lite::OptionSpecific&	1132	328	452	7	56	4	7	0	4
/build/buildd/eglibc-2.19/elf/rtld.c:dl_main	1118	303	234	63	68	28	63	19	12
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/../mempcpy.S:mempcpy	1097	477	229	2	24	15	2	1	12
EnvVar::EnvVar	1085	310	404	20	23	18	20	0	0
std::ctype<char>::_M_widen_init	1062	12	272	4	3	0	3	0	0
/build/buildd/eglibc-2.19/wcsmbs/./wcsmbsload.h:btowc	1024	128	0	0	9	0	0	0	0
TComScalingList::init	1023	174	234	2	5	34	2	0	6
std::locale::_Impl::_Impl	1001	228	572	80	64	54	80	1	47
/build/buildd/eglibc-2.19/wctype/wctype_l.c:wctype_l	972	221	357	3	17	0	3	0	0
std::string::swap	896	512	192	2	1	0	2	0	0
std::ostream::operator<<	836	322	322	3	13	0	3	0	0
std::string::push_back	825	325	225	11	1	0	3	0	0
ProfileTierLevel::ProfileTierLevel	812	42	238	2	0	29	2	0	29
std::istream&	806	286	325	5	57	0	4	0	0
/build/buildd/eglibc-2.19/iconv/gconv_simple.c:__gconv_btwoc_ascii	768	256	0	2	0	0	2	0	0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/../memset.S:memset	762	78	514	1	1	63	1	0	63
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/../memcpy.S:memcpy	725	275	150	3	0	18	3	0	16
