BasketballPass__QP_32_nF_16_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw
TComCUMvField::clearMvField	33,570	120	10,330	3	21	655	3	3	388
TComPicYuv::create	32,665	2,468	5,807	21	35	628	18	1	612
TComPrediction::initAdiPatternChType	32,636	10,435	5,137	609	553	1,377	28	2	231
std::string::_M_mutate	31,863	11,592	8,256	23	235	46	7	0	0
char*	31,058	8,385	11,161	21	141	38	7	0	0
/build/buildd/eglibc-2.19/libio/fileops.c:_IO_file_xsputn@@GLIBC_2.1	30,932	7,417	3,682	18	46	10	7	10	2
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_chk_ssse3	27,136	5,632	5,376	0	738	2,560	0	16	0
std::string::find_first_of	25,238	8,556	7,426	74	0	0	2	0	0
std::locale::id::_M_id	24,916	10,321	6,215	10	188	0	2	4	0
char*	24,714	6,485	9,014	77	50	22	4	0	0
TEncBinCABACCounter::encodeBinsEP	24,662	8,968	6,726	0	0	0	0	0	0
/build/buildd/eglibc-2.19/stdio-common/vfprintf.c:vfprintf	24,598	8,322	6,032	122	100	49	72	15	6
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/strlen-sse2-bsf.S:__strlen_sse2_bsf	23,811	4,708	1,330	90	899	0	10	755	0
std::_Rb_tree_insert_and_rebalance	23,784	8,888	5,284	7	740	140	6	0	0
std::istreambuf_iterator<char,	23,140	6,244	5,859	350	190	6	25	0	0
df::program_options_lite::Options::~Options	21,142	8,163	5,051	11	2,238	35	11	26	0
std::basic_filebuf<char,	19,684	8,162	4,802	8	479	0	7	0	0
std::string::_Rep::_M_destroy	19,529	7,102	7,102	11	87	146	2	0	0
TEncSearch::xRecurIntraCodingQT	19,353	5,778	4,645	678	961	546	32	0	10
std::basic_streambuf<char,	19,311	6,887	5,445	4	355	993	3	0	0
TEncSbac::codeLastSignificantXY	19,223	7,532	4,328	289	400	54	14	2	0
/build/buildd/eglibc-2.19/elf/dl-misc.c:_dl_name_match_p	19,220	4,796	6,028	13	421	48	2	1	7
std::basic_string<char,	18,568	6,008	5,462	16	86	21	3	0	0
df::program_options_lite::scanLine	18,413	5,126	7,104	149	290	2	17	0	0
/build/buildd/eglibc-2.19/elf/dl-runtime.c:_dl_fixup	18,000	6,800	3,400	35	2,047	66	5	167	5
std::locale::locale	17,429	5,409	5,409	89	139	360	3	0	0
std::_Rb_tree<std::string,	17,196	4,878	4,101	322	1,236	7	4	11	0
std::basic_string<char,	17,116	5,268	7,242	17	108	192	4	0	71
std::_Rb_tree<std::string,	17,092	5,413	3,659	23	1,152	15	23	4	0
ContextModel3DBuffer::ContextModel3DBuffer	16,926	9,672	7,254	4	33	624	2	6	577
operator	16,687	6,068	6,068	6	116	39	2	1	1
std::string::_Rep::_M_dispose	16,062	5,534	3,904	16	581	5	4	5	0
std::istream::read	15,840	6,720	6,240	3	360	567	3	2	0
TComDataCU::getPUAboveRightAdi	15,641	7,424	3,545	156	184	19	10	1	1
TEncSbac::estLastSignificantPositionBit	15,456	6,528	2,016	288	226	124	9	1	4
std::string::find_last_not_of	13,671	3,605	4,072	5	2	0	2	0	0
TAppEncCfg::xCheckParameter	13,487	5,344	2,492	172	68	84	169	1	1
/build/buildd/eglibc-2.19/string/../sysdeps/i386/strchrnul.S:strchrnul	12,968	1,457	173	12	103	0	12	77	0
TComDataCU::getPUBelowLeftAdi	12,900	6,668	3,120	137	559	1	8	8	0
/build/buildd/eglibc-2.19/math/../sysdeps/i386/fpu/e_pow.S:__pow_finite	12,784	1,472	296	7	209	0	7	4	0
std::string::find	12,632	3,951	3,158	79	251	8	4	0	0
ContextModel::init	12,278	2,020	808	2	0	102	2	0	0
std::basic_istream<char,	12,148	4,308	3,295	348	151	4	14	2	0
TComDataCU::create	12,021	3,066	6,333	25	447	647	21	3	0
std::basic_ios<char,	11,824	3,552	5,617	384	426	9	6	0	0
std::locale::~locale	11,720	4,102	2,344	71	216	0	1	0	0
TComDataCU::getPUAbove	11,584	5,310	2,686	112	26	10	5	2	2
/build/buildd/eglibc-2.19/elf/../sysdeps/i386/dl-tlsdesc.S:0x000187a8	10,982	10,982	0	11	0	0	1	0	0
/build/buildd/eglibc-2.19/libio/fileops.c:_IO_file_overflow@@GLIBC_2.1	10,796	3,213	2,073	24	5	17	10	0	0
std::ios_base::ios_base	10,792	912	4,864	215	36	237	3	0	33
std::string::_M_leak_hard	10,573	3,863	3,539	6	102	11	4	0	0
TComDataCU::getPULeft	10,444	4,684	2,144	109	392	10	5	24	1
TEncSbac::estSignificantCoefficientsBit	10,208	4,000	1,984	244	226	160	8	3	5
std::__detail::_List_node_base::_M_hook	10,134	5,630	4,504	6	420	123	2	0	0
TComTURecurse::nextSection	9,997	4,590	2,095	169	251	169	7	12	1
bool	9,739	3,837	2,952	205	631	259	3	0	0
bool	9,735	3,835	2,950	24	364	128	2	0	0
bool	9,735	3,835	2,950	15	185	132	2	0	0
initZscanToRaster	9,459	3,453	3,591	2	0	33	2	0	32
getTUEntropyCodingParameters	9,108	3,960	2,277	218	451	306	7	4	12
SAOOffset::reset	8,904	504	6,048	2	6	374	2	0	367
std::basic_ios<char,	8,858	2,364	4,429	169	284	7	5	0	0
/build/buildd/eglibc-2.19/wcsmbs/btowc.c:btowc	8,704	2,688	1,920	3	6	0	3	0	0
std::ctype<char>	8,700	3,600	2,700	15	269	128	2	0	0
std::num_put<char,	8,555	3,540	2,655	22	135	128	3	0	0
std::num_get<char,	8,555	3,540	2,655	4	143	132	1	0	0
0x0005d260	8,415	2,404	1,203	10	57	0	2	1	0
/build/buildd/eglibc-2.19/libio/putc.c:putc	8,323	3,248	2,233	7	5	1	4	0	0
std::ostreambuf_iterator<char,	8,177	2,718	2,388	18	401	381	10	0	0
std::ios_base::_M_init	8,081	2,396	4,190	25	58	4	3	0	0
std::locale::operator=	8,073	3,289	2,392	9	149	128	3	0	0
TComDataCU::getQuadtreeTULog2MinSizeInCU	7,776	3,168	1,008	100	418	26	4	0	0
ContextModel3DBuffer::initBuffer	7,672	2,640	2,454	3	60	0	3	13	0
std::locale::_Impl::_M_install_facet	7,620	2,858	282	7	31	5	7	0	0
df::program_options_lite::Option<int>::~Option	7,577	1,991	1,988	3	269	4	3	9	0
std::_Rb_tree_decrement	7,481	2,919	0	8	161	0	3	0	0
TEncTop::TEncTop	6,891	7	4,162	22	2	536	22	0	527
TAppEncCfg::TAppEncCfg	6,807	7	4,101	16	2	525	16	0	525
std::basic_ostream<char,	6,684	2,952	1,606	26	127	68	16	0	0
std::string::reserve	6,517	2,420	1,863	74	23	66	4	0	0
TEncSbac::codeIntraDirLumaAng	6,460	2,234	2,203	125	376	95	13	0	4
TAppEncTop::xInitLibCfg	6,421	4,833	4,793	65	587	600	65	0	51
std::string::append	6,364	2,158	1,701	24	79	18	6	0	0
std::string::_Rep::_M_clone	6,335	2,420	2,236	76	25	65	2	0	0
TEncTop::xInitRPS	6,333	2,244	3,155	22	138	20	22	100	12
TComPrediction::predIntraAng	6,286	2,504	1,729	207	288	19	12	0	0
isLeftAvailable	6,226	2,159	1,865	96	193	3	3	25	0
std::basic_streambuf<char,	5,952	2,176	1,600	129	206	192	3	0	0
0x000466da	5,886	1,731	1,387	3	24	0	0	0	0
/build/buildd/eglibc-2.19/elf/dl-version.c:_dl_check_map_versions	5,877	2,182	1,014	14	154	76	14	48	63
0x0007a080	5,871	2,214	647	7	191	0	3	0	0
std::string::assign	5,816	1,851	1,078	172	34	3	3	0	0
std::istream::operator>>	5,720	1,948	2,301	13	165	30	4	0	0
isAboveAvailable	5,634	1,704	2,112	133	27	18	4	4	1
copyPlane	5,583	2,499	1,968	8	163	0	7	0	0
std::basic_stringbuf<char,	5,520	1,937	1,637	12	65	62	4	0	0
df::program_options_lite::Option<GOPEntry>::setDefault	5,504	4,416	4,224	1	531	512	1	0	0
df::program_options_lite::scanFile	5,486	1,761	1,476	15	485	0	6	0	0
df::program_options_lite::Option<bool>::~Option	5,391	1,426	1,416	4	206	3	4	8	0
std::basic_stringbuf<char,	5,388	2,054	1,414	136	208	0	9	0	0
df::program_options_lite::OptionSpecific&	5,375	1,625	2,375	3	121	13	3	0	0
std::ostream&	5,340	2,189	1,648	16	144	1	9	0	0
TComTU::TComTU	5,226	1,737	1,413	101	70	74	9	2	31
isAboveRightAvailable	5,075	1,676	1,822	131	4	5	5	0	0
/build/buildd/eglibc-2.19/elf/dl-cache.c:_dl_cache_libcmp	5,063	900	369	5	44	4	5	38	0
isBelowLeftAvailable	5,049	1,743	1,728	96	0	1	3	0	0
TEncSbac::codeQtCbf	5,025	2,077	1,273	192	161	37	6	0	1
TEncSbac::estSignificantMapBit	4,992	1,888	896	192	252	116	6	5	3
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/../mempcpy.S:__GI_mempcpy	4,926	2,026	866	6	8	25	6	2	11
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/strcmp-ssse3.S:__strcmp_ssse3	4,760	2,975	0	209	22	0	2	0	0
TComSlice::initEqualRef	4,738	150	1,170	11	0	32	11	0	32
/build/buildd/eglibc-2.19/math/w_pow.c:pow	4,588	1,036	1,480	3	0	177	3	0	0
TComTrQuant::initScalingList	4,516	1,070	1,335	4	6	73	4	1	55
TEncSbac::estCBFBit	4,480	2,080	1,056	288	387	128	9	6	4
df::program_options_lite::storePair	4,408	1,444	988	105	293	2	4	1	0
TComYuv::create	4,389	1,026	1,083	3	4	33	3	0	20
std::ostream::sentry::sentry	4,266	1,738	1,106	69	138	1	2	0	0
TComTrQuant::transformNxN	4,192	2,016	1,632	320	428	50	10	0	0
/build/buildd/eglibc-2.19/libio/genops.c:__overflow	4,108	1,945	1,297	8	16	0	2	1	0
df::program_options_lite::Option<int>::parse	4,108	1,217	2,054	47	226	158	12	0	0
/build/buildd/eglibc-2.19/elf/dl-version.c:match_symbol	4,014	1,624	380	5	244	0	5	80	0
std::ios_base::~ios_base	3,956	1,273	1,555	86	310	1	4	0	0
df::program_options_lite::Option<bool>::parse	3,956	1,172	1,978	116	252	171	12	0	0
TComYuv::copyPartToPartComponent	3,947	1,548	1,284	18	79	14	9	2	1
TComDataCU::TComDataCU	3,924	72	3,024	25	2	369	25	0	369
TComDataCU::getIntraDirPredictor	3,866	1,013	1,243	110	92	124	10	0	3
/build/buildd/eglibc-2.19/debug/printf_chk.c:__printf_chk	3,800	1,520	1,064	3	9	1	3	0	0
TEncSearch::estIntraPredQT	3,719	1,296	1,881	76	507	81	63	9	13
/build/buildd/eglibc-2.19/stdlib/cxa_atexit.c:__new_exitfn	3,517	732	739	6	27	24	5	1	2
0x000616a0	3,499	1,474	1,170	2	20	20	1	0	0
0x00079710	3,475	1,529	973	3	121	11	2	0	0
TEncSearch::xEncSubdivCbfQT	3,412	1,328	1,184	216	255	63	11	0	0
/build/buildd/eglibc-2.19/stdlib/strtod_l.c:____strtod_l_internal	3,386	893	708	177	45	41	67	7	6
TComDataCU::getCoefScanIdx	3,366	1,386	594	131	242	53	3	6	2
0x0007a020	3,312	1,380	276	3	0	0	1	0	0
std::num_get<char,	3,268	1,346	1,346	9	12	0	4	0	0
TComPrediction::filteringIntraReferenceSamples	3,260	791	204	101	185	23	4	2	2
__gnu_cxx::stdio_sync_filebuf<char,	3,252	1,220	1,017	4	5	0	1	0	0
std::ctype<wchar_t>::_M_initialize_ctype	3,188	414	1,231	8	17	61	8	0	38
/build/buildd/eglibc-2.19/elf/dl-load.c:_dl_map_object_from_fd	3,169	1,060	594	35	34	25	35	7	20
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/../../i586/strlen.S:__GI_strlen	3,072	503	0	21	30	0	11	11	0
TComReferencePictureSet::sortDeltaPOC	3,052	283	1,733	8	0	3	8	0	0
TComReferencePictureSet::TComReferencePictureSet	3,016	130	1,716	10	1	142	10	0	134
/build/buildd/eglibc-2.19/elf/dl-deps.c:_dl_map_object_deps	2,935	657	413	28	63	16	28	0	5
TEncEntropy::encodeCoeffNxN	2,881	1,474	871	128	112	99	4	1	3
df::program_options_lite::Option<GOPEntry>::~Option	2,880	832	768	4	85	3	4	0	0

RESULTS	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw
Entropy	1519490	436652	285815	3245	16705	7572	152	19	5053
Filter	0	0	0	0	0	0	0	0	0
InvQuant	433760	165120	21088	321	1838	2222	12	0	0
Quant	3626384	1489112	647860	3861	82079	76105	154	181	1110
InvTransf	2255396	1211266	179586	1494	18204	8675	88	48	0
Transf	3576974	1375729	367536	2260	58691	38098	205	102	25036
Pre/Pos	102884	36357	28446	657	835	3169	67	17	284
Inter/Intra	7620463	2767585	1601058	3837	38876	33111	241	70	2054
Intra	2448796	832089	328111	1937	17023	24771	118	35	1446
Inter	33570	120	10330	3	21	655	3	3	388
Inter/Intra	5138097	1935376	1262617	1897	21832	7685	120	32	220
PROGRAM TOTALS	28,083,458	10,039,949	4,906,830	34,699	406,379	350,509	6,753	48,283	145,840
