BasketballDrill__QP_32_nF_32_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw
TComYuv::copyPartToPartYuv	819919488	179357388	230602356	4134912	14320286	154260	3658	285	887
TComYuv::copyToPartComponent	814676794	291538252	205707088	4109183	6667435	512101	8592	7122	240
TComDataCU::getPUAboveRight	811289893	399861683	147822807	11145747	59011280	2003037	18746	802410	458
TEncSearch::xPatternSearchFracDIF	804063132	282508668	354946788	10701204	53005436	22420699	18463	14501	8651
TEncSearch::xGetInterPredictionError	786912448	245910140	351300200	8590207	32191444	10754702	28472	25656	20210
TComPrediction::predIntraAng	779423138	315945808	207650617	7384272	19621389	2141522	86741	5513	29617
TEncSbac::xWriteCoefRemainExGolomb	778514323	315559430	202826806	4897763	192449	531472	5322	0	0
TComDataCU::setMVPIdxSubParts	758048633	348424687	200085240	11460134	92056386	12697297	17939	53562	0
TComDataCU::xGetDistScaleFactor	748494588	138525352	39578672	4564822	0	0	5062	0	0
TComCUMvField::setAllMvField	747044874	302856030	383617638	6902356	1533611	121113	4985	24672	0
TComDataCU::setMVPNumSubParts	733249872	337044448	193771270	3310081	40357395	2352858	12629	3561	0
TEncEntropy::encodeQtCbf	702829638	401616936	251010585	2624218	28748142	3457136	3619	4	1883

RESULTS	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw
Entropy	83453264006	30273489104	19749732499	544261229	2383717649	948993198	241119	1495066	2843218
Filter	0	0	0	0	0	0	0	0	0
InvQuant	10790973455	4092329196	582669823	21135924	49889073	58730799	8465	74031	243
Quant	223933955893	84823841478	49513680340	497076648	5100514473	4876738458	202147	831536	71516582
InvTransf	40875492296	21707967274	3798522467	88240137	431140201	258845258	98418	45154	1009105
Transf	156000570988	68117820048	27617940537	898292666	3567546020	1677073716	565921	1411872	8081201
Pre/Pos	43890758250	14953434555	7077481863	121986066	668098652	259916680	229345	520148	823918
Inter/Intra	2151899186582	901490044357	260178885599	1181161272	15570020194	5723285957	1909516	72206706	32375540
Intra	20085038094	6900762762	3260338506	108032743	245248005	183643045	149000	170189	2063335
Inter	962726527828	496129273111	65028652636	871626117	9451344375	4554244285	1588323	37434463	29198652
Inter/Intra	1169087620660	398460008484	191889894457	201502412	5873427814	985398627	172193	34602054	1113553
PROGRAM TOTALS	2973455007625	1218186540996	442262137078	4843384476	36706950316	29413349977	5113756	103025508	549789424
