BasketballPass__QP_32_nF_8_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw
TComDataCU::setCbfPartRange	14327766	7163883	4775922	122108	768214	196361	26	21	0
TComDataCU::setExplicitRdpcmModePartRange	14321124	7160562	4773708	254063	515736	411734	6	75	21795
TEncSbac::resetBits	14223818	9143883	5079935	76691	2116926	107489	1021	29	61
TComDataCU::clipMv	14065370	4858946	2301606	56572	231290	21097	39	0	0
QpParam::QpParam	13127936	3368136	2375760	405354	215053	0	9	9	0
TComCUMvField::setAllMv	12807146	3911591	2420231	38179	215312	214145	95	108	29
TComPrediction::xPredInterUni	12709317	5047672	4146302	49550	274317	58781	93	436	69
TComDataCU::setCrossComponentPredictionAlphaPartRange	12516714	6258357	4172238	15676	258548	7518	7	0	5
TEncBinCABAC::resetBits	12191844	3047961	7111909	49577	315569	0	532	0	0
TEncEntropy::encodeCoeffNxN	11607459	6415283	3267676	317033	241687	449924	6469	5	412
isLeftAvailable	11539342	4319505	3403132	333834	80170	3892	12	143	0
TEncSearch::xEncodeResidualQT	11423521	5112187	2482770	38107	313247	102245	46	0	148
TEncSearch::xRecurIntraChromaCodingQT	11313050	4075183	4034084	430404	416971	113686	124	72432	33544
TComRdCost::setDistParam	11107341	5880357	3920238	243077	678666	7597	5	23	0
TEncEntropy::estimateBit	10807608	4953487	3602536	24030	766714	37110	1749	29	406
partialButterflyInverse4	10647000	5506020	1581840	113686	11586	97557	24	5	2280
TComCUMvField::setAllRefIdx	10307907	3117581	2198174	71638	139630	52973	220	2	16
TComRdCost::setDistParam	10245847	4352919	3420996	15938	125200	611636	31	230	0
TEncSearch::xEncSubdivCbfQT	10098815	4142684	3004050	676152	601243	12532	506	44	183
TEncSearch::xTZSearch	10022113	3598495	4282609	598999	167519	86692	2068	537	148
isAboveAvailable	10010460	3353382	3503154	456181	24440	24113	12	25	4150
isBelowLeftAvailable	9938220	3808395	3079785	369992	10634	4621	9	0	0
TComYuv::clear	9872592	2551344	2218560	33585	406072	7501	58	68	36
TEncSbac::codeQtCbfZero	9780656	4384432	4047168	31319	868296	15233	3312	0	0
TEncSbac::xWriteCoefRemainExGolomb	9679523	3959814	2537220	82914	898	4711	2711	0	0
TEncSbac::loadIntraDirMode	9652335	4679920	3217445	18864	1636494	7070	87	39	0
TEncBinCABACCounter::encodeBinsEP	9501085	3454940	2591205	87416	4127	253	54270	0	0
TEncSbac::load	9434040	3144680	3930850	23109	103213	10411	1032	0	1
isAboveRightAvailable	9416400	3353382	3164649	546484	18810	4172	17	0	0
TEncSearch::xEncCoeffQT	9218609	4373847	2824105	530610	294241	5030	233	17	0
TComRdCost::xGetSAD12	9212854	2549799	220353	969	44765	1164	38	128	0
TComTU::GetEquivalentLog2TrSize	9159403	4163365	832673	133461	17776	0	3	0	0
TComRdCost::xGetSSE64	9135328	4035208	3970232	7400	138696	12400	197	0	0
TComYuv::copyToPartComponent	8933565	3194022	2245512	49302	90432	4496	214	196	0
TEncSearch::encodeResAndCalcRdInterCU	8839161	3154526	3248155	387312	578854	161193	523	740	94
TEncSearch::xGetIntraBitsQT	8634244	3902838	4246109	324207	563111	118961	148	10196	0
TComDataCU::getPartIndexAndSize	8469862	3803314	1330465	31397	299653	48574	75	116	158
TComDataCU::getPUAboveLeft	8057062	3610121	1785459	513878	284532	146953	125	103	19808
TComDataCU::getCtxQtCbf	7756242	3989504	0	246739	103359	0	15	864	0
TComDataCU::getInterMergeCandidates	7709833	2474282	2787740	552952	155870	56662	572	1988	162
TComTrQuant::getSigCoeffGroupCtxInc	7699340	2578812	576450	12890	15142	0	11	0	0
TEncSbac::getNumberOfWrittenBits	7362480	4601550	1840620	0	84300	29935	0	0	0
TEncSearch::xRecurIntraChromaCodingQT	7033645	2508513	2587495	279833	364536	159119	86	59748	29718
TEncSearch::xStoreIntraResultQT	6786116	3276056	1813531	225344	208441	0	21	0	0
TEncEntropy::encodeQtCbf	6785926	3877672	2423545	83676	224838	24688	1648	0	24
TComTU::useDST	6765798	4107039	806986	42776	40893	0	3	26	0
TComDataCU::setTrIdxSubParts	6708672	3354336	1956696	466035	658185	4916	18	0	0
TEncSearch::xGetInterPredictionError	6563648	2051140	2930200	67393	172245	69412	40	115	244
TComTrQuant::invTransformNxN	6535864	3180714	2432579	365834	160494	121432	29	64	21299
TEncSearch::xEncodeResidualQT	6513983	3012593	2133439	129023	340971	98373	92	72	25
TComCUMvField::setAllMvField	6132528	2486160	3149136	53962	15790	2682	26	24	0
TComPrediction::xPredInterBi	6131220	2345721	1877243	85379	168309	21723	123	363	0
TEncSearch::xGetTemplateCost	6049516	2599792	2049836	140151	325205	60539	639	220	116
TComYuv::copyPartToPartYuv	5952576	1302126	1674162	37958	93040	1200	50	0	0
TEncSearch::xEncIntraHeader	5939984	2316107	1519602	653967	407277	58352	415	4187	1
TEncSearch::xEncSubdivCbfQT	5750127	2369797	1278303	17510	74799	17471	2	0	157
TEncSearch::xMotionEstimation	5622862	2370887	1843833	341790	384433	60803	692	412	97
TEncSearch::xRecurIntraCodingQT	5614009	2058922	1659045	240189	345851	137057	4083	112	177
TComPrediction::UseDPCMForFirstPassIntraEstimation	5557405	3509940	584990	12695	201608	0	8	4	0
TEncSearch::xEncCoeffQT	5461891	2821021	1386708	26868	130206	11076	0	2	42
TEncEntropy::encodeIntraDirModeLuma	5450746	3114712	1946695	41460	137356	1671	157	5	0
TComDataCU::fillMvpCand	5423731	1651544	2032044	200376	163847	37679	142	1179	101
TVideoIOYuv::read	5357158	809624	762829	79	8706	52032	78	67	19211
TComDataCU::setTransformSkipSubParts	5305400	2758808	1485512	189188	539407	6926	12	0	3
void	5285968	3487212	198064	1981	50895	17286	17	376	16
TComYuv::copyToPicComponent	5116108	2110700	1341771	53589	100931	12734	156	367	4963
TEncSearch::xExtDIFUpSamplingQ	5110770	1804384	2613821	258187	293864	31532	503	583	40
TComDataCU::initSubCU	5103456	1945344	2166096	68161	124198	62737	312	176	258
TEncSbac::codeTransformSkipFlags	4685544	2641623	775746	194233	393882	77384	1457	20	3148
TComDataCU::xAddMVPCand	4670920	1931010	1037626	97003	395679	14517	85	3074	44
TComPrediction::motionCompensation	4618512	1340311	2038020	108700	39708	19375	219	88	0
TComDataCU::xGetColMVP	4576608	2218262	738716	53543	467985	5223	49	4001	0
TEncSearch::xEstimateMvPredAMVP	4439696	1689884	2024870	131789	251713	185871	304	218	189
xITrMxN	4226069	1138789	1267179	563551	12969	179606	635	0	1622
TEncSearch::xCheckBestMVP	4154555	1608918	879566	93995	177689	16943	94	67	0
TComDataCU::getPUBelowLeft	4071086	2062190	779359	58600	187409	15892	110	584	57
TEncSearch::xMergeEstimation	4047905	1705938	1643043	99645	214167	14227	257	578	8
TEncEntropy::encodeQtCbfZero	4047168	2360848	1349056	20024	839649	17904	2214	1	0
TEncEntropy::xEncodeTransform	4018755	1661743	843540	20771	122384	24454	5634	289	1595
TEncSbac::store	3874092	1291364	1614205	3670	58306	37227	0	2038	3807
TComDataCU::setMVPIdxSubParts	3694346	1698657	976567	44455	243509	25048	96	72	0
TComCUMvField::setAllMvd	3546438	1106469	666402	36007	17957	56727	116	2	28
TComLoopFilter::xEdgeFilterLuma	3541211	1340196	563926	90	57237	7652	90	4160	9
isAboveLeftAvailable	3488433	1213368	1213368	361138	156625	169503	9	13	29025
TComDataCU::setMVPNumSubParts	3479368	1600146	921700	22952	91798	0	85	2	0
TEncGOP::xCalculateAddPSNR	3307855	1202446	2334	85	433582	65	85	13009	2
TComPrediction::xCheckIdenticalMotion	3230726	1908382	247236	48902	234569	0	50	367	0
TComSampleAdaptiveOffset::offsetBlock	3082142	999510	253321	45	105483	98658	45	866	7933
TComBitCounter::resetBits	3047961	2031974	1015987	120317	0	0	440	0	0

RESULTS	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw
Entropy	1014128202	391114991	258699255	10909700	33186865	10184603	1086664	25125	41071
Filter	3541211	1340196	563926	90	57237	7652	90	4160	9
InvQuant	104228469	39426915	6014065	493639	486654	588162	36	0	31717
Quant	2320063533	874756410	514481297	9388856	46218309	51343081	732	22465	69887
InvTransf	335258039	174359739	33737799	1562691	3264630	2214999	1224	2468	27114
Transf	1592673923	683792224	299072873	15716853	39621008	17746674	238546	431582	473782
Pre/Pos	284304670	100600646	61631061	2220904	4251346	2356396	2268	63135	72857
Inter/Intra	6867888903	2773166388	1044288347	18634492	55989179	26711265	25126	344208	295123
Intra	839837753	291439431	153718297	7475875	14776068	7391403	1331	227873	164550
Inter	2460058998	1222330773	199472659	5060613	23102029	13223986	21644	88279	49810
Inter/Intra	3567992152	1259396184	691097391	6098004	18111082	6095876	2151	28056	80763
PROGRAM TOTALS	14789298342	5940125496	2785390163	77368993	263285290	216366763	1738919	1311597	2487528
