BasketballDrill__QP_32_nF_32_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw
TComDataCU::getPUAboveRightAdi	2095342	1030860	436987	37358	96483	7309	10	24	13
TEncSearch::xUpdateCandList	1925610	509939	260532	3078	25631	213	3	1	0
TComDataCU::getCoefScanIdx	1891005	683906	218286	73917	86561	16245	7	125	17
TComDataCU::getPUBelowLeftAdi	1886229	962585	422664	33078	100212	6774	39	85	1
TEncBinCABAC::copyState	1875504	1015898	781460	10351	75495	52345	2	1	186
TEncSbac::codeQtCbf	1730625	715325	438425	80692	57514	5295	6	140	147
TEncSearch::xModeBitsIntra	1689660	907410	657090	3525	99411	700	4	116	0
partialButterflyInverse4	1660400	858664	246688	16716	1872	15233	1606	1	6
TComRdCost::xGetSSE8	1578226	667004	569842	17834	8248	5637	658	16	0
TEncBinCABACCounter::encodeBinsEP	1556929	566156	424617	9550	638	12	0	0	0
/build/buildd/eglibc-2.19/malloc/malloc.c:_int_malloc	1462904	276140	286909	586	6511	21239	173	68	8832
TEncSearch::xRecurIntraChromaCodingQT	1422127	512780	505857	57627	55421	20580	43	3	6
TComTrQuant::xTransformSkip	1406900	390095	281380	44599	19065	25580	21	0	0
TEncSbac::xCopyContextsFrom	1405680	562272	562272	3998	83861	27939	2	26	17
TComTrQuant::calcPatternSigCtx	1301707	528952	64083	824	2776	0	3	0	0
isLeftAvailable	1257374	470780	370349	39567	32327	4390	147	25	0
TComRdCost::getDistPart	1229684	392052	716192	77738	6185	29024	494	0	594
TComTrQuant::xQuant	1209609	549820	395874	25459	25179	65931	46	0	10
TEncSearch::xEncSubdivCbfQT	1153202	475091	341701	80137	49304	945	15	89	0
TEncSbac::estBit	1121643	351888	703776	18121	22329	32677	4	0	0
isAboveAvailable	1088077	365454	378720	51675	23501	6034	196	4	3
isBelowLeftAvailable	1082928	414930	335528	41356	27041	146	147	0	0
QpParam::QpParam	1071948	463787	335635	51363	75124	448	252	1432	0
TEncSearch::xEncCoeffQT	1061370	502122	326296	63067	37087	598	8	1	0
TComDataCU::initEstData	1049976	485694	448602	4318	9172	26972	63	238	81
TEncSbac::loadIntraDirMode	1032570	500640	344190	2059	112395	770	3	6	0
TEncSbac::xCopyFrom	1030832	468560	468560	9669	104249	8103	2	43	111
TComDataCU::getQuadtreeTULog2MinSizeInCU	1026734	436144	147791	36473	44639	423	16	89	0
isAboveRightAvailable	1023575	365454	342143	60131	25545	464	203	0	0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_chk_ssse3	1004940	259548	186348	0	29292	57965	0	0	0
TComRdCost::xGetSSE32	995760	437076	422604	2373	13990	1952	1224	108	0
TEncSearch::xGetIntraBitsQT	993480	449345	488110	40627	47119	1753	6	147	146
xTrMxN	976397	290146	249933	74437	29454	41175	29432	3	356
TComTrQuant::invTransformNxN	948258	462590	351822	51189	14549	20523	10	426	6484
TComTrQuant::rdpcmNxN	901713	417867	263916	43511	35310	35548	4	280	14
TComTU::getGolombRiceStatisticsIndex	874690	472953	72762	50363	20095	0	582	0	0
TComRdCost::xGetSSE16	871125	377625	351375	4087	7605	1338	616	61	0
TEncSbac::estSignificantCoeffGroupMapBit	835734	417867	219930	34986	31662	23253	2	1	1
TComDataCU::getPUAboveLeft	799122	355098	176768	53601	41586	13801	11	1	164
TComRdCost::calcRdCost	798928	276552	169004	27965	27536	161	260	1	0
TEncBinCABACCounter::getNumWrittenBits	746496	419904	186624	11784	16345	1702	2	0	0
TEncSearch::xStoreIntraResultQT	741820	358120	198245	28406	28887	0	7	0	0
TEncEntropy::encodeCoeffNxN	738553	389928	217169	33951	19478	24404	4	1	3224
TEncSearch::xRecurIntraChromaCodingQT	736810	260408	267792	29191	29243	14052	15	6	7
TEncSearch::xEncSubdivCbfQT	718987	293784	163357	2025	11102	2403	0	0	284
TEncSearch::xEncIntraHeader	686763	266865	174012	75365	24358	617	11	81	14
TEncSearch::xEncCoeffQT	681325	347377	177922	3220	18001	1532	0	5	0
QpParam::QpParam	680878	176911	131958	33175	4613	0	126	1	0
TEncSbac::resetBits	653184	419904	233280	8584	63060	1036	1	2	213
TComTrQuant::getSigCoeffGroupCtxInc	634390	213032	48675	572	1629	0	3	0	0
TEncSbac::codeTransformSkipFlags	630888	354920	107364	28409	23188	3797	4	2	12
TEncEntropy::encodeIntraDirModeLuma	596022	340584	212865	6394	42391	29	1	1	0
TComPrediction::UseDPCMForFirstPassIntraEstimation	594510	375480	62580	1514	14526	0	8	4	0
xITrMxN	590704	159378	174967	77873	304	24522	28021	0	258
/build/buildd/eglibc-2.19/elf/dl-lookup.c:_dl_lookup_symbol_x	583432	105441	42233	55	6095	560	16	2140	18
TEncSearch::xRecurIntraCodingQT	577982	214037	173196	28546	32220	11981	35	528	431
TComDataCU::setTransformSkipSubParts	570475	296647	159733	23000	57472	766	6	0	1
TComCUMvField::clearMvField	564282	36312	173858	1176	3174	9046	3	18	850
TComTrQuant::xITransformSkip	561802	190182	100556	15730	4861	1235	11	0	0
TEncBinCABAC::resetBits	559872	139968	326592	6333	1687	0	1	0	0
TEncEntropy::estimateBit	527832	241923	175944	642	63115	13452	2	1	0
TComTU::GetEquivalentLog2TrSize	461010	209550	41910	14731	5539	0	459	0	0
TComTrQuant::setErrScaleCoeff	452304	53568	50688	5	5420	12465	5	22	12305
TComCUMvField::create	450848	2912	112608	9	940	13597	5	0	13320
/build/buildd/eglibc-2.19/malloc/malloc.c:malloc	449504	128467	64236	8	4157	2784	8	14	10
TComTU::useDST	419820	255132	49496	3381	2755	0	128	0	0
/build/buildd/eglibc-2.19/elf/dl-lookup.c:do_lookup_x	412220	159096	66928	142	12346	705	39	1096	28
TComDataCU::setCbfPartRange	398016	199008	132672	13248	13595	9978	2	0	1602
TComDataCU::setTrIdxSubParts	397080	198540	115815	32812	39627	0	12	0	0
TComDataCU::setExplicitRdpcmModePartRange	395874	197937	131958	26208	7114	18948	2	0	6
isAboveLeftAvailable	379316	131936	131936	37399	32667	19030	136	2274	334
TComRdCost::setDistParam	373864	197928	131952	21938	26678	0	264	2	0
TEncSbac::getNumberOfWrittenBits	373248	233280	93312	0	1172	92	0	0	0
TEncEntropy::xEncodeTransform	353912	145919	73348	2068	11751	2216	14	5	0
TComPrediction::predIntraGetPredValDC	353421	98740	18654	7072	6759	5437	1141	0	141
initROM	329111	79859	35725	19	372	2983	19	0	32
TEncSbac::load	323052	107684	134605	1774	7112	92	2	1519	0
TEncSearch::estIntraPredChromaQT	316480	138170	130339	16143	23340	7239	26	41	5
/build/buildd/eglibc-2.19/malloc/malloc.c:_int_free	313750	70833	46985	266	2165	1339	52	19	2
TComTrQuant::invRdpcmNxN	306072	158704	68016	32713	21957	13085	8239	0	0
TComDataCU::getCtxQtCbf	298593	147292	0	28113	10568	0	1	0	0
TComYuv::copyToPicComponent	294364	121500	77747	4464	5854	606	8	59	2
TComPrediction::xDCPredFiltering	289186	98709	31759	7027	2703	0	78	0	0
TComDataCU::setIntraDirSubParts	284950	148174	79786	16395	25352	8088	2	0	0
TEncEntropy::encodeQtCbf	283654	162088	101305	10943	5323	1087	1	0	168
TComDataCU::initSubCU	256628	97536	108910	3536	8452	4018	67	55	139
TComTrQuant::xsetFlatScalingList	249696	2016	98640	2	316	12367	2	38	12321
TEncSbac::store	239220	79740	99675	543	9331	1301	0	71	4
TComYuv::copyToPartComponent	218484	77976	54432	1503	2031	233	9	16	0
TComDataCU::setTransformSkipPartRange	204480	102240	68160	3840	3162	0	1	0	0
TComDataCU::setCrossComponentPredictionAlphaPartRange	204480	102240	68160	778	3747	0	1	0	0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcmp-ssse3.S:__memcmp_ssse3	194769	42625	4955	151	842	0	30	0	0
TEncSearch::xSetIntraResultChromaQT	191771	85936	63015	2965	6450	379	7	0	0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memchr-sse2-bsf.S:__memchr_sse2_bsf	185688	38867	5230	79	599	1	19	254	0
TEncSbac::codePartSize	184360	92763	42713	14592	14169	1184	4	103	67

RESULTS	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw
Entropy	77877456	28702755	19480536	1178473	1699099	689651	178	2236	14144
Filter	0	0	0	0	0	0	0	0	0
InvQuant	11551312	4360542	702952	68898	56037	68923	11262	0	3668
Quant	135330118	51730926	27746980	1031647	2942603	3166873	17495	1481	39233
InvTransf	32382662	16434394	3545549	216731	300101	227783	39605	7257	6936
Transf	78287717	32347237	13987421	1270053	1716875	825681	54404	19843	47689
Pre/Pos	8717407	3410425	2470530	193510	204076	137330	518	428	918
Inter/Intra	181094853	64368375	37536121	1513652	2068151	1201168	12573	14305	17671
Intra	91380391	31689386	16697046	907499	1549523	808026	6898	10040	12577
Inter	1158792	411792	236438	2690	17700	9046	11	22	850
Inter/Intra	88555670	32267197	20602637	603463	500928	384096	5664	4243	4244
PROGRAM TOTALS	648807421	252404063	132215714	6871135	12937323	10206301	152930	174986	535391
