BasketballDrill__QP_32_nF_32_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TEncSearch::xIntraCodingTUBlock	7074500105	2628736913	1421802754	74545560	167407180	92020594	44272	83509	1103653	6999910273	2461246224	1328678507	3.00199676446 %	1.05372194351 %	6.40477060658 %	0.011069030091 %	0.000625796866816 %	0.0293087365536 %
TEncSearch::xTZSearch	6960344538	2614587043	2733588156	153059218	244660198	38039873	349643	67190	8977	6806935677	2369859655	2695539306	3.54030621318 %	2.19901783833 %	5.28591641973 %	0.00345947367432 %	0.00502335765264 %	0.00142416800434 %
TEncSbac::estSignificantMapBit	6897923418	2555043780	1218275312	71855584	117629333	148861916	15091	12251	28962	6826052743	2437402196	1069384434	3.17064140078 %	1.04169877869 %	7.06251558648 %	0.000527623657201 %	0.000218775986417 %	0.00109222143676 %
TComYuv::addClip	6826197837	1824987523	633107425	16494012	77274005	34265388	39662	4811	171130	6809664163	1747708707	598670907	1.37903239337 %	0.241628098011 %	4.53763566337 %	0.00232223396001 %	0.000581026230811 %	0.00715761611012 %
TComYuv::removeHighFreq	6779356818	1961006370	844734162	7423855	131527065	0	16185	63439	0	6771916778	1829415866	844734162	1.44965580344 %	0.109506774747 %	4.68778433002 %	0.000830706221257 %	0.000238739462083 %	0.00226104300367 %
TComRdCost::xGetSSE16	6778458248	2938401832	2734143512	19019308	90092587	9640780	10535	4552	1328	6759428405	2848304693	2724501404	0.953759864597 %	0.280584571065 %	1.75817663768 %	0.000131836762223 %	0.000155418822608 %	0.000103657170519 %
TComTrQuant::transformNxN	6425335751	3107492064	2462647314	103942658	368563405	49262514	35395	3255	0	6321357698	2738925404	2413384800	4.349711632 %	1.61770002422 %	7.50117529644 %	0.00032220482794 %	0.000550866155041 %	5.84365987834e-05 %
TComRdCost::setDistParam	6302313915	2677758856	2104518163	1919469	223104344	201684612	2395	42031	14068	6300392051	2454612481	1902819483	3.84956402578 %	0.0304565755671 %	8.88256690928 %	0.000527705535985 %	3.80019153648e-05 %	0.00117306044332 %
void	6094392816	4008067504	245256208	2167716	61054703	21622783	6483	475733	46320	6092218617	3946537068	223587105	0.819941305605 %	0.0355690232882 %	1.94383243784 %	0.00510775491936 %	0.000106376470893 %	0.0122740011189 %
TComRdCost::xGetSSE8	6066092532	2563706328	2190253044	41972234	76538118	15198181	17454	2445	2585	6024102844	2487165765	2175052278	1.23574761181 %	0.691915492198 %	1.92968201496 %	0.000207799372863 %	0.000287730526825 %	0.000105806541588 %
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/strcat.S:0x0012694b	5969613362	5969613362	0	3509135	0	0	4659	0	0	5966099568	5969613362	0	0 %	0 %	0 %	0 %	0 %	0 %
getTUEntropyCodingParameters	5879757917	2523004682	1444932258	41127710	256792207	168757304	28294	18078	51084	5838601913	2266194397	1276123870	4.73894883804 %	0.699479648322 %	10.7247044859 %	0.000989632613674 %	0.000481210287896 %	0.00174302165195 %
TComRdCost::xGetSSE32	5371378380	2357697213	2279631627	6915581	74247464	8881027	11527	10434	458	5364451272	2283439315	2270750142	0.899657368537 %	0.128748721664 %	1.79259426856 %	0.000223994962658 %	0.000214600409514 %	0.000234876593311 %
TEncSbac::estCBFBit	5285643300	2454048675	1245901635	86066725	377545542	159269907	29719	38063	12485	5199546856	2076465070	1086619243	6.93200918086 %	1.62831125967 %	14.5087204968 %	0.000893285446503 %	0.000562258902336 %	0.0013661805096 %
TComRdCost::calcRdCost	5266850756	1832545962	1147060111	21060695	211658196	4553215	11626	20091	0	5245778435	1620867675	1142506896	2.87726123983 %	0.399872636908 %	7.25637569876 %	0.000384613666908 %	0.0002207391198 %	0.000674283764624 %
TComYuv::copyPartToPartComponent	5010041479	1783645960	1034573176	18557556	36525264	3956357	30354	10902	394	4991453569	1747109794	1030616425	0.754180013972 %	0.37040723271 %	1.43642559526 %	0.000532046671009 %	0.000605863247385 %	0.000400820498864 %
TEncSearch::xEstimateResidualQT	4818489141	1822687759	1616427944	159365205	353896974	102016066	272707	100741	35526	4658851229	1468690044	1514376352	7.45104974897 %	3.30736876927 %	13.2566938531 %	0.00495269521521 %	0.00565959561223 %	0.00396226855296 %
TComRdCost::getDistPart	4696973482	1521034698	2706576472	58403754	36163145	43015824	11992	604	3392	4638557736	1484870949	2663557256	1.54161485789 %	1.24343376057 %	1.8729009319 %	0.000179145591906 %	0.000255313342644 %	9.4521464707e-05 %
partialButterflyInverse8	4646251896	2457521664	570074136	21401337	26794948	35290922	13216	5628	1266	4624837343	2430721088	534781948	1.08794453978 %	0.460615082416 %	2.05066574607 %	0.000262058888796 %	0.000284444328371 %	0.000227705428842 %
TComTU::TComTU	4585581486	1664311911	1607796377	21820817	93229014	92969160	19965	5143	22145	4563740704	1571077754	1514805072	2.64733015661 %	0.475857141927 %	5.69046491166 %	0.000601359958958 %	0.000435386440323 %	0.000833957729947 %
TComTrQuant::xTransformSkip	4529439420	1255890021	905887884	58935957	79697896	66135015	11729	64	0	4470491734	1176192061	839752869	3.0602632982 %	1.30117552163 %	6.74597102055 %	0.00017624595686 %	0.000258950366975 %	2.96052614156e-06 %
TComDataCU::clipMv	4389720335	1516448843	718317873	14362515	130699455	32335916	14268	32220	1350	4375343552	1385717168	685980607	2.67791128029 %	0.327185194134 %	7.29540894952 %	0.000722138931388 %	0.000325032095695 %	0.00150217021578 %
TEncSearch::predInterSearch	4058661809	1055699529	1678292858	112069040	209532808	147776001	288640	492152	155487	3946304129	845674569	1530361370	6.91008014623 %	2.7612312943 %	13.0691223099 %	0.013783698875 %	0.00711170364971 %	0.023688398076 %
TComDataCU::initEstData	4031788896	1886975200	1732673008	15038339	39491044	105476632	40232	5609	56917	4016710325	1847478547	1627139459	2.09118905148 %	0.37299420649 %	4.0050211421 %	0.00134298954044 %	0.000997869705924 %	0.00172740543851 %
TComRdCost::xGetSAD12	3959757172	1095923682	94709454	156794	16630667	358510	1895	123579	741	3959598483	1079169436	94350203	0.332906245443 %	0.00395968725327 %	1.42690275336 %	0.00245059097374 %	4.78564699219e-05 %	0.0104415034523 %
TEncSbac::codeQtCbf	3940511170	1627015470	997203030	69724560	106877214	16602705	12412	635	10386	3870774198	1520137621	980589939	2.94306831678 %	1.76942932 %	4.70539777842 %	0.000356953007632 %	0.000314984515067 %	0.000419972650905 %
TComTURecurse::nextSection	3882404598	1713429174	905087597	54779068	62480242	20094376	16144	351	879	3827609386	1650948581	884992342	2.11283413848 %	1.41095722038 %	3.15348822335 %	0.000267254424624 %	0.000415824770255 %	4.69731572325e-05 %
TComYuv::subtract	3821830573	1298721775	558553710	13463467	53664248	34427756	27282	59781	156526	3808339824	1244997746	523969428	1.78822987215 %	0.352277965829 %	4.74307687317 %	0.00428921378668 %	0.000713846401061 %	0.0116464682675 %
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_chk_ssse3	3211422944	899289376	568193640	7903325	127086815	154457439	9125	3740	7198	3203510494	772198821	413729003	6.18622347776 %	0.246100409003 %	19.1855204408 %	0.0004287968207 %	0.00028414195698 %	0.000745357859733 %
TEncSbac::xCopyContextsFrom	3064455030	1225782012	1225782012	2192571	191962717	94584266	2949	72730	44282	3062259510	1033746565	1131153464	5.23456411541 %	0.0715484801877 %	11.6883336594 %	0.00217477493869 %	9.62324449578e-05 %	0.00477295305587 %
TComTrQuant::xIT	3043333406	657694722	606930975	20081935	42485816	67759664	3790	1008	292827	3023247681	615207898	538878484	3.02527047922 %	0.659866413598 %	8.71763718399 %	0.00690872389649 %	0.000124534498669 %	0.0232349382665 %
TComDataCU::xAddMVPCand	2844771587	1144039838	528359204	18149951	235511668	5123719	26161	2567882	1823	2826595475	905960288	523233662	5.72892545477 %	0.638010836545 %	14.3886345876 %	0.0574666359365 %	0.000919616890142 %	0.153653819182 %
TComTrQuant::xQuant	2766811795	1257641725	905502042	12144105	112242028	131979318	6525	3180	10612	2754661165	1145396517	773512112	5.20015744109 %	0.438920530191 %	11.2901116295 %	0.000412113248172 %	0.000235831002737 %	0.000637590538845 %
TComTrQuant::calcPatternSigCtx	2660773016	1075223112	123485695	3182911	7780097	0	9558	0	0	2657580547	1067443015	123485695	0.284053883469 %	0.119623544769 %	0.649039779684 %	0.000247649825504 %	0.000359218916553 %	0.0 %
TEncBinCABAC::copyState	2568534864	1391289718	1070222860	2916467	224932844	87268537	5004	28555	66232	2565613393	1166328319	982888091	6.26470926236 %	0.113545937837 %	12.6833144706 %	0.00198389778925 %	0.000194819236061 %	0.00385076236649 %
TEncSearch::xGetTemplateCost	2465760264	1059665568	835505544	31331149	149604119	32471228	31058	74181	3521	2434398057	909987268	803030795	4.89359904112 %	1.27064862945 %	9.60733022191 %	0.00249396265666 %	0.00125957095073 %	0.00409999917728 %
TComYuv::clear	2442950676	631324332	548977680	4508612	126084411	3929991	9363	10729	2235	2438432701	505229192	545045454	3.71276931486 %	0.18455599797 %	11.0153503661 %	0.000616214267195 %	0.000383266027103 %	0.00109836295018 %
TComDataCU::getQuadtreeTULog2MinSizeInCU	2385499457	1009143816	331054661	13466650	136866462	7894796	7763	7540	6340	2372025044	872269814	323153525	4.24693334787 %	0.564521193266 %	10.8014790708 %	0.000580911291881 %	0.000325424513396 %	0.00103566749539 %
TEncSampleAdaptiveOffset::getBlkStats	2353540825	770400777	446888490	1921	108343467	5285495	1921	1639385	805570	2353536983	660417925	440797425	3.18219797841 %	8.16216986591e-05 %	9.33458998452 %	0.068524010859 %	8.16216986591e-05 %	0.200852424011 %
TComDataCU::setTransformSkipPartRange	2352850110	1176425055	784283370	3531371	52827879	1371370	5943	168	20	2349312796	1123597008	782911980	1.33835253496 %	0.150089076435 %	2.76426868518 %	0.000142133228291 %	0.000252587275948 %	9.58837110112e-06 %
TEncSearch::xMotionEstimation	2296942416	968461716	753298816	67646293	167340006	51043704	86059	83155	6428	2229210064	801038555	702248684	7.11747065412 %	2.9450582883 %	12.683744687 %	0.00437061415767 %	0.00374667642517 %	0.00520298835611 %
TEncSbac::xCopyFrom	2247267022	1021485010	1021485010	2072482	255542418	7841551	1636	127790	4425	2245192904	765814802	1013639034	6.18745417564 %	0.0922223295991 %	12.8922092063 %	0.00311989754155 %	7.27995375709e-05 %	0.00647170534593 %
TComDataCU::fillMvpCand	2207028694	673532264	903496994	44059554	112848868	39928678	45746	1288857	9998	2162923394	559394539	863558318	5.20174644513 %	1.9963290065 %	9.68767987182 %	0.0355333088725 %	0.00207274151552 %	0.0823608689193 %
TEncSearch::xExtDIFUpSamplingQ	2088315639	736334670	1065354380	51415528	118406643	17736140	91474	56774	2445	2036808637	617871253	1047615795	4.82154459943 %	2.46205731738 %	7.55639731506 %	0.0038738513716 %	0.00438027653922 %	0.00328686018267 %
TComTrQuant::rdpcmNxN	2062532429	955807711	603668028	40383291	187317801	106754035	15168	401	16661	2022133970	768489509	496897332	9.23396943041 %	1.95794696036 %	18.8570959231 %	0.000889837860796 %	0.000735406618908 %	0.00109408563233 %
TEncSbac::estBit	1925484345	604073520	1208147040	9277904	41851553	46247751	10846	419	3288	1916195595	562221548	1161896001	2.6052674161 %	0.481847802299 %	4.86140075577 %	0.000389356580305 %	0.000563286844069 %	0.000204555675055 %
xTrMxN	1871648666	548378732	502832475	65330544	43872204	71114316	14127	6352	19893	1806303995	504500176	431698266	6.16919975075 %	3.49053458519 %	10.9384792737 %	0.00138124993172 %	0.000754789093521 %	0.00249664385475 %
TEncSearch::xEncodeResidualQT	1850626705	860124836	410130834	5766801	39994206	11104057	10318	0	7440	1844849586	820130630	399019337	1.82208289731 %	0.311613410982 %	4.02267545084 %	0.000569005744729 %	0.00055754085749 %	0.000585708859698 %
fillReferenceSamples	1842733280	514377003	246736855	32244268	28035676	39723102	16549	337329	167523	1810472463	486003998	206846230	3.84058820276 %	1.74980656994 %	8.90258103801 %	0.0200242553563 %	0.000898068113254 %	0.0663306803172 %
TComDataCU::getPUBelowLeft	1836441896	931459177	350577822	13504992	136353063	15018845	12938	311846	2081	1822923966	794794268	335556896	5.28709366173 %	0.735389016631 %	11.8071403648 %	0.0104815524172 %	0.000704514530418 %	0.0244865787996 %
TEncSearch::xEstimateMvPredAMVP	1816536096	691390128	829662300	21491479	157875943	70650986	42464	25760	22687	1795002153	533488425	758988627	7.49098956334 %	1.18310222667 %	15.024263779 %	0.00272385284604 %	0.00233763590459 %	0.00318509731211 %
TComPrediction::xPredInterUni	1730591559	687327144	564590154	8203862	71130255	26038023	7022	46667	2999	1722380675	616150222	538549132	3.5330034227 %	0.47404957902 %	7.76155726542 %	0.00190068169846 %	0.000405757208481 %	0.00396719496402 %
TEncSearch::xCheckBestMVP	1706553237	662332036	361411980	16682069	53833926	6160093	23780	13260	0	1689847388	608484850	355251887	2.80834212889 %	0.977529949744 %	5.86025589037 %	0.00135662884176 %	0.00139345198757 %	0.00129524566618 %
TEncSbac::codeLastSignificantXY	1690793172	667932860	373238288	15647514	21079510	1065072	12580	1777	0	1675133078	646851573	372173216	1.38333051143 %	0.92545405666 %	2.12689162992 %	0.000525519308393 %	0.000744029500966 %	0.000170673188881 %
TComCUMvField::setAllMv	1665304631	501586554	318683202	5733540	31878024	30584515	12290	10730	23723	1659558801	469697800	288074964	2.74367483656 %	0.344293764232 %	7.61487773298 %	0.00188057135785 %	0.000738003111936 %	0.00420020362179 %
TComCUMvField::clearMvField	1656433224	96482688	510290240	4101124	6321223	30412782	6170	6572	513870	1652325930	90154893	479363588	1.80430443616 %	0.247587644378 %	6.05399537535 %	0.0232684061739 %	0.0003724870952 %	0.085772119352 %
TComDataCU::xGetColMVP	1647844230	707921676	234905832	12186275	234930000	2979119	25364	3080436	2228	1635632591	469911240	231924485	9.65368905414 %	0.739528335151 %	25.2335784628 %	0.119969965875 %	0.00153922315825 %	0.326959488755 %
TComDataCU::getPULeft	1599145873	805716272	325721075	30440804	84467380	7911289	9669	317016	2640	1568695400	720931876	317807146	4.49792088739 %	1.90356642968 %	8.16471802393 %	0.0120606102604 %	0.000604635272069 %	0.028252205113 %
QpParam::QpParam	1564753307	700715967	474244829	24915930	176453517	11194729	3984	30287	0	1539833393	524232163	463050100	7.75862619268 %	1.59232320447 %	15.97059635 %	0.00125089694441 %	0.000254608824418 %	0.00257770302661 %
TComDataCU::setCbfPartRange	1541243988	770621994	513747996	4815013	57542438	16569403	3561	341	0	1536425414	713079215	497178593	2.7932638575 %	0.312410821226 %	5.77028750103 %	0.000138093880848 %	0.000231047129963 %	2.65499819098e-05 %
TComDataCU::setExplicitRdpcmModePartRange	1541167092	770583546	513722364	7100707	70189216	41394924	4091	1246	8071	1534062294	700393084	472319369	4.20053020914 %	0.460735700682 %	8.68828361928 %	0.000474540014734 %	0.000265448180229 %	0.00072545021614 %
TComDataCU::setCrossComponentPredictionAlphaPartRange	1513350630	756675315	504450210	1383059	42778752	8620	2212	28	0	1511965359	713896535	504441590	1.59202777506 %	0.0913905193273 %	3.39279248194 %	8.07359614882e-05 %	0.000146165730278 %	2.22023894093e-06 %
TComTU::getGolombRiceStatisticsIndex	1508076014	816569442	125626068	19905008	19550763	0	3418	6	0	1488167588	797018673	125626068	1.61026117365 %	1.31989421058 %	2.07502188161 %	0.000139739615241 %	0.000226646400332 %	6.36810506558e-07 %
TEncSbac::estSignificantCoeffGroupMapBit	1434674610	717337305	377545950	12291482	19227634	37754595	4586	2723	10499	1422378542	698106948	339780856	2.73856992791 %	0.856743537129 %	5.20441140549 %	0.000703996546053 %	0.000319654363995 %	0.00120761733633 %
TComDataCU::getPartIndexAndSize	1386478842	622421869	218261825	4301707	122258974	13472074	15040	19485	1548	1382162095	500143410	204788203	6.28749598363 %	0.310261279847 %	16.1453170757 %	0.00161968421329 %	0.00108476231619 %	0.00250189222773 %
TComRdCost::setDistParam	1379645132	730400364	486933576	11682553	103013933	14726400	1274	11552	0	1367961305	627374879	472207176	4.98359372224 %	0.846779561572 %	9.67198310432 %	0.000493881530979 %	9.23425865428e-05 %	0.00094895900134 %
TComDataCU::getCoefScanIdx	1358455564	614358595	319369233	26817965	31441470	21275953	6535	5985	6527	1331631064	582911140	298086753	3.46985272983 %	1.97415106616 %	5.64590894896 %	0.000830954454451 %	0.000481061005835 %	0.00134000504481 %
