BasketballPass__QP_32_nF_5_MSizeL1_16384_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
fillReferenceSamples	646729	164676	87128	5987	2400	9966	51	0	314	640691	162276	76848	2.0425515813 %	0.925735509 %	4.91096249464 %	0.0406217690391 %	0.00788583780842 %	0.124700163619 %
TEncBinCABACCounter::encodeBin	644841	310479	191064	210	3653	43	2	16	1	644629	306810	191020	0.340723527195 %	0.0325661674738 %	0.736925846837 %	0.00165738530894 %	0.000310153975941 %	0.00338953987993 %
TComTrQuant::getSigCtxInc	595084	186295	48056	164	237	0	7	4	0	594913	186054	48056	0.0483461633522 %	0.0275591345087 %	0.101130355748 %	0.00132620398223 %	0.00117630452171 %	0.00170684144723 %
do_lookup_x	552525	200251	94388	113	6079	73	31	1373	18	552381	192799	94297	0.739526231049 %	0.0204515632777 %	2.08797884869 %	0.167854158109 %	0.00561060585494 %	0.472103149956 %
TComPrediction::xPredIntraPlanar	516227	238722	88714	1742	0	3307	10	0	445	514475	238722	84962	0.598461708052 %	0.337448448066 %	1.00996836023 %	0.0539314868615 %	0.00193713230807 %	0.135904421017 %
TComRdCost::xCalcHADs4x4	478800	177660	103320	618	36	0	20	0	0	478162	177624	103320	0.0860775487641 %	0.129072681704 %	0.0128122998078 %	0.0026323409408 %	0.00417710944027 %	0.0 %
partialButterfly8	470652	238784	61880	2111	588	3132	17	4	9	468524	238192	58739	0.755980687552 %	0.448526724629 %	1.23726152782 %	0.00388945646142 %	0.00361201057257 %	0.00432376340367 %
TComTrQuant::signBitHidingHDQ	461730	198323	24515	2134	4857	4	30	137	0	459566	193329	24511	1.02181229622 %	0.462174864098 %	2.18140532584 %	0.0243949468862 %	0.006497303619 %	0.0614796399178 %
TComTrQuant::setErrScaleCoeff	452304	53568	50688	5	286	12408	5	1	12221	452294	53281	26059	2.28169469599 %	0.00110545120096 %	12.1757980356 %	2.19688802645 %	0.00110545120096 %	11.7230662983 %
partialButterflyInverse8	443586	234624	54426	1513	345	736	20	4	11	442053	234275	53679	0.354063955361 %	0.341083803366 %	0.373983739837 %	0.00477727002222 %	0.0045087085706 %	0.00518941359626 %
__memset_sse2	417040	93284	141120	824	851	43438	20	10	30435	416196	92423	67247	6.92507721308 %	0.197582965663 %	18.894302145 %	4.67653397683 %	0.00479570305007 %	12.988259586 %
TComTrQuant::xT	406966	94417	79162	3385	318	7541	6	0	338	403575	94099	71283	1.9368007648 %	0.831764815734 %	4.52762142886 %	0.0592546658743 %	0.00147432463646 %	0.194724016154 %
fastForwardDst	366126	167634	44202	1368	104	2361	9	1	2	364749	167529	41839	0.663192389811 %	0.373641860999 %	1.16363602032 %	0.00207626106907 %	0.00245817013815 %	0.00141618988274 %
TEncSbac::codeIntraDirLumaAng	333883	115493	115109	3995	943	117	15	0	5	329873	114550	114987	0.895506523645 %	1.1965269271 %	0.459666438279 %	0.0035430525169 %	0.00449259171626 %	0.00216823791641 %
initROM	329111	79859	35725	19	2	2737	19	0	49	329073	79857	32939	0.620200362046 %	0.0057731282151 %	2.3697051495 %	0.0152913794848 %	0.0057731282151 %	0.0423934108527 %
TComTrQuant::xIT	312246	66798	61673	1531	356	3218	4	0	11	310711	66442	58444	1.15833970553 %	0.490318530902 %	2.78195079045 %	0.00340354467833 %	0.00128104123031 %	0.00856224361918 %
_int_free	310168	78469	55475	401	1100	6	25	0	0	309742	77369	55469	0.339328817956 %	0.129284774703 %	0.825718210595 %	0.00562921064957 %	0.0080601480488 %	0.0 %
_dl_relocate_object	290000	102611	40802	52	5694	1836	52	3933	1063	289896	92984	37903	1.74937069262 %	0.0179310344828 %	5.25057003201 %	1.16470894966 %	0.0179310344828 %	3.48364513677 %
TComPrediction::initAdiPatternChType	281430	105671	74844	3307	1668	3783	28	0	251	278095	104003	70810	1.89589669766 %	1.17507017731 %	3.01969365427 %	0.0603968004849 %	0.00994918807519 %	0.139046616625 %
__x86.get_pc_thunk.bx	267406	267406	0	70	0	0	3	0	0	267333	267406	0	0 %	0 %	0 %	0 %	0 %	0 %
TComPrediction::predIntraAng	264937	107254	70729	2153	193	27	12	0	0	262772	107061	70702	0.535762665944 %	0.812646025281 %	0.123607310811 %	0.00270929287456 %	0.00452937868248 %	0.0 %
TComTrQuant::xsetFlatScalingList	249696	2016	98640	2	71	12354	2	1	12148	249692	1944	74138	3.54700415582 %	0.000800973984365 %	12.3440232078 %	3.46822624104 %	0.000800973984365 %	12.0698219679 %
TComDataCU::getIntraDirPredictor	231780	72966	63041	2982	953	125	13	0	3	228785	72013	62913	1.10389981158 %	1.28656484597 %	0.792606262913 %	0.00435034408503 %	0.00560876693416 %	0.00220576882072 %
strcmp	222709	70583	2	12	656	0	4	179	0	222693	69748	2	0.227757812979 %	0.00538819715413 %	0.92937592973 %	0.0623947302025 %	0.00179606571804 %	0.253594956436 %
TComRdCost::xGetHADs	218680	83930	69930	286	117	16	9	0	0	218385	83813	69914	0.112471144038 %	0.130784708249 %	0.0864422202002 %	0.00241584796263 %	0.00411560270715 %	0.0 %
malloc	217102	63060	35135	8	289	80	5	0	5	217089	62771	35050	0.11956980244 %	0.00368490387007 %	0.375782881002 %	0.00317161279682 %	0.00230306491879 %	0.00509190895667 %
TEncSearch::estIntraPredQT	207937	72179	100124	4391	2582	941	82	9	12	203464	69588	99171	2.08131706291 %	2.11169729293 %	2.04465389459 %	0.0270881548496 %	0.0394350211843 %	0.0121878319008 %
__memcmp_ssse3	195300	42742	4972	472	232	0	31	0	0	194797	42510	4972	0.289695243895 %	0.241679467486 %	0.48623045647 %	0.0127564667056 %	0.015873015873 %	0.0 %
TEncSearch::xRecurIntraCodingQT	194903	78295	61469	6134	2964	1323	54	0	8	188715	75331	60138	3.11384152008 %	3.14720655916 %	3.06731347128 %	0.0185258779623 %	0.0277060896959 %	0.00572393463267 %
TComDataCU::getPUAbove	190465	89512	43879	1336	308	440	6	0	3	189123	89204	43436	0.64349587471 %	0.701441209671 %	0.560757472393 %	0.00277901289462 %	0.00315018507337 %	0.00224902729569 %
TComRdCost::xGetSSE32	184400	80940	78260	407	1816	92	22	0	0	183971	79124	78168	0.67374854482 %	0.220715835141 %	1.19849246231 %	0.00640279394645 %	0.0119305856833 %	0.0 %
TComDataCU::getPULeft	176902	85071	36005	385	1288	37	5	0	3	176512	83783	35965	0.57386786944 %	0.217634622559 %	1.0943539595 %	0.00268476196229 %	0.0028264236696 %	0.0024777825498 %
TComRdCost::xGetSSE16	176548	76532	71212	767	1164	79	11	0	0	175770	75368	71133	0.619811774574 %	0.434442757777 %	0.841320121291 %	0.00339200473647 %	0.00623060017672 %	0.0 %
malloc_consolidate	164580	57735	37920	153	8355	72	10	0	33	164417	49380	37815	3.29702000115 %	0.0929639081298 %	8.80978516544 %	0.0165235268123 %	0.00607607242678 %	0.0344989807119 %
getTUEntropyCodingParameters	159943	68609	39280	3066	1782	2204	8	2	24	156869	66825	37052	2.63299381702 %	1.91693290735 %	3.6945379047 %	0.0126945249261 %	0.0050017818848 %	0.0240988423287 %
TComRdCost::xGetSSE4	157320	60720	34960	1375	0	370	5	0	0	155940	60720	34590	0.689723320158 %	0.874014747012 %	0.386705685619 %	0.00197628458498 %	0.00317823544368 %	0.0 %
TComTrQuant::transformNxN	154364	74518	59469	5066	797	5	12	0	0	149286	73721	59464	2.03501981959 %	3.28185328185 %	0.598565532477 %	0.0041615947231 %	0.00777383327719 %	0.0 %
__memchr_sse2_bsf	151850	34047	334	32	370	0	19	255	0	151799	33422	334	0.215860946889 %	0.0210734277247 %	1.07617579477 %	0.147129103103 %	0.0125123477116 %	0.741688723423 %
TComDataCU::getPUAboveRightAdi	149117	71453	32627	1509	1936	109	10	0	2	147598	69517	32516	1.40365012224 %	1.01195705386 %	1.96483474251 %	0.00473939264683 %	0.00670614349806 %	0.00192159877018 %
df::program_options_lite::Options::addOption	146684	45001	44151	168	641	0	30	0	0	146486	44360	44151	0.343034990417 %	0.114531918955 %	0.718996769562 %	0.0127207042182 %	0.0204521283848 %	0.0 %
TComYuv::copyPartToPartComponent	136761	51084	29092	1622	427	171	12	9	0	135127	50648	28921	1.02333857295 %	1.18601063169 %	0.745859109958 %	0.00968022974412 %	0.00877443130717 %	0.0112253043305 %
TComTURecurse::nextSection	133476	59750	29628	755	364	106	10	0	0	132711	59386	29522	0.549687239179 %	0.565644760107 %	0.525856474748 %	0.00448724276881 %	0.00749198357757 %	0.0 %
TComDataCU::getPUBelowLeftAdi	133247	66623	30725	932	1746	35	8	0	0	132307	64877	30690	1.17652160715 %	0.69945289575 %	1.82951883963 %	0.00346928597758 %	0.00600388751717 %	0.0 %
0x001366a7	131776	131776	0	1	0	0	1	0	0	131774	131776	0	0 %	0 %	0 %	0 %	0 %	0 %
TComCUMvField::create	130128	936	32504	9	31	3826	5	0	3818	130114	905	24860	2.36354299129 %	0.00691626706013 %	11.5340909091 %	2.33725423066 %	0.00384237058896 %	11.4174641148 %
TComDataCU::initEstData	129708	62523	56577	253	268	1685	11	0	0	129444	62255	54892	0.886627439632 %	0.195053504795 %	1.63979848866 %	0.00442107970805 %	0.00848058716502 %	0.0 %
TEncSearch::xLoadIntraResultQT	128205	47286	25308	1390	89	34	17	0	0	126798	47197	25274	0.753489808216 %	1.0842010842 %	0.169435490536 %	0.00846617762041 %	0.01326001326 %	0.0 %
TComPrediction::filteringIntraReferenceSamples	119906	29539	7848	1186	569	115	4	1	3	118716	28969	7730	1.1888640944 %	0.989108134706 %	1.8295129323 %	0.0050860496017 %	0.00333594649142 %	0.0106989060369 %
free	116691	36217	24144	141	691	1	3	0	0	116547	35526	24143	0.470483247859 %	0.120831940767 %	1.1464356124 %	0.00169441745928 %	0.00257089235674 %	0.0 %
check_match.isra.0	116598	46375	21552	51	464	138	5	69	50	116542	45842	21364	0.353881587861 %	0.0437400298461 %	0.886245528288 %	0.0671995664544 %	0.00428823822021 %	0.175188069545 %
TEncSbac::TEncSbac	112788	1404	48750	58	0	5021	29	0	5004	112701	1404	38725	3.11706005818 %	0.0514239103451 %	10.0111656099 %	3.08882915393 %	0.0257119551725 %	9.97727000837 %
TComRdCost::xGetSSE8	109382	46228	39494	750	43	91	7	0	0	108625	46185	39403	0.453091684435 %	0.685670402809 %	0.1563192646 %	0.00358783008037 %	0.00639959042621 %	0.0 %
TEncBinCABAC::copyState	103008	55796	42920	136	1219	794	2	0	5	102870	54577	42121	1.06531696774 %	0.132028580304 %	2.03918311115 %	0.0034700878428 %	0.00194159676918 %	0.00506503505004 %
operator	102762	28545	28545	6	46	8	2	0	2	102754	28499	28535	0.0375347196156 %	0.00583873416243 %	0.0945874934314 %	0.00250231464104 %	0.00194624472081 %	0.00350324049746 %
TEncSearch::xUpdateCandList	99694	26860	13494	167	155	2	3	0	0	99524	26705	13492	0.231349251685 %	0.167512588521 %	0.389056846905 %	0.00214212270079 %	0.00300920817702 %	0.0 %
TComTU::TComTU	98817	34308	30794	395	361	552	10	2	22	98412	33945	30220	0.797955087574 %	0.399728791605 %	1.40241467236 %	0.0207419518177 %	0.0101197162432 %	0.0368652268748 %
__dynamic_cast	95316	38493	34827	21	99	2	4	0	0	95291	38394	34825	0.0723451694775 %	0.0220319778421 %	0.137752318603 %	0.00237197276975 %	0.00419656720802 %	0.0 %
TEncSearch::xModeBitsIntra	94500	50750	36750	189	1037	0	4	0	0	94307	49713	36750	0.673626373626 %	0.2 %	1.18514285714 %	0.0021978021978 %	0.0042328042328 %	0.0 %
fastInverseDst	92700	45938	11948	338	41	229	9	1	6	92353	45896	11713	0.403755993253 %	0.364617044229 %	0.466434025498 %	0.0106251577172 %	0.00970873786408 %	0.0120927339944 %
partialButterfly4	92140	42500	16320	205	38	814	7	1	1	91928	42461	15505	0.700185479597 %	0.222487518993 %	1.44848690921 %	0.00596184419714 %	0.00759713479488 %	0.00340020401224 %
TEncSbac::codeQtCbf	85800	35464	21736	3554	347	114	6	0	1	82240	35117	21621	2.80769230769 %	4.14219114219 %	0.805944055944 %	0.0048951048951 %	0.00699300699301 %	0.00174825174825 %
TComDataCU::getCoefScanIdx	83842	30697	10224	1926	475	628	7	0	4	81909	30222	9592	2.42780311471 %	2.29717802533 %	2.6954375504 %	0.00881671649447 %	0.00834903747525 %	0.00977493218641 %
TEncSbac::codeLastSignificantXY	80122	31537	17878	1322	686	0	14	6	0	78786	30845	17878	1.55013625451 %	1.64998377474 %	1.38824243651 %	0.0154396041286 %	0.0174733531365 %	0.0121420621269 %
isLeftAvailable	79803	29556	23294	1451	698	1	3	0	1	78349	28858	23292	1.62076997882 %	1.81822738494 %	1.32261116367 %	0.0030153860071 %	0.00375925717078 %	0.00189214758751 %
TEncSbac::xCopyContextsFrom	76260	30504	30504	150	2444	1060	2	0	1	76108	28060	29443	2.6619459743 %	0.196695515342 %	5.74350904799 %	0.00218550572603 %	0.00262260687123 %	0.00163912929452 %
TComCUMvField::clearMvField	75744	2208	23320	69	78	1281	3	7	346	75672	2123	21693	1.4100639861 %	0.0910963244613 %	5.32356628016 %	0.351528556758 %	0.00396070975919 %	1.38279536196 %
TComTrQuant::xTransformSkip	73260	20313	14652	1833	0	0	7	0	0	71420	20313	14652	1.69369369369 %	2.50204750205 %	0.0 %	0.00646800646801 %	0.00955500955501 %	0.0 %
0x0006ce60	69198	69198	0	2	0	0	1	0	0	69195	69198	0	0 %	0 %	0 %	0 %	0 %	0 %
isAboveAvailable	69189	22854	24252	2161	63	88	4	0	1	67024	22791	24163	1.98804763747 %	3.12332885285 %	0.320553644971 %	0.0042994109807 %	0.00578126580815 %	0.002122871821 %
isBelowLeftAvailable	67995	25602	21371	1616	0	0	3	0	0	66376	25602	21371	1.40560851715 %	2.37664534157 %	0.0 %	0.00260942175214 %	0.0044120891242 %	0.0 %
TComRdCost::getDistPart	66496	21128	38818	2521	116	476	6	0	0	63969	21012	38342	2.46199838661 %	3.79120548604 %	0.987555466587 %	0.00474525869569 %	0.00902309913378 %	0.0 %
std::basic_streambuf<char,	65043	44452	41430	7	4613	28	7	0	12	65029	39839	41390	3.07967533543 %	0.0107621112187 %	5.40392631751 %	0.0125890342886 %	0.0107621112187 %	0.0139726601616 %
isAboveRightAvailable	64824	22854	21864	2843	0	0	5	0	0	61976	22854	21864	2.59535155465 %	4.38572133778 %	0.0 %	0.00456445929415 %	0.0077131926447 %	0.0 %
TComDataCU::getQuadtreeTULog2MinSizeInCU	63522	26820	9009	1858	740	78	4	0	4	61660	26080	8927	2.69348068968 %	2.92497087623 %	2.28306678947 %	0.00805225916196 %	0.00629703094991 %	0.0111641407798 %
_dl_addr	61676	20724	1946	12	1622	3	12	1369	0	61652	17733	1943	1.94081521353 %	0.0194565146897 %	7.16806352007 %	1.63730348801 %	0.0194565146897 %	6.03881782091 %
std::basic_string<char,	60712	22892	11396	9	575	30	3	1	25	60700	22316	11341	0.646315789474 %	0.0148240874951 %	1.76446570229 %	0.0305263157895 %	0.00494136249835 %	0.0758282781148 %
TEncSearch::xRecurIntraCodingQT	60521	20632	16513	1774	1233	862	35	0	15	58712	19399	15636	3.96146048778 %	2.93121395879 %	5.64005922735 %	0.0511948887023 %	0.0578311660415 %	0.0403822856374 %
TEncSearch::xEncSubdivCbfQT	59750	24383	17941	2183	582	27	15	0	0	57552	23801	17914	2.73527049004 %	3.65355648536 %	1.43889991494 %	0.0146952211141 %	0.0251046025105 %	0.0 %
QpParam::QpParam	58105	25029	18266	1401	1018	8	5	0	0	56699	24011	18258	2.39349112426 %	2.41115222442 %	2.3697886592 %	0.00493096646943 %	0.00860511143619 %	0.0 %
TEncSbac::loadIntraDirMode	57750	28000	19250	116	779	0	3	2	0	57631	27219	19250	0.852380952381 %	0.200865800866 %	1.64867724868 %	0.0047619047619 %	0.00519480519481 %	0.0042328042328 %
TEncBinCABACCounter::encodeBinsEP	56221	20444	15333	352	0	0	0	0	0	55869	20444	15333	0.382617013413 %	0.626100567404 %	0.0 %	0.0 %	0.0 %	0.0 %
TEncSbac::xCopyFrom	55924	25420	25420	368	1379	71	2	2	2	55554	24039	25347	1.70282117568 %	0.658035905872 %	2.85208497246 %	0.00561987186692 %	0.00357628209713 %	0.00786782061369 %
TAppEncCfg::parseCfg	54581	25430	35026	1250	520	907	1080	1	624	52251	24909	33495	2.32707737511 %	2.29017423646 %	2.36039433638 %	1.48213183584 %	1.9787105403 %	1.03380971285 %
TEncSearch::xEncCoeffQT	53933	26015	16066	2420	1232	0	7	0	0	51506	24783	16066	3.80361197325 %	4.48704874567 %	2.92768707968 %	0.00729060345366 %	0.0129790666197 %	0.0 %
TEncSbac::xWriteCoefRemainExGolomb	53834	21384	13832	369	0	0	6	0	0	53459	21384	13832	0.414373947221 %	0.685440427982 %	0.0 %	0.00673778775969 %	0.0111453728127 %	0.0 %
xTrMxN	53039	15881	13876	1881	330	1256	16	1	9	51142	15550	12611	4.18740035751 %	3.54644695413 %	5.32983835736 %	0.0314024832117 %	0.0301664812685 %	0.0336055381927 %
std::string::_Rep::_S_create	52668	10796	12595	69	2	328	3	0	326	52596	10794	11941	0.524592750365 %	0.131009341536 %	1.41079902527 %	0.432558934511 %	0.00569605832764 %	1.39369843102 %
std::string::find_first_not_of	50868	18095	16770	12	0	0	3	0	0	50853	18095	16770	0.0139969440006 %	0.0235904694503 %	0.0 %	0.00349923600014 %	0.00589761736259 %	0.0 %
__memcpy_chk_ssse3	50770	17212	14699	0	74	697	0	0	0	50770	17138	14002	0.932499606923 %	0.0 %	2.41609476356 %	0.0 %	0.0 %	0.0 %
TEncSearch::xGetIntraBitsQT	50624	22878	24904	943	1904	54	5	0	0	49676	20974	24850	2.94799097616 %	1.8627528445 %	4.09777740572 %	0.00508099099648 %	0.00987673830594 %	0.0 %
char*	50300	14688	16276	33	6	334	10	0	329	50257	14682	15613	0.458997834219 %	0.065606361829 %	1.09804934763 %	0.417158889545 %	0.0198807157058 %	1.06252422168 %
TComTrQuant::rdpcmNxN	49159	22781	14388	1525	904	679	5	0	14	47629	21877	13695	3.60022240756 %	3.10217864481 %	4.25892544863 %	0.0220090816421 %	0.010171077524 %	0.0376657967661 %
TComTrQuant::getSigCoeffGroupCtxInc	48722	16249	3498	35	0	0	3	0	0	48684	16249	3498	0.0511180242153 %	0.0718361315217 %	0.0 %	0.00438154493274 %	0.00615738270186 %	0.0 %
TEncSearch::xRecurIntraChromaCodingQT	48545	17402	17306	851	830	136	34	0	7	47660	16572	17163	2.18250393379 %	1.75301266866 %	2.78322000691 %	0.0492474745655 %	0.0700381089711 %	0.0201682609197 %
std::_Rb_tree<std::string,	48478	16951	15541	19	22	2	14	0	0	48445	16929	15539	0.0531060886748 %	0.0391930360163 %	0.0738643358365 %	0.0172903544523 %	0.0288790791699 %	0.0 %
TEncSearch::xRecurIntraChromaCodingQT	48311	16939	17716	1120	528	351	10	0	6	47181	16411	17359	2.40942072656 %	2.31831259961 %	2.53643052951 %	0.0192850083167 %	0.0206992196394 %	0.0173135189727 %
std::string::_M_mutate	44901	15548	9589	26	1	7	11	0	7	44864	15547	9575	0.0485450755304 %	0.0579051691499 %	0.0318255957354 %	0.0257003341043 %	0.0244983407942 %	0.0278473962684 %
TComDataCU::getPUAboveLeft	44407	18470	10505	3042	860	745	11	0	9	41354	17610	9751	6.33261562781 %	6.85027135362 %	5.53925798102 %	0.0272546401025 %	0.0247708694575 %	0.0310612597066 %
operator	44235	16086	16086	73	7	0	2	0	0	44160	16079	16086	0.104702448729 %	0.165027693003 %	0.0217580504787 %	0.00261756121821 %	0.00452130665762 %	0.0 %
__cxxabiv1::__vmi_class_type_info::__do_dyncast	43420	19298	10856	99	42	9	7	1	1	43314	19255	10846	0.20387636937 %	0.228005527407 %	0.169131790144 %	0.0122325821622 %	0.016121602948 %	0.00663261922133 %
__cxxabiv1::__si_class_type_info::__do_dyncast	43050	19680	9840	34	0	0	3	0	0	43013	19680	9840	0.0468513159708 %	0.0789779326365 %	0.0 %	0.00413393964448 %	0.00696864111498 %	0.0 %
TEncBinCABACCounter::getNumWrittenBits	40400	22725	10100	44	37	0	1	0	0	40355	22688	10100	0.110617958348 %	0.108910891089 %	0.112718964204 %	0.00136565380676 %	0.00247524752475 %	0.0 %
TComRdCost::calcRdCost	40300	13950	8525	818	1705	0	5	0	0	39477	12245	8525	4.01911589008 %	2.02977667494 %	7.58620689655 %	0.00796495420151 %	0.0124069478908 %	0.0 %
TEncSearch::xStoreIntraResultQT	38628	18648	10323	984	267	0	7	0	0	37637	18381	10323	1.850619092 %	2.54737496117 %	0.921611266439 %	0.010355182769 %	0.0181215698457 %	0.0 %
char*	38161	8962	10612	177	0	15	3	0	11	37981	8962	10586	0.332553910107 %	0.463824323262 %	0.0766322672933 %	0.0242487226119 %	0.00786142920783 %	0.0561969960151 %
QpParam::QpParam	36513	9517	7194	948	157	0	3	0	0	35562	9360	7194	2.07613106869 %	2.59633555172 %	0.939500927533 %	0.00563655493762 %	0.00821625174595 %	0.0 %
TComTrQuant::calcPatternSigCtx	35841	14396	1172	74	0	0	3	0	0	35764	14396	1172	0.143943667451 %	0.206467453475 %	0.0 %	0.00583555408586 %	0.00837030216791 %	0.0 %
TEncSbac::resetBits	35350	22725	12625	152	1962	15	1	2	1	35197	20761	12609	3.01131541726 %	0.429985855728 %	5.59264497878 %	0.00565770862801 %	0.002828854314 %	0.00848656294201 %
TEncEntropy::encodeCoeffNxN	34582	18654	9968	1086	123	592	5	1	3	33491	18530	9373	2.849503196 %	3.14036203805 %	2.49807840123 %	0.0142396050883 %	0.0144583887572 %	0.0139752637831 %
TEncSearch::xEncIntraHeader	33776	13314	8715	3277	600	14	11	0	1	30488	12714	8700	6.97249350417 %	9.7021553766 %	2.7872350084 %	0.0215034495117 %	0.0325675035528 %	0.00453947069772 %
TComPrediction::UseDPCMForFirstPassIntraEstimation	33250	21000	3500	55	148	0	2	0	0	33193	20852	3500	0.351515151515 %	0.165413533835 %	0.604081632653 %	0.0034632034632 %	0.00601503759398 %	0.0 %
TComPicYuv::create	32665	2468	5807	17	3	616	15	0	578	32633	2465	4613	1.55349291646 %	0.0520434716057 %	7.48036253776 %	1.44846116268 %	0.0459207102403 %	6.98489425982 %
std::istream::sentry::sentry	32353	13578	5756	23	24	0	5	3	0	32325	13551	5756	0.0909319558109 %	0.0710907798349 %	0.124133650564 %	0.0154777797125 %	0.0154545173554 %	0.0155167063205 %
TComDataCU::setTransformSkipSubParts	32025	16653	8967	207	102	0	2	0	0	31816	16551	8967	0.536039552433 %	0.646370023419 %	0.3981264637 %	0.00346951166623 %	0.00624512099922 %	0.0 %
TEncEntropy::encodeIntraDirModeLuma	31626	18072	11295	90	80	0	1	1	0	31535	17991	11295	0.278720508911 %	0.284575981787 %	0.272414615044 %	0.00327906481072 %	0.00316195535319 %	0.00340518268805 %
TComTrQuant::invTransformNxN	30983	14959	11650	1461	256	432	11	0	0	29511	14703	11218	3.7314210307 %	4.71548913921 %	2.58559134128 %	0.0190998749826 %	0.0355033405416 %	0.0 %
_IO_file_xsputn@@GLIBC_2.1	30671	7465	3818	29	16	4	13	10	2	30629	7439	3812	0.116794584545 %	0.0945518568028 %	0.177257821501 %	0.0595890737474 %	0.0423853151185 %	0.106354692901 %
TEncBinCABAC::resetBits	30300	7575	17675	248	127	0	1	0	0	30051	7448	17675	0.675067506751 %	0.818481848185 %	0.50297029703 %	0.001800180018 %	0.003300330033 %	0.0 %
TEncSearch::xEncSubdivCbfQT	29467	12338	6813	56	20	92	0	0	2	29411	12318	6719	0.345551030483 %	0.19004309906 %	0.584825857658 %	0.00411370274384 %	0.0 %	0.0104433188867 %
TEncSearch::xEncCoeffQT	27399	14333	6726	80	224	0	0	0	0	27319	14109	6726	0.627347393619 %	0.291981459177 %	1.06367823733 %	0.0 %	0.0 %	0.0 %
