BQMall__QP_32_nF_5_SR_32_MSizeL1_8192_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
getTUEntropyCodingParameters	178904471	76772787	43997021	2211368	4896748	4838905	17	32	217	176693086	71876007	39157899	3.98666880583 %	1.23606078017 %	8.06133019604 %	8.87630399538e-05 %	9.50227789444e-06 %	0.0002061773585 %
TComRdCost::xGetSAD24	176736516	46449282	1582878	2679	291338	2989	20	420	0	176733817	46157524	1579889	0.132138519159 %	0.00151581578082 %	0.612770693635 %	0.000195756814442 %	1.13162805586e-05 %	0.000874414142525 %
0x001366a7	175929420	175929420	0	107823	0	0	6	0	0	175821591	175929420	0	0 %	0 %	0 %	0 %	0 %	0 %
TEncSbac::estCBFBit	172789120	80223520	40728864	2723926	8912492	4537087	18	23	18	170065176	71311005	36191759	5.50603329109 %	1.57644532248 %	11.1197303891 %	2.00856873123e-05 %	1.04173225722e-05 %	3.38976369412e-05 %
TComRdCost::xGetSSE8	172535681	72918574	62296577	1169427	1883501	375639	20	0	6	171366234	71035073	61920932	1.11407237398 %	0.677788497557 %	1.67077430546 %	8.44839308184e-06 %	1.15918051756e-05 %	4.4373725545e-06 %
TEncSearch::xPatternSearch	171488867	67633990	59774563	168752	313686	255325	22	0	0	171320093	67320304	59519238	0.246828159306 %	0.0984040555822 %	0.446603455264 %	7.36038470991e-06 %	1.28288211269e-05 %	0.0 %
TComRdCost::xGetSSE16	170052892	73716428	68592148	518949	2353243	151857	30	0	0	169533913	71363185	68440291	0.96812485207 %	0.305169170543 %	1.76032960937 %	9.60425759044e-06 %	1.76415700122e-05 %	0.0 %
TComYuv::copyPartToPartComponent	161656610	57680984	32743432	895279	1194217	34098	82	12	0	160761249	56486755	32709334	0.842425165312 %	0.553815275478 %	1.35838864583 %	3.72895975122e-05 %	5.07248048812e-05 %	1.32707520057e-05 %
TComTU::TComTU	145792888	52635602	50428055	678074	2444936	1903174	31	5	231	145114783	50190661	48524650	2.01971139638 %	0.46509401748 %	4.2188586419 %	0.00010729072848 %	2.12630399365e-05 %	0.000228984694382 %
TComRdCost::calcRdCost	144136304	50092392	31187068	727569	4576223	33163	22	7	0	143408713	45516162	31153905	2.36760504469 %	0.504778449155 %	5.67103423177 %	1.28651162125e-05 %	1.52633301878e-05 %	8.6122619417e-06 %
TEncSearch::xEstimateResidualQT	143905733	54402037	48154825	4641100	6297745	2047225	42	38	134	139264591	48104254	46107466	5.26898209442 %	3.22509736287 %	8.13692017995 %	8.68285915759e-05 %	2.91857726057e-05 %	0.000167711839701 %
TComTrQuant::xTransformSkip	140930680	39076234	28186136	2187808	1567541	2334144	14	0	0	138742858	37508693	25851992	2.92492616828 %	1.55240008776 %	5.80069509891 %	6.72452802819e-06 %	9.93396185983e-06 %	0.0 %
TComYuv::removeHighFreq	135758702	39308766	16806702	232664	1877763	3148	13	0	0	135526025	37431003	16803554	1.10154222426 %	0.171380542516 %	3.35185835036 %	6.7752736077e-06 %	9.57581341637e-06 %	0.0 %
TComRdCost::getDistPart	133338575	43258083	76737749	2410715	736415	334597	18	0	0	130927842	42521668	76403152	1.3743600963 %	1.80796517437 %	0.892541000924 %	7.1052330448e-06 %	1.34994693021e-05 %	0.0 %
TComTURecurse::nextSection	132220130	58450408	30643440	1489552	1092875	453192	30	0	16	130730548	57357533	30190232	1.37163455622 %	1.12656975908 %	1.73532408208 %	2.0784950149e-05 %	2.26894346572e-05 %	1.79585912599e-05 %
TComRdCost::xGetSSE32	128434600	56374710	54508090	174539	1717996	61196	62	0	0	128259999	54656714	54446894	0.816376494145 %	0.135897180355 %	1.60456987017 %	2.59070172081e-05 %	4.82735960559e-05 %	0.0 %
partialButterflyInverse8	127387832	67378688	15629912	640825	158305	801342	58	8	3	126746949	67220375	14828567	0.760693508339 %	0.503050401235 %	1.15608141807 %	3.27952329534e-05 %	4.55302512724e-05 %	1.32516389868e-05 %
TComDataCU::initEstData	123680628	57542949	52994703	475136	552582	1755208	22	0	0	123205470	56990367	51239495	1.1881762602 %	0.384163637979 %	2.08778634089 %	9.39294746764e-06 %	1.77877492666e-05 %	0.0 %
TEncSbac::codeQtCbf	119998168	49548106	30368194	2630285	1838967	307788	13	0	50	117367870	47709139	30060356	2.38954191149 %	2.19193763025 %	2.6862542435 %	3.15134770536e-05 %	1.08334987247e-05 %	6.25654591116e-05 %
fillReferenceSamples	110794782	31150259	14822937	2181382	1493919	2479577	102	20	1028	108613298	29656320	12342332	3.92610664405 %	1.9688490384 %	8.64307106254 %	0.000733568178062 %	9.20620972926e-05 %	0.00227958917627 %
TEncSearch::predInterSearch	110755850	26068494	47156161	3484702	4747382	3953628	131	9	159	107271017	21321103	43202374	6.62337131861 %	3.14629159543 %	11.8826234142 %	0.000162517218876 %	0.000118278176728 %	0.000229430920501 %
TComYuv::subtract	103739773	35304047	15029838	407281	1250516	904038	11	7	495	103332481	34053524	14125305	1.6627339373 %	0.392598699826 %	4.28052394525 %	0.000332957629915 %	1.06034548581e-05 %	0.000997340062266 %
TComDataCU::clipMv	98091840	33886272	16051392	359506	1523347	155648	4	0	0	97732330	32362925	15895744	1.37709101559 %	0.366499394853 %	3.36218169917 %	2.70216402265e-06 %	4.07781116146e-06 %	0.0 %
TComRdCost::setDistParam	97919738	41626260	32717898	57817	383591	118807	6	5	0	97861915	41242664	32599091	0.325207436386 %	0.0590452968736 %	0.675773340523 %	6.38555161901e-06 %	6.12746737537e-06 %	6.72547801268e-06 %
TEncSearch::xTZSearch	97091882	35162883	40878070	3256774	486063	668265	358	0	0	93834750	34676820	40209805	2.5478136484 %	3.35432163113 %	1.51803463063 %	0.000206777645615 %	0.000368722896936 %	0.0 %
TComRdCost::xGetSAD12	96897836	26817966	2317602	5057	121660	4268	14	138	0	96892765	26696168	2313334	0.103928796528 %	0.00521889879976 %	0.432213986698 %	0.000120602947454 %	1.44482070786e-05 %	0.000473647879458 %
TEncSbac::xCopyContextsFrom	96536700	38614680	38614680	90102	5902944	2488552	9	41	38	96446589	32711695	36126090	4.88104408882 %	0.0933344520788 %	10.8656811347 %	5.06428010165e-05 %	9.32287927804e-06 %	0.00010229270319 %
TEncSampleAdaptiveOffset::getBlkStats	92375195	30246219	17562005	301	387203	37464	173	3982	20070	92374721	29855034	17504471	0.30315140195 %	0.000325845049637 %	0.888271858833 %	0.0172809310636 %	0.000187279712914 %	0.0503093359 %
TComTrQuant::xQuant	87414250	39733750	28608300	479274	642284	2092350	8	0	22	86934968	39091466	26515928	2.06342086965 %	0.548279027733 %	4.00139299304 %	1.92608581483e-05 %	9.15182593227e-06 %	3.21910156339e-05 %
TEncBinCABAC::copyState	85647000	46392125	35686250	132511	8127541	1454585	5	2	89	85514484	38264582	34231576	5.79199003132 %	0.154717619998 %	11.6743612431 %	5.72364199514e-05 %	5.83791609747e-06 %	0.000110869641364 %
__memcpy_chk_ssse3	83466130	25041636	15513487	234332	4318224	4314842	9	0	29	83231789	20723412	11198616	7.14990196076 %	0.280751006426 %	21.2872390992 %	3.0639909758e-05 %	1.07828169342e-05 %	7.15076119976e-05 %
TComTrQuant::calcPatternSigCtx	76232558	30860144	3662480	114964	103542	0	9	0	0	76117585	30756602	3662480	0.197287382905 %	0.150806955737 %	0.29992505784 %	8.12603061769e-06 %	1.18059792773e-05 %	0.0 %
TComDataCU::getQuadtreeTULog2MinSizeInCU	75313807	31909070	10515771	590837	2805971	149625	8	2	22	74722962	29103097	10366124	3.01212308808 %	0.784500244424 %	6.96666370535 %	2.71788410548e-05 %	1.06222222972e-05 %	5.65706304002e-05 %
fastForwardDst	74642292	34175628	9011484	374995	83298	590747	26	2	0	74267271	34092328	8420737	0.890304087425 %	0.50238944967 %	1.56075497709 %	2.3763168657e-05 %	3.48327996145e-05 %	4.63101121464e-06 %
TComTrQuant::xIT	74232214	16232550	14965477	647170	455975	1352479	8	0	11	73585036	15776575	13612987	2.32914577137 %	0.871818264777 %	5.79669348962 %	1.80213948292e-05 %	1.07769923176e-05 %	3.52586399134e-05 %
TEncSbac::xCopyFrom	70793580	32178900	32178900	118886	5122321	192648	4	101	14	70674690	27056478	31986238	4.02056937931 %	0.167933306947 %	8.25846905892 %	8.80494154037e-05 %	5.65022986548e-06 %	0.000178688519496 %
TEncSbac::codeIntraDirLumaAng	69747757	24123041	24308392	1379679	437904	25130	41	0	4	68368037	23685137	24283258	1.5592533677 %	1.9780980197 %	0.956060911929 %	3.80777698679e-05 %	5.87832523417e-05 %	8.25909900291e-06 %
TComDataCU::setTransformSkipPartRange	68550750	34275375	22850250	132786	1750804	0	3	0	0	68417961	32524571	22850250	1.49876219775 %	0.193704664063 %	3.06483123817 %	2.38708349123e-06 %	4.37631973392e-06 %	0.0 %
void	65980152	43352248	2710024	28242	253740	166049	8	578	0	65951902	43097930	2543975	0.399876211175 %	0.0428037813553 %	0.911351051029 %	0.000523016174659 %	1.21248583968e-05 %	0.00125482303608 %
TComTrQuant::rdpcmNxN	65163350	30197650	19072200	1251627	2684978	3189121	10	0	45	63911713	27512672	15883034	6.22697433961 %	1.92075299996 %	11.9222993372 %	4.80629747311e-05 %	1.53460495816e-05 %	9.13337467031e-05 %
TEncSbac::estBit	62944608	19747328	39494656	339677	194476	136757	10	0	0	62604921	19552852	39357899	0.549086433313 %	0.539644317111 %	0.559118681778 %	8.18420404098e-06 %	1.58869843148e-05 %	0.0 %
xTrMxN	59938309	17558634	15958829	2067399	1728738	2351820	31	2	31	57870879	15829894	13606978	6.57846687094 %	3.4492114217 %	12.174423822 %	6.84815914848e-05 %	5.17198441484e-05 %	9.84561391177e-05 %
TComYuv::clear	58379906	15086942	13119080	115233	2347571	26636	3	14	4	58264670	12739357	13092440	2.87510922098 %	0.197384696029 %	8.417376261 %	2.42533636644e-05 %	5.13875442006e-06 %	6.38161595421e-05 %
TComDataCU::getPULeft	58278768	29321310	11915848	978796	1164347	104029	12	35	2	57299960	28156928	11811817	2.25810288898 %	1.67950702046 %	3.07580847351 %	4.92383500506e-05 %	2.05906892198e-05 %	8.97249029625e-05 %
TComDataCU::xAddMVPCand	56427659	22744914	10802838	421973	3223569	105475	14	29	4	56005672	19521316	10697359	4.16893566621 %	0.747812345006 %	9.92329977878 %	5.22364938127e-05 %	2.48105277591e-05 %	9.8367246783e-05 %
TComPrediction::predIntraAng	54613643	22151230	14528576	560112	344033	64039	32	0	1	54053499	21807197	14464536	1.06051859208 %	1.02558988786 %	1.1125249681 %	3.61471719619e-05 %	5.85934177656e-05 %	2.72629577158e-06 %
TComDataCU::getPUAbove	53348637	25517789	12087569	1326268	509742	179173	12	22	11	52022357	25008025	11908385	2.21560691204 %	2.4860391466 %	1.83195969042 %	4.94755617936e-05 %	2.24935456177e-05 %	8.77534525798e-05 %
TComPrediction::initAdiPatternChType	53196535	20465692	15077050	1369977	1120327	951168	56	21	892	51826502	19345344	14124990	3.87818350154 %	2.57531247101 %	5.82818005431 %	0.00109196291964 %	0.000105270014297 %	0.00256873822509 %
TComCUMvField::clearMvField	53096994	3298680	16358682	129591	151641	893515	6	140	16961	52967397	3146899	15448206	1.6146758278 %	0.244064664 %	5.31686805178 %	0.023513368739 %	1.13000747274e-05 %	0.0869953964321 %
TEncSearch::xGetTemplateCost	52185848	22426976	17682808	748845	2144359	454660	18	3	0	51436985	20282614	17228148	3.62732658898 %	1.43495799857 %	6.47976314208 %	2.27529727517e-05 %	3.44921098149e-05 %	7.47947184158e-06 %
QpParam::QpParam	51636756	23001738	15730674	1004562	4299159	16746	18	2	0	50632176	18702577	15713928	5.88748034064 %	1.94543979486 %	11.142876927 %	2.2131441998e-05 %	3.48588900511e-05 %	5.16363401277e-06 %
TEncSbac::codeLastSignificantXY	51042139	20164386	11369146	834990	664009	823	38	8	0	50207111	19500369	11368323	1.81630010612 %	1.63588363724 %	2.1083334401 %	5.57064804233e-05 %	7.44482906565e-05 %	2.53698190231e-05 %
TEncSearch::xEncodeResidualQT	50546086	23009737	11174054	166947	99138	266691	7	0	24	50379132	22910599	10907339	0.628793548231 %	0.330286701131 %	1.07018264885 %	3.65868582578e-05 %	1.38487478536e-05 %	7.02087138317e-05 %
TComPrediction::xPredInterUni	49924998	19828368	16287588	269882	458823	193728	5	9	0	49655111	19369536	16093860	1.07208597431 %	0.540574883949 %	1.80682189335 %	1.62713212129e-05 %	1.0015022935e-05 %	2.49197335383e-05 %
TComDataCU::getIntraDirPredictor	49627865	16346634	13115983	1063562	631083	24174	26	0	3	48564277	15715551	13091806	2.17323116074 %	2.14307425879 %	2.22402850365 %	3.66668646677e-05 %	5.2389922476e-05 %	1.01823948633e-05 %
TEncSearch::xMotionEstimation	48590816	20487474	15935476	1595571	2676708	475115	32	0	1	46995213	17810766	15460360	5.58426502362 %	3.28368842375 %	8.65339847541 %	3.88172428451e-05 %	6.58560662986e-05 %	2.7455217109e-06 %
TComDataCU::getCoefScanIdx	48500354	20860580	9935772	1279341	886267	684202	14	0	50	47220999	19974313	9251520	3.59385672338 %	2.63779724164 %	5.09952932088 %	8.07095316166e-05 %	2.88657686911e-05 %	0.000162356892141 %
TComCUMvField::setAllMv	48108760	14715043	9095578	161826	333347	594766	23	4	0	47946911	14381692	8500812	1.51550108586 %	0.336375329566 %	3.8978949772 %	3.75420361307e-05 %	4.78083409342e-05 %	1.67992258581e-05 %
TEncSbac::estSignificantCoeffGroupMapBit	46899904	23449952	12342080	723816	1222457	2468118	4	5	5	46176084	22227490	9873957	5.33835729762 %	1.54332085626 %	10.3111636691 %	1.69303086579e-05 %	8.52880210586e-06 %	2.79391793123e-05 %
TComDataCU::setCbfPartRange	46533978	23266989	15511326	219918	1295189	215968	4	0	0	46314056	21971800	15295358	2.02910382446 %	0.472596604571 %	3.89691248833 %	4.68865606508e-06 %	8.59586945264e-06 %	0.0 %
TComDataCU::setExplicitRdpcmModePartRange	46523286	23261643	15507762	402060	1346777	1286667	3	0	22	46121223	21914866	14221073	3.55892628596 %	0.86421238603 %	6.79258296587 %	2.93108350867e-05 %	6.44838371907e-06 %	5.67457767278e-05 %
TComDataCU::fillMvpCand	46170514	14148702	18673762	1064977	1027703	186359	24	15	10	45105513	13120984	18487393	2.88511594031 %	2.30661716263 %	3.69887525812 %	6.20308301328e-05 %	5.19812276727e-05 %	7.61673468512e-05 %
TComTU::getGolombRiceStatisticsIndex	45896168	24852243	3823422	1179748	97688	0	6	0	0	44716414	24754555	3823422	1.71302749122 %	2.57047167859 %	0.340665159814 %	8.04593337541e-06 %	1.30729868341e-05 %	0.0 %
TComDataCU::setCrossComponentPredictionAlphaPartRange	44491788	22245894	14830596	41244	752388	0	2	0	0	44450542	21493506	14830596	0.972966476012 %	0.0927002529096 %	2.02928594373 %	2.45193358134e-06 %	4.49521156578e-06 %	0.0 %
TEncSearch::xExtDIFUpSamplingQ	44157978	15594220	22587864	1219938	1658055	28068	37	33	0	42938003	13936132	22559796	3.52934031067 %	2.762667258 %	4.41600568476 %	8.50132952292e-05 %	8.37900684674e-05 %	8.64279697253e-05 %
TComPrediction::xPredIntraPlanar	43480737	19557302	7521646	319083	1579	482599	28	0	612	43161626	19555723	7038435	1.13841352892 %	0.73384910656 %	1.78802367064 %	0.000907033527715 %	6.43963325645e-05 %	0.00226005825633 %
TEncSearch::estIntraPredQT	41719243	14487730	20096150	966188	698190	348161	186	24	11	40752869	13789516	19747978	2.63755783626 %	2.31592888682 %	3.02554542752 %	0.000289634278796 %	0.000445837428066 %	0.000101203219535 %
TEncSbac::resetBits	40233270	25864245	14369025	183088	1884010	48552	2	6	1	40050180	23980229	14320472	2.62922949092 %	0.455066167875 %	4.80339281396 %	1.11847731989e-05 %	4.97101031062e-06 %	1.73985360872e-05 %
TEncBinCABACCounter::getNumWrittenBits	39929328	22460247	9982332	119037	1054491	6381	5	0	0	39810286	21405756	9975951	1.63034117645 %	0.298119217033 %	3.26999897265 %	6.90875811798e-06 %	1.25221240888e-05 %	0.0 %
TComRdCost::setDistParam	39003865	20649105	13766070	213377	2171687	0	3	10	0	38790485	18477408	13766070	3.24856331546 %	0.547066297148 %	6.31025993621 %	1.7706578566e-05 %	7.69154544043e-06 %	2.90569494416e-05 %
TComCUMvField::setAllRefIdx	38970987	11781314	8311405	275938	196531	182162	61	1	0	38694988	11584782	8129243	1.10834731569 %	0.708060075563 %	1.88472749756 %	0.000104971401557 %	0.000156526700235 %	4.97692721428e-06 %
TEncSearch::xRecurIntraCodingQT	38854341	15796528	12498655	2243136	1971658	850565	182	1	8	36611023	13824869	11648082	7.54340269039 %	5.77319275599 %	9.97421716622 %	0.000284439842046 %	0.000468416128844 %	3.18075341658e-05 %
TEncSbac::codeQtCbfZero	38378832	17204304	15880896	128376	3360917	0	3	0	0	38250453	13843387	15880896	4.88258624982 %	0.334496891411 %	10.1583699056 %	4.19791595302e-06 %	7.81680901597e-06 %	0.0 %
