BasketballPass__QP_32_nF_1_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw	L1Rate	I1Rate	D1Rate	LLRate	ILRate	DLRate
TComPrediction::predIntraAng	44138622	17909348	11730742	390650	1622187	232499	12	30	8	0	0	0	0	0	0
__x86.get_pc_thunk.bx	44003562	44003562	0	3	0	0	1	0	0	0	0	0	0	0	0
TEncEntropy::countNonZeroCoeffs	43824200	5185800	178000	46356	414020	0	2	1908	0	0	0	0	0	0	0
TComDataCU::getIntraDirPredictor	41562080	13777563	10839862	870114	1189345	86822	13	3011	86	0	0	0	0	0	0
TComPrediction::initAdiPatternChType	39849169	15400292	11525289	1010445	1344220	935087	28	304	1439	0	0	0	0	0	0
TComTrQuant::xT	39574552	9787256	7920952	583768	901192	1021727	5	4	6240	0	0	0	0	0	0
TEncSbac::estSignificantMapBit	36486628	13505327	6442884	776061	1152557	723258	8	461	45	0	0	0	0	0	0
TEncSearch::estIntraPredQT	34592822	12007399	16647632	800179	2285001	1146745	82	2243	828	0	0	0	0	0	0
TEncSearch::xRecurIntraCodingQT	32362809	13177684	10410302	1908325	3495937	1448191	56	48	480	0	0	0	0	0	0
TComDataCU::getPUAbove	30002636	14319445	6842941	487273	477589	151913	6	802	352	0	0	0	0	0	0
TComRdCost::xGetHADs	29845725	11728920	8824305	47735	292446	105548	9	0	0	0	0	0	0	0	0
TComRdCost::xGetSSE4	29471850	11375100	6549300	603902	72247	112529	5	232	0	0	0	0	0	0	0
TEncSbac::estCBFBit	27861120	12935520	6567264	1252747	1867825	807437	9	608	20	0	0	0	0	0	0
TComDataCU::getPULeft	27632193	13849768	5680460	412353	778838	93768	6	1210	153	0	0	0	0	0	0
getTUEntropyCodingParameters	27022962	11586189	6646425	859670	1112737	805825	9	82	841	0	0	0	0	0	0
TComTURecurse::nextSection	26639306	11907094	5926758	271818	218080	180272	11	0	1	0	0	0	0	0	0
TComPrediction::xPredIntraPlanar	25874261	11421918	4495846	238445	37898	275064	10	0	3062	0	0	0	0	0	0
TComTrQuant::transformNxN	25603808	12362664	9858008	1423231	869234	124180	11	31	0	0	0	0	0	0	0
fastInverseDst	23956200	11871628	3087688	156012	34583	186326	9	1	0	0	0	0	0	0	0
partialButterfly4	23674560	10920000	4193280	61314	144860	268603	7	10	538	0	0	0	0	0	0
TComTrQuant::xIT	23479630	5235338	4817579	337122	412667	390136	61	6	403	0	0	0	0	0	0
TComYuv::copyPartToPartComponent	22692075	8435018	4593710	359185	470890	28281	12	48	0	0	0	0	0	0	0
TEncSearch::xLoadIntraResultQT	22266636	8211831	4395210	509164	648186	80892	24	98	389	0	0	0	0	0	0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/strcat.S:0x0012694b	21451658	21451658	0	2529	0	0	44	0	0	0	0	0	0	0	0
TComPrediction::filteringIntraReferenceSamples	19729866	4863928	1293579	406588	804802	233094	4	6	94	0	0	0	0	0	0
TEncSearch::xUpdateCandList	19034462	4978347	2574159	27774	281840	2835	3	71	0	0	0	0	0	0	0
TComTU::TComTU	19012968	6567620	5843789	135392	266701	229657	11	11	1186	0	0	0	0	0	0
TEncSampleAdaptiveOffset::getBlkStats	18475059	6049251	3512409	61	929044	36215	61	8609	6713	0	0	0	0	0	0
TComDataCU::getPUAboveRightAdi	18367294	9112746	3840742	286221	737439	26215	10	357	7	0	0	0	0	0	0
TEncBinCABAC::copyState	17268240	9353630	7195100	58361	928424	521210	2	20	294	0	0	0	0	0	0
TComDataCU::getPUBelowLeftAdi	16544293	8472206	3724993	211875	663928	14769	8	1185	0	0	0	0	0	0	0
TEncSearch::xModeBitsIntra	15685110	8423485	6099765	32313	1554339	5985	4	192	0	0	0	0	0	0	0
TComDataCU::getCoefScanIdx	14847361	5422136	1728048	610397	593562	143893	7	77	90	0	0	0	0	0	0
TEncSbac::codeQtCbf	14746875	6095375	3735875	701489	456464	84853	6	13	69	0	0	0	0	0	0
TEncSbac::codeLastSignificantXY	13729637	5425567	3078626	415728	409094	6946	15	4	0	0	0	0	0	0	0
TComRdCost::xGetSSE8	13543535	5723890	4890095	155046	119716	33394	7	131	0	0	0	0	0	0	0
TEncSbac::xCopyContextsFrom	12871350	5148540	5148540	26815	777287	191990	2	127	119	0	0	0	0	0	0
TComTrQuant::xTransformSkip	12821600	3555080	2564320	407107	60940	233120	7	0	0	0	0	0	0	0	0
isLeftAvailable	11227495	4208493	3309008	328473	124681	16936	3	128	0	0	0	0	0	0	0
TComRdCost::getDistPart	11089866	3530138	6465828	624547	50230	143933	6	3	0	0	0	0	0	0	0
TComTrQuant::xQuant	10945440	4975200	3582144	190075	113163	586199	4	0	494	0	0	0	0	0	0
TEncSearch::xRecurIntraChromaCodingQT	10897732	3930656	3881062	413052	498578	172811	48	6	360	0	0	0	0	0	0
TEncSbac::estBit	10149408	3184128	6368256	110356	199008	329000	4	0	4	0	0	0	0	0	0
TEncSearch::xEncSubdivCbfQT	9973361	4094053	2962293	668354	483125	8927	15	45	0	0	0	0	0	0	0
TComTrQuant::calcPatternSigCtx	9886274	4019372	496358	8420	21774	0	4	0	0	0	0	0	0	0	0
isAboveAvailable	9738078	3268140	3402243	448690	80530	68942	4	19	68	0	0	0	0	0	0
isBelowLeftAvailable	9679609	3715221	2994302	363587	32956	24015	3	0	0	0	0	0	0	0	0
QpParam::QpParam	9673383	4176592	3034550	445354	695888	41253	6	20166	0	0	0	0	0	0	0
TEncSbac::loadIntraDirMode	9585345	4647440	3195115	18734	1326392	6370	3	131	0	0	0	0	0	0	0
TEncSbac::xCopyFrom	9438990	4290450	4290450	71344	1191740	90158	2	167	82	0	0	0	0	0	0
TComDataCU::getQuadtreeTULog2MinSizeInCU	9297610	3954116	1342117	344016	449521	3941	4	58	9	0	0	0	0	0	0
isAboveRightAvailable	9164930	3268140	3075731	536756	41906	29788	5	0	0	0	0	0	0	0	0
TEncSearch::xEncCoeffQT	9112282	4325662	2788731	524993	382477	2936	8	0	0	0	0	0	0	0	0
TComDataCU::initEstData	9059580	4166487	3859557	39900	66737	208724	11	57	1144	0	0	0	0	0	0
xTrMxN	8824135	2620518	2251601	622837	325595	373125	15	23	430	0	0	0	0	0	0
TEncSearch::xGetIntraBitsQT	8536408	3858601	4198018	319302	459514	13928	6	20	0	0	0	0	0	0	0
partialButterflyInverse4	8534400	4413504	1267968	90000	16823	73152	8	3	133	0	0	0	0	0	0
TComTrQuant::rdpcmNxN	8159328	3781152	2388096	345786	414048	343013	4	6	555	0	0	0	0	0	0
TEncBinCABACCounter::encodeBinsEP	7939712	2887168	2165376	77203	3630	72	0	0	0	0	0	0	0	0	0
TComRdCost::xGetSSE32	7717140	3387339	3275181	18348	92603	7833	22	0	0	0	0	0	0	0	0
TComRdCost::xGetSSE16	7633378	3309002	3078982	35754	63085	6920	11	0	0	0	0	0	0	0	0
TEncSbac::estSignificantCoeffGroupMapBit	7562304	3781152	1990080	290524	240650	199008	2	181	4	0	0	0	0	0	0
TComDataCU::getPUAboveLeft	7205270	3229617	1594057	466179	316730	156405	11	86	360	0	0	0	0	0	0
TEncSbac::xWriteCoefRemainExGolomb	6963062	2845664	1823990	69318	11567	3846	6	0	0	0	0	0	0	0	0
TEncSearch::xRecurIntraChromaCodingQT	6932710	2475068	2553512	275871	332855	138384	10	3	450	0	0	0	0	0	0
TComTU::getGolombRiceStatisticsIndex	6918893	3744104	576016	408903	104641	0	2	0	0	0	0	0	0	0	0
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_chk_ssse3	6844344	1741176	1275792	0	181864	411353	0	86	8	0	0	0	0	0	0
TComRdCost::calcRdCost	6819384	2360556	1442562	216910	368011	1203	5	85	0	0	0	0	0	0	0
TEncSearch::xStoreIntraResultQT	6760480	3263680	1806680	224553	361323	370	7	0	0	0	0	0	0	0	0
TEncBinCABACCounter::getNumWrittenBits	6755024	3799701	1688756	102763	176010	104938	2	14	0	0	0	0	0	0	0
QpParam::QpParam	6113378	1590776	1194048	294201	98585	0	3	7	0	0	0	0	0	0	0
TEncSbac::resetBits	5908308	3798198	2110110	59357	981553	8525	1	104	21	0	0	0	0	0	0
TEncSearch::xEncIntraHeader	5878131	2291461	1501271	646512	304243	88884	11	68	21	0	0	0	0	0	0
TComTrQuant::invTransformNxN	5777979	2812413	2149977	335196	124171	126928	10	0	0	0	0	0	0	0	0
TEncEntropy::encodeCoeffNxN	5745504	3094602	1658430	277953	88209	244943	4	4	67	0	0	0	0	0	0
TEncSearch::xEncSubdivCbfQT	5578559	2299810	1231497	17335	78103	18700	0	0	46	0	0	0	0	0	0
TComPrediction::UseDPCMForFirstPassIntraEstimation	5518835	3485580	580930	12601	361402	0	2	0	0	0	0	0	0	0	0
TEncEntropy::encodeIntraDirModeLuma	5413996	3093712	1933570	41030	98303	3207	1	5	0	0	0	0	0	0	0
TEncSearch::xRecurIntraCodingQT	5317439	1959120	1579026	227711	245424	115414	35	3	53	0	0	0	0	0	0
TEncSearch::xEncCoeffQT	5295007	2735909	1340518	26546	118117	5551	0	3	0	0	0	0	0	0	0
TComDataCU::setTransformSkipSubParts	5265800	2738216	1474424	187276	537375	7760	2	0	29	0	0	0	0	0	0
TEncBinCABAC::resetBits	5064264	1266066	2954154	43260	105706	28	1	0	0	0	0	0	0	0	0
TComCUMvField::clearMvField	5052294	337896	1556718	10860	18228	79284	3	58	5344	0	0	0	0	0	0
TEncEntropy::estimateBit	4776192	2189088	1592064	3810	401457	131422	2	24	0	0	0	0	0	0	0
TComTrQuant::getSigCoeffGroupCtxInc	3982772	1334364	298998	4568	6330	0	3	0	0	0	0	0	0	0	0
TEncSbac::codeTransformSkipFlags	3809488	2145056	640872	184388	154633	47601	4	153	80	0	0	0	0	0	0
xITrMxN	3731262	1005903	1110229	493006	19031	159576	20	0	74	0	0	0	0	0	0
TComTU::GetEquivalentLog2TrSize	3705097	1684135	336827	120547	60535	0	1	0	0	0	0	0	0	0	0
TComDataCU::setTrIdxSubParts	3665328	1832664	1069054	302199	425106	0	2	0	0	0	0	0	0	0	0
TComDataCU::setCbfPartRange	3588786	1794393	1196262	100145	290432	91668	2	2	0	0	0	0	0	0	0
TComDataCU::setExplicitRdpcmModePartRange	3582144	1791072	1194048	230960	116308	168334	2	0	237	0	0	0	0	0	0
isAboveLeftAvailable	3427621	1192216	1192216	354647	196595	192540	3	103691	221	0	0	0	0	0	0
TComTU::useDST	3388209	2059905	397802	30988	25701	0	1	0	0	0	0	0	0	0	0
TComRdCost::setDistParam	3383136	1791072	1194048	198307	204628	0	1	69	0	0	0	0	0	0	0
TEncSbac::getNumberOfWrittenBits	3377512	2110945	844378	0	25574	1189	0	0	0	0	0	0	0	0	0
TComSampleAdaptiveOffset::offsetBlock	3082142	999510	253321	45	104141	98764	45	794	8161	0	0	0	0	0	0
TEncEntropy::xEncodeTransform	3039570	1255229	618412	15515	122584	22700	15	572	60	0	0	0	0	0	0
TEncSbac::load	2983656	994552	1243190	12097	141784	69	2	0	1	0	0	0	0	0	0
TEncSearch::estIntraPredChromaQT	2967691	1295104	1220461	130645	224885	55154	26	34	357	0	0	0	0	0	0
TComLoopFilter::xEdgeFilterLuma	2903326	1069390	463534	45	40353	7670	45	3103	0	0	0	0	0	0	0
TComPrediction::predIntraGetPredValDC	2813496	800840	156504	54067	70363	44604	4	0	768	0	0	0	0	0	0
TComYuv::copyToPicComponent	2792812	1152460	740267	41432	57582	12519	8	184	128	0	0	0	0	0	0
TComTrQuant::xITransformSkip	2745531	929421	491418	77214	162	21366	8	0	0	0	0	0	0	0	0
TComDataCU::setIntraDirSubParts	2631650	1368458	736862	139995	296700	112253	2	20	0	0	0	0	0	0	0
TComDataCU::initSubCU	2454624	935808	1041840	32754	52740	28585	16	67	141	0	0	0	0	0	0
TComDataCU::getCtxQtCbf	2385480	1171184	0	229985	1763	0	1	0	0	0	0	0	0	0	0
TEncEntropy::encodeQtCbf	2368702	1353544	845965	72357	55214	21800	1	0	0	0	0	0	0	0	0
TComPrediction::xDCPredFiltering	2251657	775553	249252	55176	11418	0	4	0	0	0	0	0	0	0	0
TEncSbac::store	2164884	721628	902035	3574	98169	29051	0	0	83	0	0	0	0	0	0
TComDataCU::CUIsFromSameSliceAndTile	2089975	1309248	191486	36306	111103	0	3	88	0	0	0	0	0	0	0
TComYuv::copyToPartComponent	2069132	738920	517088	14040	20174	2837	9	72	12	0	0	0	0	0	0
TComTrQuant::invRdpcmNxN	1859112	963984	413136	200005	103731	43389	3	0	0	0	0	0	0	0	0
TComDataCU::setTransformSkipPartRange	1772820	886410	590940	22225	50254	19175	1	0	0	0	0	0	0	0	0
TComDataCU::setCrossComponentPredictionAlphaPartRange	1772820	886410	590940	6132	31333	3476	1	0	0	0	0	0	0	0	0
TComDataCU::CUIsFromSameTile	1681668	1121112	93426	15110	41876	0	2	0	0	0	0	0	0	0	0

RESULTS	Ir	Dr	Dw	I1mr	D1mr	D1mw	ILmr	DLmr	DLmw
Entropy	561168968	211073761	143184280	8798310	15774471	6496462	177	5587	2030	1	1	1	1	1	1
Filter	2903327	1069391	463535	46	40354	7671	46	3104	1	1	1	1	1	1	1
InvQuant	79624933	30086770	4720825	452711	179541	430880	13	10	1	1	1	1	1	1	1
Quant	974818540	370676740	208516244	7420490	21956851	22899252	188	2385	7107	1	1	1	1	1	1
InvTransf	237751322	121912883	25127171	1390270	1785477	1563688	201	368	851	1	1	1	1	1	1
Transf	603475249	253483829	114536417	10530190	15326570	7175192	472	2871	24960	1	1	1	1	1	1
Pre/Pos	78917393	30828986	22277752	1497757	2012344	1216034	85	733	2865	1	1	1	1	1	1
Inter/Intra	1570207832	558626810	325549283	12653953	19172724	11784545	340	113573	32412	0	0	0	0	0	0
Intra	811489915	282029396	149570008	7565318	15161703	7182273	169	5932	24369	1	1	1	1	1	1
Inter	10571130	3823477	2137649	23462	379631	79285	6	59	5345	1	1	1	1	1	1
Inter/Intra	748146787	272773937	173841626	5065173	3631390	4522987	165	107582	2698	1	1	1	1	1	1
PROGRAM TOTALS	5094541803	1989575004	1053708980	54559143	112201885	84330263	145752	305748	454990	0	0	0	0	0	0
