BQMall__QP_32_nF_5_MSizeL1_16384_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComRdCost::xCalcHADs4x4	1509277920	560021544	325686288	440005	337349	342071	55	0	0	1508837860	559684195	325344217	0.0467403615685 %	0.0291533450645 %	0.0767092686158 %	2.29646460126e-06 %	3.64412672253e-06 %	0.0 %
__memset_sse2	1234139084	194231550	546714443	1019303	4523482	129325886	65	29	265112	1233119716	189708039	417123445	6.82849931735 %	0.0825922307473 %	18.0646591337 %	0.0134275734797 %	5.26682939084e-06 %	0.0357841195586 %
__x86.get_pc_thunk.bx	1189499674	1189499674	0	79	0	0	9	0	0	1189499586	1189499674	0	0 %	0 %	0 %	0 %	0 %	0 %
TEncSearch::xEstimateResidualQT	815559555	319886430	271700276	8141588	8421125	1993647	140	30	20	807417827	311465275	269706609	1.3187229014 %	0.99828246142 %	1.76048107477 %	1.35025054087e-05 %	1.71661283522e-05 %	8.45184644835e-06 %
TComTrQuant::getSigCtxInc	675233372	210130806	55820128	170381	760273	18910	21	10	0	675062970	209370523	55801218	0.100890335075 %	0.0252329056983 %	0.292979982541 %	3.29372257935e-06 %	3.11003585883e-06 %	3.76009207774e-06 %
partialButterfly16	599935374	323177232	54197424	549601	628603	2929537	72	32	108	599385701	322548597	51267779	0.42031094268 %	0.0916100339834 %	0.942866709099 %	2.16921952597e-05 %	1.20012926592e-05 %	3.70984107634e-05 %
partialButterfly32	575705892	329880224	34605480	212059	227894	1669431	121	64	1426	575493712	329652266	32934623	0.224356823543 %	0.0368346065147 %	0.52054853707 %	0.000171348053615 %	2.10176761575e-05 %	0.000408795182815 %
TEncSbac::codeCoeffNxN	561400751	201183610	149336633	4746703	994263	2310221	115	19	65	556653933	200189328	147026347	0.882882075637 %	0.845510625261 %	0.942736993367 %	2.18220658708e-05 %	2.04844756255e-05 %	2.39643791414e-05 %
TComInterpolationFilter::filterVer	535176764	287053111	52930066	682384	334076	1361310	44	1234	0	534494336	286717801	51568756	0.271695479718 %	0.127506283139 %	0.498667614957 %	0.000146030449993 %	8.22158265451e-06 %	0.000362959135475 %
TComPrediction::xPredIntraAng	533322426	165832369	73082068	1451341	582972	1635287	73	8	47	531871012	165249389	71446734	0.475190990721 %	0.27213200294 %	0.928474238666 %	1.6575225314e-05 %	1.36877799322e-05 %	2.30207938418e-05 %
partialButterfly8	480959796	244013632	63235240	2499748	639981	3610943	47	8	18	478460001	243373643	59624279	0.856457467935 %	0.519741571081 %	1.38354421688 %	9.26150687802e-06 %	9.77212656669e-06 %	8.46219542834e-06 %
TComRdCost::xGetHADs	449012156	172032278	143695140	274536	32166	58257	24	0	0	448737596	172000112	143636883	0.0477233050842 %	0.0611422199447 %	0.0286395779539 %	3.13832326925e-06 %	5.34506687164e-06 %	0.0 %
__memset_chk_sse2	444267574	94174750	128965864	62607	1407656	54734008	0	0	7878	444204967	92767094	74223978	8.42127381871 %	0.014092183104 %	25.1597694358 %	0.0011803870767 %	0.0 %	0.00353050924203 %
partialButterflyInverse32	428323944	235613904	30871920	169431	118749	994663	129	64	0	428154384	235495091	29877257	0.184632263259 %	0.0395567425948 %	0.417812843958 %	2.77773872632e-05 %	3.01173917095e-05 %	2.40162868851e-05 %
TEncSearch::xIntraCodingTUBlock	388968565	145136047	79944716	4994157	2900510	2733503	219	130	27454	383974189	142235407	77183759	1.7308332597 %	1.28394874275 %	2.50310729576 %	0.00452781213694 %	5.63027503264e-05 %	0.0122551566079 %
partialButterfly4	342032352	157764000	60581376	430433	57502	3461923	19	2	4	341601900	157706496	57119449	0.704856350037 %	0.125845697778 %	1.61186147583 %	4.46127651954e-06 %	5.5550300692e-06 %	2.74794003423e-06 %
TEncSbac::estSignificantCoefficientsBit	336065668	130534124	67203890	787444	1885018	2837748	16	6	21	335278208	128649100	64366121	1.0322540263 %	0.234312539179 %	2.3883955869 %	8.05539591613e-06 %	4.76097427483e-06 %	1.36544306549e-05 %
TEncBinCABACCounter::encodeBin	333603954	160624126	98845616	250182	2959187	190611	5	40	6	333353767	157664899	98654999	0.573281199779 %	0.0749937154522 %	1.21393653677 %	8.59926858061e-06 %	1.49878319488e-06 %	1.77284640766e-05 %
TEncSbac::estLastSignificantPositionBit	331007037	132872334	54273906	2358969	818942	1935534	24	5	16	328648044	132053387	52338356	0.986859531142 %	0.712664305079 %	1.47183079927 %	8.68468887441e-06 %	7.25060114054e-06 %	1.12211712081e-05 %
TComTrQuant::xT	305726884	74246732	60482464	2162904	3495672	6542721	12	0	765	303563968	70751060	53938978	2.77015065838 %	0.707462808537 %	7.45079262553 %	0.000176408054124 %	3.92507189521e-06 %	0.000567805659584 %
TComPrediction::xPredInterBlk	265833113	109174702	49903361	667552	3163562	396305	20	175	6	265165541	106010965	49507050	0.994894754192 %	0.251116947948 %	2.23781138195 %	4.73040040726e-05 %	7.52351720758e-06 %	0.000113780615999 %
TComTrQuant::xDeQuant	261176452	98910771	14653504	999155	81446	800835	24	0	0	260177273	98829325	13852669	0.502063390617 %	0.382559374074 %	0.776900129904 %	6.40442798735e-06 %	9.18918984319e-06 %	0.0 %
TComRdCost::xGetSSE4	254725704	98315184	56605712	1356031	991073	1136450	14	0	0	253369659	97324111	55469262	0.850380303413 %	0.53234949544 %	1.37329634344 %	3.41757993353e-06 %	5.49610808024e-06 %	0.0 %
partialButterflyInverse16	239449380	139610980	19994810	453697	221204	899168	104	32	4	238995579	139389744	19095638	0.394448968046 %	0.189475119961 %	0.701962002757 %	3.50828683663e-05 %	4.34329794464e-05 %	2.2555572702e-05 %
TEncEntropy::countNonZeroCoeffs	229896252	26685660	642168	76983	1853768	0	9	202	0	229819260	24831690	642168	0.750610518269 %	0.0334859743603 %	6.78344433374 %	8.2029645125e-05 %	3.91480936366e-06 %	0.000739173270558 %
TEncSbac::estSignificantMapBit	226096626	83719397	39927694	2648170	1499470	3753529	16	9	33	223448440	82219918	36174132	2.25913107683 %	1.17125586828 %	4.24838057856 %	1.65835716786e-05 %	7.07662041803e-06 %	3.39676410179e-05 %
TEncSearch::xPatternRefinement	216760137	83154593	49768202	381138	1136104	22252	10	4	0	216378989	82018485	49745950	0.440254258678 %	0.1758339911 %	0.871450227931 %	4.00362691994e-06 %	4.61339438995e-06 %	3.00926564176e-06 %
TComTrQuant::transformNxN	203338709	98332788	77952002	4510160	1888016	236088	24	1	0	198828525	96444771	77715914	1.74759044619 %	2.21805283518 %	1.20492754934 %	6.58547220229e-06 %	1.18029666452e-05 %	5.67263914261e-07 %
TComYuv::addClip	183763446	49391258	17189006	496176	1193745	823334	12	4	773	183267258	48197509	16364899	1.0039217682 %	0.270007997129 %	3.02954491139 %	0.000315166696219 %	6.53013439898e-06 %	0.00116701249487 %
void	181668181	103068177	7812035	80662	653128	214070	8	1328	0	181587511	102413721	7597965	0.32400109612 %	0.0444007308027 %	0.782103482991 %	0.000456676581368 %	4.40363301706e-06 %	0.00119768890774 %
getTUEntropyCodingParameters	178976443	76803841	44014645	2201656	2171612	1802218	17	31	95	176774770	74632198	42212332	2.05990342152 %	1.23013730919 %	3.28909104191 %	4.76992724583e-05 %	9.49845673266e-06 %	0.000104288676486 %
TComYuv::addAvg	177866612	67958418	15147189	298991	859736	733887	28	2	45	177567593	67098680	14413257	0.725216656107 %	0.16809843997 %	1.91758782293 %	2.87386911478e-05 %	1.57421337738e-05 %	5.65545475169e-05 %
0x001366a7	176117234	176117234	0	414	0	0	6	0	0	176116814	176117234	0	0 %	0 %	0 %	0 %	0 %	0 %
TEncSbac::estCBFBit	172899440	80274740	40754868	2712173	3458317	2765480	18	15	14	170187249	76816408	37989374	3.04017927483 %	1.56864186489 %	5.14237557474 %	1.5990253539e-05 %	1.04106757084e-05 %	2.39610790113e-05 %
TComRdCost::xGetSSE8	172748435	73008490	62373395	1169944	1056408	352316	20	0	0	171578471	71952082	62021079	0.836875773861 %	0.677253024029 %	1.04055575825 %	6.49076014331e-06 %	1.15775289079e-05 %	0.0 %
TComRdCost::xGetSSE16	170415280	73873520	68738320	520388	1636588	135386	30	0	0	169894862	72236932	68602934	0.732320573374 %	0.305364636317 %	1.24251534795 %	9.58383414191e-06 %	1.76040552232e-05 %	0.0 %
TComYuv::copyPartToPartComponent	161465435	57609556	32708764	858550	541268	28368	88	16	0	160606797	57068272	32680396	0.567227222423 %	0.531723709164 %	0.630698179506 %	4.13052859586e-05 %	5.45008286139e-05 %	1.77151213619e-05 %
TComTU::TComTU	145802836	52647718	50452348	676486	1342600	1147928	31	5	84	145126319	51305113	49304336	1.27238934321 %	0.46397314247 %	2.4156415186 %	4.82115712737e-05 %	2.12615891779e-05 %	8.63239020623e-05 %
TComRdCost::calcRdCost	144473064	50209428	31259934	660917	2552293	49598	22	0	0	143812125	47657135	31210336	1.44408823866 %	0.457467282621 %	3.1937048924 %	9.73699379505e-06 %	1.52277520743e-05 %	0.0 %
TEncSearch::xEstimateResidualQT	144064551	54459720	48208075	4644635	3002016	1185903	42	41	30	139419874	51457663	47022142	3.57981194732 %	3.22399574896 %	4.07909705278 %	4.57986161247e-05 %	2.9153597959e-05 %	6.91550841235e-05 %
TComTrQuant::xTransformSkip	141229220	39159011	28245844	2188197	280243	498325	14	0	0	139041009	38878768	27747519	1.42199446567 %	1.54939395686 %	1.15506219841 %	6.71031326019e-06 %	9.91296277074e-06 %	0.0 %
TComYuv::removeHighFreq	136180586	39433914	16856490	231381	1192629	0	13	0	0	135949192	38241285	16856490	0.739856951949 %	0.169907478589 %	2.11870747988 %	6.7542646297e-06 %	9.54614778938e-06 %	0.0 %
TComRdCost::getDistPart	133526619	43319739	76845168	2098857	70890	238969	18	0	0	131427744	43248849	76606199	0.949466479223 %	1.57186410898 %	0.25786147365 %	7.09523107997e-06 %	1.34804581549e-05 %	0.0 %
TComTURecurse::nextSection	131948137	58325657	30587604	1488100	354851	145139	30	0	2	130460007	57970806	30442463	0.900152773641 %	1.12779159588 %	0.562334565594 %	1.44887247341e-05 %	2.2736205817e-05 %	2.24938325004e-06 %
TComRdCost::xGetSSE32	128379280	56350428	54484612	174687	1426914	53614	62	0	0	128204531	54923514	54430998	0.691938091332 %	0.136071023299 %	1.33579416762 %	2.59181808179e-05 %	4.82943976629e-05 %	0.0 %
partialButterflyInverse8	126780654	67057536	15555414	638157	103217	752099	58	8	4	126142439	66954311	14803311	0.713237162679 %	0.503355188561 %	1.03532920686 %	3.34298654127e-05 %	4.57483047847e-05 %	1.45255677227e-05 %
TComDataCU::initEstData	123687900	57546215	52997765	475237	322566	1386726	22	0	0	123212641	57223649	51611039	0.932635216009 %	0.384222708931 %	1.54625516469 %	9.39240209317e-06 %	1.7786703469e-05 %	0.0 %
TEncSbac::codeQtCbf	120020192	49557034	30373666	2628723	349293	269930	28	0	12	117391441	49207741	30103724	1.62437184826 %	2.19023395663 %	0.774699833731 %	2.00049120061e-05 %	2.33294077717e-05 %	1.50130050156e-05 %
TEncSearch::predInterSearch	111038557	26141700	47278593	3346713	3188462	3569698	129	0	71	107691715	22953238	43708824	5.47811774821 %	3.01400980922 %	9.20475760019 %	0.000108425266665 %	0.000116175861327 %	9.6703509478e-05 %
fillReferenceSamples	109809235	30865059	14691061	2161760	862212	2013450	102	2	1126	107647373	30002845	12676485	3.24230714113 %	1.96865045094 %	6.31235056892 %	0.000791682289787 %	9.28883622584e-05 %	0.0024760668819 %
TComYuv::subtract	103865126	35346962	15046692	407808	936322	904275	11	7	492	103457307	34410633	14141925	1.45755398817 %	0.39263226812 %	3.65243806294 %	0.000330613272061 %	1.05906577343e-05 %	0.000990204044343 %
TEncSbac::xCopyContextsFrom	96640470	38656188	38656188	89832	3111077	738119	27	38	34	96550611	35545073	37918035	2.264422854 %	0.0929548459357 %	4.97875786407 %	5.69119748693e-05 %	2.79386058449e-05 %	9.31286861498e-05 %
TEncSampleAdaptiveOffset::getBlkStats	92375195	30246219	17562005	301	185582	36347	173	7188	20151	92374721	30053449	17505507	0.158528021064 %	0.000325845049637 %	0.464206744011 %	0.0196257162197 %	0.000187279712914 %	0.0571847220261 %
TComTrQuant::xQuant	87527385	39785175	28645326	477227	550267	1270210	8	14	5	87050150	39234894	27375111	1.47328490975 %	0.545231643788 %	2.66032978481 %	1.73123659806e-05 %	9.13999658507e-06 %	2.77653966029e-05 %
TEncBinCABAC::copyState	85650216	46393867	35687590	131529	4242983	832732	20	4	73	85518667	42150880	34854785	3.10450847289 %	0.153565286981 %	6.18375353644 %	5.78304611557e-05 %	2.335078758e-05 %	9.38092509737e-05 %
__memcpy_chk_ssse3	83675426	25103708	15549707	234516	666128	2976370	8	0	15	83440902	24437580	12573322	3.11835449347 %	0.280268665737 %	8.9598819681 %	1.84993279234e-05 %	9.56075204206e-06 %	3.689726927e-05 %
TComTrQuant::calcPatternSigCtx	76227530	30858046	3662876	114822	32164	0	9	0	0	76112699	30825882	3662876	0.132720590984 %	0.150630618623 %	0.0931724824731 %	8.12652442311e-06 %	1.18067580046e-05 %	0.0 %
TComDataCU::getQuadtreeTULog2MinSizeInCU	75424406	31953320	10528595	587089	1186547	177473	8	3	8	74837309	30766770	10351114	1.65479592905 %	0.778380674287 %	3.21082512406 %	1.61144880434e-05 %	1.0606646342e-05 %	2.58933713322e-05 %
TComTrQuant::xIT	74080918	16196222	14932097	643911	170562	1252509	8	0	2	73436999	16025660	13679586	1.96463928353 %	0.869199542047 %	4.57162816919 %	9.50486885481e-06 %	1.07990022478e-05 %	6.42501768245e-06 %
fastForwardDst	73977646	33871314	8931242	371904	33337	598362	26	2	0	73605716	33837975	8332880	0.8593948142 %	0.502724836635 %	1.47584410613 %	2.39766668669e-05 %	3.51457520019e-05 %	4.67261814925e-06 %
TEncSbac::xCopyFrom	70869678	32213490	32213490	118093	2054718	145437	23	98	6	70751562	30158674	32068047	1.71345547944 %	0.166634029295 %	3.4149590746 %	9.38678027066e-05 %	3.24539360825e-05 %	0.000161423055993 %
TEncSbac::codeIntraDirLumaAng	69096552	23897672	24082365	1368816	190072	16741	41	0	5	67727695	23707600	24065619	1.34581047625 %	1.98101925549 %	0.431039684275 %	3.92905194735e-05 %	5.93372589706e-05 %	1.04210007174e-05 %
TComDataCU::setTransformSkipPartRange	68754168	34377084	22918056	129622	34321	847	3	0	0	68624543	34342763	22917209	0.130734553497 %	0.188529661213 %	0.0613804242384 %	2.3800209994e-06 %	4.36337183224e-06 %	0.0 %
TComDataCU::clipMv	68654410	23716978	11234358	183192	1438979	29072	4	0	0	68471214	22277999	11205286	1.59377550353 %	0.266832094253 %	4.20027148605 %	3.86078972879e-06 %	5.82628268162e-06 %	0.0 %
TComTrQuant::rdpcmNxN	65247687	30236733	19096884	1245796	620738	3100040	10	0	23	64001881	29615995	15996821	4.33454134891 %	1.90933358297 %	7.54207420064 %	2.88005100727e-05 %	1.53262137859e-05 %	4.66213535488e-05 %
TEncSbac::estBit	62984796	19759936	39519872	338416	51987	78934	42	0	1	62646338	19707949	39440937	0.383869889277 %	0.537297921867 %	0.220852604651 %	3.51696227634e-05 %	6.66827594393e-05 %	1.68691504534e-06 %
xTrMxN	59983293	17571380	15972243	2062662	596292	2142983	31	2	14	57920600	16975086	13829246	5.13428348263 %	3.43872751368 %	8.16630630508 %	5.02529132897e-05 %	5.16810572571e-05 %	4.76990812829e-05 %
TComYuv::clear	58507799	15119993	13147820	114496	537914	55661	3	24	2	58393300	14582055	13092157	0.815979263851 %	0.195693568989 %	2.09982639973 %	3.34195280582e-05 %	5.12752154632e-06 %	9.19774020014e-05 %
TComDataCU::getPULeft	58009529	29189114	11859430	697819	697508	110173	12	36	3	57311698	28491570	11749254	1.51981555304 %	1.20293857239 %	1.96762399173 %	5.14849506511e-05 %	2.06862565631e-05 %	9.50094600188e-05 %
TComDataCU::xAddMVPCand	56626096	22827250	10839744	364706	2977629	42146	14	40	1	56261376	19849581	10797597	3.7483278067 %	0.644059940138 %	8.96954150406 %	6.09127453718e-05 %	2.47235832751e-05 %	0.000121780994169 %
void	54267448	35647332	2240904	24441	130734	100377	8	0	0	54242999	35516598	2140527	0.277304653286 %	0.0450380493293 %	0.609980892222 %	8.68096209888e-06 %	1.4741802489e-05 %	0.0 %
TComPrediction::predIntraAng	54082514	21935916	14387226	555840	21080	9436	32	0	1	53526642	21914836	14377789	0.648583314301 %	1.0277628736 %	0.0840125559623 %	3.65021409722e-05 %	5.91688470695e-05 %	2.75306580031e-06 %
TComCUMvField::clearMvField	53099550	3298920	16359470	129625	111066	833538	6	140	16978	52969919	3187714	15508954	1.47644229619 %	0.244116946377 %	4.80509339778 %	0.0235355756361 %	1.1299530787e-05 %	0.0870773242366 %
TComDataCU::getPUAbove	53027527	25364481	12013978	1056839	297363	126366	12	25	4	51970676	25067093	11887608	1.63768801769 %	1.9930007296 %	1.13361816227 %	4.53509793035e-05 %	2.2629756051e-05 %	7.75847928883e-05 %
TComPrediction::initAdiPatternChType	52657508	20258076	14922847	1357976	392966	594629	56	26	904	51299476	19865084	14327314	2.67032433674 %	2.57888390769 %	2.80718899842 %	0.00112251549666 %	0.000106347607638 %	0.00264347811455 %
TEncSearch::xGetTemplateCost	52307816	22479392	17724136	361031	950807	7753	18	1	0	51946767	21528584	17716383	1.42640993303 %	0.690204691398 %	2.3842683657 %	2.0538021802e-05 %	3.44116833324e-05 %	2.48734389678e-06 %
QpParam::QpParam	51639646	23004309	15730705	999486	1446529	3306	18	1	0	50640142	21557779	15727399	2.71018557636 %	1.93550126196 %	3.74295721179 %	2.10235922326e-05 %	3.4856939182e-05 %	2.58164357447e-06 %
TEncSbac::codeLastSignificantXY	50890430	20102172	11336200	830988	167163	0	38	8	0	50059404	19935001	11336200	1.21239587575 %	1.63289640115 %	0.531716464199 %	5.58735204236e-05 %	7.46702277815e-05 %	2.54466102761e-05 %
TEncSearch::xEncodeResidualQT	50597014	23027970	11177201	167226	37848	259744	7	0	6	50429781	22990122	10917451	0.548120310815 %	0.330505669761 %	0.870020500701 %	1.5329793684e-05 %	1.38348085126e-05 %	1.75412074391e-05 %
TComPrediction::xPredInterUni	50015802	19864432	16317212	226036	230208	114363	5	21	0	49789761	19634203	16202849	0.661976690121 %	0.451929172304 %	0.952336494163 %	3.01633066947e-05 %	9.9968405985e-06 %	5.8040480416e-05 %
TComDataCU::getIntraDirPredictor	49191772	16204988	12994361	1054251	325801	20983	26	0	3	48137495	15879187	12973375	1.78723684791 %	2.14314499587 %	1.18764291629 %	3.69939855816e-05 %	5.28543675963e-05 %	1.02742016611e-05 %
TComDataCU::getCoefScanIdx	48393155	20831551	9936100	1271181	363531	284793	14	0	12	47121960	20468020	9651295	2.42481740269 %	2.62677851857 %	2.10716118692 %	3.28445367269e-05 %	2.89297112371e-05 %	3.90020024603e-05 %
TComCUMvField::setAllMv	48291909	14761960	9127296	151058	205914	415380	23	1	0	48140828	14556045	8711916	1.07001875074 %	0.312801881574 %	2.6007256149 %	3.32496711573e-05 %	4.76270258854e-05 %	4.18598218379e-06 %
TEncSbac::estSignificantCoeffGroupMapBit	46929848	23464924	12349960	720749	311361	2275292	4	1	5	46209095	23153562	10074663	3.99711488582 %	1.53580084044 %	7.22228501424 %	1.20853615188e-05 %	8.52336022908e-06 %	1.67528114847e-05 %
TComDataCU::setCbfPartRange	46639206	23319603	15546402	218847	206913	149599	4	0	0	46420355	23112690	15396803	0.672893491836 %	0.469233974523 %	0.917284912612 %	4.67807745659e-06 %	8.57647533708e-06 %	0.0 %
TComDataCU::setExplicitRdpcmModePartRange	46628730	23314365	15542910	399202	231468	813209	3	0	10	46229525	23082897	14729691	1.68902383495 %	0.856128828729 %	2.68849784242 %	1.52071675358e-05 %	6.43380164976e-06 %	2.5735206599e-05 %
TEncSearch::xMotionEstimation	46401658	19305344	15644340	1051504	1741764	290743	29	1	0	45350125	17563579	15353597	3.79097741252 %	2.26609144009 %	5.81552325337 %	3.6877080651e-05 %	6.24977667824e-05 %	2.86125619905e-06 %
TComDataCU::fillMvpCand	46296488	14183802	18733812	687208	942426	172882	24	16	4	45609256	13241360	18560926	2.27549887519 %	1.48436313355 %	3.38817995739 %	5.55456653413e-05 %	5.18397853418e-05 %	6.07577450784e-05 %
TComTU::getGolombRiceStatisticsIndex	45914787	24862383	3824982	1175382	41977	0	6	0	0	44739399	24820406	3824982	1.63180145259 %	2.55992040211 %	0.146325743058 %	8.04266343416e-06 %	1.30676855802e-05 %	0.0 %
TComDataCU::setCrossComponentPredictionAlphaPartRange	44611056	22305528	14870352	41246	146896	0	2	0	0	44569808	22158632	14870352	0.230039183764 %	0.0924569012668 %	0.395137922761 %	2.44537831812e-06 %	4.48319358322e-06 %	0.0 %
TEncSearch::xExtDIFUpSamplingQ	44304125	15645320	22661085	1062005	1196953	7995	37	43	0	43242083	14448324	22653090	2.74414532869 %	2.39707927874 %	3.1455522908 %	9.68399549065e-05 %	8.35136683097e-05 %	0.000112252768173 %
TComPrediction::xPredIntraPlanar	43056984	19369044	7448136	315582	0	354816	28	0	532	42741374	19369044	7092788	0.959436165848 %	0.732940328566 %	1.3230921372 %	0.000801440715627 %	6.50301005756e-05 %	0.00198380292037 %
TEncSearch::estIntraPredQT	41318959	14348597	19904135	956833	541619	179721	186	17	12	40361940	13806961	19724402	2.22063709015 %	2.31572387872 %	2.10593420694 %	0.000284498066875 %	0.000450156549201 %	8.46647794401e-05 %
TEncSbac::resetBits	40275424	25891344	14384080	182270	689617	20375	3	6	1	40093151	25201721	14363704	1.10770031869 %	0.452558860709 %	1.76284177666 %	1.24145185908e-05 %	7.44871115447e-06 %	1.73803260271e-05 %
TEncBinCABACCounter::getNumWrittenBits	39956880	22475745	9989220	118341	362678	176	5	0	0	39838534	22113067	9989044	0.664433500693 %	0.296171773171 %	1.1176787038 %	6.90399422992e-06 %	1.25134895417e-05 %	0.0 %
TComCUMvField::setAllRefIdx	39125492	11820023	8342416	240351	123910	114247	61	1	0	38885080	11696112	8228169	0.807091750259 %	0.614307929981 %	1.18119142233 %	0.000104574403178 %	0.000155908582568 %	4.95971742308e-06 %
TComRdCost::setDistParam	39057534	20677518	13785012	212062	674050	0	3	3	0	38845469	20003465	13785012	1.20526554493 %	0.54294774473 %	1.95589238515 %	8.16103750943e-06 %	7.68097647947e-06 %	8.70510667673e-06 %
TEncSbac::codeQtCbfZero	38512464	17264208	15936192	128353	459575	0	9	0	0	38384102	16804633	15936192	0.819836173326 %	0.333276520557 %	1.38424537054 %	1.25500495978e-05 %	2.33690578718e-05 %	0.0 %
TEncSearch::xRecurIntraCodingQT	38481885	15642143	12376964	2221978	781402	288436	231	4	9	36259676	14860737	12088519	4.95002540714 %	5.77408824958 %	3.81824445726 %	0.000366911819902 %	0.000600282444584 %	4.63969105082e-05 %
TEncSearch::xEstimateMvPredAMVP	38413512	14621215	17524005	469620	512237	593947	24	0	1	37943868	14108978	16930057	2.23332244689 %	1.22253856924 %	3.44120836628 %	3.54314757244e-05 %	6.24780155483e-05 %	3.11088242669e-06 %
TComDataCU::getPUBelowLeft	38404410	19466322	7353496	198060	1386871	157227	7	30	3	38206343	18079421	7196266	2.67102893115 %	0.515722022549 %	5.75730230533 %	6.13269044748e-05 %	1.82270734012e-05 %	0.000123043340563 %
