BasketballPass__QP_32_nF_5_SR_4_MSizeL1_16384_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
partialButterfly32	572526702	328058544	34414380	210622	226661	1662556	124	64	2646	572315956	327831819	32749178	0.224581801063 %	0.0367881531576 %	0.521202240198 %	0.000303101725519 %	2.16583784768e-05 %	0.000747642050086 %
TEncSbac::codeCoeffNxN	561514123	201157342	149490297	4730429	1034775	2342717	116	24	298	556783578	200122543	147147282	0.88886876624 %	0.842441677999 %	0.963215383293 %	4.8017798843e-05 %	2.06584296367e-05 %	9.18300778863e-05 %
TComPrediction::xPredIntraAng	534946980	166339188	73361673	1460690	583629	1596410	73	8	93	533486217	165755551	71765170	0.469985044469 %	0.273053228565 %	0.909483174531 %	2.2461819525e-05 %	1.3646212191e-05 %	4.21358519859e-05 %
partialButterfly8	479591802	243319584	63055380	2493602	618051	3613861	48	8	29	477098152	242701525	59441490	0.855699539845 %	0.519942582338 %	1.38128518883 %	1.08147066361e-05 %	1.00085113632e-05 %	1.20767048054e-05 %
TComInterpolationFilter::filterVer	469237586	244739604	49951758	780477	310662	1241463	44	1374	0	468457065	244427568	48710295	0.305342794786 %	0.166328747587 %	0.526695112292 %	0.000185619356841 %	9.37691295684e-06 %	0.00046625051738 %
TComRdCost::xGetHADs	449185134	172118458	143708588	395689	31412	78108	26	0	0	448789419	172087046	143630480	0.066039340707 %	0.0880904041673 %	0.0346772074739 %	3.3986386988e-06 %	5.78825923478e-06 %	0.0 %
__memset_chk_sse2	444128208	94217372	128787072	172285	2187291	54569618	0	0	17066	443955923	92030081	74200388	8.53341443105 %	0.0387917265548 %	25.4510215052 %	0.00255811193604 %	0.0 %	0.00765276229204 %
partialButterflyInverse32	425649826	234142916	30679180	168347	118007	988452	126	64	0	425481353	234024845	29690728	0.184628217221 %	0.0395505858847 %	0.417812190415 %	2.75174114901e-05 %	2.96017976053e-05 %	2.41671676823e-05 %
TEncSearch::xIntraCodingTUBlock	391143260	145955164	80420400	5006379	2948335	2727346	203	149	28270	386136678	143006680	77664784	1.72983552644 %	1.27993487603 %	2.50719684568 %	0.00463500040608 %	5.18991430403e-05 %	0.0125539168176 %
TComRdCost::xGetComponentBits	354502304	39656616	0	43069	0	0	2	0	0	354459233	39656616	0	0 %	0 %	0 %	0 %	0 %	0 %
TComRdCost::xGetSAD4	350493054	110119419	20070413	101439	891974	81572	12	25	0	350391603	109227420	19988841	0.223637044569 %	0.0289418003702 %	0.747789581601 %	7.69738242772e-06 %	3.42374830629e-06 %	1.92027285203e-05 %
partialButterfly4	342342376	157907000	60636288	432133	61813	3409351	19	2	5	341910224	157845185	57226932	0.695916699344 %	0.126228311274 %	1.58831874077 %	4.63552586004e-06 %	5.54999945435e-06 %	3.20302676145e-06 %
TEncSbac::estSignificantCoefficientsBit	336553439	130725181	67298816	788950	1947298	2926505	16	6	21	335764473	128777877	64372290	1.05929517758 %	0.234420424389 %	2.46121837446 %	8.04373643634e-06 %	4.7540741368e-06 %	1.36347111507e-05 %
TEncBinCABACCounter::encodeBin	333725184	160682496	98881536	247764	3121973	194335	4	40	6	333477416	157560483	98687195	0.600730959519 %	0.0742419247569 %	1.27764543278 %	8.42759292628e-06 %	1.19859099396e-06 %	1.77220239821e-05 %
TEncSbac::estLastSignificantPositionBit	331317574	132988815	54333241	2289480	942132	1806440	24	5	17	329028070	132046678	52526784	0.971397422908 %	0.691022807018 %	1.46729758294 %	8.86935693672e-06 %	7.24380530445e-06 %	1.17444792513e-05 %
__x86.get_pc_thunk.bx	308630866	308630866	0	79	0	0	9	0	0	308630778	308630866	0	0 %	0 %	0 %	0 %	0 %	0 %
TComTrQuant::xT	305231582	74147086	60394082	2166666	3627775	6452980	12	1	1247	303064904	70519310	53939855	2.78494313256 %	0.709843321521 %	7.49269175365 %	0.0002865116131 %	3.93144114425e-06 %	0.00092759712031 %
TComPrediction::xPredInterBlk	264864005	108824191	49635766	757051	3322982	243572	20	158	2	264106934	105501051	49392192	1.02134662531 %	0.285826305466 %	2.25076042397 %	4.25206263188e-05 %	7.55104492209e-06 %	0.000100971881496 %
TComTrQuant::xDeQuant	260219071	98544288	14614463	1001247	85034	795778	24	0	12	259217800	98459254	13818673	0.504062879235 %	0.384770799524 %	0.77838610997 %	9.64170817837e-06 %	9.22299810993e-06 %	1.06045709182e-05 %
TComRdCost::xGetSSE4	255016404	98427384	56670312	1462911	675503	1186694	14	0	0	253553479	97751881	55483618	0.810776318103 %	0.573653685431 %	1.20066064682 %	3.41368414302e-06 %	5.48984292007e-06 %	0.0 %
partialButterflyInverse16	237437052	138437692	19826774	450855	219320	891878	104	32	4	236986093	138218340	18934892	0.394755372154 %	0.189884011869 %	0.702114649033 %	3.53802029134e-05 %	4.38010829076e-05 %	2.27467358339e-05 %
void	237140999	134642639	9965889	123719	823966	243304	8	5034	0	237017272	133813639	9722585	0.311981787996 %	0.0521710714392 %	0.738040843622 %	0.00132076129593 %	3.37352040927e-06 %	0.00348112249645 %
TEncEntropy::countNonZeroCoeffs	228726502	26560758	645020	77181	1790612	0	5	211	0	228649316	24769935	645020	0.729799695451 %	0.0337437941494 %	6.58173421837 %	8.43973257301e-05 %	2.18601690503e-06 %	0.000775570542405 %
TEncSbac::estSignificantMapBit	226383132	83824818	39978310	2338257	1279623	3680149	16	9	33	224044859	82545186	36298128	2.08404207521 %	1.032875983 %	4.00617664523 %	1.65626144213e-05 %	7.06766438765e-06 %	3.39248294276e-05 %
TEncSearch::xPatternRefinement	216671718	83120335	49748198	441715	1054497	23867	10	4	0	216229993	82065834	49724331	0.434879529797 %	0.203863708691 %	0.811602247464 %	4.00526118521e-06 %	4.61527701553e-06 %	3.01049459167e-06 %
TComTrQuant::transformNxN	203445826	98384598	77993046	4147453	2111960	238572	24	16	3	199298349	96272622	77754471	1.710790805 %	2.03860314146 %	1.33267002932 %	1.13210486966e-05 %	1.17967522224e-05 %	1.07723402859e-05 %
TComYuv::addClip	183236451	49254493	17142415	495629	1154152	837460	12	5	769	182740810	48100336	16304186	0.99635762222 %	0.270486029005 %	2.99955534074 %	0.000314861764929 %	6.5489153138e-06 %	0.00116571693369 %
0x001366a7	180829766	180829766	0	107965	0	0	6	0	0	180721795	180829766	0	0 %	0 %	0 %	0 %	0 %	0 %
getTUEntropyCodingParameters	179181488	76892872	44066934	1838221	2471957	1819223	17	31	321	177343250	74420884	42247390	2.04217184457 %	1.02589894778 %	3.54760820301 %	0.000122942096731 %	9.4875872445e-06 %	0.000291005757731 %
TEncSearch::xTZSearchHelp	175601028	74251140	55080139	522601	21135	7596	7	0	1	175078420	74230005	55072542	0.180804718734 %	0.297607027676 %	0.0222150435859 %	2.62353309779e-06 %	3.98630923732e-06 %	7.73208157943e-07 %
TEncSbac::estCBFBit	173115180	80374905	40805721	2732154	3511596	2705013	18	15	15	170383008	76863294	38100693	3.04073752244 %	1.57822901493 %	5.13003539031 %	1.63101203012e-05 %	1.0397701692e-05 %	2.47564326e-05 %
TComRdCost::xGetSSE8	172342159	72836786	62226703	1167884	873281	349987	21	0	0	171174254	71963505	61876716	0.777849078427 %	0.677654270305 %	0.905698504501 %	6.83136439965e-06 %	1.2185062623e-05 %	0.0 %
TEncSearch::xPatternSearch	172321895	67962470	60065517	169545	25403	4950	22	0	0	172152328	67937067	60060567	0.0665550452921 %	0.0983885419784 %	0.0237080975115 %	7.32479062535e-06 %	1.27668048219e-05 %	0.0 %
TComYuv::addAvg	170303780	65065210	14525985	309823	832161	655015	28	0	0	169993929	64233049	13870970	0.719101694622 %	0.181923736514 %	1.86851824501 %	1.12047070975e-05 %	1.64412087624e-05 %	0.0 %
TComRdCost::xGetSSE16	169753225	73586525	68471275	519238	1542773	133286	30	0	3	169233957	72043752	68337986	0.704047267091 %	0.305878135747 %	1.17984299349 %	1.05833332866e-05 %	1.76727128454e-05 %	2.11181645781e-06 %
TComYuv::copyPartToPartComponent	162774864	58088792	33021160	901061	610078	26199	25	10	0	161873778	57478704	32994961	0.605525775122 %	0.553562741727 %	0.698361689401 %	1.37857791385e-05 %	1.53586366996e-05 %	1.0975749389e-05 %
TComRdCost::xGetSAD24	157337658	41350941	1409139	2742	97130	2289	20	1	0	157334896	41253810	1406850	0.0510555496634 %	0.00174274870673 %	0.232504242275 %	1.04948712614e-05 %	1.27115150017e-05 %	2.33862986225e-06 %
TComTU::TComTU	146302530	52811123	50584726	681933	1278927	1102115	30	5	116	145620567	51532191	49482495	1.22666995768 %	0.466111556649 %	2.30284099703 %	6.04729596583e-05 %	2.05054553739e-05 %	0.000117025974611 %
TComRdCost::calcRdCost	144430872	50194764	31250802	726609	2984020	51464	22	0	0	143704241	47210744	31199338	1.66555353596 %	0.503084271346 %	3.72700952192 %	9.73983838013e-06 %	1.52322004952e-05 %	0.0 %
TEncSearch::xEstimateResidualQT	143850076	54380845	48134200	4641074	2851872	1198523	41	2	29	139208961	51528971	46935648	3.52788128641 %	3.22632711018 %	3.95102494468 %	2.92249161358e-05 %	2.85018966552e-05 %	3.02394638758e-05 %
TComTrQuant::xTransformSkip	141306000	39180300	28261200	1968692	380808	562593	14	0	0	139337294	38799492	27698607	1.39503131774 %	1.39321189475 %	1.39884344209 %	6.70666714571e-06 %	9.90757646526e-06 %	0.0 %
TComYuv::removeHighFreq	135962826	39369882	16823946	233739	1421122	0	13	0	0	135729074	37948760	16823946	0.861204109018 %	0.171913902407 %	2.52896456885 %	6.76531347179e-06 %	9.56143703574e-06 %	0.0 %
TComRdCost::getDistPart	133542833	43322949	76857029	2381716	86963	237361	18	0	9	131161099	43235986	76619659	1.06653398224 %	1.78348470412 %	0.269865251598 %	1.0641534316e-05 %	1.34788214355e-05 %	7.48876822061e-06 %
TComTURecurse::nextSection	132921977	58759876	30804185	1492048	324930	146487	29	0	2	131429900	58434946	30657696	0.882511557871 %	1.12249910336 %	0.526346164674 %	1.3933458602e-05 %	2.18173101653e-05 %	2.23303853987e-06 %
TComRdCost::xGetSSE32	127614020	56014527	54159833	173186	1386428	52792	64	0	0	127440770	54628099	54107041	0.678084437936 %	0.135710794159 %	1.30631119618 %	2.69146877572e-05 %	5.01512294652e-05 %	0.0 %
partialButterflyInverse8	126422010	66867840	15511410	637176	106932	749202	58	8	4	125784776	66760900	14762204	0.715182465853 %	0.504007174067 %	1.03925927949 %	3.35247019103e-05 %	4.58780872097e-05 %	1.45667750071e-05 %
TComDataCU::initEstData	123560316	57483015	52941333	475098	352590	1327825	22	0	0	123085196	57130425	51613508	0.921219777036 %	0.384506948007 %	1.52177941771 %	9.40232561567e-06 %	1.78050693881e-05 %	0.0 %
TEncSbac::codeQtCbf	120235061	49645787	30428063	2443977	338436	271091	13	0	22	117791071	49307351	30156950	1.52439748424 %	2.03266582948 %	0.761206061654 %	1.7473011972e-05 %	1.08121540355e-05 %	2.74746374753e-05 %
TEncSearch::predInterSearch	111052434	26143034	47289518	3502100	2886007	3553931	129	0	40	107550205	23257027	43735547	5.38907702766 %	3.15355537367 %	8.76986816419 %	9.16063706127e-05 %	0.000116161344109 %	5.4471755251e-05 %
fillReferenceSamples	110502533	31066079	14782581	2190834	877800	1958848	101	268	4249	108311598	30188011	12819484	3.21550600513 %	1.9826097561 %	6.18698125529 %	0.00295360714005 %	9.14006197487e-05 %	0.00985197822575 %
TComYuv::subtract	103585363	35252705	15003666	407680	954517	878382	11	6	491	103177672	34298182	14124793	1.45641819144 %	0.393569118448 %	3.64709779781 %	0.000330209486588 %	1.06192609471e-05 %	0.000988929343903 %
TComDataCU::clipMv	98271415	33948307	16080777	360456	1271809	134429	4	0	0	97910955	32676498	15946348	1.19129336173 %	0.366796387332 %	2.81084099001 %	2.69722625815e-06 %	4.07035962594e-06 %	0.0 %
TEncSbac::xCopyContextsFrom	96701820	38680728	38680728	89919	2485055	727558	4	68	54	96611897	36195605	37953116	1.89731692744 %	0.0929858403906 %	4.15273078625 %	7.23874690259e-05 %	4.13642680148e-06 %	0.000157701271806 %
TEncSampleAdaptiveOffset::getBlkStats	92375195	30246219	17562005	301	187338	36145	173	4809	20094	92374721	30054072	17505766	0.159636568716 %	0.000325845049637 %	0.467457230789 %	0.0178879928731 %	0.000187279712914 %	0.0520893643738 %
TComRdCost::xGetSAD12	92166294	25508439	2204433	5543	76338	2022	15	0	0	92160736	25432101	2202411	0.0699896427374 %	0.00601412919999 %	0.282756691548 %	1.25125995621e-05 %	1.62749301822e-05 %	0.0 %
TComTrQuant::xQuant	87573530	39806150	28660428	478350	565678	1261989	8	7	5	87095172	39240465	27398434	1.4778360702 %	0.546226696583 %	2.66942945505 %	1.2817217481e-05 %	9.13518045921e-06 %	1.75267997183e-05 %
TEncBinCABAC::copyState	85768176	46457762	35736740	132317	4086675	878929	4	2	65	85635855	42371085	34857746	3.03515105898 %	0.154272838914 %	6.04128485382 %	4.22712955315e-05 %	4.66373448352e-06 %	8.15139679294e-05 %
TEncSearch::xTZSearch	84760812	30525979	35857946	3229613	330261	168182	229	0	0	81530970	30195718	35689764	2.46654701579 %	3.81026670674 %	0.750848944229 %	0.000151510402906 %	0.00027017202242 %	0.0 %
TComRdCost::setDistParam	84352474	35842484	28169624	58024	241321	133199	6	1	0	84294444	35601162	28036425	0.291541279037 %	0.0687875497285 %	0.585076810781 %	4.71810718275e-06 %	7.11301010567e-06 %	1.56220445045e-06 %
__memcpy_chk_ssse3	83624986	25085965	15533274	78829	570382	2955823	13	0	15	83546144	24515583	12577436	2.90157067663 %	0.094264888726 %	8.68112029376 %	2.25362587275e-05 %	1.5545593036e-05 %	3.69283136988e-05 %
void	78388348	51495282	3232804	26972	173505	156487	8	21	0	78361368	51321756	3076317	0.268159226681 %	0.0344081750517 %	0.60296645492 %	2.17854393545e-05 %	1.02055984137e-05 %	3.83715228046e-05 %
TComTrQuant::calcPatternSigCtx	75999256	30769460	3658515	115412	30283	0	9	0	0	75883835	30739177	3658515	0.131937565291 %	0.15185938136 %	0.0879604449579 %	8.15016361318e-06 %	1.18422211923e-05 %	0.0 %
TComDataCU::getQuadtreeTULog2MinSizeInCU	75491189	31981446	10538052	592150	1010487	177817	8	1	16	74899031	30970958	10360219	1.50872268035 %	0.784396176354 %	2.79472725666 %	2.11845220425e-05 %	1.05972632117e-05 %	3.99816573563e-05 %
fastForwardDst	74568540	34141860	9002580	374271	42515	588162	26	2	0	74194243	34099343	8414418	0.853727430909 %	0.501915419023 %	1.46178047507 %	2.37866716143e-05 %	3.48672509882e-05 %	4.63559151538e-06 %
TComTrQuant::xIT	73851950	16151722	14891243	641821	170353	1281620	8	0	8	73210121	15981369	13609615	1.99608722692 %	0.869064391665 %	4.67730128227 %	1.5253360947e-05 %	1.08324830962e-05 %	2.57707342066e-05 %
TEncSbac::xCopyFrom	70914668	32233940	32233940	118536	1661404	162658	4	109	5	70796128	30572427	32071277	1.43489543423 %	0.167153007048 %	2.82941210414 %	8.71604218884e-05 %	5.64058200202e-06 %	0.000176832245763 %
TEncSbac::codeIntraDirLumaAng	69673140	24097507	24285150	1379037	181977	14895	42	0	8	68294061	23915530	24270247	1.33488489345 %	1.97929503393 %	0.406906135808 %	4.23528545574e-05 %	6.02814800653e-05 %	1.65348504941e-05 %
TComDataCU::setTransformSkipPartRange	68692428	34346214	22897476	132250	47431	808	3	0	0	68560175	34298783	22896668	0.143317900271 %	0.192524858781 %	0.0842695500587 %	2.38216013614e-06 %	4.36729358293e-06 %	0.0 %
TComTrQuant::rdpcmNxN	65282086	30252674	19106952	1322574	551968	3096732	10	0	21	63959502	29700706	16010199	4.33635708441 %	2.02593710011 %	7.39207383784 %	2.70407685468e-05 %	1.53181379651e-05 %	4.25448928645e-05 %
TEncSbac::estBit	63063387	19784592	39569184	339633	55762	80648	10	0	1	62723744	19728830	39488535	0.388869492099 %	0.538558133581 %	0.229825310524 %	8.9856681289e-06 %	1.58570614039e-05 %	1.68481277417e-06 %
xTrMxN	60024427	17582200	15979227	2089530	580674	2081176	31	2	32	57934866	17001524	13898019	5.07702798758 %	3.48113277283 %	7.93127777314 %	6.94549413419e-05 %	5.16456408655e-05 %	0.000101306776973 %
TComYuv::clear	58495161	15116727	13144980	114482	437121	55506	3	10	2	58380676	14679596	13089472	0.699782062211 %	0.195711915384 %	1.74309004053 %	1.72896974566e-05 %	5.12862935791e-06 %	4.24602802654e-05 %
TComDataCU::getPULeft	58289304	29328486	11917976	976663	667311	107372	12	37	4	57312629	28661138	11810600	1.75951426345 %	1.67554411012 %	1.87818048491 %	5.32471915673e-05 %	2.05869673791e-05 %	9.94024651133e-05 %
TComDataCU::xAddMVPCand	56437488	22743358	10832830	422830	2942264	36821	14	36	1	56014644	19801058	10796008	3.77933126517 %	0.749200602266 %	8.87261234063 %	5.66580571601e-05 %	2.48062068248e-05 %	0.000110197143285 %
TComPrediction::predIntraAng	54530967	22117914	14506307	559684	44064	8983	34	0	1	53971249	22073850	14497323	0.672184450983 %	1.02635993967 %	0.144841305976 %	3.83960592567e-05 %	6.23498937769e-05 %	2.73043350192e-06 %
TComDataCU::getPUAbove	53332444	25510522	12083518	1321841	283028	129498	12	24	33	52010591	25227470	11953987	1.90743876119 %	2.47849320387 %	1.09731755353 %	7.58854812862e-05 %	2.25003751938e-05 %	0.000151619778029 %
TComCUMvField::clearMvField	53053590	3298536	16345326	129589	118995	829330	6	140	16972	52923995	3179401	15499024	1.48273972518 %	0.244260567475 %	4.82758940172 %	0.0235469050552 %	1.13093195013e-05 %	0.0871111800724 %
TComPrediction::initAdiPatternChType	52999857	20394373	15038294	1366966	485367	595321	56	21	2336	51632835	19908985	14440637	2.76782103381 %	2.57918809102 %	3.04997645252 %	0.00272863409394 %	0.000105660662443 %	0.00665205359788 %
TEncSearch::xGetTemplateCost	52292328	22472736	17718888	754074	995897	5028	18	0	0	51538236	21476839	17713860	1.89762543884 %	1.4420356271 %	2.49038207563 %	1.94628361037e-05 %	3.44218754231e-05 %	0.0 %
QpParam::QpParam	51690459	23024938	15747512	1004252	1526061	1821	18	0	0	50686189	21498877	15745691	2.79908531352 %	1.94281888656 %	3.94063826248 %	1.9897657724e-05 %	3.48226739484e-05 %	0.0 %
TEncSbac::codeLastSignificantXY	50996764	20143118	11358433	832189	167937	0	38	8	0	50164537	19975173	11358433	1.21229869968 %	1.63184667953 %	0.533107084156 %	5.57587145871e-05 %	7.45145319417e-05 %	2.53955749671e-05 %
TEncSearch::xEncodeResidualQT	50847919	23141100	11243635	167263	36369	259157	7	0	6	50680649	23104731	10984472	0.542971476636 %	0.328947581906 %	0.859468598493 %	1.52523702946e-05 %	1.37665417537e-05 %	1.74496037268e-05 %
TComPrediction::xPredInterUni	49920063	19826408	16285978	270163	242873	118676	5	8	0	49649895	19583527	16167302	0.734271786219 %	0.541191224058 %	1.00117726921 %	1.5110577638e-05 %	1.00160130006e-05 %	2.21530640484e-05 %
TComDataCU::getIntraDirPredictor	49585034	16334626	13101390	1062973	347183	19689	26	0	4	48522035	15987443	13081697	1.80944824196 %	2.14373756404 %	1.24633714019 %	3.7964567669e-05 %	5.24351763074e-05 %	1.35887954403e-05 %
TEncSearch::xMotionEstimation	48731176	20546214	15982336	1597465	1466956	376793	32	1	3	47133679	19079257	15605540	4.03615418609 %	3.27811707232 %	5.04741907357 %	4.22239217611e-05 %	6.56663816198e-05 %	1.09503388445e-05 %
TComDataCU::getCoefScanIdx	48541624	20883247	9950342	1180644	181693	311730	14	0	22	47360966	20701554	9638590	2.10905512783 %	2.43223012069 %	1.60027754148 %	4.53542090022e-05 %	2.88412270673e-05 %	7.13507597186e-05 %
TComCUMvField::setAllMv	48236428	14750665	9115666	162648	223486	435060	23	1	0	48073757	14527178	8680606	1.13892174362 %	0.337189146759 %	2.75930975733 %	3.32858275229e-05 %	4.76818059579e-05 %	4.19000306331e-06 %
TEncSbac::estSignificantCoeffGroupMapBit	46988406	23494203	12365370	723083	310991	2307842	4	1	5	46265319	23183211	10057523	4.03379302711 %	1.53885407392 %	7.30302337956 %	1.20703004717e-05 %	8.51273822738e-06 %	1.67319337573e-05 %
TComDataCU::setCbfPartRange	46613592	23306796	15537864	219580	499481	144578	4	0	0	46394008	22807315	15393286	1.01059754885 %	0.471064319609 %	1.65803742393 %	4.68064804321e-06 %	8.58118807922e-06 %	0.0 %
TComDataCU::setExplicitRdpcmModePartRange	46603116	23301558	15534372	401363	236645	788182	3	0	9	46201750	23064913	14746181	1.66924850729 %	0.861236403162 %	2.63886303225 %	1.4045100644e-05 %	6.43733779518e-06 %	2.31744160627e-05 %
TComDataCU::fillMvpCand	46294947	14184390	18731816	1070305	757697	169329	24	15	3	45224618	13426678	18562484	2.52152749247 %	2.31192618063 %	2.81632093322 %	5.3022836317e-05 %	5.18415109105e-05 %	5.46843096072e-05 %
TComTU::getGolombRiceStatisticsIndex	45969511	24891828	3829512	943802	32514	0	6	0	0	45025703	24859314	3829512	1.30714269141 %	2.05310428471 %	0.113205024557 %	8.03311238213e-06 %	1.30521292689e-05 %	0.0 %
TComDataCU::setCrossComponentPredictionAlphaPartRange	44572968	22286484	14857656	41313	36886	0	2	0	0	44531653	22249598	14857656	0.0956947717729 %	0.0926862218374 %	0.0993050316954 %	2.44746791578e-06 %	4.48702451226e-06 %	0.0 %
TEncSearch::xExtDIFUpSamplingQ	44285546	15638397	22650901	1222466	1209678	7196	37	20	0	43063043	14428699	22643705	2.95409580186 %	2.76041758636 %	3.17810475397 %	6.90282866293e-05 %	8.35487045819e-05 %	5.22339166417e-05 %
TComPrediction::xPredIntraPlanar	42930341	19298590	7427334	315210	0	350504	28	0	559	42615103	19298590	7076271	0.955713028828 %	0.734235956803 %	1.31147570426 %	0.000842709553836 %	6.52219370911e-05 %	0.00209160214629 %
TEncSearch::estIntraPredQT	41665697	14468843	20069738	964874	506284	182206	186	12	12	40700637	13962547	19887520	2.16964722112 %	2.31575149217 %	1.99339399612 %	0.000275575079919 %	0.000446410388863 %	6.94875102136e-05 %
TEncSbac::resetBits	40304362	25909947	14394415	183033	753206	18977	2	6	1	40121327	25156735	14375437	1.18500325101 %	0.454127024762 %	1.91587947726 %	1.11650446173e-05 %	4.96224205211e-06 %	1.73678471824e-05 %
TEncBinCABACCounter::getNumWrittenBits	39993120	22496130	9998280	118985	196962	256	5	0	0	39874130	22299168	9998024	0.436217098306 %	0.297513672352 %	0.606929007174 %	6.8977381351e-06 %	1.25021503699e-05 %	0.0 %
TComCUMvField::setAllRefIdx	39178247	11832808	8348416	277519	158119	110367	61	1	0	38900667	11674688	8238049	0.919827941189 %	0.708349712533 %	1.3303752042 %	0.000104448370168 %	0.000155698645731 %	4.95510084027e-06 %
TComRdCost::setDistParam	39066493	20682261	13788174	214622	659478	0	3	4	0	38851868	20022779	13788174	1.18865449479 %	0.549376162329 %	1.91316993824 %	9.51902695745e-06 %	7.6792150245e-06 %	1.16041471481e-05 %
TEncSearch::xRecurIntraCodingQT	38809692	15778123	12484456	2241672	652410	257478	171	8	36	36567849	15125705	12226942	4.69875248447 %	5.77606233 %	3.21940895769 %	0.000320549754458 %	0.000440611587435 %	0.000155682890794 %
TEncSbac::codeQtCbfZero	38475808	17247776	15921024	128238	418848	0	3	0	0	38347567	16828928	15921024	0.763610849821 %	0.333295144835 %	1.26277706761 %	4.18733535397e-06 %	7.79710721085e-06 %	0.0 %
