BasketballPass__QP_42_nF_2_SR_16_MSizeL1_8192_AssL1_8_MSizeLL_4194304_AssLL_8_Word_64	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComRdCost::xGetHADs	71786592	27809756	22179806	101967	15718	6773	16	0	0	71684609	27794038	22173033	0.102202275168 %	0.142041845363 %	0.0449913924031 %	1.31388613242e-05 %	2.22882846981e-05 %	0.0 %
TEncSbac::estSignificantMapBit	71442930	26448851	12615834	961481	1867185	990863	12	5	10	70481437	24581661	11624961	3.45634913938 %	1.34580286671 %	7.31619364139 %	2.44327053841e-05 %	1.67966235427e-05 %	3.83978521777e-05 %
TComRdCost::xGetSAD64	70805556	18040482	215118	1282	458685	1399	25	109	1	70804249	17581688	213718	0.518032799844 %	0.00181059237781 %	2.52023488683 %	0.000151581234809 %	3.53079636858e-05 %	0.00060255483249 %
__x86.get_pc_thunk.bx	70797414	70797414	0	76	0	0	7	0	0	70797331	70797414	0	0 %	0 %	0 %	0 %	0 %	0 %
TComInterpolationFilter::filterVer	61083620	31023910	6099416	165454	43598	207878	40	5	0	60918126	30980307	5891538	0.424542272193 %	0.270864758834 %	0.677406975873 %	4.58216061418e-05 %	6.54840037313e-05 %	1.34686207804e-05 %
fastForwardDst	60819938	27846942	7342726	207307	69271	277084	16	2	2	60612615	27777669	7065640	0.576673546603 %	0.340853685185 %	0.984251968504 %	2.08312489065e-05 %	2.63071626281e-05 %	1.13669728285e-05 %
TComTrQuant::transformNxN	59048200	28544223	22661129	1700698	1482521	27326	24	1	0	57347478	27061701	22633803	2.91196514013 %	2.88018601752 %	2.94861169981 %	2.26750064252e-05 %	4.06447613983e-05 %	1.95292085874e-06 %
TEncSbac::codeIntraDirLumaAng	55651120	19244773	19296778	959634	301301	10671	26	44	2	54691460	18943428	19286105	1.35000524616 %	1.7243749991 %	0.80944329407 %	7.64390681734e-05 %	4.67196347531e-05 %	0.000119351709536 %
TEncSbac::estCBFBit	54579980	25340705	12865281	991898	2502018	1101268	18	11	4	53588064	22838676	11764009	4.95245584876 %	1.81732935776 %	9.43120797877 %	3.55657233767e-05 %	3.2979125313e-05 %	3.92608634678e-05 %
0x001366a7	51167782	51167782	0	10460	0	0	2	0	0	51157320	51167782	0	0 %	0 %	0 %	0 %	0 %	0 %
TComPrediction::xPredInterBlk	51024223	20783503	9420676	153014	741783	57391	20	39	1	50871189	20041681	9363284	1.1722352977 %	0.299885017357 %	2.64590538945 %	7.38657889638e-05 %	3.91970692038e-05 %	0.000132432005518 %
TComYuv::copyPartToPartComponent	49889447	18011900	9958228	345034	755438	10662	22	9	0	49544391	17256453	9947566	1.42710000665 %	0.691597162823 %	2.7389935434 %	3.98152699909e-05 %	4.40975022233e-05 %	3.21771856032e-05 %
TComTrQuant::xDeQuant	48029383	18204333	2623627	179701	51860	94201	24	0	0	47849658	18152473	2529426	0.473096965127 %	0.374148050163 %	0.701273672506 %	3.48546704743e-05 %	4.9969411433e-05 %	0.0 %
TComTrQuant::getSigCtxInc	47949941	14692284	3940128	25545	52970	4515	10	3	0	47924386	14639311	3935613	0.124702712144 %	0.0532743095555 %	0.308521516162 %	1.95246929768e-05 %	2.08550830125e-05 %	1.61009750106e-05 %
TEncBinCABACCounter::encodeBin	47354166	22800154	14030864	117407	2707555	24945	4	11	2	47236755	20092588	14005917	3.38528332967 %	0.247933835431 %	7.41901839368 %	2.01935770551e-05 %	8.44698648056e-06 %	3.52963363652e-05 %
getTUEntropyCodingParameters	46339344	19888008	11404744	1044579	1636908	1186154	16	21	39	45294749	18251079	10218551	4.982012852 %	2.25419462131 %	9.02145647018 %	9.78976530532e-05 %	3.45278949137e-05 %	0.000191737690568 %
TComPrediction::predIntraAng	43338353	17579978	11524552	293523	176619	883	24	0	0	43044806	17403359	11523669	0.65020189768 %	0.67728231389 %	0.609877568887 %	3.31295484195e-05 %	5.53782004591e-05 %	0.0 %
TComRdCost::xGetSSE8	43232334	18271236	15609678	324649	300446	54025	14	0	0	42907671	17970790	15555653	0.880678764821 %	0.750940256892 %	1.04622620275 %	1.81551164853e-05 %	3.23831695046e-05 %	0.0 %
partialButterflyInverse16	41941152	24453792	3502224	79211	21384	81817	70	15	2	41861871	24432393	3420405	0.260971946675 %	0.188862242029 %	0.369154889595 %	0.00012446856216 %	0.000166900518136 %	6.08098092375e-05 %
TComDataCU::getIntraDirPredictor	40346334	13356776	10509792	746594	677589	8995	21	0	2	39599719	12679187	10500795	2.23191594736 %	1.85046304331 %	2.8767604961 %	3.5818346911e-05 %	5.20493386091e-05 %	8.37992291141e-06 %
TComTU::TComTU	38453982	13784641	13061546	163004	457258	238154	18	2	27	38290960	13327381	12823365	1.31456933902 %	0.423893681544 %	2.59035668641 %	7.19753114268e-05 %	4.68091965092e-05 %	0.000108022789233 %
TComPrediction::initAdiPatternChType	38337670	14792152	11000102	772570	727986	543577	49	8	219	37565051	14064158	10456306	3.18748701464 %	2.01517202271 %	4.93001891188 %	0.000430376309194 %	0.000127811627572 %	0.000880109198676 %
TComTrQuant::xTransformSkip	38166260	10582463	7633252	681550	492134	466992	13	0	0	37484697	10090329	7166260	2.90992999092 %	1.78573955111 %	5.26537662672 %	2.30570142319e-05 %	3.40614982972e-05 %	0.0 %
TComTURecurse::nextSection	37630666	16646889	8651525	365399	178975	71823	18	0	0	37265249	16467914	8579702	0.979192767477 %	0.971013906584 %	0.991358588724 %	2.86036280842e-05 %	4.78333282754e-05 %	0.0 %
TComYuv::addClip	37059705	9999079	3488125	109729	154905	83850	12	3	254	36949964	9844171	3404021	0.689426924206 %	0.296087084341 %	1.77023347463 %	0.00053217893106 %	3.23801821952e-05 %	0.00190550984474 %
TEncSampleAdaptiveOffset::getBlkStats	36950093	12098493	7024808	121	130314	8204	121	3193	6750	36949851	11964986	7009854	0.247245601006 %	0.00032746872924 %	0.724341472218 %	0.0179479059177 %	0.00032746872924 %	0.0519941614683 %
TComRdCost::xGetSSE16	35797430	15517870	14439170	123078	248947	15539	22	0	0	35674330	15268923	14423631	0.589410879595 %	0.343817977995 %	0.882884290304 %	3.3457801424e-05 %	6.14569258184e-05 %	0.0 %
TComDataCU::initEstData	34786692	16106745	14869611	132852	113788	287358	22	0	0	34653818	15992957	14582253	0.812003117617 %	0.381904666302 %	1.29500706926 %	3.34534372555e-05 %	6.32425756378e-05 %	0.0 %
TEncSbac::codeCoeffNxN	34385120	12154644	10080532	700481	212164	151382	88	132	18	33684551	11942348	9929132	1.87923249289 %	2.03716316825 %	1.63500392351 %	0.000420343969943 %	0.000255924655781 %	0.000674606758228 %
TEncSearch::estIntraPredQT	34189383	11844980	16522178	765732	571358	198246	152	13	6	33423499	11273609	16323926	2.45431728714 %	2.23967773855 %	2.71301058781 %	0.000273352709831 %	0.000444582459999 %	6.69788633743e-05 %
TComRdCost::xGetComponentBits	33587212	3791172	0	10459	0	0	1	0	0	33576752	3791172	0	0 %	0 %	0 %	0 %	0 %	0 %
TComRdCost::xGetSAD4	32412600	10184108	1858868	14807	83803	3312	5	7	0	32397788	10100298	1855556	0.229267077768 %	0.0456828517305 %	0.723367712433 %	2.69932392733e-05 %	1.54260997266e-05 %	5.81251677326e-05 %
TComRdCost::getDistPart	32109463	10403947	18495493	894484	195929	11513	11	0	0	31214968	10208018	18483980	1.80617245322 %	2.7857332899 %	0.717806296593 %	1.80301553693e-05 %	3.42578136545e-05 %	0.0 %
TEncSearch::xEstimateResidualQT	31889819	12035368	10659237	983603	1131588	239794	21	0	17	30906195	10903780	10419426	4.31439012712 %	3.08437937512 %	6.04276655179 %	6.96169295475e-05 %	6.58517378227e-05 %	7.49076707878e-05 %
TEncSearch::xRecurIntraCodingQT	31823565	12934688	10144540	1531050	1949598	377171	130	0	4	30292385	10985090	9767365	7.02663523876 %	4.81105746638 %	10.0816587106 %	0.00024406772894 %	0.000408502315815 %	1.73316022529e-05 %
TEncSbac::codeQtCbf	31161536	12869526	7887774	931979	414271	27001	11	0	2	30229546	12455255	7860771	2.64499573912 %	2.99079929821 %	2.12586415382 %	2.50390821551e-05 %	3.52999287327e-05 %	9.63516449635e-06 %
TComDataCU::getPUAbove	30703987	14687978	6980197	652034	217206	24120	10	8	1	30051943	14470764	6956076	1.70579171431 %	2.12361345776 %	1.11373477462 %	3.62788154516e-05 %	3.2569060168e-05 %	4.15355700238e-05 %
TEncEntropy::countNonZeroCoeffs	30486255	3508119	67926	17968	211069	0	2	1795	0	30468285	3295255	67926	0.672406149908 %	0.058938036174 %	5.90230268355 %	0.00527562730644 %	6.56033350111e-06 %	0.0501951177907 %
TComRdCost::calcRdCost	30358308	10527954	6489531	234476	793074	6357	15	0	0	30123817	9734880	6483174	2.18235291597 %	0.772361885254 %	4.69770356783 %	3.16617391502e-05 %	4.9409868297e-05 %	0.0 %
TEncBinCABAC::copyState	29991816	16245567	12496590	32612	1874953	296965	4	2	20	29959200	14370612	12199605	3.75341542109 %	0.108736329937 %	7.55655882055 %	4.42673952944e-05 %	1.33369716592e-05 %	7.65426199572e-05 %
TComDataCU::getPULeft	28958072	14543064	5931680	296007	521401	26259	8	30	2	28662057	14021633	5905419	1.70669419278 %	1.02219167077 %	2.67480755803 %	8.09179068415e-05 %	2.76261485917e-05 %	0.000156290110392 %
TEncSbac::xCopyContextsFrom	28770570	11508228	11508228	22885	1494934	584079	4	52	24	28747681	10013242	10924125	4.05873471089 %	0.0795430886493 %	9.03272423869 %	0.000154478845725 %	1.39030961152e-05 %	0.000330198532737 %
TComPrediction::xPredIntraPlanar	27594818	12194424	4794244	239108	1954	230073	20	0	221	27355690	12192470	4563950	1.05674778325 %	0.866496021101 %	1.36577511551 %	0.000540558896628 %	7.24773760059e-05 %	0.00130086714273 %
TComRdCost::xGetSSE32	27245100	11958885	11562915	39553	198189	6868	44	0	0	27205503	11760696	11556047	0.481829696121 %	0.145174728667 %	0.871774268976 %	8.66706456372e-05 %	0.000161496929723 %	0.0 %
TComTrQuant::xQuant	25373920	11533600	8304192	180933	132098	213147	8	0	3	25192979	11401502	8091042	1.16380905903 %	0.713066802449 %	1.74033985234 %	2.43299789223e-05 %	3.1528435496e-05 %	1.51226507466e-05 %
TComYuv::addAvg	24917444	9523850	2094369	45833	204286	88184	27	0	0	24871584	9319564	2006185	0.925952814925 %	0.183939412084 %	2.51733936157 %	7.39003969902e-05 %	0.000108357823539 %	0.0 %
partialButterflyInverse8	23079056	12207104	2831696	117844	18934	59098	38	3	2	22961174	12188167	2772596	0.513869405457 %	0.51061013934 %	0.518871186531 %	0.00011280802362 %	0.000164651448482 %	3.32473335638e-05 %
TEncSearch::xLoadIntraResultQT	21862960	8063568	4315744	363672	635914	16969	36	0	0	21499252	7427654	4298775	2.96871364143 %	1.66341611566 %	5.27398453161 %	0.000105133210787 %	0.000164662058568 %	0.0 %
TEncSearch::predInterSearch	21360558	4090003	9575283	811496	469023	415222	125	2	34	20548937	3620978	9160027	4.8413993964 %	3.79903933221 %	6.47073906832 %	0.000459660586623 %	0.000585190705224 %	0.000263441248138 %
TEncSbac::xCopyFrom	21098418	9590190	9590190	52179	1489914	16986	2	84	3	21046237	8100192	9573201	3.87071878361 %	0.247312381431 %	7.85646582602 %	0.000220959920403 %	9.47938371493e-06 %	0.000453588510759 %
TComYuv::subtract	21097129	7187475	3039126	89893	151364	87936	11	6	256	21007225	7036105	2950934	1.05093805878 %	0.426091152024 %	2.33997591184 %	0.000871543714621 %	5.21397958936e-05 %	0.00256194604639 %
TComDataCU::getQuadtreeTULog2MinSizeInCU	20750549	8833332	2952712	383767	1002689	40648	7	3	3	20366775	7830640	2912061	4.386150695 %	1.84943058615 %	8.85230871359 %	3.9955013114e-05 %	3.37340472293e-05 %	5.09076667285e-05 %
TEncSearch::xPatternRefinement	20705493	7941534	4757144	106016	236975	2989	9	2	0	20599468	7704557	4754155	1.03573892015 %	0.512018718897 %	1.88967701992 %	3.29300194278e-05 %	4.34667264382e-05 %	1.574967095e-05 %
TEncSbac::estBit	19882707	6237712	12475424	84669	296235	75389	6	0	1	19798032	5941477	12400034	1.18223353743 %	0.425842416729 %	1.98589910318 %	1.81366682417e-05 %	3.01769774106e-05 %	5.34383974979e-06 %
TComPrediction::filteringIntraReferenceSamples	19514480	4800634	1271481	341466	255934	88059	8	3	3	19173006	4544697	1183419	2.67897701902 %	1.74980834744 %	5.66512656628 %	5.47161511721e-05 %	4.09951994621e-05 %	9.88123578028e-05 %
TComTrQuant::rdpcmNxN	18915104	8765536	5536128	508160	848033	566201	10	0	13	18406934	7917503	4969914	5.78742037756 %	2.68653029875 %	9.88859757858 %	6.92421369833e-05 %	5.28678034231e-05 %	9.08985136275e-05 %
TComTrQuant::calcPatternSigCtx	18543060	7518454	925911	38311	6544	0	6	0	0	18504743	7511910	925911	0.166207039019 %	0.206605597997 %	0.0774954659113 %	2.2232576839e-05 %	3.23571190515e-05 %	0.0 %
TEncSearch::xUpdateCandList	18245115	4815081	2465210	25725	45670	4681	6	0	0	18219384	4769411	2460529	0.298040313247 %	0.140996644855 %	0.691606970106 %	2.35059924218e-05 %	3.28855148351e-05 %	0.0 %
xTrMxN	18133833	5339533	4755100	673342	616027	569432	25	3	8	17460466	4723503	4185660	6.58484594948 %	3.71318077099 %	11.7434581327 %	0.000127530840677 %	0.0001378638482 %	0.000108968795597 %
TEncSearch::xTZSearchHelp	17704007	7488930	5550213	73213	9694	36	7	0	1	17630787	7479236	5550176	0.269793433659 %	0.41353914964 %	0.0746214686042 %	2.6022056946e-05 %	3.95390715785e-05 %	7.66921568388e-06 %
TComDataCU::getPUAboveRightAdi	17498199	8689019	3661218	200344	535275	1027	17	6	2	17297838	8153738	3660189	2.46795510492 %	1.1449406879 %	4.34244298308 %	8.37564822492e-05 %	9.71528555596e-05 %	6.47760848638e-05 %
QpParam::QpParam	17125048	7515592	5291640	471185	1095680	8011	8	0	0	16653855	6419912	5283629	5.26146354371 %	2.75143754342 %	8.61771692744 %	2.67269984111e-05 %	4.67151975282e-05 %	0.0 %
__memcpy_chk_ssse3	16730296	5020235	3107573	2845	600527	525516	0	0	6	16727451	4419708	2582051	4.54132785027 %	0.0170050786908 %	13.8542027568 %	2.41369977372e-05 %	0.0 %	7.38206414325e-05 %
TComDataCU::getCoefScanIdx	16572036	6621530	2698107	691027	360739	98390	10	0	8	15880999	6260791	2599709	4.44218494494 %	4.16983767112 %	4.92646870259 %	6.9520420716e-05 %	6.03426157172e-05 %	8.58402532202e-05 %
TComCUMvField::clearMvField	16017474	1039032	4935114	36216	25250	129042	6	0	3776	15981252	1013782	4802296	0.866275426731 %	0.226103067188 %	2.58266202399 %	0.0171974597597 %	3.74590899913e-05 %	0.0632056866371 %
TEncSearch::xPatternSearch	15913174	6276040	5542861	38792	35390	15051	10	0	0	15874372	6240650	5527810	0.321768205228 %	0.243772863918 %	0.426782490182 %	3.6059328413e-05 %	6.2841014621e-05 %	0.0 %
TComDataCU::getPUBelowLeftAdi	15736103	8065214	3549214	102569	389397	416	12	7	0	15633522	7675810	3548798	1.80026486506 %	0.651806867304 %	3.35628237568 %	6.94684867361e-05 %	7.62577621664e-05 %	6.02698643446e-05 %
TEncSearch::xModeBitsIntra	15694560	8428560	6103440	31304	265354	0	8	2	0	15663248	8163204	6103440	0.981448103919 %	0.199457646471 %	1.82599779796 %	3.30834868407e-05 %	5.09730760212e-05 %	1.37627305257e-05 %
TComDataCU::setTransformSkipPartRange	15023970	7511985	5007990	33350	321744	0	2	0	0	14990618	7190241	5007990	1.28919078222 %	0.221978611512 %	2.56984538707 %	7.26112399658e-06 %	1.33120606604e-05 %	0.0 %
TEncSbac::estSignificantCoeffGroupMapBit	14814566	7407283	3898570	350645	397664	389853	4	2	2	14463917	7009617	3508715	4.35736501777 %	2.36689350198 %	6.96556907294 %	3.06273800585e-05 %	2.70004534726e-05 %	3.53799045503e-05 %
void	14099978	7990610	624294	8876	62402	30123	8	0	0	14091094	7928208	594171	0.446407777949 %	0.0629504528305 %	1.07401080732 %	3.52192012268e-05 %	5.67376771794e-05 %	0.0 %
TComTrQuant::xIT	13898636	3021878	2790040	112092	49450	136490	7	0	1	13786537	2972428	2653549	1.51204273609 %	0.806496407273 %	3.19928808356 %	4.05873929267e-05 %	5.03646544884e-05 %	1.72060238978e-05 %
TEncBinCABACCounter::getNumWrittenBits	12898224	7255251	3224556	51261	471604	1193	2	0	0	12846961	6783647	3223363	2.24166868459 %	0.397426808528 %	4.51150483974 %	8.5550404138e-06 %	1.550601075e-05 %	0.0 %
TComYuv::removeHighFreq	12656827	3665235	1569243	54158	142154	0	13	0	0	12602656	3523081	1569243	1.09724807665 %	0.427895553917 %	2.71572447148 %	7.26609937062e-05 %	0.000102711366759 %	0.0 %
TEncSbac::resetBits	12361286	7946541	4414745	47687	799518	0	2	2	0	12313597	7147021	4414745	3.42684814509 %	0.385777013816 %	6.46791927636 %	1.61795463676e-05 %	1.61795463676e-05 %	1.61795463676e-05 %
TComDataCU::setCbfPartRange	12009762	6004881	4003254	93467	307726	72571	4	0	0	11916291	5697155	3930683	2.15172230118 %	0.778258553334 %	3.7998787986 %	1.81670392954e-05 %	3.33062387081e-05 %	0.0 %
TComDataCU::setExplicitRdpcmModePartRange	12008322	6004161	4002774	195482	330110	342692	3	0	4	11812837	5674051	3660078	3.94401028341 %	1.62788772653 %	6.72335735168 %	3.17961312012e-05 %	2.49826745152e-05 %	3.99722792244e-05 %
TComDataCU::clipMv	11961620	4132196	1957356	51561	220402	48066	4	0	0	11910055	3911794	1909290	1.77289873477 %	0.431053653268 %	4.40866585916 %	2.21592260048e-05 %	3.34402865164e-05 %	0.0 %
TComTU::getGolombRiceStatisticsIndex	11890200	6438991	990614	482936	11937	0	3	0	0	11407261	6427054	990614	2.5614803048 %	4.06163058653 %	0.160668030131 %	1.55281070383e-05 %	2.52308623909e-05 %	0.0 %
QpParam::QpParam	11256608	2895976	2068368	353684	238256	0	4	1	0	10902920	2657719	2068368	3.64923094526 %	3.14201222962 %	4.7993450897 %	3.08243313956e-05 %	3.55346832723e-05 %	2.01436483854e-05 %
TComPrediction::xPredInterUni	11194131	4445896	3651986	53401	80591	19821	5	5	0	11140725	4365300	3632165	0.797288494467 %	0.477044622758 %	1.23997855242 %	5.18349225661e-05 %	4.46662630623e-05 %	6.17445401156e-05 %
TComCUMvField::setAllMv	10743175	3311262	2022743	31529	92733	99887	16	1	0	10711630	3218528	1922856	1.39420594905 %	0.293479348517 %	3.61117021825 %	0.000105739936979 %	0.000148931763655 %	1.87476389692e-05 %
isLeftAvailable	10682727	4003109	3148871	337032	26888	0	6	3	0	10345689	3976218	3148871	2.04051572028 %	3.15492476781 %	0.375951834317 %	5.04634026228e-05 %	5.6165434163e-05 %	4.19464260247e-05 %
TEncBinCABAC::resetBits	10595388	2648847	6180643	28229	0	0	2	0	0	10567157	2648847	6180643	0.14532395004 %	0.26642724174 %	0.0 %	1.02960749612e-05 %	1.88761374289e-05 %	0.0 %
TComDataCU::setCrossComponentPredictionAlphaPartRange	10140750	5070375	3380250	13198	109995	0	2	0	0	10127550	4960380	3380250	0.662635227357 %	0.130148164583 %	1.30161970268 %	1.07576766108e-05 %	1.97224071198e-05 %	0.0 %
TEncSbac::loadIntraDirMode	9591120	4650240	3197040	18033	145021	0	5	6	0	9573082	4505213	3197040	0.935028442976 %	0.188017666341 %	1.84804161442 %	6.30791815763e-05 %	5.21315550217e-05 %	7.64596140319e-05 %
TComRdCost::setDistParam	9419513	4986801	3324534	79568	572750	0	2	1	0	9339943	4414050	3324534	3.67900057572 %	0.84471458344 %	6.89119136697 %	1.69196645304e-05 %	2.1232520195e-05 %	1.20317614439e-05 %
TEncEntropy::estimateBit	9356568	4288427	3118856	18978	752188	57903	4	2	0	9337586	3536237	3060953	4.94557604932 %	0.202830781543 %	10.936412177 %	3.57912987893e-05 %	4.27507179983e-05 %	2.70004534726e-05 %
isAboveAvailable	9265639	3108450	3238119	433607	1932	74041	8	3	1	8832024	3106515	3164077	3.26398418468 %	4.67973120904 %	1.19707199276 %	7.68629267558e-05 %	8.63405103523e-05 %	6.30261799722e-05 %
TEncSearch::xEncSubdivCbfQT	9217220	3763337	2750741	529141	180947	3086	25	0	0	8688054	3582390	2747655	4.53347206314 %	5.74078735237 %	2.82515806535 %	0.000158918863529 %	0.000271231455905 %	0.0 %
isBelowLeftAvailable	9207594	3532923	2849203	345735	0	0	6	0	0	8861853	3532923	2849203	2.21771141496 %	3.75488971386 %	0.0 %	3.8486900342e-05 %	6.51636029999e-05 %	0.0 %
isAboveRightAvailable	8719795	3108450	2927368	498798	0	0	8	0	0	8220989	3108450	2927368	3.38039497241 %	5.72029502987 %	0.0 %	5.42166564005e-05 %	9.17452761217e-05 %	0.0 %
TComYuv::clear	8575328	2216096	1927040	27490	292674	6321	3	5	1	8547835	1923417	1920718	2.56701595413 %	0.320570828311 %	7.21663493547 %	7.07632619788e-05 %	3.49840845738e-05 %	0.000144817838468 %
TComCUMvField::setAllRefIdx	8570613	2628850	1843401	60768	57974	23078	55	1	0	8509790	2570875	1820323	1.08733787303 %	0.709027463963 %	1.81233119519 %	0.000429353553023 %	0.00064172772706 %	2.23601045648e-05 %
