BasketballDrill__QP_32_nF_1_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComPrediction::predIntraAng	175606477	71266906	46652790	1466314	3296643	151849	175	307	57	174139988	67969956	46500884	1.67440128073 %	0.834999952764 %	2.92444105351 %	0.00018362928065 %	9.96546385929e-05 %	0.000308684649255 %
TEncEntropy::countNonZeroCoeffs	171893375	20133543	581782	154851	1817766	0	16	34460	0	171738508	18281317	581782	1.02415778727 %	0.0900854963142 %	8.77498180695 %	0.017899502982 %	9.30809578903e-06 %	0.166350274495 %
__x86.get_pc_thunk.bx	169338492	169338492	0	3	0	0	1	0	0	169338488	169338492	0	8.85799786147e-07 %	1.77159957229e-06 %	0.0 %	2.95266595382e-07 %	5.90533190764e-07 %	0.0 %
TComDataCU::getIntraDirPredictor	165256408	54861105	43102912	3380644	4474563	566482	213	20041	1305	161875551	50366501	42535125	3.19948157519 %	2.04569616447 %	5.14581287535 %	0.00819047382056 %	0.000128890614638 %	0.0217896332283 %
TComTrQuant::xT	161498127	39692847	32218773	2226864	3628045	4131384	84	2	180138	159271179	36064800	27907251	4.27843872347 %	1.37887914948 %	10.7902297292 %	0.0772135706912 %	5.20129871228e-05 %	0.25050193557 %
TComPrediction::initAdiPatternChType	160692181	61868566	45599121	3793892	5082731	3162802	419	142	2992	156897870	56785693	42433327	4.48964458768 %	2.36096863979 %	7.67256952315 %	0.0013249559028 %	0.000260746974366 %	0.00291622541388 %
TEncSbac::estSignificantMapBit	143523778	53132526	25344932	2986968	4640937	3363539	138	65	61	140536672	48491524	21981332	4.95107333547 %	2.08116595147 %	10.1997136554 %	0.000118918256833 %	9.61513150803e-05 %	0.00016055565918 %
TEncSearch::estIntraPredQT	138352107	47998190	66601343	3180711	4947974	2395704	1380	744	199	135170016	43049472	64205440	4.16063283875 %	2.29899715224 %	6.40812209942 %	0.000918357358743 %	0.000997454993584 %	0.000822865482358 %
TEncSearch::xRecurIntraCodingQT	129797408	52784897	41614442	7313693	9765910	1791126	1447	2957	1786	122482268	43016030	39821530	8.4170396103 %	5.63469880693 %	12.2427086063 %	0.00276096780298 %	0.0011148142496 %	0.00502439958822 %
TComRdCost::xGetHADs	120488095	47301800	35750715	191165	1168652	27229	153	0	0	120296777	46133148	35723486	0.681459095558 %	0.158658828493 %	1.43990943561 %	7.51692745738e-05 %	0.000126983499905 %	0.0 %
TComDataCU::getPUAbove	119635335	57126202	27265966	1905769	3041117	638599	82	159	161	117729484	54084926	26627206	2.73761376181 %	1.59298170561 %	4.36025769595 %	0.000197032259911 %	6.85416227572e-05 %	0.000379182106093 %
TComRdCost::xGetSSE4	114980742	44378532	25551276	2278001	1634185	548226	110	296	0	112702631	42744051	25003050	2.41219984474 %	1.98120220863 %	3.12085941949 %	0.000219565622405 %	9.56681945921e-05 %	0.000423281585444 %
TComDataCU::getPULeft	110008535	55215584	22602219	1524863	3936640	919789	75	346	846	108483597	51278598	21681584	3.3974425887 %	1.3861315397 %	6.24076858094 %	0.000674559283587 %	6.8176528303e-05 %	0.00153178315764 %
TEncSbac::estCBFBit	109694200	50929450	25856490	4706425	8024609	3126808	193	53	24	104987582	42904788	22729658	8.50376989206 %	4.29049576003 %	14.5227329378 %	0.000144787536088 %	0.000175943668854 %	0.000100278774994 %
TComTURecurse::nextSection	102610137	45838099	22836238	1009487	744144	297614	175	1501	1	101600475	45092454	22538623	1.19756621957 %	0.983808256683 %	1.51695385133 %	0.000979072977741 %	0.000170548451758 %	0.00218713432938 %
TComTrQuant::transformNxN	100777782	48663147	38794625	5393530	3379797	116876	296	58	0	95383956	45283292	38677749	4.72291382318 %	5.35190385516 %	3.99812723333 %	0.000188062240357 %	0.00029371553345 %	6.63177195961e-05 %
getTUEntropyCodingParameters	100710854	43190031	24758982	3446649	4331889	3496467	2138	125	9716	97262067	38858017	21252799	6.68505507597 %	3.4223212922 %	11.5209267278 %	0.00710246024325 %	0.00212290921493 %	0.0144829182434 %
TComPrediction::xPredIntraPlanar	96833589	42737310	16824870	902015	62681	1089865	185	4	3043	95931389	42674625	15731962	1.31369346699 %	0.931510449334 %	1.93502991328 %	0.00206655206894 %	0.000191049409518 %	0.00511566232129 %
TComYuv::copyPartToPartComponent	89358419	33252758	18143890	1268551	2737276	134899	120	8596	0	88089748	30506886	18008991	2.94179533871 %	1.41962113273 %	5.58825353747 %	0.00619231704106 %	0.000134290648092 %	0.0167248261015 %
TEncSearch::xLoadIntraResultQT	89013337	32827533	17570278	1880622	2389109	328806	355	203	726	87132360	30438221	17240746	3.29854324132 %	2.1127418243 %	5.39292272039 %	0.000921016732464 %	0.000398816640252 %	0.00184333402893 %
TComTrQuant::xIT	88286772	19511270	17962788	1124769	1387235	1464040	2471	8	315	87159532	18124027	16498433	3.16159172932 %	1.27399493097 %	7.60866357201 %	0.00222167744917 %	0.00279883378226 %	0.000861929604741 %
partialButterfly4	85570960	39470000	15156480	229627	527860	1049845	141	7	154	85341192	38942133	14106481	1.28913338218 %	0.268346878427 %	2.88816888806 %	0.00021541049537 %	0.000164775526651 %	0.000294728856774 %
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/strcat.S:0x0012694b	84624036	84624036	0	10186	0	0	6	0	0	84613844	84624036	0	0.00601838465847 %	0.0120367693169 %	0.0 %	3.54509208235e-06 %	7.0901841647e-06 %	0.0 %
TEncSearch::xUpdateCandList	80003771	20733631	10810189	110055	2651253	46819	48	12	0	79893668	18082366	10763370	2.51742505134 %	0.137562265659 %	8.55340919394 %	5.37887008246e-05 %	5.99971718833e-05 %	3.80423170054e-05 %
TComPrediction::filteringIntraReferenceSamples	78756454	19388086	5141652	1595830	2058308	413005	68	21	131	77160556	17329757	4728516	3.93774126168 %	2.02628472836 %	10.0747631304 %	0.000213000397962 %	8.6342130132e-05 %	0.000619656027309 %
TEncSampleAdaptiveOffset::getBlkStats	73548175	24075033	13965275	61	3783726	186241	61	60485	25206	73548053	20230822	13753828	3.55773991479 %	8.29388356679e-05 %	10.4362115049 %	0.0768466401681 %	8.29388356679e-05 %	0.225263686088 %
TComDataCU::getPUAboveRightAdi	72937562	36190181	15254856	1044522	3745910	352250	146	557	16	71892894	32443714	14902590	4.13456708683 %	1.43207693177 %	7.96609398881 %	0.000578055134545 %	0.000200171209452 %	0.0011138100649 %
TComTU::TComTU	72930756	25168386	22361061	522264	922414	947757	236	1184	2664	72408256	24244788	21410640	1.98607917006 %	0.716109401087 %	3.93476280084 %	0.00339033132793 %	0.000323594616241 %	0.00809603360207 %
fastInverseDst	69794100	34586854	8995684	460695	168057	641579	178	7	0	69333227	34418790	8354105	1.12045216934 %	0.66007728447 %	1.85770732306 %	0.000163172945735 %	0.000255035884122 %	1.60614785674e-05 %
TEncBinCABAC::copyState	68817816	37276317	28674090	205831	6718354	2208630	37	79	186	68611948	30557884	26465274	6.77668280897 %	0.29909551329 %	13.5359043349 %	0.000224088433666 %	5.3765147095e-05 %	0.000401817080522 %
TComDataCU::getPUBelowLeftAdi	65520998	33609752	14750035	731886	3057137	313366	95	4860	0	64789017	30547755	14436669	3.60235398799 %	1.11702511003 %	6.96963987869 %	0.00435104131044 %	0.000144991686482 %	0.010049672055 %
TEncSearch::xModeBitsIntra	62825490	33739615	24432135	129214	6961935	326970	85	56	0	62696191	26777624	24105165	6.13081670293 %	0.205671296794 %	12.5299737415 %	0.000116531583696 %	0.000135295403187 %	9.62666586444e-05 %
TEncSbac::codeQtCbf	56810775	23481787	14392063	2766317	1495656	692923	1023	84	642	54043435	21986047	13698498	5.23305235671 %	4.86935268882 %	5.77860185854 %	0.00184718479901 %	0.00180071474117 %	0.00191688988577 %
TComDataCU::getCoefScanIdx	55375549	20170036	6446526	2569096	1956768	612298	202	130	656	52806251	18213138	5833572	6.26665411749 %	4.63940501971 %	9.65213313425 %	0.00120499397802 %	0.000364781936519 %	0.00295304855676 %
TComRdCost::xGetSSE8	55335272	23386288	19979624	617178	546639	138475	174	226	0	54717920	22839423	19841149	1.31942895437 %	1.1153428504 %	1.57984455625 %	0.000405263628854 %	0.000314446814321 %	0.000521146655465 %
TComTrQuant::xTransformSkip	51277820	14217941	10255564	1629423	466942	802905	124	0	0	49648273	13750999	9452659	3.82735219483 %	3.17763703683 %	5.18866014492 %	0.000163693506351 %	0.000241819952564 %	0.0 %
TEncSbac::xCopyContextsFrom	51119220	20447688	20447688	88183	2967796	1411700	25	271	124	51031012	17479621	19035864	4.85540250592 %	0.172504588294 %	10.709024903 %	0.000456449322453 %	4.89052845486e-05 %	0.000965879369834 %
TEncSbac::codeLastSignificantXY	44682397	17686100	10005635	1355096	1246086	43966	257	31	0	43327044	16439983	9961669	3.6548251798 %	3.03272897378 %	4.65861745391 %	0.000397932233578 %	0.000575170575562 %	0.000111946759566 %
isLeftAvailable	44292789	16582046	13068810	1293308	634328	177332	35	64	0	42999446	15947654	12891478	2.84671928196 %	2.91990644346 %	2.73739146013 %	0.000133885745016 %	7.90196345504e-05 %	0.000215845370535 %
TComRdCost::getDistPart	43502210	13823850	25392890	2376551	200092	414974	207	0	0	41125452	13623758	24977916	3.61660417595 %	5.46305808372 %	1.56837615773 %	0.000250244955962 %	0.000475837894213 %	0.0 %
TComTrQuant::xQuant	43094150	19588250	14103540	707422	528399	2438887	74	0	728	42386654	19059851	11663925	4.78565216497 %	1.64157316016 %	8.80714856646 %	0.00104446204605 %	0.0001717170428 %	0.00216076379438 %
TEncSbac::estBit	39960030	12536480	25072960	398647	783530	833553	75	0	5	39561308	11752950	24239402	2.5986125727 %	0.997614366155 %	4.29967316716 %	0.000103133359039 %	0.000187687546781 %	1.32945345637e-05 %
TComTrQuant::calcPatternSigCtx	39470177	16016682	1928974	33648	58202	0	47	0	0	39436482	15958480	1928974	0.159973295171 %	0.0852491743323 %	0.324323613469 %	8.18589534354e-05 %	0.000119077246601 %	0.0 %
TEncSearch::xEncSubdivCbfQT	39324753	16105207	11719241	2582251	1953144	28902	221	169	0	36742281	14151894	11690339	6.7972469248 %	6.56647735334 %	7.12339738061 %	0.000580796188476 %	0.00056198700091 %	0.000607379524654 %
TEncSearch::xRecurIntraChromaCodingQT	38959606	14115166	13802400	1409564	1287418	306750	459	788	29	37549583	12826960	13495621	4.49141599468 %	3.61801400148 %	5.71026858144 %	0.00190797541499 %	0.00117814333133 %	0.00292647288807 %
isAboveAvailable	38430762	12874302	13454891	1769458	130706	470924	74	10	53	36661230	12743586	12983914	3.66134905437 %	4.60427508567 %	2.28503015645 %	0.000211550486717 %	0.000192554079464 %	0.000239278127514 %
TEncSbac::loadIntraDirMode	38393355	18614960	12797785	75718	5522639	27300	72	70	0	38317565	13092251	12770485	8.05897622128 %	0.197216419352 %	17.667793757 %	0.000203420617969 %	0.000187532451905 %	0.000222839487603 %
isBelowLeftAvailable	38154907	14625372	11822613	1434578	454582	252979	58	0	0	36720271	14170790	11569634	3.31585620037 %	3.75987812 %	2.67529265462 %	8.97792625135e-05 %	0.000152011902427 %	0.0 %
QpParam::QpParam	37973435	16358350	11936860	1734496	3067154	33490	95	184	0	36238844	13291012	11903370	7.29627110981 %	4.56765631026 %	10.9581939841 %	0.000421013587949 %	0.000250174892 %	0.000650286744647 %
TEncSbac::xCopyFrom	37487428	17039740	17039740	255117	3807739	220091	35	326	14	37232276	13231675	16819635	5.98453547832 %	0.680540153355 %	11.8189303358 %	0.000523985191592 %	9.33646341381e-05 %	0.00099766780479 %
TComDataCU::initEstData	37399284	17242693	15952495	160015	347654	918628	233	47	254	37239036	16894992	15033613	2.02040890681 %	0.427855784619 %	3.81465530486 %	0.000756433166608 %	0.000623006579484 %	0.0009067579313 %
TComDataCU::getQuadtreeTULog2MinSizeInCU	36611984	15583994	5296116	1396379	1760610	13654	61	104	72	35215544	13823280	5282390	5.51492001665 %	3.81399434677 %	8.49738818426 %	0.000412230592958 %	0.00016661211258 %	0.00084290743679 %
isAboveRightAvailable	36159093	12874302	12161559	2111771	188715	150273	80	0	0	34047242	12685587	12011286	4.00483837278 %	5.8402211582 %	1.35400975425 %	0.000130729733043 %	0.000221244487521 %	0.0 %
TEncSearch::xEncCoeffQT	35904601	17034442	11008821	2057832	1238284	12292	159	4	0	33846610	15796154	10996529	5.17360204557 %	5.73138801905 %	4.45945252519 %	0.000254895143957 %	0.000442840180845 %	1.4263675379e-05 %
TComRdCost::xGetSSE16	35618559	15440331	14367021	165515	376581	35379	161	268	0	35452883	15063482	14331642	0.882639601304 %	0.464687524276 %	1.38207513368 %	0.000655703517831 %	0.000452011548249 %	0.000899107039096 %
xTrMxN	34409730	10236277	8794756	2367756	1051293	1468998	287	24	325	32041687	9184960	7325433	9.14666394265 %	6.88106532658 %	13.2430593757 %	0.00119010276856 %	0.000834066410867 %	0.00183384685424 %
TComRdCost::xGetSSE32	34326060	15066981	14568099	81579	466598	33984	201	524	0	34244280	14599859	14534115	0.91017921194 %	0.237659084672 %	1.68915353021 %	0.00113350074749 %	0.000585560941162 %	0.00176817474426 %
TEncSearch::xGetIntraBitsQT	33524604	15150878	16491379	1194055	1988453	312239	107	0	0	32330442	13162425	16179140	5.36276712791 %	3.56172738088 %	7.27094783409 %	0.000164193883759 %	0.000319168572431 %	0.0 %
TComTrQuant::rdpcmNxN	32124730	14887070	9402360	1284550	1125408	1544332	50	10	3615	30840130	13761652	7854413	7.0093926773 %	3.99863282898 %	10.9913653799 %	0.00651432193619 %	0.000155643331477 %	0.0149241871876 %
TEncBinCABACCounter::encodeBinsEP	30054167	10928788	8196591	302845	16432	364	2	0	0	29751320	10912356	8196227	0.649947032858 %	1.00766392893 %	0.0878204818843 %	4.06673131956e-06 %	6.65465125019e-06 %	0.0 %
TEncSbac::estSignificantCoeffGroupMapBit	29774140	14887070	7835300	1124111	720146	783530	51	9	5	28649978	14166915	7051765	5.00564132739 %	3.77546085294 %	6.61760194909 %	0.000123817754742 %	0.000171289582168 %	6.16132912192e-05 %
partialButterflyInverse4	29734600	15377036	4417712	310211	42478	254868	111	7	26	29424278	15334551	4162818	1.22666060534 %	1.04326609405 %	1.50214592275 %	0.00029073671634 %	0.00037330248263 %	0.00016671088715 %
TComDataCU::getPUAboveLeft	28216842	12688698	6232548	1812347	1393176	550685	102	12	225	26404393	11295510	5681638	7.96852006386 %	6.42292642104 %	10.2734301959 %	0.000719163662302 %	0.000361486235774 %	0.00125256021723 %
TEncSearch::xRecurIntraChromaCodingQT	27923138	9967330	10305950	1091688	1478218	597210	606	18	1604	26830844	8489094	9707136	6.57126842912 %	3.90961789466 %	10.2372581052 %	0.00462275018031 %	0.00217024318685 %	0.00800067872589 %
TEncSearch::xStoreIntraResultQT	27037396	13052536	7225511	804614	1583557	600	114	0	0	26232668	11468979	7224911	5.04860749164 %	2.97593007847 %	7.81217737586 %	0.000240936135798 %	0.000421638237647 %	0.0 %
TEncBinCABACCounter::getNumWrittenBits	26900960	15131790	6725240	412325	688278	150437	27	0	0	26488608	14443512	6574803	2.56581536688 %	1.53275199101 %	3.83727798333 %	5.53755394757e-05 %	0.0001003681653 %	0.0 %
TComRdCost::calcRdCost	26812292	9281178	5671831	804477	1314684	4186	136	24	0	26007679	7966470	5667645	5.0839978383 %	3.00040369544 %	8.82009768067 %	0.000383093132742 %	0.000507230042102 %	0.000160502812511 %
TEncSbac::xWriteCoefRemainExGolomb	26509977	10844918	6950440	247252	24593	24349	88	0	0	26262637	10820325	6926091	0.668528970608 %	0.932675271653 %	0.275026779456 %	0.000198621678405 %	0.000331950495468 %	0.0 %
TComTU::getGolombRiceStatisticsIndex	25814352	13967473	2148842	1694135	759898	0	24	0	0	24120193	13207575	2148842	5.85259709797 %	6.56276400043 %	4.71508530331 %	5.72373437322e-05 %	9.29715376935e-05 %	0.0 %
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_chk_ssse3	25078332	6250188	4707036	0	596260	1600937	0	47	536	25078332	5653881	3105563	6.09730289717 %	0.0 %	20.0524968733 %	0.00161784655133 %	0.0 %	0.00532069071509 %
QpParam::QpParam	23866070	6220350	4701180	1169864	364000	0	53	18	0	22696153	5856332	4701180	4.40922627603 %	4.90178734915 %	3.33286636579 %	0.000204095712265 %	0.000222072590921 %	0.000164812073034 %
TEncSbac::resetBits	23529618	15126183	8403435	186040	4402210	33637	27	20	433	23343551	10723953	8369365	9.82142379022 %	0.790663069838 %	18.8521845106 %	0.00101999105978 %	0.000114748994225 %	0.00192523312533 %
TEncSearch::xEncIntraHeader	23016238	8984130	5893828	2540008	1429351	101985	270	358	433	20475960	7554421	5791410	10.7439777849 %	11.0357218239 %	10.2926490315 %	0.00279990107192 %	0.00117308484558 %	0.00531658981696 %
TComPrediction::UseDPCMForFirstPassIntraEstimation	22105265	13961220	2326870	46453	1566524	0	38	4	0	22058774	12394692	2326870	4.20118793994 %	0.210144506297 %	9.61760402846 %	0.000109393930278 %	0.000171904747579 %	2.45578210828e-05 %
TEncSearch::xRecurIntraCodingQT	22063829	8070372	6496343	870343	954775	406586	428	58	2945	21193058	7115539	6086812	6.09246753201 %	3.94465983216 %	9.34569667904 %	0.00936650026273 %	0.00193982649158 %	0.0206154922369 %
TEncEntropy::encodeIntraDirModeLuma	21538860	12307920	7692450	139198	467859	197320	25	4	0	21399637	11840057	7495130	1.93642732424 %	0.646264472679 %	3.32583347208 %	6.98135232646e-05 %	0.00011606928129 %	1.99996300068e-05 %
TEncEntropy::encodeCoeffNxN	21435825	11646927	6136062	1062678	324513	1154210	57	3	1204	20373090	11322411	4980648	6.4800557202 %	4.95748589103 %	8.31537937745 %	0.00322294294774 %	0.000265909989469 %	0.00678738540523 %
TEncSearch::xEncSubdivCbfQT	21196079	8765430	4610205	69740	138769	67464	0	0	1108	21126339	8626661	4541633	0.798262417652 %	0.329023117908 %	1.54185576984 %	0.00320493221713 %	0.0 %	0.00828371886643 %
TComDataCU::setTransformSkipSubParts	21099625	10971805	5907895	694418	2088401	28077	40	70	47	20405167	8883334	5879771	7.40112153125 %	3.29113906053 %	12.5385996197 %	0.00041338280762 %	0.000189576828972 %	0.000693140280929 %
TComCUMvField::clearMvField	20257770	1346904	6241794	43566	109424	376558	132	181	15107	20214072	1237299	5850129	1.9016702585 %	0.215058222104 %	6.40402345699 %	0.0553750658791 %	0.000651601829816 %	0.20145748322 %
TEncBinCABAC::resetBits	20168244	5042061	11764809	149149	217911	0	17	2	0	20019078	4824148	11764809	0.992721753339 %	0.739523976406 %	1.29655908566 %	5.13859132388e-05 %	8.42909278567e-05 %	1.18998956974e-05 %
TEncSearch::xEncCoeffQT	19932783	10311343	4998094	104519	324447	26652	0	4	0	19828264	9986892	4971442	1.29281867033 %	0.524357286185 %	2.29335017349 %	1.13500227852e-05 %	0.0 %	2.61276753678e-05 %
TComTrQuant::invTransformNxN	18869682	9177214	7028886	1093928	607016	527415	141	0	0	17775613	8570198	6501471	6.35298451792 %	5.79727840671 %	7.00002468206 %	0.000401986761122 %	0.000747230398477 %	0.0 %
TEncEntropy::estimateBit	18804720	8618830	6268240	23320	1421924	296851	31	4	0	18781369	7196902	5971389	5.17068104722 %	0.12401141841 %	11.545421631 %	0.00010388287473 %	0.000164852228589 %	2.68689540655e-05 %
TComTrQuant::getSigCoeffGroupCtxInc	18113062	6072187	1367718	18383	19210	0	27	0	0	18094652	6052977	1367718	0.147117945247 %	0.101490294683 %	0.258202221668 %	0.000105662876644 %	0.000149063697789 %	0.0 %
TComDataCU::setTrIdxSubParts	14699136	7349568	4287248	1210480	913873	0	24	212	0	13488632	6435483	4287248	8.06636114768 %	8.23504184192 %	7.85329079707 %	0.000896113419405 %	0.000163274902688 %	0.00182180417736 %
TComDataCU::setCbfPartRange	14131494	7065747	4710498	362651	1156955	368099	35	48	0	13768808	5908744	4342399	7.2862591367 %	2.56626086385 %	12.9502570641 %	0.000320367593637 %	0.000247673742069 %	0.000407600215519 %
TComDataCU::setExplicitRdpcmModePartRange	14103540	7051770	4701180	834514	692834	739263	46	0	2569	13268980	6358936	3959348	8.76612022746 %	5.91705344899 %	12.1850003616 %	0.0101135150208 %	0.000326159247962 %	0.0218583419482 %
TComTU::GetEquivalentLog2TrSize	14002263	6364665	1272933	451481	58681	0	19	0	0	13550763	6305984	1272933	2.3575105219 %	3.22434309368 %	0.768317473635 %	8.78009336566e-05 %	0.000135692352015 %	0.0 %
TComSampleAdaptiveOffset::offsetBlock	13894068	5233256	1118109	45	628436	564884	45	14864	35401	13893978	4589956	517824	5.89448988322 %	0.000323879226732 %	18.7884021781 %	0.248500488974 %	0.000323879226732 %	0.791404682301 %
TEncSbac::getNumberOfWrittenBits	13450480	8406550	3362620	0	102708	21603	0	0	0	13450480	8303842	3341017	0.492913264062 %	0.0 %	1.0562427087 %	0.0 %	0.0 %	0.0 %
isAboveLeftAvailable	13424870	4669520	4669520	1283773	713566	745554	50	487	234	12141047	3955467	3923732	12.049305238 %	9.56264753402 %	15.6238756874 %	0.00338694011705 %	0.00037244308511 %	0.00772027960047 %
TComRdCost::setDistParam	13320010	7051770	4701180	779511	936382	0	23	33	0	12540476	6115355	4701180	6.84359963881 %	5.85218029116 %	7.96720823283 %	0.00022334818067 %	0.000172672543039 %	0.000280780569985 %
