BasketballPass__QP_32_nF_2_MSizeL1_8192_AssL1_1_MSizeLL_4194304_AssLL_1_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
getTUEntropyCodingParameters	58428966	25068483	14373378	1049019	2018454	1775303	117	103	3189	57379830	23049926	12594886	4.94813025336 %	1.7953749173 %	9.61860547097 %	0.0034831625567 %	0.000200243146524 %	0.00834646215096 %
TEncSbac::codeIntraDirLumaAng	57970657	20045007	20261711	1167008	1325314	75471	439	151	4	56803210	18719542	20186236	2.6128017766 %	2.01310121429 %	3.47531396627 %	0.000604411747872 %	0.000757279669954 %	0.000384551280012 %
partialButterflyInverse8	56952038	30123392	6987758	289449	334474	472640	40	44	688	56662549	29788874	6514430	1.16577273566 %	0.508232909944 %	2.17485580479 %	0.000820724893994 %	7.02345366464e-05 %	0.00197245302288 %
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/strcat.S:0x0012694b	56040134	56040134	0	8679	0	0	145	0	0	56031310	56040134	0	0.00774355750113 %	0.0154871150023 %	0.0 %	0.000129371567884 %	0.000258743135768 %	0.0 %
TComYuv::copyPartToPartComponent	52571959	18983322	10536446	455377	753047	83549	231	79	0	52116351	18230196	10452897	1.57381632378 %	0.86619751035 %	2.83401956276 %	0.000377626359353 %	0.000439397740533 %	0.000267617279377 %
TComPrediction::xPredInterBlk	51481407	21093850	9291385	149624	1342271	225534	241	929	681	51331542	19750650	9065170	2.09783735847 %	0.290636967245 %	5.15975933706 %	0.00226099416659 %	0.000468130173676 %	0.00529862612548 %
TComInterpolationFilter::filterVer	51407129	26403136	5230414	134261	424614	249830	43	1218	704	51272825	25977304	4979880	0.973866073518 %	0.261171947572 %	2.13205283631 %	0.00236631013097 %	8.36459861433e-05 %	0.00607582772088 %
TComRdCost::xGetSSE8	48707444	20585176	17586548	411145	585314	128250	119	175	33	48296180	19999687	17458265	1.29456695534 %	0.844111220453 %	1.86935229858 %	0.000376384819891 %	0.000244315838047 %	0.00054490596233 %
TComTURecurse::nextSection	47095703	20887419	10773071	515978	554402	229516	28	2648	13319	46579697	20330369	10530236	1.65053178739 %	1.0955946448 %	2.47601347926 %	0.0203095139451 %	5.94534070338e-05 %	0.0504319421462 %
TComTU::TComTU	46054504	16455761	15506162	265536	901406	804182	31	18858	25975	45788937	15535497	14676005	2.52654995338 %	0.576569014835 %	5.33631221125 %	0.057505837841 %	6.73115489421e-05 %	0.140270033189 %
TComPrediction::predIntraAng	44568083	18082522	11846621	396025	944517	95832	48	38	0	44172010	17137967	11750789	1.92809058421 %	0.888584326142 %	3.47604005902 %	0.000115440540028 %	0.00010770039178 %	0.000126966548959 %
TComRdCost::xGetSSE16	43428485	18825865	17517215	140776	563106	85839	137	0	608	43287572	18262759	17430768	0.989978070507 %	0.324155908271 %	1.78560815429 %	0.000933916740884 %	0.000315461154125 %	0.00167294571621 %
TComYuv::addClip	43067769	11574087	4027773	117335	420025	216858	168	82	2407	42950266	11153980	3808508	1.28553395148 %	0.272442716965 %	4.08209662181 %	0.00452874859665 %	0.000390082894705 %	0.0159532260897 %
TComTrQuant::xTransformSkip	42019780	11650939	8403956	726671	491806	636120	14	0	0	41293095	11159133	7767836	2.98768700762 %	1.72935460395 %	5.62419299627 %	2.25534809486e-05 %	3.33176423104e-05 %	0.0 %
TComDataCU::getIntraDirPredictor	41785349	13846248	10904984	875278	1229966	43759	50	3014	3	40910021	12613268	10861222	3.22980677351 %	2.09470070479 %	5.14610747457 %	0.00460949443735 %	0.000119659165704 %	0.012189292234 %
TComPrediction::initAdiPatternChType	40764667	15739072	11739987	1027731	1281537	674662	78	232	14104	39736858	14457303	11051221	4.3724605541 %	2.52113184195 %	7.1188718653 %	0.0211213555368 %	0.000191342173849 %	0.0521706365564 %
TEncSbac::codeQtCbf	36984641	15275095	9362155	1034066	1190870	109148	123413	2587	2026	35827162	14081638	9250981	3.78775133662 %	2.79593358767 %	5.27663598819 %	0.207760583005 %	0.333687164896 %	0.0187236806056 %
TEncSampleAdaptiveOffset::getBlkStats	36950093	12098493	7024808	121	1889077	97734	121	13754	10178	36949851	10195662	6916896	3.54344878785 %	0.00032746872924 %	10.3894772142 %	0.0428955664785 %	0.00032746872924 %	0.125145758047 %
TComDataCU::initEstData	36702936	17037006	15708474	140308	246702	873084	175	38	4651	36562453	16790266	14830739	1.81443159193 %	0.382280044299 %	3.41966585923 %	0.0070037594522 %	0.00047680109297 %	0.0143195335662 %
TComRdCost::getDistPart	35672131	11576527	20525155	829753	257349	445908	89	0	309	34842289	11319178	20078938	2.26195034947 %	2.32605391587 %	2.19071698486 %	0.000587247466806 %	0.000249494486326 %	0.000962566385151 %
TComRdCost::xGetSAD4	35497566	11152875	2033181	20864	297413	28016	72	1573	34	35476630	10853889	2005131	0.711313139355 %	0.0587758608576 %	2.46797829465 %	0.00344879844807 %	0.000202830808174 %	0.0121871164509 %
TComRdCost::xGetComponentBits	35182468	3970228	0	10731	0	0	1	0	0	35171736	3970228	0	0.0274080742741 %	0.0305009870257 %	0.0 %	2.5541025323e-06 %	2.84232476244e-06 %	0.0 %
TEncSearch::estIntraPredQT	34798358	12078887	16748939	804675	1384775	582576	324	140	2959	33993359	10693972	16163404	4.35673778581 %	2.31239359053 %	6.82448617527 %	0.00537986059324 %	0.000931078414677 %	0.0107500301965 %
TComRdCost::calcRdCost	34202448	11859120	7304472	307883	1436006	22361	158	18730	0	33894407	10404384	7282111	3.30968908317 %	0.900178256246 %	7.61009209547 %	0.0353932950618 %	0.000461955237824 %	0.097737417912 %
TComRdCost::xGetSSE32	34178540	15002229	14505491	51323	469734	54844	156	0	96	34127061	14532495	14450551	0.904278254054 %	0.150161475593 %	1.77776527634 %	0.000395689745323 %	0.000456426751991 %	0.000325338589359 %
TEncSearch::xEstimateResidualQT	33964916	12819336	11353748	1081317	2290239	846888	30874	95016	58094	32852725	10434081	10448766	7.25591523616 %	3.18362924849 %	12.977768993 %	0.316460834566 %	0.0908996801288 %	0.633390427138 %
TEncSearch::xRecurIntraCodingQT	32534542	13241466	10461330	1917023	2333934	424958	208	62	156	30617311	10907470	10036216	8.31460941483 %	5.89226982202 %	11.6395213459 %	0.000757503849133 %	0.00063932051049 %	0.000919722719632 %
TComDataCU::getPUAbove	32512730	15523696	7404764	570249	462711	129398	71	1104	5173	31942410	15059881	7270193	2.09656033718 %	1.75392530864 %	2.58241940366 %	0.0114499706806 %	0.000218376002261 %	0.027376457032 %
TEncBinCABAC::copyState	32289624	17490213	13454010	71204	2939671	923934	1064	43	6844	32217356	14550499	12523232	6.2226310539 %	0.22051665885 %	12.4857069444 %	0.0125739621693 %	0.00329517618415 %	0.0222561736322 %
TEncSbac::xCopyContextsFrom	31593480	12637392	12637392	40283	2090077	689098	5492	3518	298	31547705	10543797	11947996	4.95787597807 %	0.127504155921 %	10.9958407558 %	0.0163676527914 %	0.0173833335232 %	0.0150980518765 %
TComDataCU::getPULeft	30606010	15346981	6282608	490893	823902	75785	141	1821	7459	30114976	14521258	6199364	2.66213085831 %	1.60391047379 %	4.15951962841 %	0.0180355929296 %	0.000460693831048 %	0.0429041901813 %
TComTrQuant::xIT	29861966	6600986	6080467	377833	552857	509051	201	28	659	29483932	6048101	5570757	3.38416853615 %	1.26526498624 %	8.37370922717 %	0.00208727935101 %	0.000673097009085 %	0.00541736029775 %
TComTrQuant::xQuant	28158185	12799175	9215406	237262	592901	1480180	8	0	5671	27920915	12206274	7729555	4.60477502875 %	0.842604024372 %	9.41685422039 %	0.0113188896143 %	2.84109220818e-05 %	0.0257601995695 %
TComPrediction::xPredIntraPlanar	28122970	12483084	4880204	243966	75991	355551	62	0	18007	27878942	12407093	4506646	1.48508149428 %	0.867497280693 %	2.4853702824 %	0.039724085459 %	0.000220460356783 %	0.103707316264 %
/build/buildd/eglibc-2.19/string/../sysdeps/i386/i686/multiarch/memcpy-ssse3.S:__memcpy_chk_ssse3	24668032	6891408	4377888	8879	1058747	1163787	35	163	2900	24659118	5832498	3211201	6.20917893506 %	0.035993953632 %	19.722030551 %	0.00862056299789 %	0.000141884038419 %	0.0271800474493 %
TComYuv::subtract	24339081	8282771	3527382	96601	317143	220730	149	137	550	24242331	7965491	3306102	1.75515199022 %	0.396896661793 %	4.5543271116 %	0.00231263544893 %	0.000612184165869 %	0.0058170287887 %
fastInverseDst	24066900	11926486	3101956	156721	26741	187187	18	2	21618	23910161	11899743	2893151	0.948064349968 %	0.651188977392 %	1.42348754448 %	0.0553467469347 %	7.47915186418e-05 %	0.143860554541 %
TComTrQuant::calcPatternSigCtx	23782720	9639980	1163822	32923	65846	0	10	0	0	23749787	9574134	1163822	0.28557077812 %	0.138432441706 %	0.609470628951 %	2.89129968026e-05 %	4.20473352081e-05 %	0.0 %
TComDataCU::getQuadtreeTULog2MinSizeInCU	23761335	10084458	3354533	378989	1106534	47968	48	64	1305	23382298	8977860	3305260	4.1222515093 %	1.59498193178 %	8.59068958376 %	0.00380910640407 %	0.000202008851775 %	0.010186776671 %
TEncSbac::xCopyFrom	23168552	10531160	10531160	78701	2480532	291323	459	7135	93	23089392	8043493	10239744	6.44472033018 %	0.33968890244 %	13.1602549007 %	0.0173792639675 %	0.0019811337368 %	0.0343172072212 %
TEncSearch::xLoadIntraResultQT	22337091	8237817	4409118	510662	534586	178062	44	98	389	21826385	7703133	4230667	3.49676735319 %	2.28616161343 %	5.63494633285 %	0.00151783559731 %	0.000196981782453 %	0.0038507353758 %
TEncSearch::predInterSearch	22211001	4257883	9966946	837305	817677	825781	213248	23320	116927	21160448	3416886	9024238	6.80858100392 %	3.76977606727 %	11.5534464421 %	0.970185117232 %	0.960100807703 %	0.98593100838 %
void	22161642	12599730	892902	10683	206755	72113	8	1059	202	22150951	12391916	820587	0.812107406815 %	0.0482049118924 %	2.06681691163 %	0.0035591805908 %	3.60984082317e-05 %	0.00934584149334 %
TEncSbac::estBit	21908682	6873312	13746624	147099	436740	292249	24939	0	91	21736644	6436572	13454284	2.05999640054 %	0.671418755359 %	3.53536014855 %	0.0588544871127 %	0.113831585122 %	0.000441320477425 %
TEncSearch::xPatternRefinement	21456993	8231369	4924462	93810	854853	566200	188	4	0	21362995	7376512	4358262	4.37659464018 %	0.437200123988 %	10.8016969814 %	0.000554707700244 %	0.000876171232381 %	3.04047688056e-05 %
TComDataCU::getCoefScanIdx	21355768	8480759	3412368	713615	925223	189290	27	77	532	20642126	7555459	3222546	5.49831204917 %	3.34155624841 %	9.37106784448 %	0.00191284552464 %	0.000126429543531 %	0.00512060453067 %
TComTrQuant::rdpcmNxN	20990647	9727373	6143604	405693	1343189	1013204	8	9	6403	20584946	8384175	5123997	7.49312075887 %	1.93273223069 %	14.8471830058 %	0.0174164871304 %	3.81122125488e-05 %	0.040400789441 %
xTrMxN	20229550	5951828	5314923	881312	630417	787804	1722	24	32218	19346516	5321387	4494901	7.30096210345 %	4.35655761003 %	12.5876661337 %	0.107834885119 %	0.00851230007588 %	0.286169455595 %
TComYuv::addAvg	19903404	7608974	1658499	34036	225605	116646	195	1	29	19869173	7383368	1541824	1.28994064868 %	0.171005924414 %	3.69303476795 %	0.000771317228481 %	0.000979731909175 %	0.000323712839519 %
TComPrediction::filteringIntraReferenceSamples	19894738	4906976	1306365	413482	443424	43387	8	7	45	19481248	4463545	1262933	3.44833107024 %	2.07834855629 %	7.83493131956 %	0.000229813920817 %	4.02116378713e-05 %	0.000836908838578 %
TEncSearch::xUpdateCandList	19121365	5002717	2585893	27944	245526	555	12	1473	0	19093409	4755718	2585338	1.02592757949 %	0.146140194489 %	3.24276777961 %	0.00555972066616 %	6.27570259759e-05 %	0.0194106694111 %
TComDataCU::getPUAboveRightAdi	18960704	9405188	3973181	289726	742177	5047	74	374	2	18670904	8662637	3968132	3.20649265364 %	1.52803398017 %	5.58531462243 %	0.00139150556356 %	0.000390280867208 %	0.0028105070207 %
QpParam::QpParam	18930924	8334597	5832141	538556	1674289	56141	12	14524	54	18392356	6645784	5775946	6.85542682743 %	2.84484793241 %	12.2147384952 %	0.0440816635326 %	6.33883480806e-05 %	0.102903011265 %
TEncSearch::xTZSearchHelp	18370298	7767270	5760763	74949	559838	12639	91	0	48	18295258	7207432	5748076	2.02965478037 %	0.407990115348 %	4.23178299462 %	0.000435759475942 %	0.000495364854724 %	0.000354818767813 %
TEncSbac::codeLastSignificantXY	17460646	6902598	3909237	442524	589479	15558	90	22	0	17018032	6313097	3893679	3.70523195329 %	2.53440794802 %	5.59606209307 %	0.000396144929764 %	0.000515444846657 %	0.000203480722745 %
TComDataCU::setTransformSkipPartRange	17209368	8604684	5736456	45327	252820	3899	15	0	0	17164026	8351864	5732557	0.957341162304 %	0.263385616485 %	1.79008781729 %	4.75428161093e-05 %	8.71618295338e-05 %	0.0 %
TComDataCU::getPUBelowLeftAdi	17076672	8747486	3848885	216001	651995	1022	20	1185	0	16860651	8094306	3847863	2.92864469613 %	1.26488931801 %	5.18416772577 %	0.00406092492772 %	0.000117118839081 %	0.00940747140585 %
TEncSearch::xPatternSearch	16956569	6687566	5910672	41005	782971	774617	67	0	0	16915497	5904595	5136055	5.40891030011 %	0.241823684968 %	12.3635384567 %	0.000226697470905 %	0.000395127103838 %	0.0 %
TComCUMvField::clearMvField	16704180	1057104	5146524	38243	59145	263994	15	98	11392	16665922	997861	4871138	1.57754945388 %	0.22894269578 %	5.20887132497 %	0.0502230505861 %	8.97978829251e-05 %	0.185214200465 %
TEncSbac::estSignificantCoeffGroupMapBit	16324116	8162058	4295820	323450	467601	443442	4723	3290	5	15995943	7691167	3852373	4.28911561861 %	1.98142429275 %	7.31298701111 %	0.0278576946406 %	0.0289326539949 %	0.0264491272109 %
TEncSearch::xModeBitsIntra	15783390	8476265	6137985	32521	992885	5635	13	12	0	15750856	7483368	6132350	3.39184555117 %	0.20604572275 %	6.83250936586 %	8.22432267768e-05 %	8.23650685943e-05 %	8.2111637614e-05 %
TComTU::getGolombRiceStatisticsIndex	14982101	8111363	1247902	495686	228144	0	5	30	0	14486410	7883189	1247902	2.97366220121 %	3.30852128149 %	2.43762731368 %	0.000143788150591 %	3.33731564084e-05 %	0.000320537990964 %
TEncBinCABACCounter::getNumWrittenBits	14070288	7914537	3517572	112157	943849	18014	38144	1	0	13919987	6970687	3499558	4.21144726121 %	0.797119433518 %	8.4136968953 %	0.149574175322 %	0.271096085595 %	8.74729238498e-06 %
TEncSbac::resetBits	13539274	8703819	4835455	75229	2116716	137094	127	47	6583	13463918	6587056	4691778	8.601048328 %	0.555635405562 %	16.6464612504 %	0.024953332062 %	0.000938011890446 %	0.0489686522335 %
TComDataCU::setCbfPartRange	13433292	6716646	4477764	120389	543542	181744	21	4	0	13312882	6173100	4296020	3.43383641722 %	0.896198787311 %	6.47900157311 %	0.000101511704178 %	0.000156328024434 %	3.57321198705e-05 %
TComDataCU::setExplicitRdpcmModePartRange	13426650	6713325	4475550	252650	396152	405306	5	3	3522	13173995	6317170	4066722	4.28228932757 %	1.88170541423 %	7.16299002357 %	0.0143405432141 %	3.72393709525e-05 %	0.0315045078259 %
TComYuv::removeHighFreq	13411083	3883363	1660395	57889	178067	432	177	0	0	13353017	3705296	1659963	1.24711148988 %	0.43165044911 %	3.21981947985 %	0.000933798389551 %	0.00131980392635 %	0.0 %
TComRdCost::xGetSAD24	13094472	3441444	117276	608	85311	1259	35	82	5	13093829	3356051	116012	0.523491232191 %	0.00464318072542 %	2.43261622156 %	0.000732592286212 %	0.000267288364128 %	0.0024446992177 %
QpParam::QpParam	12538050	3218721	2276586	396742	204857	6664	6	8	0	12141302	3013856	2269922	3.37298817963 %	3.16430385905 %	3.84912071337 %	7.7633909205e-05 %	4.78543314152e-05 %	0.000145578763843 %
TComDataCU::clipMv	12359930	4269794	2022534	50416	205418	23853	35	0	0	12309479	4064376	1998681	1.49948065269 %	0.407898750236 %	3.64365938966 %	0.000187644841713 %	0.000283173124767 %	0.0 %
TComCUMvField::setAllMv	11646850	3566033	2197114	34760	172003	181848	72	2331	59	11612018	3391699	2015207	2.23211411237 %	0.298449795438 %	6.13989197222 %	0.0141413005413 %	0.000618192901943 %	0.0414703980308 %
TComPrediction::xPredInterUni	11639973	4622968	3797438	44961	259965	49419	88	72	43	11594924	4362931	3747976	1.76639234982 %	0.386263782571 %	3.67421713395 %	0.00101194498868 %	0.000756015499349 %	0.00136572987098 %
TComDataCU::setCrossComponentPredictionAlphaPartRange	11623356	5811678	3874452	14915	239026	24968	6	0	0	11608435	5572652	3849484	1.3088490262 %	0.12831922209 %	2.72548479114 %	2.81564745391e-05 %	5.16202033217e-05 %	0.0 %
TEncBinCABAC::resetBits	11605092	2901273	6769637	49013	293798	56	531	0	0	11555548	2607475	6769581	1.61151987107 %	0.422340469166 %	3.03853515336 %	0.00249576964695 %	0.00457557768607 %	0.0 %
isLeftAvailable	11518598	4312167	3396950	333475	82407	2252	9	140	0	11185114	4229620	3394698	2.17464217667 %	2.89510060165 %	1.09816727389 %	0.000774923073282 %	7.81345090783e-05 %	0.00181603158961 %
TEncSearch::xRecurIntraChromaCodingQT	11298895	4070198	4028849	429906	424082	112480	94	6	23	10868895	3646110	3916346	4.98232235152 %	3.80484994329 %	6.6250016823 %	0.000634087884168 %	0.000831939760481 %	0.000358066819467 %
TEncEntropy::encodeCoeffNxN	11147094	6152313	3142401	314163	202342	403957	7282	1096	963	10825649	5948875	2737481	4.50284045325 %	2.81833991891 %	6.52305170444 %	0.0456955666544 %	0.0653264429276 %	0.022152376071 %
partialButterflyInverse4	10566500	5464390	1569880	112767	11630	96821	16	4	1958	10453717	5452756	1471101	1.25686546668 %	1.0672124166 %	1.5417520226 %	0.0112381446948 %	0.000151421946718 %	0.0278920200675 %
TEncSearch::xEncodeResidualQT	10502048	4702608	2283211	35192	385616	83209	9240	0	429	10457616	4316992	2199573	2.88209534073 %	0.335096544979 %	6.7110957212 %	0.0552897617531 %	0.0879828391567 %	0.00614101224209 %
